voyage_id,ship_name,port_origin,place_of_purchase,port_arrival,year_arrival,n_slaves_arrived,captains_name
81711,Hannah,Liverpool,Calabar,"St. Vincent, port unspecified",1787,390,"Smith, Bryan"
81712,Hannah,Liverpool,New Calabar,"Grenada, port unspecified",1789,351,"Wilson, Charles"
81713,Hannah,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Kingston,1789,303,"Wilson, Charles"
81714,Hannah,Liverpool,Bonny,"St. Vincent, port unspecified",1791,316,"Young, William"
81715,Hannah,Liverpool,Congo River,"Grenada, port unspecified",1792,331,"Young, William"
81716,Hannah,Liverpool,Ambriz,Kingston,1793,304,"Young, William"
81717,Hannah,Liverpool,NA,NA,1794,NA,Stringer
81718,Hannibal,London,Bonny,"Dominica, port unspecified",1785,436,"Banfield, Joseph"
81723,Harlequin,Liverpool,Cape Mount (Cape Grand Mount),"Barbados, port unspecified",1797,252,"Topping, Jesse<br/> Higgins, Isaac"
81724,Harlequin,Liverpool,"West Central Africa and St. Helena, port unspecified","St. Kitts, port unspecified",1798,274,"Topping, Jesse"
81725,Harlequin,Liverpool,"West Central Africa and St. Helena, port unspecified",NA,1798,NA,"Topping, Jesse"
81726,Harlequin,Liverpool,"West Central Africa and St. Helena, port unspecified",Demerara,1800,268,"Maginnis, John"
81727,Harlequin,Liverpool,"Africa., port unspecified",Havana,1802,143,"Brade, Thomas"
81728,Harlequin,Liverpool,Windward Coast (Nunez - Assini),Saint John (Antigua),1786,60,"Walker, William"
81729,Harlequin,"Antigua, port unspecified","Africa., port unspecified","Barbados, port unspecified",1787,40,"Walker, William"
81730,Harlequin,Liverpool,Sierra Leone estuary,Kingston,1793,110,"Jones, John<br/> Grierson"
81731,Harlequin,Liverpool,Cape Coast Castle,Kingston,1783,497,"Fayrer, Joseph<br/> Simmons, John"
81732,Harmonie,Liverpool,"West Central Africa and St. Helena, port unspecified",Cumingsberg,1806,225,"Ainsworth, John"
81733,Harriott,London,"Bight of Benin, port unspecified","St. Vincent, port unspecified",1798,339,"Clark, James"
81734,Harriott,London,Anomabu,Demerara,1799,350,"Clark, James"
81735,Harriott,London,"Gold Coast, port unspecified",Suriname,1804,260,"Clarke, James<br/> Sutherland"
81736,Harriott,London,Accra,Demerara,1805,273,"Sutherland, Stewart"
81737,Harriott,London,"Gold Coast, port unspecified",Demerara,1806,275,"Clark, James<br/> Duncan"
81738,Harriott,London,Accra,Demerara,1807,255,"Mitchelson<br/> Williamson, Jacob<br/> Clark"
81739,Harriott,Liverpool,"Lagos, Onim",Demerara,1806,240,"Woolrich, John<br/> Stewart, Peter"
81740,Harriott,Liverpool,Loango,Cayenne,1807,NA,"Irwin, James"
81741,Harriott,Liverpool,Ambriz,"Barbados, port unspecified",1799,313,"Lace, William"
81742,Abby,London,NA,NA,1797,NA,Webb
81743,Harriott,Liverpool,Sierra Leone estuary,"Bahamas, port unspecified",1801,NA,"Cusack, Matthew<br/> Gridler, James"
81744,Harriott,Liverpool,Gambia,"Trinidad, port unspecified",1802,206,"Flinn, John"
81745,Harriott,Liverpool,"Africa., port unspecified","Tortola, port unspecified",1803,186,"Everitt, Richard"
81746,Harriott,Liverpool,"West Central Africa and St. Helena, port unspecified","St. Lucia, port unspecified",1805,219,"Everett, Richard"
81753,Hawke,Liverpool,Cameroons River,"St. Lucia, port unspecified",1781,NA,"Smale, John"
81754,Hawke,Liverpool,NA,NA,1781,NA,"Smale, John"
81755,Hawke,Liverpool,"Africa., port unspecified","Barbados, port unspecified",1792,NA,"Grierson, Alexander"
81756,Hawke,Liverpool,Cape Mount (Cape Grand Mount),"St. Kitts, port unspecified",1793,239,"Grierson, Alexander<br/> Topping, Jesse"
81757,Hawke,London,Cape Mount (Cape Grand Mount),Demerara,1799,273,Brown<br/> Bowers
81758,Hawke,Liverpool,Whydah,Demerara,1802,196,"Quay, John"
81759,Hawke,NA,"Africa., port unspecified",St. Croix,1799,73,"Stott, Walter"
81760,Hazard,Liverpool,Cameroons,"Jamaica, port unspecified",1792,169,"Forrest, Archibald"
81761,Hazard,Liverpool,NA,NA,1792,NA,Rigby
