"","name","height","diameter","opened","closed","country","location","number_of_cabins","passengers_per_cabin","seating_capacity","hourly_capacity","ride_duration_minutes","climate_controlled","construction_cost","status","design_manufacturer","type","vip_area","ticket_cost_to_ride","official_website","turns"
"1","360 Pensacola Beach",200,NA,2012-07-03,2013-01-01,"USA","Pensacola Beach; Florida",42,6,252,1260,12,"Yes","Unknown","Moved","Realty Masters of FL","Transportable","Yes",NA,NA,4
"2","Amuran",303,199.8,2004-01-01,NA,"Japan","Kagoshima; Kyushu",36,NA,NA,NA,14.5,"Yes","Unknown","Operating",NA,NA,NA,NA,NA,1
"3","Asiatique Sky",200,200,2012-12-15,NA,"Tailand","Asiatique the Riverfront",42,NA,NA,NA,NA,"Yes","Unknown","Operating","Dutch Wheels (Vekoma)",NA,NA,NA,"http://www.asiatiquesky.com/",NA
"4","Aurora Wheel",295,272,NA,NA,"Japan","Nagashima Spa Land; Mie; Honshu",NA,NA,NA,NA,NA,NA,"Unknown","Operating",NA,"Fixed",NA,NA,"http://www.nagashima-onsen.co.jp/",NA
"5","Baghdad Eye",180,NA,2011-01-01,NA,"Iraq","Al-Zawraa Park; Baghdad",40,6,240,960,15,NA,"$6 million USD","Operating",NA,NA,NA,"3.5",NA,NA
"6","Beijing Great Wheel",692.64,642.7,NA,NA,"China","Chaoyang Park; Beijing",48,40,1920,5760,20,"yes","$290 million USD","Delayed","The Great Wheel Corporation","Fixed",NA,NA,NA,1
"7","Belfast Wheel",199.8,NA,2007-01-01,NA,"Ireland","Belfast",42,8,336,1550,13,"Yes","$13 million USD","Defunct","World Tourist Attractions","Transportable","Yes","Adults – 13; VIP – 110 & 140","http://www.belfastcity.gov.uk/cityhall/bigwheel.asp",1
"8","Big O",197,200,2006-01-01,NA,"Japan","Tokyo Dome City",NA,NA,NA,NA,15,"Yes","Unknown","Operating",NA,"Centerless",NA,"7.87","http://www.tokyo-dome.co.jp/e/attractions/",NA
"9","Brighton Wheel",160,148,2011-10-24,NA,"UK","Brighton; United Kingdom",36,8,288,1440,12,"Yes","$9 million USD","Operating","Paramount Attractions","Transportable","Yes",NA,"http://www.brightonwheel.com/",3
"10","Changsha Ferris Wheel",394,325,2004-10-01,NA,"China","Changsha; Hunan",48,8,384,1152,20,"Yes","Unknown","Operating",NA,"Fixed",NA,"8.15","http://changshahua.com/entertainment/outdoor-activities/changsha-ferris-wheel/",NA
"11","Chicago Wheel",264,75,1893-01-01,1906-01-01,"USA","Chicago; Illinois",36,20,720,2160,20,"No","Unknown","Defunct","George Ferris","Fixed",NA,NA,NA,NA
"12","Colossus",180,165,1984-01-01,NA,"USA","Six Flags St Louis; Eureka; Missouri",32,10,320,1280,15,"No","Unknown","Operating","Carousel Holland B.V.","Fixed","No","Included in Park Admission","http://www.sixflags.com/stLouis/rides/Colossus.aspx",NA
