year,process_size_nm,tdp_w,die_size_mm_2,transistors_million
2000,186,39.16129032258065,113.28260869565217,30.045454545454543
2001,147.53731343283582,54.41999999999999,118.62121212121212,57.18796992481204
2002,146.2037037037037,61.95744680851064,116.42156862745098,50.5377358490566
2003,136.64864864864865,62.010000000000005,144.0759493670886,79.84530386740329
2004,115.41353383458646,70.5,158.43965517241384,113.56573705179282
2005,100.34136546184739,76.77659574468086,159.90909090909085,147.67094017094018
2006,84.35606060606061,65.30136986301369,171.65217391304347,241.99156118143463
2007,77.2466960352423,62.12972972972973,160.8697674418605,282.75
2008,61.52631578947368,83.08988764044943,183.64122137404576,446.9613899613899
2009,49.155251141552505,73.16666666666666,181.2262443438914,572.2171945701358
2010,41.6896551724138,65.89752650176678,170.87152777777774,746.5
2011,36.47878787878787,75.03470031545737,200.67073170731706,1081.2624999999996
2012,30.69486404833836,71.16109422492401,190.4049079754601,1595.4839857651248
2013,27.381088825214903,82.94545454545452,196.41925465838509,1919.7886435331222
2014,26.125,82.5764705882353,191.80526315789473,2110.8729281767955
2015,24.197183098591548,84.61077844311379,199.97633136094674,2525.4875000000006
2016,21.69465648854962,111.19090909090909,231.91919191919192,4585.560747663551
2017,15.798165137614678,98.44444444444444,227.42580645161286,5459.148387096774
2018,13.793103448275861,95.40099009900987,274.4306569343067,7789.741935483871
2019,12.119402985074625,92.13636363636364,221.8506493506494,6204.722972972973
2020,10.235632183908047,97.47976878612715,286.41237113402053,12660.561797752813
2021,10.426573426573427,145.17391304347825,371.8,17785
NA,66.38888888888889,126.25757575757575,254.5,3983.3384615384616
