STATE,AWARD,RECIPIENT,NAME,SESSION,YEAR
AK,197232.93,109,Alaska Pacific University,1999-00,1999
AK,133147.99,69,Alaska Vocational Technical Center,1999-00,1999
AK,107287,72,Sheldon Jackson College,1999-00,1999
AK,3425148.83,1920,University of Alaska - Anchorage,1999-00,1999
AK,2441864,1256,University of Alaska at Fairbanks,1999-00,1999
AK,353170,221,University of Alaska at Southeast,1999-00,1999
AL,5520921.06,2369,Alabama Agricultural & Mechanical University,1999-00,1999
AL,1548659.16,837,Alabama Southern Community College,1999-00,1999
AL,7164037.27,3236,Alabama State University,1999-00,1999
AL,1514341,854,Athens State University,1999-00,1999
AL,5449457.98,2842,Auburn University,1999-00,1999
AL,3255469.98,1661,Auburn University Montgomergy,1999-00,1999
AL,1002263,732,Bessemer State Technical College,1999-00,1999
AL,3561322.95,1886,Bevill State Community College,1999-00,1999
AL,375648,196,Birmingham Southern College,1999-00,1999
AL,5351463.66,2958,Bishop State Community College,1999-00,1999
AL,3964228.8,2363,Calhoun State Community College,1999-00,1999
AL,1169319,836,Central Alabama Community College,1999-00,1999
AL,1717137,940,Chattahoochee Valley Community College,1999-00,1999
AL,996052.57,467,Concordia College,1999-00,1999
AL,694892,460,Douglas Macarthur State Technical College,1999-00,1999
AL,1356083.07,773,Enterprise State Junior College,1999-00,1999
AL,1878437.5,1063,Faulkner State Community College,1999-00,1999
AL,2365909.42,1260,Faulkner University,1999-00,1999
AL,2841651,1548,Gadsden State Community College,1999-00,1999
AL,2449372.74,1715,George C. Wallace Community College,1999-00,1999
AL,3292438.36,1693,George C. Wallace State Community College,1999-00,1999
AL,2046110.75,1091,George Corley Wallace State Community College,1999-00,1999
AL,929777.43,606,Harry m Ayers State Technical College,1999-00,1999
AL,319393,165,Huntingdon College,1999-00,1999
AL,179313,95,International Bible College,1999-00,1999
AL,617005.07,319,j f Drake State Technical College,1999-00,1999
AL,5249985.28,2566,Jacksonville State University,1999-00,1999
AL,1255618,733,Jefferson Davis Community College,1999-00,1999
AL,2021977,1200,Jefferson State Community College,1999-00,1999
AL,740757,502,John M. Patterson State Technical College,1999-00,1999
AL,223404.5,115,Judson College,1999-00,1999
AL,2827244,1306,Lawson State Community College,1999-00,1999
AL,653900.72,352,Lurleen B. Wallace State Junior College-,1999-00,1999
AL,95004,46,Marion Military Institute,1999-00,1999
AL,2732787,1316,Miles College,1999-00,1999
AL,1310464,765,Northeast Alabama Community College,1999-00,1999
AL,2958581.14,1644,Northwest-Shoals Community College,1999-00,1999
AL,1603133.33,712,Oakwood College,1999-00,1999
AL,775291,541,Reid State Technical College,1999-00,1999
AL,650205,350,Samford University,1999-00,1999
AL,3368400.43,1728,Shelton State Community College,1999-00,1999
AL,1145250,629,Snead State Community College,1999-00,1999
AL,151940,87,Southeastern Bible College,1999-00,1999
AL,92437,59,Southern Christian University,1999-00,1999
AL,110565,61,Southern Community College,1999-00,1999
AL,2513289.15,1492,Southern Union State Community College,1999-00,1999
AL,615279,316,Spring Hill College,1999-00,1999
AL,2652729,1141,Stillman College,1999-00,1999
AL,839359,325,Talladega College,1999-00,1999
AL,1088670,930,Trenholm State Technical College,1999-00,1999
AL,7216478.8,3911,Troy State University,1999-00,1999
AL,2888860.56,1312,Tuskegee University,1999-00,1999
AL,6877579.91,3275,University of Alabama,1999-00,1999
AL,5281365,2691,University of Alabama at Birmingham,1999-00,1999
AL,2396953.04,1215,University of Alabama at Huntsville,1999-00,1999
AL,1931437,981,University of Mobile,1999-00,1999
AL,1264068.77,636,University of Montevallo,1999-00,1999
AL,3188558,1597,University of North Alabama,1999-00,1999
AL,4932208.33,2644,University of South Alabama,1999-00,1999
AL,1703881.32,790,University of West Alabama,1999-00,1999
AR,222813,115,Arkansas Baptist College,1999-00,1999
AR,152137,91,Arkansas Career Training Institute,1999-00,1999
AR,9167101.53,4674,Arkansas State University,1999-00,1999
AR,3225985.42,1635,Arkansas Tech University,1999-00,1999
AR,630706.75,359,Arkansas Valley Technical Institute,1999-00,1999
AR,267773,180,Baptist Medical Center,1999-00,1999
AR,852853.96,471,Black River Technical College,1999-00,1999
AR,244517.98,122,Central Baptist College,1999-00,1999
AR,616292,323,Cossatot Technical College,1999-00,1999
AR,427807,222,Cotton Boll Technical Institute,1999-00,1999
AR,157002,92,Crowley's Ridge College,1999-00,1999
AR,240047.18,150,Crowley's Ridge Technical Institute,1999-00,1999
AR,220351,138,Delta Technical Institute,1999-00,1999
AR,1262871.8,669,East Arkansas Community College,1999-00,1999
AR,271623.56,154,Foothills Technical Institute,1999-00,1999
AR,89312.05,81,Forest Echoes Technical Institute,1999-00,1999
AR,1303507.31,795,Garland County Community College,1999-00,1999
AR,177798.88,111,Great Rivers Vocational Technical School,1999-00,1999
AR,2528744,1242,Harding University,1999-00,1999
AR,2759865.5,1367,Henderson State University,1999-00,1999
AR,466109,231,Hendrix College,1999-00,1999
AR,75082,48,Jefferson School of Nursing,1999-00,1999
AR,582805,354,John Brown University,1999-00,1999
AR,297868,146,Lyon College,1999-00,1999
AR,954904.24,552,Mid-South Community College,1999-00,1999
AR,1735804.9,934,Mississippi County Community College,1999-00,1999
AR,1583729,838,North Arkansas College,1999-00,1999
AR,762729.59,506,Northwest Arkansas Community College,1999-00,1999
AR,249331,161,Northwest Technical Institute,1999-00,1999
AR,719577.04,377,Ouachita Baptist University,1999-00,1999
AR,559112.17,349,Ouachita Technical College,1999-00,1999
AR,812239.21,416,Ozarka College,1999-00,1999
AR,1341225,737,Petit Jean College,1999-00,1999
AR,1379935.21,598,Philander Smith College,1999-00,1999
AR,1893772.15,954,Phillips Community College of the University of Arkansas,1999-00,1999
AR,3106680.88,1694,Pulaski Technical College,1999-00,1999
AR,218092,113,Quapaw Technical Institute,1999-00,1999
AR,604660,317,Rich Mountain Community College,1999-00,1999
AR,624243.44,355,South Arkansas Community College,1999-00,1999
AR,1341362.75,729,Southeast Arkansas College,1999-00,1999
AR,2423938.04,1136,Southern Arkansas University,1999-00,1999
AR,556879,271,Southern Arkansas University Tech,1999-00,1999
AR,6057051.4,2936,University of Arkansas,1999-00,1999
AR,5219682.19,2914,University of Arkansas at Little Rock,1999-00,1999
AR,2375700.63,1107,University of Arkansas at Monticello,1999-00,1999
AR,4586183.45,1974,University of Arkansas at Pine Bluff,1999-00,1999
AR,925433.63,510,University of Arkansas Community College at Batesville,1999-00,1999
AR,1151232,640,University of Arkansas Community College at Hope,1999-00,1999
AR,481290,225,University of Arkansas for Medical Sciences,1999-00,1999
AR,4889420.02,2552,University of Central Arkansas,1999-00,1999
AR,430732,215,University of the Ozarks,1999-00,1999
AR,2356565,1329,Westark College,1999-00,1999
AR,629374.92,306,Williams Baptist College,1999-00,1999
AS,1375079.97,699,American Samoa Community College,1999-00,1999
AZ,141144,69,American Indian College of the Assemblies of God,1999-00,1999
AZ,3996589,1999,Arizona Institute of Business and Technology,1999-00,1999
AZ,16454435.26,8590,Arizona State University,1999-00,1999
AZ,3750698.01,2239,Arizona Western College,1999-00,1999
AZ,1658338.63,931,Central Arizona College,1999-00,1999
