"season","episode","line","raw_text","stage_direction","dialogue","start_time","end_time"
1,1,1,"[crickets chirping]","[crickets chirping]","","00:00:07","00:00:09"
1,1,2,"[alarm blaring]","[alarm blaring]","","00:00:49","00:00:51"
1,1,3,"[panting]","[panting]","","00:00:52","00:00:54"
1,1,4,"[elevator descending]","[elevator descending]","","00:01:01","00:01:02"
1,1,5,"[elevator dings]","[elevator dings]","","00:01:09","00:01:10"
1,1,6,"[breathing heavily]","[breathing heavily]","","00:01:15","00:01:17"
1,1,7,"[low growling]","[low growling]","","00:01:28","00:01:31"
1,1,8,"[screaming]","[screaming]","","00:01:35","00:01:36"
1,1,9,"[Mike] Something is coming. Something hungry for blood.","[Mike]","Something is coming. Something hungry for blood.","00:01:44","00:01:48"
1,1,10,"A shadow grows on the wall behind you, swallowing you in darkness.","","A shadow grows on the wall behind you, swallowing you in darkness.","00:01:48","00:01:52"
1,1,11,"-It is almost here. -What is it?","","It is almost here. What is it?","00:01:52","00:01:54"
1,1,12,"What if it's the Demogorgon?","","What if it's the Demogorgon?","00:01:54","00:01:56"
1,1,13,"Oh, Jesus, we're so screwed if it's the Demogorgon.","","Oh, Jesus, we're so screwed if it's the Demogorgon.","00:01:56","00:01:59"
1,1,14,"It's not the Demogorgon.","","It's not the Demogorgon.","00:01:59","00:02:00"
1,1,15,"An army of troglodytes charge into the chamber!","","An army of troglodytes charge into the chamber!","00:02:00","00:02:02"
1,1,16,"-Troglodytes? -Told ya. [chuckling]","[chuckling]","Troglodytes? Told ya.","00:02:02","00:02:05"
1,1,17,"-[snorts] -[all chuckling]","[snorts] [all chuckling]"," ","00:02:05","00:02:06"
1,1,18,"[softly] Wait a minute.","[softly]","Wait a minute.","00:02:08","00:02:09"
1,1,19,"Did you hear that?","","Did you hear that?","00:02:10","00:02:12"
1,1,20,"That... that sound?","","That... that sound?","00:02:12","00:02:14"
1,1,21,"Boom... boom...","","Boom... boom...","00:02:14","00:02:16"
1,1,22,"-[yells] Boom! -[slams table]","[yells] [slams table]","Boom! ","00:02:16","00:02:18"
1,1,23,"That didn't come from the troglodytes. No, that...","","That didn't come from the troglodytes. No, that...","00:02:18","00:02:20"
1,1,24,"That came from something else.","","That came from something else.","00:02:20","00:02:22"
1,1,25,"-The Demogorgon! -[all groaning]","[all groaning]","The Demogorgon! ","00:02:24","00:02:26"
1,1,26,"-We're in deep shit. -Will, your action!","","We're in deep shit. Will, your action!","00:02:26","00:02:28"
1,1,27,"-I don't know! -Fireball him!","","I don't know! Fireball him!","00:02:28","00:02:29"
1,1,28,"I'd have to roll a 13 or higher!","","I'd have to roll a 13 or higher!","00:02:29","00:02:31"
1,1,29,"Too risky. Cast a protection spell.","","Too risky. Cast a protection spell.","00:02:31","00:02:33"
1,1,30,"-Don't be a pussy. Fireball him! -Cast Protection.","","Don't be a pussy. Fireball him! Cast Protection.","00:02:33","00:02:35"
1,1,31,"The Demogorgon is tired of your silly human bickering!","","The Demogorgon is tired of your silly human bickering!","00:02:35","00:02:38"
1,1,32,"It stomps towards you.","","It stomps towards you.","00:02:38","00:02:40"
1,1,33,"-Boom! -Fireball him!","","Boom! Fireball him!","00:02:40","00:02:41"
1,1,34,"-Another stomp, boom! -Cast Protection.","","Another stomp, boom! Cast Protection.","00:02:41","00:02:43"
1,1,35,"-He roars in anger! -[all clamoring]","[all clamoring]","He roars in anger! ","00:02:43","00:02:46"
1,1,36,"-Fireball! -[die clattering]","[die clattering]","Fireball! ","00:02:46","00:02:48"
1,1,37,"-Oh, shit! -[Lucas] Where'd it go?","[Lucas]","Oh, shit! Where'd it go?","00:02:48","00:02:50"
1,1,38,"[Lucas] Where is it? [Will] I don't know!","[Lucas] [Will]","Where is it? I don't know!","00:02:50","00:02:51"
1,1,39,"-Is it a 13? -[Will] I don't know!","[Will]","Is it a 13? I don't know!","00:02:51","00:02:53"
1,1,40,"[Lucas] Where is it? [Dustin] Oh, my God!","[Lucas] [Dustin]","Where is it? Oh, my God!","00:02:53","00:02:54"
1,1,41,"[Karen] Mike! [Dustin] Oh, my God! Oh, my God!","[Karen] [Dustin]","Mike! Oh, my God! Oh, my God!","00:02:54","00:02:56"
1,1,42,"[Karen] Mike! [Lucas] Can you find it yet?","[Karen] [Lucas]","Mike! Can you find it yet?","00:02:56","00:02:57"
1,1,43,"[Will] No, I can't find it!","[Will]","No, I can't find it!","00:02:57","00:02:58"
1,1,44,"-Mike! -[Dustin] Oh, my God! Oh, my God!","[Dustin]","Mike! Oh, my God! Oh, my God!","00:02:58","00:03:00"
1,1,45,"Mom, we're in the middle of a campaign!","","Mom, we're in the middle of a campaign!","00:03:00","00:03:02"
1,1,46,"You mean the end? Fifteen after.","","You mean the end? Fifteen after.","00:03:02","00:03:04"
1,1,47,"[Lucas] Oh, my God! Freaking idiot! [Will] Why do we have to go?","[Lucas] [Will]","Oh, my God! Freaking idiot! Why do we have to go?","00:03:04","00:03:07"
1,1,48,"-Mom, wait, just 20 more minutes! -It's a school night, Michael.","","Mom, wait, just 20 more minutes! It's a school night, Michael.","00:03:07","00:03:10"
1,1,49,"I just put Holly to bed. You can finish next weekend.","","I just put Holly to bed. You can finish next weekend.","00:03:10","00:03:13"
1,1,50,"-But that'll ruin the flow! -Michael--","","But that'll ruin the flow! Michael","00:03:13","00:03:14"
1,1,51,"I'm serious, Mom.","","I'm serious, Mom.","00:03:14","00:03:16"
1,1,52,"The campaign took two weeks to plan.","","The campaign took two weeks to plan.","00:03:16","00:03:18"
1,1,53,"How was I supposed to know it was gonna take ten hours?","","How was I supposed to know it was gonna take ten hours?","00:03:18","00:03:20"
1,1,54,"You've been playing for ten hours?","","You've been playing for ten hours?","00:03:20","00:03:22"
1,1,55,"-Dad, don't you think that 20 more-- -I think you should listen to your mother.","","Dad, don't you think that 20 more I think you should listen to your mother.","00:03:23","00:03:27"
1,1,56,"-[static crackling on TV] -[grunts] Dang dumb piece of junk.","[static crackling on TV] [grunts]"," Dang dumb piece of junk.","00:03:27","00:03:31"
1,1,57,"[Will] Oh, I got it!","[Will]","Oh, I got it!","00:03:32","00:03:34"
1,1,58,"-Does the seven count? -It was a seven?","","Does the seven count? It was a seven?","00:03:34","00:03:36"
1,1,59,"Did Mike see it? Then it doesn't count.","","Did Mike see it? Then it doesn't count.","00:03:36","00:03:39"
1,1,60,"[Dustin] Yo, hey, guys.","[Dustin]","Yo, hey, guys.","00:03:44","00:03:45"
1,1,61,"-Does anyone want this? -[both] No.","[both]","Does anyone want this? No.","00:03:45","00:03:47"
1,1,62,"[Nancy] Yeah.","[Nancy]","Yeah.","00:03:50","00:03:51"
1,1,63,"No, I don't think...","","No, I don't think...","00:03:52","00:03:54"
1,1,64,"Yeah, he's cute.","","Yeah, he's cute.","00:03:55","00:03:56"
1,1,65,"Barb, no, I don't think so.","","Barb, no, I don't think so.","00:03:57","00:04:00"
1,1,66,"-Barb, you're not-- -Hey, Nancy.","","Barb, you're not Hey, Nancy.","00:04:00","00:04:01"
1,1,67,"There's a slice left if you want it.","","There's a slice left if you want it.","00:04:02","00:04:04"
1,1,68,"-Sausage and pepperoni! -Hold on.","","Sausage and pepperoni! Hold on.","00:04:04","00:04:06"
1,1,69,"-There's something wrong with your sister. -What are you talking about?","","There's something wrong with your sister. What are you talking about?","00:04:13","00:04:17"
1,1,70,"-She's got a stick up her butt. -[Lucas] Yeah.","[Lucas]","She's got a stick up her butt. Yeah.","00:04:17","00:04:19"
1,1,71,"It's because she's been dating that douchebag, Steve Harrington.","","It's because she's been dating that douchebag, Steve Harrington.","00:04:19","00:04:21"
1,1,72,"[Dustin] Yeah, she's turning into a real jerk.","[Dustin]","Yeah, she's turning into a real jerk.","00:04:21","00:04:23"
1,1,73,"She's always been a real jerk.","","She's always been a real jerk.","00:04:23","00:04:25"
1,1,74,"Nuh-uh, she used to be cool.","","Nuhuh, she used to be cool.","00:04:25","00:04:27"
1,1,75,"Like that time she dressed up as an elf for our Elder tree campaign.","","Like that time she dressed up as an elf for our Elder tree campaign.","00:04:27","00:04:29"
1,1,76,"[Mike] Four years ago!","[Mike]","Four years ago!","00:04:29","00:04:30"
1,1,77,"[Dustin] Just saying. [Lucas] Later.","[Dustin] [Lucas]","Just saying. Later.","00:04:30","00:04:32"
1,1,78,"-It was a seven. -Huh?","","It was a seven. Huh?","00:04:33","00:04:35"
1,1,79,"The roll, it was a seven.","","The roll, it was a seven.","00:04:36","00:04:37"
1,1,80,"The Demogorgon, it got me.","","The Demogorgon, it got me.","00:04:38","00:04:41"
