call_sign,frequency,city,licensee,format,state
KGDH-LP,104.5 FM,Mobile,Mobile Hispanic Education Family Fundation,Spanish religious,Alabama
KRLE,89.7 FM,Carbon Hill,Educational Media Foundation,Contemporary Christian (K-Love),Alabama
WAAO-FM,93.7 FM,Andalusia,"Three Notch Communications, LLC",Country,Alabama
WAAX,570 AM,Gadsden,"iHM Licenses, LLC",News/Talk,Alabama
WABD,97.5 FM,Mobile,Cumulus Licensing LLC,Top 40 (CHR),Alabama
WABF,1480 AM,Mobile,Eternity Media Group WABF,Adult standards,Alabama
WACQ,580 AM,Tuskegee,"Tiger Communications, Inc.",Classic hits,Alabama
WACT,1420 AM,Tuscaloosa,"iHM Licenses, LLC",Adult contemporary,Alabama
WACV,93.1 FM,Coosada,"Liberty Acquisitions 825, LLC",News/Talk,Alabama
WAFN,1310 AM,Priceville,"Fun Media Group of North Alabama, LLC",Classic hits,Alabama
WAFN-FM,92.7 FM,Arab,"Fun Media Group, Inc.",Classic hits,Alabama
WAGF-FM,101.3 FM,Dothan,"Wilson Broadcasting Co., Inc.","R&B, Motown oldies, blues, gospel music, and sports",Alabama
WAGG,610 AM,Birmingham,"SM-WAGG, LLC",Urban gospel,Alabama
WAGH,101.3 FM,Smiths,"iHM Licenses, LLC",Urban adult contemporary,Alabama
WAHR,99.1 FM,Huntsville,"Southern Stone Communications, LLC",Adult contemporary,Alabama
WAJF-LP,107.9 FM,Decatur,Taxpayers Defense Fund,Variety,Alabama
WAJH,91.1 FM,Birmingham,"The Jazz Hall of Fame of Alabama, Inc.",Smooth jazz,Alabama
WAKD,89.9 FM,Sheffield,American Family Association,Religious talk (AFR),Alabama
WALJ,105.1 FM,Northport,"Townsquare Media Tuscaloosa License, LLC",Mainstream urban,Alabama
WALN,89.3 FM,Carrollton,American Family Association,Inspirational (AFR),Alabama
WALQ,1130 AM,Carrville,"Augustus Foundation, Inc.",Silent,Alabama
WALW-LP,97.9 FM,Moulton,"Community Information And Education Radio, Inc.",Classic hits,Alabama
WALX,100.9 FM,Orrville,"Scott Communications, Inc.",Classic hits,Alabama
WAMI,890 AM,Opp,Christopher W. Johnson,Silent,Alabama
WAMI-FM,102.3 FM,Opp,Covington Media LLC,Classic country,Alabama
WANI,1400 AM,Opelika,"Auburn Network, Inc.",News/Talk,Alabama
WAPI,1070 AM,Birmingham,"Radio License Holding CBC, LLC",News/Talk (WZRR),Alabama
WAPR,88.3 FM,Selma,Ua-Asu-Tsu Educational Radio Corp.,Public radio,Alabama
WARB,700 AM,Dothan,"Alarado Media, LLC",Urban contemporary,Alabama
WAQU,91.1 FM,Selma,American Family Association,Religious talk (AFR),Alabama
WASG,540 AM,Daphne,Alabama Radio Corporation,Urban gospel,Alabama
WATV,900 AM,Birmingham,"Courtney French Broadcasting, LLC",Urban adult contemporary,Alabama
WAUD,1230 AM,Auburn,"Tiger Communications, Inc.",Sports,Alabama
WAUE,100.3 FM,Waverly,"Marble City Media, LLC",Adult contemporary,Alabama
WAUF-LP,97.3 FM,Auburn,"Core Radio Ministry, Inc.",Contemporary Christian,Alabama
WAVH,106.5 FM,Daphne,"Bigler Broadcasting, LLC",Talk,Alabama
WAVU,630 AM,Albertville,"Sand Mountain Broadcasting Service, Inc.",Contemporary Christian,Alabama
WAXU,91.1 FM,Troy,American Family Association,Religious talk (AFR),Alabama
WAYE,1220 AM,Birmingham,"Rivera Communications, LLC",Regional Mexican,Alabama
WAYH,88.1 FM,Harvest,"Way Media, Inc.",Contemporary Christian,Alabama
WAYU,91.1 FM,Steele,"Way Media, Inc.",Contemporary Christian,Alabama
WBAM-FM,98.9 FM,Montgomery,Bluewater Broadcasting Company LLC,Country,Alabama
WBCF,1240 AM,Florence,"Benny Carle Broadcasting, Inc.",News/Talk,Alabama
WBFA,98.3 FM,Fort Mitchell,"RCG Media, LLC",Urban contemporary,Alabama
WBFR,89.5 FM,Birmingham,"Family Stations, Inc.",Religious (Family Radio),Alabama
WBFZ,105.3 FM,Selma,"Imani Communications Corporation, Inc","Urban contemporary, Gospel",Alabama
WBHJ,95.7 FM,Midfield,"SM-WBHJ, LLC",Mainstream urban/Rhythmic contemporary,Alabama
WBHK,98.7 FM,Warrior,"SM-WBHK, LLC",Urban adult contemporary,Alabama
WBHM,90.3 FM,Birmingham,BD of Trustees/U of AL at Birmingham,Public radio; News Talk Information,Alabama
WBHP,1230 AM,Huntsville,"iHM Licenses, LLC",Talk,Alabama
WBHY,840 AM,Mobile,"Goforth Media, Inc.",Christian Talk,Alabama
WBHY-FM,88.5 FM,Mobile,"Goforth Media, Inc.",Contemporary Christian,Alabama
WBIB,1110 AM,Centreville,James Deloach,Southern gospel,Alabama
WBLX-FM,92.9 FM,Mobile,Cumulus Licensing LLC,Mainstream urban,Alabama
WBMH,106.1 FM,Grove Hill,"Pine City Radio, LLC",Classic country,Alabama
WBNB,91.3 FM,Equality,The Power Foundation,Southern gospel (The Life FM),Alabama
WBPT,106.9 FM,Homewood,"SM-WBPT, LLC",Classic rock,Alabama
