call_sign,facility_id,service,licensee,status,details
DDKDND,65483,FM,"ENTERCOM LICENSE, LLC",LICENSE CANCELLED,Click for Details
DWVXM,174747,FM,VERMONT PUBLIC RADIO,LICENSE CANCELLED,Click for Details
KAAZ-FM,63536,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KABQ-FM,39265,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KABU,15265,FM,"DAKOTA CIRCLE TIPI, INC.",LICENSED,Click for Details
KAFE,58886,FM,"SAGA BROADCASTING, LLC",LICENSED,Click for Details
KAGU,24560,FM,GONZAGA UNIVERSITY TELECOMMUNICATIONS ASSOCIATION,LICENSED,Click for Details
KAJA,11919,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KAKT,17573,FM,"SMG-MEDFORD, LLC",LICENSED,Click for Details
KALA,62090,FM,ST. AMBROSE COLLEGE,LICENSED,Click for Details
KALC,59601,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KALD,91682,FM,"HOUSTON CHRISTIAN BROADCASTERS, INC.",LICENSED,Click for Details
KALV-FM,63913,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KALW,58830,FM,SAN FRANCISCO UNIFIED SCHOOL DISTRICT,LICENSED,Click for Details
KALZ,2097,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KAMU-FM,65303,FM,TEXAS A & M UNIVERSITY,LICENSED,Click for Details
KANH,90457,FM,UNIVERSITY OF KANSAS,LICENSED,Click for Details
KANU,69350,FM,UNIVERSITY OF KANSAS,LICENSED,Click for Details
KANV,92667,FM,THE UNIVERSITY OF KANSAS,LICENSED,Click for Details
KANW,4273,FM,"BOARD OF EDUCATION OF THE CITY OF ALBUQUERQUE, NM",LICENSED,Click for Details
KANZ,33372,FM,"KANZA SOCIETY, INC.",LICENSED,Click for Details
KAOS,65611,FM,THE EVERGREEN STATE COLLEGE,LICENSED,Click for Details
KARJ,49206,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KARW,15197,FM,"PRUNEDALE EDUCATIONAL FOUNDATION FOR CENTRAL CALIFORNIA, INC",LICENSED,Click for Details
KASE-FM,35849,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KATC-FM,66249,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
KATJ-FM,29224,FM,EDB VV LICENSE LLC,LICENSED,Click for Details
KATM,11239,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
KATT-FM,8797,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
KATZ-FM,48958,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KAZR,28882,FM,"SAGA COMMUNICATIONS OF IOWA, LLC",LICENSED,Click for Details
KAZU,43591,FM,UNIVERSITY CORPORATION AT MONTEREY BAY,LICENSED,Click for Details
KBAQ,40096,FM,MARICOPA CO COMM COLL DIST/AZ STATE UNIV,LICENSED,Click for Details
KBBG,597,FM,"AFRO AMERICAN COMMUNITY BROADCASTING, INC.",LICENSED,Click for Details
KBBK,35063,FM,"NRG LICENSE SUB, LLC",LICENSED,Click for Details
KBBT,3075,FM,"UNIVISION RADIO STATIONS GROUP, INC.",LICENSED,Click for Details
KBCO,48966,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KBCS,4627,FM,BELLEVUE COLLEGE,LICENSED,Click for Details
KBDB-FM,28208,FM,"FORKS BROADCASTING, INC.",LICENSED,Click for Details
KBEB,10146,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KBER,10779,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
KBFB,9627,FM,"RADIO ONE LICENSES, LLC",LICENSED,Click for Details
KBFC,22053,FM,"FORREST CITY BROADCASTING CO., INC.",LICENSED,Click for Details
KBFM,40777,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KBGO,33724,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KBGZ,166019,FM,Ruby Radio Corporation,LICENSED,Click for Details
KBHE-FM,58327,FM,SOUTH DAKOTA BOARD OF DIRECTORS FOR ED. TELECOMMUNICATIONS,LICENSED,Click for Details
KBHT,21494,FM,"M&M BROADCASTERS, LTD.",LICENSED,Click for Details
KBIA,69180,FM,THE CURATORS OF THE UNIVERSITY OF MISSOURI,LICENSED,Click for Details
KBIG,6360,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KBKS-FM,27020,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KBLQ-FM,63832,FM,"SUN VALLEY RADIO, INCORPORATED",LICENSED,Click for Details
KBLX-FM,28670,FM,BONNEVILLE INTERNATIONAL CORPORATION,LICENSED,Click for Details
KBMC,43572,FM,MONTANA STATE UNIVERSITY - BILLINGS,LICENSED,Click for Details
KBOO,65755,FM,THE KBOO FOUNDATION,LICENSED,Click for Details
KBOS-FM,9748,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KBPA,41213,FM,"WATERLOO MEDIA GROUP, L.P.",LICENSED,Click for Details
KBPI,68976,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KBPL,40848,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KBQI,4706,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KBRW-FM,60382,FM,"SILAKKUAGVIK COMMUNICATIONS, INC.",LICENSED,Click for Details
KBRX-FM,55077,FM,"RANCHLAND BROADCASTING CO., INC.",LICENSED,Click for Details
KBSA,4217,FM,"BD SUPERVISORS, LOUISIANA STATE UNIVERSITY & A&M COLLEGE",LICENSED,Click for Details
KBSS,87408,FM,IDAHO STATE BOARD OF EDUCATION,LICENSED,Click for Details
KBSU-FM,6325,FM,IDAHO STATE BOARD OF EDUCATION,LICENSED,Click for Details
