measure,client,date,percent,timestamp
a11yColorContrast,desktop,2022_10_01,23.76,1664582400000
a11yColorContrast,mobile,2022_10_01,23.58,1664582400000
a11yColorContrast,desktop,2022_09_01,23.41,1661990400000
a11yColorContrast,mobile,2022_09_01,23.52,1661990400000
a11yColorContrast,desktop,2022_08_01,23.41,1659312000000
a11yColorContrast,mobile,2022_08_01,23.48,1659312000000
a11yColorContrast,desktop,2022_07_01,22.36,1656633600000
a11yColorContrast,mobile,2022_07_01,22.51,1656633600000
a11yColorContrast,desktop,2022_06_09,21.54,1654732800000
a11yColorContrast,mobile,2022_06_09,22.24,1654732800000
a11yColorContrast,desktop,2022_06_01,22.28,1654041600000
a11yColorContrast,mobile,2022_06_01,22.48,1654041600000
a11yColorContrast,desktop,2022_05_01,22.2,1651363200000
a11yColorContrast,mobile,2022_05_01,22.4,1651363200000
a11yColorContrast,mobile,2022_04_01,21.46,1648771200000
a11yColorContrast,mobile,2022_03_01,21.45,1646092800000
a11yColorContrast,mobile,2022_02_01,21.4,1643673600000
a11yColorContrast,mobile,2022_01_01,21.14,1640995200000
a11yColorContrast,mobile,2021_12_01,21.66,1638316800000
a11yColorContrast,mobile,2021_11_01,21.87,1635724800000
a11yColorContrast,mobile,2021_10_01,22.0,1633046400000
a11yColorContrast,mobile,2021_09_01,22.0,1630454400000
a11yColorContrast,mobile,2021_08_01,21.83,1627776000000
a11yColorContrast,mobile,2021_07_01,21.69,1625097600000
a11yColorContrast,mobile,2021_06_01,21.49,1622505600000
a11yColorContrast,mobile,2021_05_01,21.53,1619827200000
a11yColorContrast,mobile,2021_04_01,21.37,1617235200000
a11yColorContrast,mobile,2021_03_01,21.21,1614556800000
a11yColorContrast,mobile,2021_02_01,21.26,1612137600000
a11yColorContrast,mobile,2021_01_01,21.32,1609459200000
a11yColorContrast,mobile,2020_12_01,20.41,1606780800000
a11yColorContrast,mobile,2020_11_01,20.5,1604188800000
a11yColorContrast,mobile,2020_10_01,20.5,1601510400000
a11yColorContrast,mobile,2020_09_01,20.59,1598918400000
a11yColorContrast,mobile,2020_08_01,20.46,1596240000000
a11yColorContrast,mobile,2020_07_01,20.38,1593561600000
a11yColorContrast,mobile,2020_06_01,20.1,1590969600000
a11yColorContrast,mobile,2020_05_01,21.27,1588291200000
a11yColorContrast,mobile,2020_04_01,21.65,1585699200000
a11yColorContrast,mobile,2020_03_01,21.27,1583020800000
a11yColorContrast,mobile,2020_02_01,21.37,1580515200000
a11yColorContrast,mobile,2020_01_01,22.24,1577836800000
a11yColorContrast,mobile,2019_12_01,22.25,1575158400000
a11yColorContrast,mobile,2019_11_01,22.41,1572566400000
a11yColorContrast,mobile,2019_10_01,21.79,1569888000000
a11yColorContrast,mobile,2019_09_01,21.56,1567296000000
a11yColorContrast,mobile,2019_08_01,21.46,1564617600000
a11yColorContrast,mobile,2019_07_01,21.45,1561939200000
a11yColorContrast,mobile,2019_06_01,21.64,1559347200000
a11yColorContrast,mobile,2019_05_01,22.07,1556668800000
a11yColorContrast,mobile,2019_04_01,22.96,1554076800000
a11yColorContrast,mobile,2019_03_01,23.01,1551398400000
a11yColorContrast,mobile,2019_02_01,22.9,1548979200000
a11yColorContrast,mobile,2019_01_01,22.36,1546300800000
a11yColorContrast,mobile,2018_12_15,21.95,1544832000000
a11yColorContrast,mobile,2018_12_01,21.93,1543622400000
a11yColorContrast,mobile,2018_11_15,21.97,1542240000000
a11yColorContrast,mobile,2018_11_01,21.84,1541030400000
a11yColorContrast,mobile,2018_10_15,21.81,1539561600000
a11yColorContrast,mobile,2018_10_01,21.83,1538352000000
a11yColorContrast,mobile,2018_09_15,21.85,1536969600000
a11yColorContrast,mobile,2018_09_01,21.92,1535760000000
a11yColorContrast,mobile,2018_08_15,22.22,1534291200000
a11yColorContrast,mobile,2018_08_01,22.05,1533081600000
a11yColorContrast,mobile,2018_07_15,21.97,1531612800000
a11yColorContrast,mobile,2018_07_01,20.55,1530403200000
a11yColorContrast,mobile,2018_05_15,20.91,1526342400000
a11yColorContrast,mobile,2018_05_01,20.91,1525132800000
a11yColorContrast,mobile,2018_04_15,20.82,1523750400000
a11yColorContrast,mobile,2018_04_01,20.72,1522540800000
a11yColorContrast,mobile,2018_03_15,20.74,1521072000000
a11yColorContrast,mobile,2018_03_01,20.64,1519862400000
a11yColorContrast,mobile,2018_02_15,20.75,1518652800000
a11yColorContrast,mobile,2018_02_01,21.11,1517443200000
a11yColorContrast,mobile,2018_01_15,20.72,1515974400000
a11yColorContrast,mobile,2018_01_01,20.97,1514764800000
a11yColorContrast,mobile,2017_12_15,21.21,1513296000000
a11yColorContrast,mobile,2017_12_01,21.53,1512086400000
a11yColorContrast,mobile,2017_11_15,21.87,1510704000000
a11yColorContrast,mobile,2017_11_01,23.92,1509494400000
a11yColorContrast,mobile,2017_10_15,23.98,1508025600000
a11yColorContrast,mobile,2017_10_01,24.81,1506816000000
a11yColorContrast,mobile,2017_09_15,26.79,1505433600000
a11yColorContrast,mobile,2017_09_01,26.63,1504224000000
a11yColorContrast,mobile,2017_08_15,26.39,1502755200000
a11yColorContrast,mobile,2017_08_01,26.36,1501545600000
a11yColorContrast,mobile,2017_07_15,26.35,1500076800000
a11yColorContrast,mobile,2017_07_01,26.74,1498867200000
a11yColorContrast,mobile,2017_06_15,27.23,1497484800000
a11yColorContrast,mobile,2017_06_01,27.59,1496275200000
