measure,client,date,percent,timestamp
a11yImageAlt,desktop,2022_10_01,56.2,1664582400000
a11yImageAlt,mobile,2022_10_01,56.9,1664582400000
a11yImageAlt,desktop,2022_09_01,56.2,1661990400000
a11yImageAlt,mobile,2022_09_01,56.86,1661990400000
a11yImageAlt,desktop,2022_08_01,56.07,1659312000000
a11yImageAlt,mobile,2022_08_01,56.83,1659312000000
a11yImageAlt,desktop,2022_07_01,55.78,1656633600000
a11yImageAlt,mobile,2022_07_01,56.89,1656633600000
a11yImageAlt,desktop,2022_06_09,55.86,1654732800000
a11yImageAlt,mobile,2022_06_09,56.89,1654732800000
a11yImageAlt,desktop,2022_06_01,54.28,1654041600000
a11yImageAlt,mobile,2022_06_01,55.22,1654041600000
a11yImageAlt,desktop,2022_05_01,54.83,1651363200000
a11yImageAlt,mobile,2022_05_01,56.24,1651363200000
a11yImageAlt,mobile,2022_04_01,56.13,1648771200000
a11yImageAlt,mobile,2022_03_01,55.9,1646092800000
a11yImageAlt,mobile,2022_02_01,55.32,1643673600000
a11yImageAlt,mobile,2022_01_01,54.76,1640995200000
a11yImageAlt,mobile,2021_12_01,54.48,1638316800000
a11yImageAlt,mobile,2021_11_01,54.47,1635724800000
a11yImageAlt,mobile,2021_10_01,54.63,1633046400000
a11yImageAlt,mobile,2021_09_01,54.61,1630454400000
a11yImageAlt,mobile,2021_08_01,54.35,1627776000000
a11yImageAlt,mobile,2021_07_01,54.22,1625097600000
a11yImageAlt,mobile,2021_06_01,53.89,1622505600000
a11yImageAlt,mobile,2021_05_01,53.89,1619827200000
a11yImageAlt,mobile,2021_04_01,53.5,1617235200000
a11yImageAlt,mobile,2021_03_01,53.26,1614556800000
a11yImageAlt,mobile,2021_02_01,52.75,1612137600000
a11yImageAlt,mobile,2021_01_01,52.59,1609459200000
a11yImageAlt,mobile,2020_12_01,52.15,1606780800000
a11yImageAlt,mobile,2020_11_01,51.16,1604188800000
a11yImageAlt,mobile,2020_10_01,51.45,1601510400000
a11yImageAlt,mobile,2020_09_01,51.44,1598918400000
a11yImageAlt,mobile,2020_08_01,50.94,1596240000000
a11yImageAlt,mobile,2020_07_01,50.92,1593561600000
a11yImageAlt,mobile,2020_06_01,50.24,1590969600000
a11yImageAlt,mobile,2020_05_01,49.6,1588291200000
a11yImageAlt,mobile,2020_04_01,49.51,1585699200000
a11yImageAlt,mobile,2020_03_01,49.61,1583020800000
a11yImageAlt,mobile,2020_02_01,48.86,1580515200000
a11yImageAlt,mobile,2020_01_01,47.37,1577836800000
a11yImageAlt,mobile,2019_12_01,47.37,1575158400000
a11yImageAlt,mobile,2019_11_01,47.48,1572566400000
a11yImageAlt,mobile,2019_10_01,47.23,1569888000000
a11yImageAlt,mobile,2019_09_01,46.63,1567296000000
a11yImageAlt,mobile,2019_08_01,46.4,1564617600000
a11yImageAlt,mobile,2019_07_01,46.71,1561939200000
a11yImageAlt,mobile,2019_06_01,46.21,1559347200000
a11yImageAlt,mobile,2019_05_01,46.85,1556668800000
a11yImageAlt,mobile,2019_04_01,46.8,1554076800000
a11yImageAlt,mobile,2019_03_01,46.28,1551398400000
a11yImageAlt,mobile,2019_02_01,45.93,1548979200000
a11yImageAlt,mobile,2019_01_01,45.59,1546300800000
a11yImageAlt,mobile,2018_12_15,42.24,1544832000000
a11yImageAlt,mobile,2018_12_01,42.21,1543622400000
a11yImageAlt,mobile,2018_11_15,42.05,1542240000000
a11yImageAlt,mobile,2018_11_01,41.99,1541030400000
a11yImageAlt,mobile,2018_10_15,42.22,1539561600000
a11yImageAlt,mobile,2018_10_01,42.32,1538352000000
a11yImageAlt,mobile,2018_09_15,42.27,1536969600000
a11yImageAlt,mobile,2018_09_01,42.31,1535760000000
a11yImageAlt,mobile,2018_08_15,42.34,1534291200000
a11yImageAlt,mobile,2018_08_01,42.53,1533081600000
a11yImageAlt,mobile,2018_07_15,42.41,1531612800000
a11yImageAlt,mobile,2018_07_01,41.69,1530403200000
a11yImageAlt,mobile,2018_05_15,41.14,1526342400000
a11yImageAlt,mobile,2018_05_01,41.15,1525132800000
a11yImageAlt,mobile,2018_04_15,40.97,1523750400000
a11yImageAlt,mobile,2018_04_01,40.85,1522540800000
a11yImageAlt,mobile,2018_03_15,40.71,1521072000000
a11yImageAlt,mobile,2018_03_01,40.59,1519862400000
a11yImageAlt,mobile,2018_02_15,40.53,1518652800000
a11yImageAlt,mobile,2018_02_01,40.54,1517443200000
a11yImageAlt,mobile,2018_01_15,40.38,1515974400000
a11yImageAlt,mobile,2018_01_01,47.48,1514764800000
a11yImageAlt,mobile,2017_12_15,47.34,1513296000000
a11yImageAlt,mobile,2017_12_01,48.77,1512086400000
a11yImageAlt,mobile,2017_11_15,48.42,1510704000000
a11yImageAlt,mobile,2017_11_01,49.47,1509494400000
a11yImageAlt,mobile,2017_10_15,49.44,1508025600000
a11yImageAlt,mobile,2017_10_01,49.27,1506816000000
a11yImageAlt,mobile,2017_09_15,49.14,1505433600000
a11yImageAlt,mobile,2017_09_01,49.1,1504224000000
a11yImageAlt,mobile,2017_08_15,49.07,1502755200000
a11yImageAlt,mobile,2017_08_01,49.13,1501545600000
a11yImageAlt,mobile,2017_07_15,49.03,1500076800000
a11yImageAlt,mobile,2017_07_01,49.21,1498867200000
a11yImageAlt,mobile,2017_06_15,49.05,1497484800000
a11yImageAlt,mobile,2017_06_01,49.51,1496275200000
