measure,client,date,p10,p25,p50,p75,p90,timestamp
speedIndex,desktop,2022_10_01,1.59,2.42,3.88,6.45,10.52,1664582400000
speedIndex,mobile,2022_10_01,2.92,4.03,5.87,8.85,13.32,1664582400000
speedIndex,desktop,2022_09_01,1.61,2.45,3.91,6.5,10.57,1661990400000
speedIndex,mobile,2022_09_01,2.92,4.04,5.88,8.86,13.33,1661990400000
speedIndex,desktop,2022_08_01,1.62,2.48,3.96,6.56,10.65,1659312000000
speedIndex,mobile,2022_08_01,2.98,4.16,6.12,9.37,14.18,1659312000000
speedIndex,desktop,2022_07_01,1.65,2.5,3.97,6.56,10.64,1656633600000
speedIndex,mobile,2022_07_01,3.0,4.17,6.11,9.32,14.05,1656633600000
speedIndex,desktop,2022_06_09,1.57,2.3,3.53,5.62,9.0,1654732800000
speedIndex,mobile,2022_06_09,2.9,3.95,5.63,8.37,12.53,1654732800000
speedIndex,desktop,2022_06_01,1.61,2.44,3.9,6.46,10.53,1654041600000
speedIndex,mobile,2022_06_01,2.95,4.1,6.0,9.16,13.81,1654041600000
speedIndex,desktop,2022_05_01,1.58,2.4,3.86,6.39,10.43,1651363200000
speedIndex,mobile,2022_05_01,2.94,4.08,5.96,9.06,13.64,1651363200000
speedIndex,desktop,2022_04_01,1.5,2.3,3.69,6.12,10.03,1648771200000
speedIndex,mobile,2022_04_01,4.31,6.02,9.13,15.22,25.05,1648771200000
speedIndex,desktop,2022_03_01,1.51,2.3,3.66,6.02,9.82,1646092800000
speedIndex,mobile,2022_03_01,4.3,5.98,9.08,14.98,24.55,1646092800000
speedIndex,desktop,2022_02_01,1.51,2.3,3.66,6.02,9.84,1643673600000
speedIndex,mobile,2022_02_01,4.35,6.06,9.14,15.04,24.56,1643673600000
speedIndex,desktop,2022_01_01,1.6,2.41,3.81,6.22,10.09,1640995200000
speedIndex,mobile,2022_01_01,4.44,6.15,9.2,14.94,24.14,1640995200000
speedIndex,desktop,2021_12_01,1.61,2.43,3.85,6.29,10.16,1638316800000
speedIndex,mobile,2021_12_01,4.26,5.94,8.93,14.59,23.65,1638316800000
speedIndex,desktop,2021_11_01,1.62,2.44,3.85,6.27,10.11,1635724800000
speedIndex,mobile,2021_11_01,4.2,5.83,8.74,14.25,23.14,1635724800000
speedIndex,desktop,2021_10_01,1.62,2.44,3.87,6.29,10.14,1633046400000
speedIndex,mobile,2021_10_01,4.3,5.96,8.93,14.55,23.52,1633046400000
speedIndex,desktop,2021_09_01,1.62,2.44,3.86,6.29,10.14,1630454400000
speedIndex,mobile,2021_09_01,4.41,6.14,9.23,15.02,24.23,1630454400000
speedIndex,desktop,2021_08_01,1.64,2.47,3.9,6.33,10.16,1627776000000
speedIndex,mobile,2021_08_01,4.42,6.17,9.25,15.02,24.12,1627776000000
speedIndex,desktop,2021_07_01,1.6,2.43,3.86,6.26,10.05,1625097600000
speedIndex,mobile,2021_07_01,4.4,6.15,9.22,14.96,24.03,1625097600000
speedIndex,desktop,2021_06_01,1.59,2.41,3.81,6.16,9.85,1622505600000
speedIndex,mobile,2021_06_01,4.39,6.14,9.2,14.93,24.04,1622505600000
speedIndex,desktop,2021_05_01,1.59,2.42,3.8,6.06,9.36,1619827200000
speedIndex,mobile,2021_05_01,4.06,5.57,7.96,11.5,15.67,1619827200000
speedIndex,desktop,2021_04_01,1.62,2.45,3.83,6.07,9.34,1617235200000
speedIndex,mobile,2021_04_01,4.07,5.59,7.98,11.5,15.67,1617235200000
speedIndex,desktop,2021_03_01,1.61,2.42,3.76,5.93,9.08,1614556800000
speedIndex,mobile,2021_03_01,4.09,5.62,8.0,11.54,15.69,1614556800000
speedIndex,desktop,2021_02_01,1.89,2.8,4.27,6.61,9.92,1612137600000
speedIndex,mobile,2021_02_01,4.13,5.7,8.11,11.68,15.85,1612137600000
speedIndex,desktop,2021_01_01,1.9,2.81,4.28,6.63,9.96,1609459200000
speedIndex,mobile,2021_01_01,4.07,5.69,8.2,11.96,16.45,1609459200000
speedIndex,desktop,2020_12_01,1.82,2.7,4.12,6.38,9.62,1606780800000
speedIndex,mobile,2020_12_01,4.15,5.72,8.21,11.94,16.4,1606780800000
speedIndex,desktop,2020_11_01,1.83,2.72,4.15,6.4,9.62,1604188800000
speedIndex,mobile,2020_11_01,4.21,5.8,8.27,12.01,16.46,1604188800000
speedIndex,desktop,2020_10_01,1.82,2.69,4.11,6.41,9.89,1601510400000
speedIndex,mobile,2020_10_01,4.27,5.91,8.61,13.21,19.9,1601510400000
speedIndex,desktop,2020_09_01,1.85,2.73,4.17,6.5,10.04,1598918400000
speedIndex,mobile,2020_09_01,4.33,6.03,8.93,14.27,22.85,1598918400000
speedIndex,desktop,2020_08_01,1.63,2.45,3.81,6.03,9.45,1596240000000
speedIndex,mobile,2020_08_01,4.19,5.86,8.7,13.93,22.31,1596240000000
speedIndex,desktop,2020_07_01,1.59,2.4,3.72,5.89,9.23,1593561600000
speedIndex,mobile,2020_07_01,4.51,6.3,9.27,14.67,23.26,1593561600000
speedIndex,desktop,2020_06_01,1.52,2.32,3.61,5.72,8.98,1590969600000
speedIndex,mobile,2020_06_01,4.43,6.25,9.18,14.44,22.92,1590969600000
speedIndex,desktop,2020_05_01,1.54,2.34,3.64,5.76,9.07,1588291200000
speedIndex,mobile,2020_05_01,4.46,6.24,9.04,13.94,21.82,1588291200000
speedIndex,desktop,2020_04_01,1.56,2.36,3.67,5.82,9.14,1585699200000
speedIndex,mobile,2020_04_01,4.46,6.22,9.02,13.93,21.8,1585699200000
speedIndex,desktop,2020_03_01,1.61,2.41,3.72,5.9,9.33,1583020800000
speedIndex,mobile,2020_03_01,4.5,6.23,9.05,13.97,21.91,1583020800000
speedIndex,desktop,2020_02_01,1.6,2.4,3.7,5.88,9.35,1580515200000
speedIndex,mobile,2020_02_01,4.34,6.2,9.13,14.16,22.25,1580515200000
speedIndex,desktop,2020_01_01,1.51,2.32,3.62,5.73,8.96,1577836800000
speedIndex,mobile,2020_01_01,0.0,5.1,7.92,11.64,17.86,1577836800000
speedIndex,desktop,2019_12_01,1.54,2.34,3.65,5.77,9.04,1575158400000
speedIndex,mobile,2019_12_01,3.62,5.83,8.69,12.8,20.7,1575158400000
speedIndex,desktop,2019_11_01,1.56,2.37,3.67,5.79,9.07,1572566400000
speedIndex,mobile,2019_11_01,4.63,6.57,9.51,14.45,22.31,1572566400000
speedIndex,desktop,2019_10_01,1.55,2.36,3.68,5.81,9.11,1569888000000
speedIndex,mobile,2019_10_01,4.74,6.75,9.8,14.81,22.74,1569888000000
speedIndex,desktop,2019_09_01,1.54,2.34,3.66,5.79,9.06,1567296000000
speedIndex,mobile,2019_09_01,4.7,6.71,9.67,14.6,22.45,1567296000000
speedIndex,desktop,2019_08_01,1.5,2.29,3.59,5.68,8.93,1564617600000
speedIndex,mobile,2019_08_01,4.41,6.28,9.07,13.8,21.48,1564617600000
speedIndex,desktop,2019_07_01,1.51,2.3,3.59,5.67,8.91,1561939200000
speedIndex,mobile,2019_07_01,4.38,6.17,8.88,13.5,21.11,1561939200000
speedIndex,desktop,2019_06_01,1.55,2.34,3.64,5.71,8.92,1559347200000
speedIndex,mobile,2019_06_01,4.49,6.29,8.97,13.53,20.87,1559347200000
speedIndex,desktop,2019_05_01,1.55,2.35,3.67,5.76,8.95,1556668800000
speedIndex,mobile,2019_05_01,4.47,6.2,8.82,13.25,20.31,1556668800000
speedIndex,desktop,2019_04_01,1.58,2.4,3.72,5.81,8.97,1554076800000
speedIndex,mobile,2019_04_01,4.43,6.14,8.77,13.08,20.05,1554076800000
speedIndex,desktop,2019_03_01,1.57,2.38,3.69,5.75,8.85,1551398400000
speedIndex,mobile,2019_03_01,4.44,6.12,8.78,13.05,19.86,1551398400000
speedIndex,desktop,2019_02_01,1.58,2.39,3.7,5.75,8.85,1548979200000
speedIndex,mobile,2019_02_01,4.39,6.08,8.72,12.96,19.72,1548979200000
speedIndex,desktop,2019_01_01,1.58,2.4,3.71,5.77,8.89,1546300800000
speedIndex,mobile,2019_01_01,4.39,6.1,8.74,13.01,19.76,1546300800000
speedIndex,desktop,2018_12_15,1.56,2.37,3.7,5.77,8.93,1544832000000
speedIndex,mobile,2018_12_15,4.29,5.85,8.42,12.29,18.2,1544832000000
speedIndex,desktop,2018_12_01,1.44,2.14,3.33,5.21,8.04,1543622400000
speedIndex,mobile,2018_12_01,4.33,5.91,8.49,12.39,18.46,1543622400000
speedIndex,desktop,2018_11_15,1.29,1.92,3.01,4.74,7.39,1542240000000
speedIndex,mobile,2018_11_15,4.12,5.64,8.1,11.91,17.69,1542240000000
speedIndex,desktop,2018_11_01,1.28,1.92,3.01,4.75,7.34,1541030400000
speedIndex,mobile,2018_11_01,4.12,5.65,8.1,11.92,17.68,1541030400000
speedIndex,desktop,2018_10_15,1.25,1.88,2.97,4.71,7.28,1539561600000
speedIndex,mobile,2018_10_15,4.07,5.6,8.02,11.83,17.19,1539561600000
speedIndex,desktop,2018_10_01,1.24,1.86,2.95,4.7,7.37,1538352000000
speedIndex,mobile,2018_10_01,3.98,5.51,7.91,11.87,17.22,1538352000000
speedIndex,desktop,2018_09_15,1.22,1.85,2.92,4.67,7.3,1536969600000
speedIndex,mobile,2018_09_15,3.95,5.46,7.87,11.86,17.33,1536969600000
speedIndex,desktop,2018_09_01,1.2,1.82,2.9,4.65,7.3,1535760000000
speedIndex,mobile,2018_09_01,3.95,5.47,7.88,11.92,17.75,1535760000000
speedIndex,desktop,2018_08_15,1.21,1.84,2.94,4.71,7.34,1534291200000
speedIndex,mobile,2018_08_15,3.96,5.5,7.99,12.07,17.77,1534291200000
speedIndex,desktop,2018_08_01,1.21,1.84,2.93,4.69,7.35,1533081600000
speedIndex,mobile,2018_08_01,3.96,5.5,8.0,12.02,17.77,1533081600000
speedIndex,desktop,2018_07_15,1.24,1.88,2.98,4.78,7.63,1531612800000
speedIndex,mobile,2018_07_15,3.98,5.52,8.04,12.0,17.77,1531612800000
speedIndex,desktop,2018_07_01,1.3,1.96,3.08,4.89,7.79,1530403200000
speedIndex,mobile,2018_07_01,4.18,6.13,8.96,13.27,19.85,1530403200000
speedIndex,desktop,2018_06_15,1.28,2.09,3.39,5.35,8.21,1529020800000
speedIndex,mobile,2018_06_15,4.13,6.11,8.93,13.24,19.71,1529020800000
speedIndex,desktop,2018_06_01,1.3,2.1,3.41,5.36,8.21,1527811200000
speedIndex,mobile,2018_06_01,4.15,6.12,8.94,13.23,19.77,1527811200000
speedIndex,desktop,2018_05_15,1.31,2.11,3.41,5.37,8.25,1526342400000
speedIndex,mobile,2018_05_15,4.16,6.1,8.89,13.17,19.57,1526342400000
speedIndex,desktop,2018_05_01,1.32,2.12,3.4,5.33,8.12,1525132800000
speedIndex,mobile,2018_05_01,4.15,6.06,8.81,12.99,19.29,1525132800000
speedIndex,desktop,2018_04_15,1.32,2.11,3.37,5.3,8.14,1523750400000
speedIndex,mobile,2018_04_15,4.1,6.0,8.75,12.95,19.28,1523750400000
speedIndex,desktop,2018_04_01,1.3,2.1,3.38,5.35,8.28,1522540800000
