footnote,text
1,This chapter chronicles the period from the formation of the 40-Eridani system to the beginnings of life on the planet Vulcan about two billion years ago.
2,"The time and manner of Borg origins are entirely speculative. Both ""The Beginning"" (SNW 6) and ""Forgotten Light"" (SNW 7) each offer unique interpretations."
3,This chapter chronicles the period from Surak's birth until his death sometime after 300 AD
4,"As a vision, this may be historically unreliable. The events contradict Spock's World regarding the death of Surak's father."
5,This chapter chronicles the period from the Ahkh War (against the Orions) until the Sundering in 300 AD. The date given in the text as 22 BC was disregarded.
6,"The date of the Awakening is around 2000 years prior to ""The Savage Curtain"" (TOS), while T'Pol places Surak's death about 1,800 years prior to ""Awakening"" (ENT). Assuming Surak's death was not long after the Sundering, the Awakening occurred between 254 and 339 AD. A line dropped from the script to ""Awakening"" claims the event occurred 1,874 years prior to the episode, in 280 AD."
7,This chapter chronicles the period from S'task's Declaration until the Sundering.
8,This chapter chronicles the journey of the Rihannsu Travelers until planetfall in 750.
9,These chapters chronicle the period beginning 25.86 real-time years after the Sundering until the subjugation of the Reman settlers in 753.
10,This chapter chronicles the period from the Settlement until the fall of the Ruling Queen in 846.
11,"This chapter chronicles the Golden Age, from the establishment of the Senate until first contact with a Starfleet vessel in 2153."
12,"This story is a Captain Proton radio drama script written by ""Benny Russell"" and incorporating elements of Deep Space Nine. Given his age in Far Beyond the Stars, this might not be the same Benny Russell who will later write for the magazine Incredible Tales of Scientific Wonder."
13,The childhood of Benny Russell is seen in the visions of Benjamin Sisko.
14,Sisko's visions chronicle Benny Russell's career as a science-fiction writer. Whether Russell actually existed in the past of Sisko's reality is unknown.
15,Takes place in an alternate reality where Star Trek is merely a television series broadcast in the 1960s.
16,"A tribute to Gene Roddenberry, who existed in a reality wherein Star Trek was his own fictional creation."
17,Takes place in a reality where Star Trek: Deep Space Nine is a television series.
18,These events occur in an alternate history.
19,Takes place during Star Trek: First Contact.
20,Takes place during Star Trek: First Contact.
21,Takes place during Star Trek: First Contact.
22,The March 2061 date in the novel contradicts Star Trek: First Contact and has been adjusted to March 2065.
23,The Star Trek Chronology places the destruction of the Valiantthe same year that it leaves on its mission in 2065. The author has placed the destruction in 2069 to allow time for the Starship to reach the edge of the galaxy.
24,"Colonel Thorsen's war appears to be a conflict separate from Colonel Green's ""World War 3,"" which ended in 2053."
25,"The 2117 date in the novel has been adjusted to a time shortly after Cochrane's speech at the Warp 5 Complex in ""Broken Bow"" (ENT)."
26,"Story is set just before the flashback in ""Broken Bow"" (ENT), in which the script gives Archer's age as nine and three-quarters; in this story his age is eleven."
27,"This chapter narrates portions of ""Cold Front"" (ENT)."
28,"Presumably due to an editing error, the dates in the chapter headings are all off by one year. However, the dates given in Ensign Hart's service record are correct."
29,"This chapter narrates portions of ""Detained"" (ENT)."
30,"Because of references to ""Detained"" (ENT) and ""Desert Crossing"" (ENT), the January 13-18 sections have been moved to late February."
31,Archer's narrated story is entirely apocryphal.
32,This chapter chronicles the period from the first encounter with a Starfleet vessel until the time of the framing story in 2276. References to the duration of the war and to Sarek's position as Vulcan Ambassador have been disregarded.
33,"This book novelizes ENT episodes ""The Expanse"" and ""The Xindi."""
34,Story is set during the third year of the Romulan War.
35,"This story chronicles the end of the Romulan War, but does not explicitly support events from the television series Star Trek: Enterprise."
36,"Takes place during the conference in San Francisco which ""lays out the groundwork"" for the U.F.P. The given date of 2097 was disregarded."
37,"The holodeck scenes in this episode (which chronicle the events of 2161) are supported by a framing story set in 2370, during the events of ""The Pegasus"" (TNG)."
38,"This chapter chronicles the period from Sarek's relocation to Earth until Spock's birth in 2230. The year 2212, given for Sarek's appointment as Ambassador to Earth, has been disregarded."
39,The given year of 2231 was changed to match The Star Trek Chronology.
