loc_id,latitude,longitude,subnational1_code,entry_technique,sub_id,obs_id,Month,Day,Year,PROJ_PERIOD_ID,species_code,how_many,valid,reviewed,day1_am,day1_pm,day2_am,day2_pm,effort_hrs_atleast,snow_dep_atleast,Data_Entry_Method
L981010,52.12976,-122.13547,CA-BC,POSTCODE LAT/LONG LOOKUP,S83206450,OBS1092604618,3,4,2021,PFW_2021,amegfi,20,1,0,1,0,1,0,1.001,5,PFW Web 4.1.4
L3161698,43.8322069,-123.092405,US-OR,/GOOGLE_MAP/ZOOM:18,S78031190,OBS1036509564,12,19,2020,PFW_2021,moudov,11,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L13210778,39.7214697,-75.9336597,US-MD,/GOOGLE_MAP/ZOOM:15,S81318993,OBS1073386105,2,13,2021,PFW_2021,tuftit,2,1,0,1,1,1,1,8.001,5,PFW Web 4.1.4
L13258348,42.2178739,-83.6722998,US-MI,/GOOGLE_MAP/ZOOM:15,S79251313,OBS1051702542,1,13,2021,PFW_2021,houspa,2,1,0,1,1,1,1,4.001,0,PFW Web 4.1.4
L149639,32.7499211,-79.9415821,US-SC,PointMaker1.0_2,S79183993,OBS1050809672,1,11,2021,PFW_2021,balori,10,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L10140349,46.053008,-73.0702722,CA-QC,/GOOGLE_MAP/ZOOM:18,S83449147,OBS1095479883,3,13,2021,PFW_2021,norcar,2,1,0,1,1,1,1,1.001,15.001,PFW Web 4.1.4
L74629,37.7113765,-122.0745566,US-CA,POSTCODE LAT/LONG LOOKUP,S85555888,OBS1121406888,1,23,2021,PFW_2021,pinsis,5,1,0,1,1,1,1,0.001,0,PFW Web 4.1.4
L162342,40.242817,-76.13628,US-PA,POSTCODE LAT/LONG LOOKUP,S86340705,OBS1131766383,4,23,2021,PFW_2021,brnthr,2,0,0,1,1,1,1,4.001,0,PFW Web 4.1.4
L189158,40.9467697,-73.0295105,US-NY,PointMaker1.0_2,S80199248,OBS1063201047,11,28,2020,PFW_2021,whtspa,6,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L19251,56.2820309,-120.8336922,CA-BC,POSTCODE LAT/LONG LOOKUP,S86496546,OBS1133802647,1,2,2021,PFW_2021,pingro,9,1,0,1,1,1,1,1.001,15.001,PFW Web 4.1.4
L28977,42.84371,-73.79412,US-NY,POSTCODE LAT/LONG LOOKUP,S80245742,OBS1063772465,1,30,2021,PFW_2021,rewbla,2,1,0,1,1,1,1,8.001,15.001,PFW Web 4.1.4
L12797578,36.1196289,-79.882402,US-NC,/GOOGLE_MAP/ZOOM:12,S86076876,OBS1128342494,4,22,2021,PFW_2021,brncre,1,0,0,1,1,1,1,1.001,NA,PFW Web 4.1.4
L12711146,40.6784145,-73.9741166,US-NY,/GOOGLE_MAP/ZOOM:17,S84053973,OBS1102848267,3,25,2021,PFW_2021,dowwoo,2,1,0,1,1,1,1,0.001,NA,PFW Mobile App v1.1.17
L162530,35.755116,-78.71989,US-NC,POSTCODE LAT/LONG LOOKUP,S87109767,OBS1142065118,11,14,2020,PFW_2021,dowwoo,1,1,0,1,1,1,1,8.001,0,PFW Web 4.1.4
L272593,44.287937,-121.530549,US-OR,ESRI_WEBSERVICE_STREET,S78957384,OBS1047945418,1,2,2021,PFW_2021,orejun,10,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L10162485,27.6184731,-80.3989391,US-FL,/GOOGLE_MAP/ZOOM:15,S82460489,OBS1083992735,2,27,2021,PFW_2021,yerwar,1,1,0,1,1,0,0,1.001,0,PFW Web 4.1.4
L10227242,41.9463567,-72.4953461,US-CT,/GOOGLE_MAP/ZOOM:16,S86146456,OBS1129256182,4,21,2021,PFW_2021,eursta,1,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L1319717,44.5615179,-80.941928,CA-ON,GREATDATA_POSTCODE/GOOGLE_MAP/ZOOM:-2,S80229901,OBS1063533115,1,30,2021,PFW_2021,moudov,5,1,0,1,1,1,1,1.001,15.001,PFW Mobile App v1.1.17
L1793922,43.6776804,-70.4442018,US-ME,NA,S78916483,OBS1047515123,1,9,2021,PFW_2021,eursta,7,1,0,1,1,1,1,1.001,5,PFW Mobile App v1.1.17
L12730203,40.7941397,-124.1463715,US-CA,/GOOGLE_MAP/ZOOM:12,S76597150,OBS1016468987,11,21,2020,PFW_2021,annhum,1,1,0,1,1,1,0,0.001,NA,PFW Web 4.1.4
L12755092,42.0912521,-75.9341737,US-NY,/GOOGLE_MAP/ZOOM:15,S84570254,OBS1109183527,3,30,2021,PFW_2021,moudov,3,1,0,1,1,1,1,8.001,0,PFW Mobile App v1.1.17
