tag_id,animal_id,animal_taxon,deploy_on_date,deploy_off_date,hunt,prey_p_month,animal_reproductive_condition,animal_sex,hrs_indoors,n_cats,food_dry,food_wet,food_other,study_site,age_years
Tommy-Tag,Tommy,Felis catus,2017-06-03T01:02:09Z,2017-06-10T02:10:52Z,TRUE,12.5,Neutered,m,12.5,2,TRUE,TRUE,FALSE,UK,11
Athena,Athena,Felis catus,2017-06-24T01:02:13Z,2017-06-30T23:59:32Z,TRUE,3,Spayed,f,7.5,2,TRUE,TRUE,FALSE,UK,3
Ares,Ares,Felis catus,2017-06-24T01:03:57Z,2017-06-30T23:58:01Z,NA,0,Neutered,m,7.5,2,TRUE,TRUE,FALSE,UK,3
Lola,Lola,Felis catus,2017-06-24T01:18:49Z,2017-06-30T09:04:40Z,TRUE,3,Spayed,f,17.5,1,TRUE,TRUE,FALSE,UK,10
Maverick,Maverick,Felis catus,2017-06-25T01:04:35Z,2017-07-03T09:10:07Z,TRUE,3,Neutered,m,12.5,1,TRUE,TRUE,TRUE,UK,7
Coco,Coco,Felis catus,2017-06-28T01:02:22Z,2017-07-05T06:50:04Z,TRUE,3,Spayed,f,12.5,2,TRUE,TRUE,TRUE,UK,7
Charlie,Charlie,Felis catus,2017-06-28T01:03:33Z,2017-07-04T07:08:31Z,TRUE,3,Neutered,m,12.5,3,TRUE,TRUE,FALSE,UK,6
Jago,Jago,Felis catus,2017-06-28T04:10:59Z,2017-07-04T02:50:05Z,TRUE,17.5,Neutered,m,7.5,4,TRUE,TRUE,TRUE,UK,2
Morpheus-Tag,Morpheus,Felis catus,2017-07-01T01:02:18Z,2017-07-09T06:39:05Z,TRUE,3,Neutered,m,2.5,2,TRUE,FALSE,NA,UK,4
Nettle-Tag,Nettle,Felis catus,2017-07-01T01:05:50Z,2017-07-08T00:05:12Z,TRUE,7.5,Spayed,f,12.5,2,TRUE,FALSE,NA,UK,4
Meg-Tag,Meg,Felis catus,2017-07-02T01:02:43Z,2017-07-09T00:36:13Z,TRUE,3,NA,f,12.5,1,TRUE,TRUE,TRUE,UK,8
Friday,Friday,Felis catus,2017-07-02T07:28:08Z,2017-07-07T21:56:16Z,TRUE,0.5,Neutered,m,7.5,1,TRUE,FALSE,TRUE,UK,1
Carbonel-Tag,Carbonel,Felis catus,2017-07-07T01:01:46Z,2017-07-14T02:51:28Z,FALSE,0,Neutered,m,17.5,1,TRUE,FALSE,FALSE,UK,8
Fonzie-Tag,Fonzie,Felis catus,2017-07-08T01:02:02Z,2017-07-15T08:10:04Z,TRUE,0.5,Neutered,m,12.5,2,TRUE,TRUE,NA,UK,10
Jessy-Tag,Jessy,Felis catus,2017-07-08T01:02:52Z,2017-07-08T13:12:54Z,TRUE,3,Spayed,f,12.5,1,TRUE,TRUE,TRUE,UK,11
Barney-Tag,Barney,Felis catus,2017-07-08T01:16:36Z,2017-07-15T07:20:01Z,TRUE,0.5,Neutered,m,12.5,2,TRUE,TRUE,NA,UK,11
Sparky-Tag,Sparky,Felis catus,2017-07-08T02:36:48Z,2017-07-15T01:56:49Z,TRUE,0.5,Spayed,f,7.5,4,TRUE,TRUE,FALSE,UK,8
Indie-Tag,Indie,Felis catus,2017-07-09T01:03:00Z,2017-07-16T09:33:00Z,TRUE,0.5,Neutered,m,17.5,2,TRUE,FALSE,FALSE,UK,3
Whiskey-Tag,Whiskey,Felis catus,2017-07-09T01:04:12Z,2017-07-16T03:11:05Z,TRUE,0.5,Neutered,m,17.5,1,TRUE,TRUE,TRUE,UK,5
Rusty-Tag,Rusty,Felis catus,2017-07-09T02:19:00Z,2017-07-16T00:34:00Z,TRUE,3,Neutered,m,17.5,1,TRUE,FALSE,NA,UK,4
Mifty-Tag,Mifty,Felis catus,2017-07-13T01:01:00Z,2017-07-20T00:31:00Z,TRUE,12.5,Spayed,f,7.5,1,TRUE,TRUE,FALSE,UK,2
Wilfred-Tag,Wilfred,Felis catus,2017-07-13T01:01:06Z,2017-07-20T01:19:06Z,NA,0,Neutered,m,7.5,1,TRUE,FALSE,FALSE,UK,6
Johnny-Tag,Johnny,Felis catus,2017-07-13T01:02:09Z,2017-07-16T00:08:52Z,TRUE,12.5,Neutered,m,7.5,1,TRUE,TRUE,FALSE,UK,NA
Poppet-Tag,Poppet,Felis catus,2017-07-13T01:02:57Z,2017-07-19T20:52:53Z,TRUE,3,Spayed,f,22.5,3,TRUE,TRUE,TRUE,UK,10
Pussy-Tag,Pussy,Felis catus,2017-07-13T01:05:34Z,2017-07-20T16:06:52Z,TRUE,3,Neutered,m,2.5,3,TRUE,FALSE,TRUE,UK,2
Henry-Tag,Henry,Felis catus,2017-07-14T01:02:00Z,2017-07-21T00:04:00Z,FALSE,0,Neutered,m,7.5,1,TRUE,TRUE,FALSE,UK,8
Winnie-Tag,Winnie,Felis catus,2017-07-16T01:02:02Z,2017-07-23T00:11:53Z,TRUE,3,Neutered,m,12.5,1,TRUE,TRUE,FALSE,UK,12
Tom-Tag,Tom,Felis catus,2017-07-16T01:02:32Z,2017-07-24T04:47:12Z,TRUE,12.5,Spayed,f,12.5,2,TRUE,TRUE,TRUE,UK,3
Lady T-Tag,Lady T,Felis catus,2017-07-16T01:03:04Z,2017-07-23T15:06:46Z,TRUE,3,Neutered,m,12.5,3,TRUE,TRUE,TRUE,UK,2
Bella-Tag,Bella,Felis catus,2017-07-16T01:46:58Z,2017-07-24T05:18:52Z,TRUE,7.5,Spayed,f,12.5,2,TRUE,TRUE,FALSE,UK,3
Ladyboyhawke-Tag,Ladyboyhawke,Felis catus,2017-07-16T22:26:56Z,2017-07-22T01:36:51Z,TRUE,3,Spayed,f,17.5,2,TRUE,TRUE,TRUE,UK,5
Charlie2-Tag,Charlie2,Felis catus,2017-07-17T01:01:00Z,2017-07-23T00:05:00Z,TRUE,3,Neutered,m,12.5,2,TRUE,TRUE,TRUE,UK,9
Max-Tag,Max,Felis catus,2017-07-17T01:03:30Z,2017-07-23T05:19:13Z,TRUE,3,Neutered,m,12.5,3,TRUE,TRUE,FALSE,UK,5
Ebby-Tag,Ebby,Felis catus,2017-07-20T01:02:02Z,2017-07-27T00:05:31Z,TRUE,3,Spayed,f,17.5,2,FALSE,TRUE,TRUE,UK,10
Bear-Tag,Bear,Felis catus,2017-07-20T01:03:19Z,2017-07-27T04:17:28Z,TRUE,3,Neutered,m,12.5,2,TRUE,TRUE,NA,UK,6
Bumbles-Tag,Bumbles,Felis catus,2017-07-20T03:06:34Z,2017-07-27T00:08:54Z,TRUE,3,Spayed,f,12.5,2,FALSE,TRUE,TRUE,UK,12
Chloe-Tag,Chloe,Felis catus,2017-07-20T03:29:22Z,2017-07-26T19:25:50Z,TRUE,3,Spayed,f,17.5,2,TRUE,TRUE,NA,UK,7
Merlin-Tag,Merlin,Felis catus,2017-07-20T09:25:37Z,2017-07-27T00:24:39Z,TRUE,7.5,Neutered,m,12.5,1,TRUE,FALSE,FALSE,UK,5
Felix-Tag,Felix,Felis catus,2017-07-22T01:02:05Z,2017-07-26T00:50:28Z,TRUE,3,Neutered,m,22.5,1,TRUE,TRUE,FALSE,UK,4
Beanie-Tag,Beanie,Felis catus,2017-07-22T01:02:42Z,2017-07-29T09:52:37Z,FALSE,0,Neutered,m,17.5,4,TRUE,TRUE,FALSE,UK,4
