stock_symbol,date,open,high,low,close,adj_close,volume
AAPL,2010-01-04,7.6225,7.660714,7.585,7.643214,6.515213,493729600
AAPL,2010-01-05,7.664286,7.699643,7.616071,7.656429,6.526476,601904800
AAPL,2010-01-06,7.656429,7.686786,7.526786,7.534643,6.422664,552160000
AAPL,2010-01-07,7.5625,7.571429,7.466071,7.520714,6.41079,477131200
AAPL,2010-01-08,7.510714,7.571429,7.466429,7.570714,6.453412,447610800
AAPL,2010-01-11,7.6,7.607143,7.444643,7.503929,6.396483,462229600
AAPL,2010-01-12,7.471071,7.491786,7.372143,7.418571,6.323721,594459600
AAPL,2010-01-13,7.423929,7.533214,7.289286,7.523214,6.412922,605892000
AAPL,2010-01-14,7.503929,7.516429,7.465,7.479643,6.375781,432894000
AAPL,2010-01-15,7.533214,7.557143,7.3525,7.354643,6.269228,594067600
AAPL,2010-01-19,7.440357,7.685357,7.401429,7.68,6.546568,730007600
AAPL,2010-01-20,7.675357,7.698214,7.482143,7.561786,6.445801,612152800
AAPL,2010-01-21,7.574286,7.618214,7.400357,7.431071,6.334377,608154400
AAPL,2010-01-22,7.385,7.410714,7.041429,7.0625,6.020202,881767600
AAPL,2010-01-25,7.2325,7.310714,7.149643,7.2525,6.182159,1065699600
AAPL,2010-01-26,7.355357,7.6325,7.235,7.355,6.269532,1867110000
AAPL,2010-01-27,7.3875,7.520714,7.126071,7.424286,6.328594,1722568400
AAPL,2010-01-28,7.318929,7.339286,7.096429,7.1175,6.067085,1173502400
AAPL,2010-01-29,7.181429,7.221429,6.794643,6.859286,5.846978,1245952400
AAPL,2010-02-01,6.870357,7,6.832143,6.954643,5.928262,749876400
AAPL,2010-02-02,6.996786,7.011429,6.906429,6.995,5.962664,698342400
AAPL,2010-02-03,6.970357,7.15,6.943571,7.115357,6.065258,615328000
AAPL,2010-02-04,7.026071,7.084643,6.841786,6.858929,5.846675,757652000
AAPL,2010-02-05,6.879643,7,6.816071,6.980714,5.950485,850306800
AAPL,2010-02-08,6.988929,7.067143,6.928571,6.932857,5.909691,478270800
AAPL,2010-02-09,7.015,7.053571,6.955357,7.006786,5.97271,632886800
AAPL,2010-02-10,6.996071,7.021429,6.937857,6.968571,5.940135,370361600
AAPL,2010-02-11,6.96,7.133929,6.930714,7.095357,6.04821,550345600
AAPL,2010-02-12,7.075357,7.201429,6.982143,7.156429,6.100267,655468800
AAPL,2010-02-16,7.212143,7.274643,7.197143,7.264286,6.192206,543737600
AAPL,2010-02-17,7.2925,7.296786,7.173571,7.233929,6.16633,436396800
AAPL,2010-02-18,7.201071,7.281786,7.175714,7.2475,6.177899,422825200
AAPL,2010-02-19,7.209286,7.257143,7.1825,7.2025,6.13954,415469600
AAPL,2010-02-22,7.226429,7.232143,7.113929,7.157857,6.101485,390563600
AAPL,2010-02-23,7.142857,7.190357,6.989643,7.037857,5.999194,575094800
AAPL,2010-02-24,7.079643,7.194286,7.065714,7.166429,6.108792,460566400
AAPL,2010-02-25,7.049286,7.245,7.031786,7.214286,6.149586,665126000
AAPL,2010-02-26,7.227857,7.3275,7.214286,7.307857,6.229348,507460800
AAPL,2010-03-01,7.348214,7.482143,7.3375,7.463929,6.362388,550093600
AAPL,2010-03-02,7.4975,7.529643,7.419286,7.458929,6.358125,566546400
AAPL,2010-03-03,7.462143,7.495357,7.426429,7.476071,6.372737,372052800
AAPL,2010-03-04,7.474286,7.532857,7.451071,7.525357,6.41475,366041200
AAPL,2010-03-05,7.676429,7.846429,7.665357,7.819643,6.665604,899620400
AAPL,2010-03-08,7.8575,7.860357,7.794643,7.824286,6.66956,429889600
AAPL,2010-03-09,7.796786,8.035714,7.781786,7.965,6.789509,920259200
AAPL,2010-03-10,7.993929,8.052857,7.971429,8.03,6.844915,596218000
AAPL,2010-03-11,7.996786,8.053571,7.975714,8.053571,6.8650080000000004,405700400
AAPL,2010-03-12,8.120357,8.133214,8.0625,8.092857,6.898496,416323600
AAPL,2010-03-15,8.049286,8.053571,7.866071,7.994286,6.814474,493502800
AAPL,2010-03-16,8.006429,8.035,7.946786,8.016071,6.833044,446908000
AAPL,2010-03-17,8.032143,8.0875,7.973929,8.004286,6.822996,450956800
AAPL,2010-03-18,8.003571,8.035714,7.950357,8.023214,6.839131,342109600
AAPL,2010-03-19,8.028214,8.044286,7.901071,7.9375,6.766067,559445600
AAPL,2010-03-22,7.873929,8.071429,7.8625,8.026786,6.842176,456419600
AAPL,2010-03-23,8.058571,8.170714,8.003571,8.155714,6.952076,602431200
AAPL,2010-03-24,8.13,8.221429,8.125357,8.191786,6.982823,597780400
AAPL,2010-03-25,8.247143,8.248929,8.080357,8.094643,6.900018,542284400
AAPL,2010-03-26,8.176786,8.283929,8.1625,8.246429,7.029403,640875200
AAPL,2010-03-29,8.321429,8.3525,8.272143,8.299643,7.074763,540744400
AAPL,2010-03-30,8.45,8.481429,8.366071,8.423214,7.180099,527310000
AAPL,2010-03-31,8.410357,8.450357,8.373571,8.392857,7.15422,430659600
AAPL,2010-04-01,8.478929,8.526071,8.3125,8.4275,7.183752,603145200
AAPL,2010-04-05,8.392143,8.518214,8.384643,8.5175,7.26047,684507600
AAPL,2010-04-06,8.507143,8.58,8.464286,8.555,7.292436,447017200
AAPL,2010-04-07,8.555357,8.64,8.523571,8.592857,7.324705,628502000
AAPL,2010-04-08,8.587143,8.626429,8.501429,8.569643,7.304917,572989200
AAPL,2010-04-09,8.6225,8.638929,8.587857,8.635357,7.360933,334182800
AAPL,2010-04-12,8.65,8.681071,8.636071,8.653214,7.376155,333026400
AAPL,2010-04-13,8.637857,8.671429,8.611071,8.658214,7.380417,306210800
AAPL,2010-04-14,8.76,8.778929,8.716786,8.774643,7.479662,404076400
AAPL,2010-04-15,8.777857,8.893929,8.768214,8.89,7.577995,376784800
AAPL,2010-04-16,8.8775,8.969286,8.733929,8.835714,7.531722,750545600
AAPL,2010-04-19,8.8225,8.853214,8.634643,8.823929,7.521674,566924400
AAPL,2010-04-20,8.876429,8.901786,8.677143,8.735357,7.446175,738326400
AAPL,2010-04-21,9.242857,9.294643,9.133214,9.257857,7.891561,982391200
AAPL,2010-04-22,9.222857,9.526786,9.15,9.516786,8.112279,793424800
AAPL,2010-04-23,9.571071,9.720714,9.535714,9.6725,8.24501,796955600
AAPL,2010-04-26,9.71,9.730714,9.578214,9.625,8.204519,479068800
AAPL,2010-04-27,9.545357,9.565714,9.304286,9.358571,7.97741,709343600
AAPL,2010-04-28,9.401786,9.428571,9.1575,9.342857,7.964018,758402400
