decimalLatitude,decimalLongitude,eventDate,scientificName,taxonConceptID,recordID,dataResourceName,year,month,wday,hour,day,dryandra,prcp,tmax,tmin
-37.65,145.53333,NA,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,73830609-3d94-461f-a833-01c0a30c5a0d,Queen Victoria Museum Art Gallery provider for OZCAM,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
-35.103409,150.256989,2014-06-05T02:00:00Z,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,13287c0e-034d-4f05-908b-d3b60c90813d,ALA species sightings and OzAtlas,2014,Jun,Thu,2,2014-06-05,FALSE,NA,NA,NA
-35,117.5,NA,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,1041c2af-7e1f-4344-b79c-9c04aa3a55b5,Western Australian Museum provider for OZCAM,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
-34.7,117.8,NA,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,c9804b7a-de92-42db-8912-632dc37baa38,Western Australian Museum provider for OZCAM,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
-34.6,117.3,NA,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,bc0c873a-6a10-4035-9589-a0270622b293,Western Australian Museum provider for OZCAM,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
-34.6,117.3,NA,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,2b917c66-27a3-4aaa-a807-3b364fd67ef4,Western Australian Museum provider for OZCAM,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
-34.6,118.1,NA,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,c5713bea-29a8-426c-9bac-d7c106b31279,Western Australian Museum provider for OZCAM,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
-34.6,117.3,NA,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,f4850f70-e5c2-4364-8550-77a3b2cbd709,Western Australian Museum provider for OZCAM,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
-34.6,117.3,NA,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,c575b386-d352-4846-b768-ce8c4c35bef1,Western Australian Museum provider for OZCAM,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
-34.6,117.3,NA,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,c96b960c-114c-420a-960f-6a492d36bffc,Western Australian Museum provider for OZCAM,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
-34.53549,139.46865,2016-11-15T13:00:00Z,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,1b672bc3-4a0b-46c0-8ea8-6331236c73a8,SA Fauna (BDBSA),2016,Nov,Tue,13,2016-11-15,FALSE,NA,NA,NA
-34.53431,139.44479,2019-11-06T13:00:00Z,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,cdb387dc-7d9b-4d87-897b-cefed63d164f,SA Fauna (BDBSA),2019,Nov,Wed,13,2019-11-06,FALSE,NA,NA,NA
-34.53429,139.4442,2019-11-05T13:00:00Z,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,252bba62-e620-47a6-a709-e37cf8bb2806,SA Fauna (BDBSA),2019,Nov,Tue,13,2019-11-05,FALSE,NA,NA,NA
-34.53389,139.43695,2020-11-12T13:00:00Z,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,92ec58f0-00ed-4415-98c3-e12623b7a0c1,SA Fauna (BDBSA),2020,Nov,Thu,13,2020-11-12,FALSE,NA,NA,NA
-34.53316,139.46768,2017-11-17T13:00:00Z,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,aac6cb1b-4302-4475-91bc-20ee2187d5e2,SA Fauna (BDBSA),2017,Nov,Fri,13,2017-11-17,FALSE,NA,NA,NA
-34.5331,139.44028,2011-12-19T13:00:00Z,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,dfe16b3b-7acd-4e4b-ace7-9f8630e2c1f6,SA Fauna (BDBSA),2011,Dec,Mon,13,2011-12-19,FALSE,NA,NA,NA
-34.53309,139.43851,2014-11-09T13:00:00Z,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,4ff232ec-e4ba-49e2-b770-b4ad9d8419c8,SA Fauna (BDBSA),2014,Nov,Sun,13,2014-11-09,FALSE,NA,NA,NA
-34.53309,139.43836,2016-11-17T13:00:00Z,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,f1c98b75-46aa-4293-b87e-9dd3283b2b43,SA Fauna (BDBSA),2016,Nov,Thu,13,2016-11-17,FALSE,NA,NA,NA
-34.53309,139.43841,2011-12-09T13:00:00Z,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,0f373ff0-8044-4cff-b298-d760b95fe5e1,SA Fauna (BDBSA),2011,Dec,Fri,13,2011-12-09,FALSE,NA,NA,NA
-34.53308,139.43875,2011-12-28T13:00:00Z,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,b05fe4c7-4b90-4cd0-87cd-93d1ee976611,SA Fauna (BDBSA),2011,Dec,Wed,13,2011-12-28,FALSE,NA,NA,NA
