category,medicine_name,therapeutic_area,common_name,active_substance,product_number,patient_safety,authorisation_status,atc_code,additional_monitoring,generic,biosimilar,conditional_approval,exceptional_circumstances,accelerated_assessment,orphan_medicine,marketing_authorisation_date,date_of_refusal_of_marketing_authorisation,marketing_authorisation_holder_company_name,pharmacotherapeutic_group,date_of_opinion,decision_date,revision_number,condition_indication,species,first_published,revision_date,url
human,Adcetris,"Lymphoma, Non-Hodgkin;  Hodgkin Disease",brentuximab vedotin,brentuximab vedotin,002455,FALSE,authorised,L01XC12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2012-10-25,NA,Takeda Pharma A/S,Antineoplastic agents,2012-07-19,2022-11-17,34,"Hodgkin lymphomaAdcetris is indicated for adult patients with previously untreated CD30+ Stage IV Hodgkin lymphoma (HL) in combination with doxorubicin, vinblastine and dacarbazine (AVD).Adcetris is indicated for the treatment of adult patients with CD30+ HL at increased risk of relapse or progression following autologous stem cell transplant (ASCT).Adcetris is indicated for the treatment of adult patients with relapsed or refractory CD30+ Hodgkin lymphoma (HL):following ASCT, orfollowing at least two prior therapies when ASCT or multi-agent chemotherapy is not a treatment option.Systemic anaplastic large cell lymphomaAdcetris in combination with cyclophosphamide, doxorubicin and prednisone (CHP) is indicated for adult patients with previously untreated systemic anaplastic large cell lymphoma (sALCL).Adcetris is indicated for the treatment of adult patients with relapsed or refractory sALCL.Cutaneous T cell lymphomaAdcetris is indicated for the treatment of adult patients with CD30+ cutaneous T cell lymphoma (CTCL) after at least 1 prior systemic therapy.",NA,2018-07-25T13:58:00Z,2023-03-13T11:52:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/adcetris
human,Nityr,Tyrosinemias,nitisinone,nitisinone,004582,FALSE,authorised,A16AX04,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018-07-26,NA,Cycle Pharmaceuticals (Europe) Ltd,"Other alimentary tract and metabolism products,",2018-05-31,2023-03-10,4,Treatment of adult and paediatric patients with confirmed diagnosis of hereditary tyrosinemia type 1 (HT-1) in combination with dietary restriction of tyrosine and phenylalanine.,NA,2018-07-26T14:20:00Z,2023-03-10T17:29:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/nityr
human,Ebvallo,Lymphoproliferative Disorders,tabelecleucel,tabelecleucel,004577,FALSE,authorised,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2022-12-16,NA,Pierre Fabre Medicament,NA,2022-10-13,2023-03-09,2,"Ebvallo is indicated as monotherapy for treatment of adult and paediatric patients 2 years of age and older with relapsed or refractory Epstein-Barr virus positive post-transplant lymphoproliferative disease (EBV+ PTLD) who have received at least one prior therapy. For solid organ transplant patients, prior therapy includes chemotherapy unless chemotherapy is inappropriate.",NA,2022-10-12T16:13:00Z,2023-03-10T13:40:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/ebvallo
human,Ronapreve,COVID-19 virus infection,"casirivimab, imdevimab","casirivimab, imdevimab",005814,FALSE,authorised,J06BD,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021-11-12,NA,Roche Registration GmbH ,"Immune sera and immunoglobulins,",2021-11-11,2023-02-24,3,Ronapreve is indicated for:Treatment of COVID-19 in adults and adolescents aged 12 years and older weighing at least 40 kg who do not require supplemental oxygen and who are at increased risk of progressing to severe COVID-19 (see section 4.2).Prevention of COVID-19 in adults and adolescents aged 12 years and older weighing at least 40 kg (see section 4.2).The use of Ronapreve should take into account information on the activity of Ronapreve against viral variants of concern. See sections 4.4 and 5.1.,NA,2021-11-12T16:30:00Z,2023-03-10T12:29:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/ronapreve
human,Cosentyx,"Arthritis, Psoriatic;  Psoriasis;  Spondylitis, Ankylosing",secukinumab,secukinumab,003729,FALSE,authorised,L04AC10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2015-01-14,NA,Novartis Europharm Limited,Immunosuppressants,2014-11-20,2023-01-26,30,"Plaque psoriasisCosentyx is indicated for the treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy.Psoriatic arthritisCosentyx, alone or in combination with methotrexate (MTX), is indicated for the treatment of active psoriatic arthritis in adult patients when the response to previous disease modifying anti rheumatic drug (DMARD) therapy has been inadequate.Axial spondyloarthritis (axSpA)Ankylosing spondylitis (AS, radiographic axial spondyloarthritis)Cosentyx is indicated for the treatment of active ankylosing spondylitis in adults who have responded inadequately to conventional therapy.Non-radiographic axial spondyloarthritis (nr-axSpA)Cosentyx is indicated for the treatment of active non-radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C-reactive protein (CRP) and/or magnetic resonance imaging (MRI) evidence in adults who have responded inadequately to non-steroidal anti-inflammatory drugs (NSAIDs).",NA,2018-06-07T11:59:00Z,2023-03-09T18:53:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/cosentyx
human,Caprelsa,Thyroid Neoplasms,vandetanib,vandetanib,002315,FALSE,authorised,L01XE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2012-02-16,NA,Genzyme Europe BV,Antineoplastic and immunomodulating agents,2011-11-17,2023-01-12,24,"Caprelsa is indicated for the treatment of aggressive and symptomatic medullary thyroid cancer (MTC) in patients with unresectable locally advanced or metastatic disease.Caprelsa is indicated in adults, children and adolescents aged 5 years and older.For patients in whom re-arranged-during-transfection(RET) mutation is not known or is negative, a possible lower benefit should be taken into account before individual treatment decision.",NA,2018-05-31T00:00:00Z,2023-03-09T18:00:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/caprelsa
human,Hukyndra,"Arthritis, Psoriatic;  Arthritis, Juvenile Rheumatoid;  Arthritis, Rheumatoid;  Colitis, Ulcerative;  Crohn Disease;  Hidradenitis Suppurativa;  Psoriasis;  Spondylitis, Ankylosing;  Uveitis",adalimumab,adalimumab,005548,FALSE,authorised,L04AB04,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2021-11-15,NA,Stada Arzneimittel AG,Immunosuppressants,2021-09-16,2023-03-09,4,"Rheumatoid arthritisHukyndra in combination with methotrexate, is indicated for:- the treatment of moderate to severe, active rheumatoid arthritis in adult patients when the response to disease-modifying anti-rheumatic drugs (DMARDs) including methotrexate has been inadequate.- the treatment of severe, active and progressive rheumatoid arthritis in adults not previously treated with methotrexate.Hukyndra can be given as monotherapy in case of intolerance to methotrexate or when continued treatment with methotrexate is inappropriate.Adalimumab has been shown to reduce the rate of progression of joint damage as measured by X-ray and to improve physical function, when given in combination with methotrexate.Juvenile idiopathic arthritisPolyarticular juvenile idiopathic arthritisHukyndra in combination with methotrexate is indicated for the treatment of active polyarticular juvenile idiopathic arthritis, in patients from the age of 2 years who have had an inadequate response to one or more DMARD. Hukyndra can be given as monotherapy in case of intolerance to methotrexate or when continued treatment with methotrexate is inappropriate (for the efficacy in monotherapy see section 5.1). Adalimumab has not been studied in patients aged less than 2 years.Enthesitis-related arthritisHukyndra is indicated for the treatment of active enthesitis-related arthritis in patients, 6 years of age and older, who have had an inadequate response to, or who are intolerant of, conventional therapy (see section 5.1).Axial spondyloarthritisAnkylosing spondylitis (AS)Hukyndra is indicated for the treatment of adults with severe active AS who have had an inadequate response to conventional therapy.Axial spondyloarthritis without radiographic evidence of ASHukyndra is indicated for the treatment of adults with severe axial spondyloarthritis without radiographic evidence of AS but with objective signs of inflammation by elevated CRP and/or MRI, who have had an inadequate response to, or are intolerant to nonsteroidal anti-inflammatory drugs (NSAIDs).Psoriatic arthritisHukyndra is indicated for the treatment of active and progressive psoriatic arthritis in adults when the response to previous DMARD therapy has been inadequate. Adalimumab has been shown to reduce the rate of progression of peripheral joint damage as measured by X-ray in patients with polyarticular symmetrical subtypes of the disease (see section 5.1) and to improve physical function.PsoriasisHukyndra is indicated for the treatment of moderate to severe chronic plaque psoriasis in adult patients who are candidates for systemic therapy.Paediatric plaque psoriasisHukyndra is indicated for the treatment of severe chronic plaque psoriasis in children and adolescents from 4 years of age who have had an inadequate response to or are inappropriate candidates for topical therapy and phototherapies.Hidradenitis suppurativa (HS)Hukyndra is indicated for the treatment of active moderate to severe HS (acne inversa) in adults and adolescents from 12 years of age with an inadequate response to conventional systemic HS therapy (see sections 5.1 and 5.2).Crohn’s diseaseHukyndra is indicated for treatment of moderately to severely active Crohn’s disease, in adult patients who have not responded despite a full and adequate course of therapy with a corticosteroid and/or an immunosuppressant; or who are intolerant to or have medical contraindications for such therapies.Paediatric Crohn's diseaseHukyndra is indicated for the treatment of moderately to severely active Crohn's disease in paediatric patients (from 6 years of age) who have had an inadequate response to conventional therapy including primary nutrition therapy and a corticosteroid and/or an immunomodulator, or who are intolerant to or have contraindications for such therapies.Ulcerative colitisHukyndra is indicated for treatment of moderately to severely active ulcerative colitis in adult patients who have had an inadequate response to conventional therapy including corticosteroids and 6-mercaptopurine (6-MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies.Paediatric ulcerative colitisHukyndra is indicated for the treatment of moderately to severely active ulcerative colitis in paediatric patients (from 6 years of age) who have had an inadequate response to conventional therapy including corticosteroids and/or 6-mercaptopurine (6-MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies.UveitisHukyndra is indicated for the treatment of non-infectious intermediate, posterior and panuveitis in adult patients who have had an inadequate response to corticosteroids, in patients in need of corticosteroid-sparing, or in whom corticosteroid treatment is inappropriate.Paediatric uveitisHukyndra is indicated for the treatment of paediatric chronic non-infectious anterior uveitis in patients from 2 years of age who have had an inadequate response to or are intolerant to conventional therapy, or in whom conventional therapy is inappropriate.",NA,2021-09-14T15:35:00Z,2023-03-09T16:35:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/hukyndra
human,Leflunomide medac,"Arthritis, Rheumatoid",leflunomide,leflunomide,001227,FALSE,authorised,L04AA13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2010-07-27,NA,medac Gesellschaft für klinische Spezialpräparate mbH,Selective immunosuppressants,NA,2023-03-07,18,"Leflunomide is indicated for the treatment of adult patients with:active rheumatoid arthritis as a 'disease-modifying antirheumatic drug' (DMARD).Recent or concurrent treatment with hepatotoxic or haematotoxic DMARDs (e.g. methotrexate) may result in an increased risk of serious adverse reactions, therefore, the initiation of leflunomide treatment has to be carefully considered regarding these benefit / risk aspects.Moreover, switching from leflunomide to another DMARD without following the washout procedure may also increase the risk of serious adverse reactions even for a long time after the switching.",NA,2018-01-30T14:10:00Z,2023-03-09T16:29:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/leflunomide-medac
human,Circadin,Sleep Initiation and Maintenance Disorders,melatonin,melatonin,000695,FALSE,authorised,N05CH01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2007-06-29,NA,RAD Neurim Pharmaceuticals EEC SARL,"Psycholeptics,",NA,2023-03-08,33,Circadin is indicated as monotherapy for the short-term treatment of primary insomnia characterised by poor quality of sleep in patients who are aged 55 or over.,NA,2018-07-26T00:00:00Z,2023-03-09T15:50:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/circadin
human,Omidria,"Lens Implantation, Intraocular;  Pain, Postoperative","phenylephrine, ketorolac","ketorolac, phenylephrine",003702,FALSE,authorised,S01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2015-07-28,NA,Rayner Surgical (Ireland) Limited,Ophthalmologicals,2015-05-21,2023-03-06,7,"Omidria is indicated in adults for maintenance of intraoperative mydriasis, prevention of intraoperative miosis and reduction of acute postoperative ocular pain in intraocular lens replacement surgery.",NA,2018-01-31T13:01:00Z,2023-03-09T15:25:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/omidria
