zone,latitude,longitude,comments
Africa/Abidjan,5.316666666666666,-4.033333333333333,NA
Africa/Algiers,36.78333333333333,3.05,NA
Africa/Bissau,11.85,-15.583333333333334,NA
Africa/Cairo,30.05,31.25,NA
Africa/Casablanca,33.65,-7.583333333333333,NA
Africa/Ceuta,35.88333333333333,-5.316666666666666,"Ceuta, Melilla"
Africa/El_Aaiun,27.15,-13.2,NA
Africa/Johannesburg,-26.25,28,NA
Africa/Juba,4.85,31.616666666666667,NA
Africa/Khartoum,15.6,32.53333333333333,NA
Africa/Lagos,6.45,3.4,West Africa Time
Africa/Maputo,-25.966666666666665,32.583333333333336,Central Africa Time
Africa/Monrovia,6.3,-10.783333333333333,NA
Africa/Nairobi,-1.2833333333333332,36.81666666666667,NA
Africa/Ndjamena,12.116666666666667,15.05,NA
Africa/Sao_Tome,0.3333333333333333,6.733333333333333,NA
Africa/Tripoli,32.9,13.183333333333334,NA
Africa/Tunis,36.8,10.183333333333334,NA
America/Adak,52.666666666666664,-177.13333333333333,Aleutian Islands
America/Anchorage,61.300000000000004,-149.91666666666669,Alaska (most areas)
America/Araguaina,-7.2,-48.2,Tocantins
America/Argentina/Buenos_Aires,-34.6,-58.45,"Buenos Aires (BA, CF)"
America/Argentina/Catamarca,-28.466666666666665,-65.78333333333333,Catamarca (CT); Chubut (CH)
America/Argentina/Cordoba,-31.4,-64.18333333333334,"Argentina (most areas: CB, CC, CN, ER, FM, MN, SE, SF)"
America/Argentina/Jujuy,-24.183333333333334,-65.3,Jujuy (JY)
America/Argentina/La_Rioja,-29.433333333333334,-66.85,La Rioja (LR)
America/Argentina/Mendoza,-32.88333333333333,-68.81666666666666,Mendoza (MZ)
America/Argentina/Rio_Gallegos,-51.63333333333333,-69.21666666666667,Santa Cruz (SC)
America/Argentina/Salta,-24.783333333333335,-65.41666666666667,"Salta (SA, LP, NQ, RN)"
America/Argentina/San_Juan,-31.533333333333335,-68.51666666666667,San Juan (SJ)
America/Argentina/San_Luis,-33.31666666666667,-66.35,San Luis (SL)
America/Argentina/Tucuman,-26.816666666666666,-65.21666666666667,Tucumán (TM)
America/Argentina/Ushuaia,-54.8,-68.3,Tierra del Fuego (TF)
