observed_month,prod_type,prod_process,n_hens,n_eggs,source
2016-07-31,hatching eggs,all,57975000,1147000000,ChicEggs-09-23-2016.pdf
2016-08-31,hatching eggs,all,57595000,1142700000,ChicEggs-10-21-2016.pdf
2016-09-30,hatching eggs,all,57161000,1093300000,ChicEggs-11-22-2016.pdf
2016-10-31,hatching eggs,all,56857000,1126700000,ChicEggs-12-23-2016.pdf
2016-11-30,hatching eggs,all,57116000,1096600000,ChicEggs-01-24-2017.pdf
2016-12-31,hatching eggs,all,57750000,1132900000,ChicEggs-02-28-2017.pdf
2017-01-31,hatching eggs,all,57991000,1123400000,ChicEggs-03-21-2017.pdf
2017-02-28,hatching eggs,all,58286000,1014500000,ChicEggs-04-21-2017.pdf
2017-03-31,hatching eggs,all,58735000,1128500000,ChicEggs-05-22-2017.pdf
2017-04-30,hatching eggs,all,59072000,1097200000,ChicEggs-06-23-2017.pdf
2017-05-31,hatching eggs,all,59411000,1138500000,ChicEggs-07-21-2017.pdf
2017-06-30,hatching eggs,all,59952000,1115900000,ChicEggs-08-22-2017.pdf
2017-07-31,hatching eggs,all,60220000,1170800000,ChicEggs-09-22-2017.pdf
2017-08-31,hatching eggs,all,60060000,1167100000,ChicEggs-10-23-2017.pdf
2017-09-30,hatching eggs,all,60202000,1120900000,ChicEggs-11-21-2017.pdf
2017-10-31,hatching eggs,all,60164000,1155000000,ChicEggs-12-22-2017.pdf
2017-11-30,hatching eggs,all,59927000,1112700000,ChicEggs-01-23-2018.pdf
2017-12-31,hatching eggs,all,60242000,1140200000,ChicEggs-02-27-2018.pdf
2018-01-31,hatching eggs,all,60845000,1143100000,ChicEggs-03-23-2018.pdf
2018-02-28,hatching eggs,all,61396000,1045599999.9999999,ChicEggs-04-23-2018.pdf
2018-03-31,hatching eggs,all,61967000,1166900000,ChicEggs-05-22-2018.pdf
2018-04-30,hatching eggs,all,62656000,1141300000,ChicEggs-06-22-2018.pdf
2018-05-31,hatching eggs,all,62789000,1189900000,ChicEggs-07-23-2018.pdf
2018-06-30,hatching eggs,all,62428000,1161400000,ChicEggs-08-21-2018.pdf
2018-07-31,hatching eggs,all,61783000,1199700000,ChicEggs-09-21-2018.pdf
2018-08-31,hatching eggs,all,61242000,1197600000,ChicEggs-10-22-2018.pdf
2018-09-30,hatching eggs,all,60921000,1153700000,ChicEggs-11-20-2018.pdf
2018-10-31,hatching eggs,all,60889000,1184200000,ChicEggs-12-21-2018.pdf
2018-11-30,hatching eggs,all,60878000,1146000000,ChicEggs-12-21-2018.pdf
2018-12-31,hatching eggs,all,61300000,1176500000,ChicEggs-02-26-2019.pdf
2019-01-31,hatching eggs,all,62176000,1181200000,ChicEggs-03-27-2019.pdf
2019-02-28,hatching eggs,all,62757000,1083100000,ChicEggs-04-22-2019.pdf
2019-03-31,hatching eggs,all,62825000,1202400000,ChicEggs-05-21-2019.pdf
2019-04-30,hatching eggs,all,62900000,1165600000,ChicEggs-06-21-2019.pdf
2019-05-31,hatching eggs,all,63211000,1213100000,ChicEggs-07-23-2019.pdf
2019-06-30,hatching eggs,all,62987000,1173700000,ChicEggs-08-23-2019.pdf
2019-07-31,hatching eggs,all,62412000,1208100000,ChicEggs-09-23-2019.pdf
2019-08-31,hatching eggs,all,61893000,1199700000,ChicEggs-10-22-2019.pdf
2019-09-30,hatching eggs,all,61683000,1155400000,ChicEggs-11-22-2019.pdf
2019-10-31,hatching eggs,all,62135000,1204400000,ChicEggs-12-23-2019.pdf
2019-11-30,hatching eggs,all,62469000,1169900000,ChicEggs-01-21-2020.pdf
2019-12-31,hatching eggs,all,63024000,1208000000,ChicEggs-02-28-2020.pdf
2020-01-31,hatching eggs,all,64019000,1221400000,ChicEggs-03-23-2020.pdf
2020-02-29,hatching eggs,all,64384000,1154100000,ChicEggs-04-21-2020.pdf
2020-03-31,hatching eggs,all,64730000,1239900000,ChicEggs-05-22-2020.pdf
2020-04-30,hatching eggs,all,65044000,1203500000,ChicEggs-06-22-2020.pdf
2020-05-31,hatching eggs,all,64481000,1239100000,ChicEggs-07-21-2020.pdf
2020-06-30,hatching eggs,all,64251000,1207400000,ChicEggs-08-21-2020.pdf
2020-07-31,hatching eggs,all,64353000,1255200000,ChicEggs-09-22-2020.pdf
2020-08-31,hatching eggs,all,64223000,1257100000,ChicEggs-10-23-2020.pdf
2020-09-30,hatching eggs,all,63975000,1219800000,ChicEggs-11-23-2020.pdf
2020-10-31,hatching eggs,all,63728000,1254800000,ChicEggs-12-22-2020.pdf
2020-11-30,hatching eggs,all,64171000,1212900000,ChicEggs-01-21-2021.pdf
2020-12-31,hatching eggs,all,64883000,1253900000,ChicEggs-02-26-2021.pdf
2021-01-31,hatching eggs,all,66112000,1267600000,ChicEggs-02-26-2021.pdf
2016-07-31,table eggs,all,299669000,7350500000,ChicEggs-09-23-2016.pdf
2016-08-31,table eggs,all,300917000,7409000000,ChicEggs-10-21-2016.pdf
2016-09-30,table eggs,all,303270000,7204200000,ChicEggs-11-22-2016.pdf
