"censusdate","month","day","year","treatment","plot","stake","species","sex","reprod","age","testes","vagina","pregnant","nipples","lactation","hfl","wgt","tag","note2","ltag","note3"
1978-01-08,1,8,1978,"exclosure",3,11,"OL",,,,,,,,,,,"0",,"0",
1978-01-08,1,8,1978,"exclosure",3,22,"NA",,,,,,,,,,,"0",,"0",
1978-01-08,1,8,1978,"exclosure",3,54,"PF","M",,,"S",,,,,15,7,"0",,"0",
1978-01-08,1,9,1978,"control",14,14,"OT",,,,,,,,,,,"0",,"0",
1978-01-08,1,9,1978,"control",17,14,"DM","M","Z",,,,,,,36,40,"4872",,"0",
1978-01-08,1,9,1978,"control",17,16,"DM","F",,,,"S",,,,34,37,"4881",,"0",
1978-01-08,1,9,1978,"control",17,26,"DS","F","Z",,,,,,,47,117,"4880",,"0",
1978-01-08,1,9,1978,"control",11,31,"DM","M","Z",,,,,,,36,40,"4883",,"0",
1978-01-08,1,9,1978,"control",4,34,"DS","M","Z",,,,,,,49,132,"4864",,"0",
1978-01-08,1,9,1978,"control",14,35,"OL",,,,,,,,,,,"0",,"0",
1978-01-08,1,9,1978,"control",11,36,"NA",,,,,,,,,,,"0",,"0",
1978-01-08,1,9,1978,"control",11,44,"DM","M","Z",,,,,,,38,44,"4389",,"0",
1978-01-08,1,9,1978,"control",14,46,"DM","F","Z",,,,,,,36,40,"4426",,"0",
1978-01-08,1,9,1978,"control",4,52,"DS","F","Z",,,,,,,50,126,"4886",,"0",
1978-01-08,1,9,1978,"control",11,52,"DS","F","Z",,,,,,,51,122,"4845",,"0",
1978-01-08,1,9,1978,"control",14,54,"NA",,,,,,,,,,,"0",,"0",
1978-01-08,1,9,1978,"control",14,57,"DS","F","Z",,,,,,,48,116,"4540",,"0",
1978-01-08,1,9,1978,"control",17,62,"DM","F","Z",,,,,,,36,38,"4879",,"0",
1978-01-08,1,9,1978,"control",11,67,"DM","F",,,,"S",,,,37,39,"4882",,"0",
1978-01-08,1,9,1978,"control",14,72,"DM","M","Z",,,,,,,36,46,"4876",,"0",
1978-01-08,1,9,1978,"control",17,74,"DS","M",,,"S",,,,,50,133,"4873",,"0",
1978-01-08,1,9,1978,"control",11,77,"DS","M",,,"S",,,,,53,136,"4388",,"0",
1978-01-08,1,10,1978,"exclosure",21,24,"OT",,,,,,,,,,,"0",,"0",
1978-01-08,1,10,1978,"exclosure",21,45,"OT",,,,,,,,,,,"0",,"0",
1978-02-18,2,18,1978,"exclosure",3,12,"OT","M",,,,,,,,,24,"4639",,"0",
1978-02-18,2,18,1978,"exclosure",3,54,"OT","F","Z",,,,,,,15,23,"0",,"0",
1978-02-18,2,19,1978,"control",17,16,"DM","F","Z",,,,,,,34,42,"4881",,"0",
1978-02-18,2,19,1978,"control",4,21,"DS","F",,,,,,"R",,49,,"4886",,"0",
1978-02-18,2,19,1978,"control",17,21,"DM","M","Z",,,,,,,37,39,"4872",,"0",
1978-02-18,2,19,1978,"exclosure",21,24,"OT","F","Z",,,,,,,20,23,"4683",,"0",
1978-02-18,2,19,1978,"control",4,26,"DS",,,,,,,,,,,"0",,"0",
1978-02-18,2,19,1978,"control",4,37,"DS","F",,,,,,"R",,49,124,"4889",,"0",
1978-02-18,2,19,1978,"control",11,43,"DM","M",,,"S",,,,,36,44,"4689",,"0",
1978-02-18,2,19,1978,"control",11,44,"DM","M",,,"S",,,,,38,48,"4389",,"0",
1978-02-18,2,19,1978,"control",14,45,"DS","F","Z",,,,,,,47,,"4540",,"0",
1978-02-18,2,19,1978,"control",14,46,"DM","F",,,,,,"R",,39,44,"4426",,"0",
1978-02-18,2,19,1978,"control",4,54,"PF",,,,,,,,,,,"0",,"0",
1978-02-18,2,19,1978,"control",17,55,"DS","F",,,,,,"R",,46,137,"4887",,"0",
1978-02-18,2,19,1978,"exclosure",21,56,"OT",,,,,,,,,,,"0",,"0",
1978-02-18,2,19,1978,"control",4,61,"DM","M","Z",,,,,,,35,39,"4641",,"0",
1978-02-18,2,19,1978,"control",17,62,"OL","F","Z",,,,,,,20,35,"4686",,"0",
1978-02-18,2,19,1978,"control",17,63,"DM",,,,,,,,,,,"0",,"0",
1978-02-18,2,19,1978,"control",11,65,"DM",,,,,,,,,,,"0",,"0",
1978-02-18,2,19,1978,"control",14,65,"NA",,,,,,,,,,197,"0",,"0",
1978-02-18,2,20,1978,"exclosure",15,24,"DM","M","Z",,,,,,,38,49,"4893",,"0",
1978-02-18,2,20,1978,"exclosure",15,42,"DM","M","Z",,,,,,,38,50,"0",,"0",
1978-02-18,2,20,1978,"exclosure",15,44,"DM","F","Z",,,,,,,35,40,"0",,"0",
1978-02-18,2,20,1978,"removal",16,,"DM","F",,,,"S",,,,37,46,"0",,"0",
1978-02-18,2,20,1978,"removal",16,,"DM","M","Z",,,,,,,35,48,"0",,"0",
1978-03-11,3,11,1978,"exclosure",3,23,"NA","M","Z",,,,,,,32,232,"4510",,"0",
1978-03-11,3,11,1978,"exclosure",3,31,"OT","F","Z",,,,,,,21,22,"4518",,"0",
1978-03-11,3,11,1978,"exclosure",3,73,"OT","M",,,"S",,,,,21,26,"4639",,"0",
1978-03-11,3,11,1978,"exclosure",3,75,"PF","M",,,"S",,,,,15,8,"110",,"0",
1978-03-11,3,12,1978,"control",4,16,"DS","M",,,"S",,,,,49,131,"4864",,"4513",
1978-03-11,3,12,1978,"control",17,21,"DM","M","Z",,,,,,,,,"4872",,"0",
1978-03-11,3,12,1978,"control",14,24,"DS","F",,,,"P",,,,,,"4540",,"4677",
1978-03-11,3,12,1978,"exclosure",21,24,"OT",,,,,,,,,,,"0",,"0",
1978-03-11,3,12,1978,"exclosure",21,31,"PF","F","Z",,,,,,,,,"-1",,"0",
1978-03-11,3,12,1978,"control",4,32,"DM","M","Z",,,,,,,35,43,"4641",,"0",
1978-03-11,3,12,1978,"control",17,32,"DS","F",,,,,,,,,,"4880",,"0",
1978-03-11,3,12,1978,"control",4,33,"PF",,,,,,,,,,,"8100",,"0",
1978-03-11,3,12,1978,"control",4,42,"DS","F","Z",,,,,,,48,141,"4886",,"0",
1978-03-11,3,12,1978,"control",11,43,"DS","M",,,"S",,,,,53,138,"4388",,"4680",
1978-03-11,3,12,1978,"control",11,44,"DM","M",,,"S",,,,,36,43,"4689",,"0",
1978-03-11,3,12,1978,"control",4,45,"DS","F",,,,"P",,"E",,50,124,"4889",,"4514",
1978-03-11,3,12,1978,"control",14,45,"DM",,,,,,,,,,,"0",,"0",
1978-03-11,3,12,1978,"exclosure",21,45,"OT","M",,,"S",,,,,,,"4676",,"0",
1978-03-11,3,12,1978,"control",11,46,"DM","F",,,,,,,,37,43,"4882",,"4681",
1978-03-11,3,12,1978,"control",17,47,"RM",,,,,,,,,,,"0",,"0",
1978-03-11,3,12,1978,"control",11,54,"DM","M","Z",,,,,,,36,46,"4382",,"0",
1978-03-11,3,12,1978,"control",14,54,"DM","F",,,,,"P",,,,,"4426",,"4675",
1978-03-11,3,12,1978,"control",17,57,"OL",,,,,,,,,,,"-1",,"0",
1978-03-11,3,12,1978,"control",17,62,"DS","M",,,,,,,,,,"4645",,"0",
1978-03-11,3,12,1978,"control",11,73,"DS","F","Z",,,,,,,,,"4845",,"4678",
1978-03-11,3,12,1978,"control",17,73,"OT","F",,"J",,,,,,,,"4646",,"0",
1978-03-11,3,12,1978,"control",17,74,"DM","F","Z",,,,,,,,,"4879",,"4648",
1978-03-11,3,13,1978,"exclosure",15,21,"DM","M","Z",,,,,,,36,48,"0",,"0",
1978-03-11,3,13,1978,"exclosure",15,26,"DM","F",,,,,"P",,,,44,"0",,"0",
1978-03-11,3,13,1978,"exclosure",15,27,"DM","M","Z",,,,,,,35,45,"0",,"0",
1978-03-11,3,13,1978,"removal",16,61,"OL","F","Z",,,,,,,,30,"4686",,"0",
1978-03-11,3,13,1978,"exclosure",15,63,"DM","M","Z",,,,,,,37,48,"4378",,"0",
1978-03-11,3,13,1978,"exclosure",15,,"DM","M","Z",,,,,,,36,46,"0",,"0",
1978-04-08,4,8,1978,"exclosure",3,41,"NA","F",,,,,,,"L",32,,"4661",,"0",
1978-04-08,4,8,1978,"exclosure",21,41,"OT","F","Z",,,,,,,20,,"4683",,"0",
1978-04-08,4,9,1978,"control",11,15,"DS","M",,,"S",,,,,52,131,"4388",,"4680",
1978-04-08,4,9,1978,"control",17,21,"DM","M","Z",,,,,,,36,42,"4872",,"0",
1978-04-08,4,9,1978,"control",17,37,"DM","F","Z",,,,,,,34,42,"4881",,"0",
1978-04-08,4,9,1978,"control",4,43,"DS","F","Z",,,,,,,49,121,"4886",,"0",
