feature_id,description,history
542,2.5 miles south of Maricopa (US-T121),NA
580,NA,Named in the 1890's by Josiah Harbert for his native town in California (AZ-T101).
765,NA,"A man named Thomas coined the fname in the 1890's from Ariz (Arizona) plus Ola, the name of his daughter (AZ-T101)."
895,NA,When a railroad station was established on the Avondale Ranch it was called 'Litchfield' and the post office established here in 1911 was named 'Avondale' (AZ-T101).
929,"On Third Mesa, 6.4 km (4 mi) NW of Kukotsmovi.",Hopi word for 'place of the jointed reed'.  A Hopi settlement (AZ-T101).
1006,NA,This is an Indian name reported to mean Indian woman 'with a long pointed nose' (AZ-T101).
1154,NA,Named for Will H. Beardsley who initiated an irrigation project here in 1888 (AZ-T101).
1248,NA,Founded in 1880.
1657,NA,"The name was changed from 'Uhs Kug' to 'Blackwater' by the Gila River Pima-Maricopa Indian Community Council on June 19, 1940 (US-T121)."
1887,NA,"Originally named for John Brayton Martin, who kept the Brayton Commercial Company, part of the Harqua Hala Mine.  Brayton post office, established in 1906, was changed to Bouse in 1907 at the request of local citizens.  The settlement was renamed for Thomas Bouse, a storekeeper or for George Bouse, a miner and gardener, or for both men (AZ-T101)."
2081,NA,"Named Buckeye in 1888 by Thomas Newton Clanton, G.L. Spain, and M.M. Jackson for the nickname of Ohio, the native state of Jackson and Clanton.  When a townsite was established on Clanton's land, he called it Sydney for Sydney, Ohio, his home town.  State supreme court action was needed to establish the name Buckeye in 1931 when the town was incorporated (AZ-T101)."
2511,NA,The town was located in 1910 on the section that Jim Cashion owned as Cashion Ranch in 1900 (AZ-T101).
2748,NA,"Named for Alexander John Chandler (1859-1950), firstA HIST surgeon (AZ-T101)."
2749,NA,"Named for Dr. Alexander John Chandler (1859-1950), first state veterinary surgeon 1887-1892, who created a corporation with C.A. Baldwin and others for raising citrus at this location (AZ-T101)."
2806,NA,This is a Papago Indian name meaning 'spring'.  The village was also called 'Copperosity' for the nearby Copperosity Mine.  It also may have been the 'Copperopolis' for which a post office was opened in 1884-85 (AZ-T101).
2910,NA,Name is a Papago Indian word meaning 'caves' (US-T121).
3195,NA,"Name derived from Coolidge Dam, the construction of which brought about the development of the area and town. A post office was established in 1926 (Granger, Byrd H., Arizona Place Names, 1982)."
3878,NA,This place was known as Desert Station in 1875 as it was a stage station.  The name was retained for many years.  It took its present form because it had a 120 foot well SW of Vicksburg (AZ-T101).
3954,NA,"Dennehotso is a Navajo word meaning ""where the green line ends""."
4007,NA,"A settlement called 'Gila City' rose when Jacob Snively found gold in 1858.  It appeared on maps in 1875 although the gold was all gone by 1865.  A house with a stable and corral were left by 1872.  However, when the rairoad came through, the name Dome was given to the station and siding because it was the shipping point for the Castle Dome and other mines.  A nearby post office named for Monitor became absorbed into the Dome Post Office which was established in 1890.  It was tempo rarily called 'Gila' in 1904, but reverted to Dome in 1905 (A Z-T101)."
4189,NA,"Named for Duncan Smith who was an owner of the Arizona Copper Company in 1883 or for the Duncan brothers, settlers who were killed by Apache Indians in 1885 (AZ-T101)."
4361,NA,"Reportedly called Mineral City when surveyed by Herman Ehrenberg, a German engineer, in 1863, and the resurveyed town was renamed for Ehrenberg in 1867 by Michael Goldwater, local store and ferry owner. Ehrenberg had come to Arizona with Charles D. Poston in 1854 and shot in California in 1866.  A post office was maintined in 1869-1913, and re-established in 1958.  A Wells Fargo Station existed in 1879 (AZ-T101)."
4421,NA,"The railroad switch ws named 'Eloi' by the Southern Pacific Railroad in 1902, but the Spanish form was adopted locally.  The townsite, established in 1918, was called 'Cotton City' for the cotton grown in the area, but Eloy prevailed as the post office, established in 1919, retained the old name for simplicity (AZ-T101)."
4533,"Located east of the San Pedro River, north of Arizona Route 82.","A ghost town.  Established in 1881 as a railroad stop.  Named for N.K. Fairbank, a Chicago merchant, a stockholder in the railroad, and an organizer of the Grand Central Mining Company."
4688,NA,"First settled in 1866 by Levi Ruggles, the settlement grew rapidly and was named in 1868 by Governor Richard McCormick for his sister."
5012,NA,"Named for the sweeping bend on the Gila River, also called Big Bend or Rinconada.  Named by Father Francisco Garces 'Santos Apostales San Simon y Judas' in 1774.  The Maricopa Indian name for a rancheria here was 'Upasoitac' - spelled in various ways - reported  by DeAnza.  A Maricopa village, 'Tezotas' or 'Tesota' (Ironwood) was reported here in 1854.  In 1858, a stage station, named 'Gila Ranch' was  established here (AZ-T101)."
5032,NA,Named for Robert Gilbert who donated the land for this settlement about 1910 (AZ-T101).
5060,NA,Named in 1892 when established by the New England Land Company and settled by the members  of the Church of the Brethern (AZ-T101).
5172,NA,Named for the Goodyear Tire and Rubber Company that developed Egyptian cotton production in the area in 1919.  The town was also called 'Egypt' (AZ-T101).
