Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.19,-0.25,-0.09,-0.17,-0.1,-0.21,-0.18,-0.11,-0.15,-0.24,-0.22,-0.18,-0.17,,,-0.12,-0.17,-0.2
1881,-0.2,-0.15,0.03,0.05,0.05,-0.19,0,-0.04,-0.16,-0.22,-0.19,-0.08,-0.09,-0.1,-0.18,0.04,-0.08,-0.19
1882,0.16,0.13,0.04,-0.16,-0.14,-0.22,-0.17,-0.08,-0.15,-0.24,-0.17,-0.36,-0.11,-0.09,0.07,-0.09,-0.16,-0.19
1883,-0.3,-0.37,-0.13,-0.19,-0.18,-0.08,-0.08,-0.14,-0.23,-0.12,-0.24,-0.11,-0.18,-0.2,-0.34,-0.17,-0.1,-0.2
1884,-0.13,-0.09,-0.37,-0.4,-0.34,-0.35,-0.31,-0.28,-0.28,-0.25,-0.34,-0.31,-0.29,-0.27,-0.11,-0.37,-0.32,-0.29
1885,-0.59,-0.34,-0.27,-0.42,-0.45,-0.44,-0.34,-0.32,-0.29,-0.24,-0.24,-0.11,-0.34,-0.35,-0.41,-0.38,-0.36,-0.25
1886,-0.44,-0.51,-0.43,-0.28,-0.24,-0.35,-0.18,-0.31,-0.24,-0.28,-0.28,-0.26,-0.32,-0.3,-0.35,-0.32,-0.28,-0.27
1887,-0.72,-0.57,-0.36,-0.35,-0.31,-0.25,-0.26,-0.36,-0.26,-0.36,-0.27,-0.33,-0.37,-0.36,-0.52,-0.34,-0.29,-0.29
1888,-0.34,-0.36,-0.41,-0.2,-0.22,-0.17,-0.11,-0.16,-0.12,0.01,0.03,-0.04,-0.17,-0.2,-0.34,-0.28,-0.14,-0.03
1889,-0.09,0.16,0.06,0.1,-0.01,-0.1,-0.08,-0.2,-0.24,-0.25,-0.33,-0.29,-0.11,-0.09,0.01,0.05,-0.13,-0.28
1890,-0.42,-0.45,-0.4,-0.3,-0.39,-0.25,-0.28,-0.39,-0.37,-0.25,-0.43,-0.31,-0.35,-0.35,-0.39,-0.36,-0.3,-0.35
1891,-0.33,-0.47,-0.18,-0.27,-0.16,-0.2,-0.17,-0.17,-0.15,-0.22,-0.31,-0.04,-0.22,-0.25,-0.37,-0.2,-0.18,-0.23
1892,-0.29,-0.11,-0.4,-0.33,-0.23,-0.22,-0.31,-0.27,-0.17,-0.14,-0.42,-0.38,-0.27,-0.25,-0.15,-0.32,-0.27,-0.24
1893,-0.81,-0.57,-0.22,-0.27,-0.33,-0.25,-0.14,-0.25,-0.22,-0.19,-0.19,-0.34,-0.32,-0.32,-0.59,-0.27,-0.21,-0.2
1894,-0.53,-0.31,-0.23,-0.45,-0.32,-0.41,-0.25,-0.25,-0.29,-0.24,-0.27,-0.22,-0.31,-0.32,-0.39,-0.34,-0.3,-0.26
1895,-0.43,-0.43,-0.34,-0.22,-0.28,-0.21,-0.18,-0.18,-0.12,-0.1,-0.17,-0.14,-0.23,-0.24,-0.36,-0.28,-0.19,-0.13
1896,-0.22,-0.12,-0.26,-0.3,-0.16,-0.11,-0.03,-0.05,-0.07,0.06,-0.04,-0.04,-0.11,-0.12,-0.16,-0.24,-0.06,-0.02
1897,-0.15,-0.16,-0.13,-0.02,-0.01,-0.11,-0.02,-0.09,-0.08,-0.12,-0.17,-0.2,-0.11,-0.09,-0.12,-0.06,-0.08,-0.13
1898,-0.02,-0.3,-0.51,-0.3,-0.3,-0.19,-0.23,-0.27,-0.21,-0.34,-0.38,-0.23,-0.27,-0.27,-0.17,-0.37,-0.23,-0.31
1899,-0.17,-0.39,-0.37,-0.21,-0.24,-0.32,-0.17,-0.08,-0.05,-0.04,0.13,-0.26,-0.18,-0.18,-0.26,-0.27,-0.19,0.01
1900,-0.36,-0.05,0.01,-0.08,-0.09,-0.09,-0.13,-0.09,-0.05,0.1,-0.06,-0.06,-0.08,-0.1,-0.22,-0.06,-0.1,-0.01
1901,-0.21,-0.11,0.06,-0.03,-0.15,-0.11,-0.14,-0.2,-0.22,-0.29,-0.18,-0.28,-0.16,-0.14,-0.13,-0.04,-0.15,-0.23
1902,-0.18,-0.06,-0.27,-0.28,-0.32,-0.3,-0.28,-0.3,-0.29,-0.29,-0.35,-0.41,-0.28,-0.27,-0.17,-0.29,-0.29,-0.31
1903,-0.23,-0.05,-0.22,-0.4,-0.39,-0.42,-0.35,-0.45,-0.49,-0.48,-0.43,-0.51,-0.37,-0.36,-0.23,-0.34,-0.41,-0.47
1904,-0.64,-0.58,-0.48,-0.5,-0.52,-0.48,-0.51,-0.49,-0.56,-0.39,-0.17,-0.33,-0.47,-0.49,-0.57,-0.5,-0.5,-0.37
1905,-0.35,-0.59,-0.22,-0.33,-0.29,-0.28,-0.26,-0.2,-0.19,-0.25,-0.07,-0.13,-0.26,-0.28,-0.42,-0.28,-0.25,-0.17
1906,-0.28,-0.29,-0.18,-0.05,-0.26,-0.2,-0.23,-0.2,-0.28,-0.2,-0.38,-0.15,-0.22,-0.22,-0.23,-0.16,-0.21,-0.29
1907,-0.43,-0.51,-0.27,-0.37,-0.46,-0.42,-0.35,-0.33,-0.34,-0.22,-0.46,-0.46,-0.39,-0.36,-0.36,-0.37,-0.37,-0.34
1908,-0.44,-0.33,-0.55,-0.44,-0.37,-0.38,-0.34,-0.46,-0.35,-0.43,-0.52,-0.49,-0.42,-0.42,-0.41,-0.45,-0.39,-0.44
1909,-0.72,-0.46,-0.54,-0.58,-0.54,-0.52,-0.45,-0.33,-0.39,-0.39,-0.32,-0.56,-0.48,-0.48,-0.55,-0.55,-0.43,-0.37
1910,-0.42,-0.4,-0.5,-0.42,-0.33,-0.38,-0.34,-0.36,-0.39,-0.41,-0.55,-0.68,-0.43,-0.42,-0.46,-0.42,-0.36,-0.45
1911,-0.63,-0.58,-0.62,-0.54,-0.51,-0.5,-0.41,-0.44,-0.41,-0.27,-0.21,-0.22,-0.45,-0.48,-0.63,-0.56,-0.45,-0.3
1912,-0.27,-0.16,-0.39,-0.18,-0.22,-0.24,-0.42,-0.55,-0.58,-0.58,-0.39,-0.43,-0.37,-0.35,-0.21,-0.26,-0.41,-0.52
1913,-0.4,-0.44,-0.42,-0.39,-0.43,-0.45,-0.36,-0.33,-0.34,-0.32,-0.19,-0.02,-0.34,-0.38,-0.42,-0.42,-0.38,-0.29
1914,0.05,-0.09,-0.23,-0.29,-0.21,-0.25,-0.23,-0.15,-0.16,-0.03,-0.15,-0.03,-0.15,-0.15,-0.02,-0.25,-0.21,-0.11
1915,-0.2,-0.04,-0.1,0.07,-0.06,-0.22,-0.13,-0.22,-0.2,-0.24,-0.13,-0.22,-0.14,-0.13,-0.09,-0.03,-0.19,-0.19
1916,-0.12,-0.14,-0.28,-0.3,-0.34,-0.49,-0.37,-0.28,-0.36,-0.34,-0.46,-0.82,-0.36,-0.31,-0.16,-0.31,-0.38,-0.39
1917,-0.57,-0.63,-0.63,-0.55,-0.55,-0.44,-0.26,-0.22,-0.23,-0.44,-0.34,-0.67,-0.46,-0.47,-0.67,-0.58,-0.3,-0.34
1918,-0.47,-0.34,-0.24,-0.44,-0.43,-0.36,-0.32,-0.32,-0.17,-0.06,-0.11,-0.29,-0.3,-0.33,-0.5,-0.37,-0.33,-0.12
1919,-0.2,-0.24,-0.21,-0.12,-0.28,-0.36,-0.29,-0.33,-0.25,-0.2,-0.41,-0.42,-0.28,-0.27,-0.24,-0.2,-0.33,-0.29
1920,-0.24,-0.26,-0.12,-0.24,-0.27,-0.36,-0.3,-0.26,-0.22,-0.27,-0.26,-0.47,-0.27,-0.27,-0.31,-0.21,-0.31,-0.25
1921,-0.05,-0.18,-0.23,-0.3,-0.3,-0.27,-0.14,-0.26,-0.19,-0.03,-0.14,-0.18,-0.19,-0.21,-0.23,-0.28,-0.23,-0.12
1922,-0.33,-0.44,-0.15,-0.23,-0.33,-0.3,-0.27,-0.33,-0.36,-0.33,-0.15,-0.19,-0.28,-0.28,-0.31,-0.23,-0.3,-0.28
1923,-0.28,-0.39,-0.34,-0.4,-0.33,-0.29,-0.31,-0.33,-0.31,-0.13,-0.02,-0.04,-0.26,-0.28,-0.28,-0.36,-0.31,-0.16
1924,-0.23,-0.24,-0.08,-0.31,-0.18,-0.26,-0.29,-0.36,-0.32,-0.35,-0.21,-0.43,-0.27,-0.24,-0.17,-0.19,-0.3,-0.29
1925,-0.39,-0.4,-0.27,-0.25,-0.29,-0.32,-0.26,-0.2,-0.19,-0.17,0.05,0.06,-0.22,-0.26,-0.4,-0.27,-0.26,-0.1
1926,0.2,0.03,0.11,-0.12,-0.23,-0.26,-0.27,-0.14,-0.15,-0.12,-0.06,-0.29,-0.11,-0.08,0.1,-0.08,-0.22,-0.11
1927,-0.27,-0.18,-0.38,-0.3,-0.25,-0.27,-0.18,-0.24,-0.13,-0.01,-0.05,-0.33,-0.22,-0.21,-0.25,-0.31,-0.23,-0.06
1928,-0.02,-0.09,-0.25,-0.27,-0.3,-0.38,-0.19,-0.22,-0.21,-0.19,-0.09,-0.16,-0.2,-0.21,-0.15,-0.27,-0.27,-0.16
1929,-0.45,-0.58,-0.33,-0.41,-0.38,-0.44,-0.37,-0.32,-0.25,-0.14,-0.11,-0.54,-0.36,-0.33,-0.4,-0.37,-0.38,-0.17
1930,-0.29,-0.27,-0.11,-0.25,-0.24,-0.22,-0.21,-0.15,-0.16,-0.12,0.17,-0.06,-0.16,-0.2,-0.37,-0.2,-0.19,-0.03
1931,-0.1,-0.21,-0.1,-0.22,-0.19,-0.08,-0.03,-0.04,-0.07,0.05,-0.06,-0.05,-0.09,-0.09,-0.12,-0.17,-0.05,-0.03
1932,0.16,-0.17,-0.17,-0.05,-0.17,-0.28,-0.24,-0.22,-0.1,-0.08,-0.27,-0.26,-0.16,-0.14,-0.02,-0.13,-0.25,-0.15
1933,-0.23,-0.29,-0.29,-0.24,-0.29,-0.34,-0.21,-0.23,-0.29,-0.25,-0.31,-0.44,-0.28,-0.27,-0.26,-0.27,-0.26,-0.28
1934,-0.21,-0.02,-0.29,-0.3,-0.09,-0.15,-0.1,-0.12,-0.15,-0.06,0.04,-0.02,-0.12,-0.16,-0.22,-0.23,-0.12,-0.06
1935,-0.33,0.14,-0.14,-0.36,-0.28,-0.26,-0.21,-0.22,-0.21,-0.05,-0.26,-0.16,-0.2,-0.18,-0.07,-0.26,-0.23,-0.17
1936,-0.27,-0.37,-0.2,-0.2,-0.16,-0.21,-0.09,-0.13,-0.09,-0.02,0.02,0,-0.14,-0.16,-0.27,-0.19,-0.14,-0.03
1937,-0.07,0.03,-0.2,-0.15,-0.05,-0.05,-0.03,0.02,0.09,0.09,0.09,-0.07,-0.03,-0.02,-0.01,-0.14,-0.02,0.09
1938,0.08,0.03,0.1,0.06,-0.09,-0.17,-0.09,-0.05,0.01,0.15,0.08,-0.12,0,0,0.02,0.02,-0.1,0.08
1939,-0.05,-0.06,-0.17,-0.09,-0.04,-0.07,-0.06,-0.06,-0.07,-0.03,0.07,0.44,-0.02,-0.06,-0.08,-0.1,-0.06,-0.01
1940,0,0.08,0.09,0.18,0.11,0.12,0.13,0.07,0.15,0.12,0.17,0.32,0.13,0.14,0.17,0.13,0.1,0.14
1941,0.18,0.31,0.1,0.17,0.17,0.13,0.22,0.15,0.02,0.35,0.23,0.22,0.19,0.19,0.27,0.15,0.17,0.2
1942,0.29,0.03,0.05,0.09,0.11,0.05,0,-0.04,-0.03,0.02,0.1,0.13,0.07,0.07,0.18,0.09,0.01,0.03
1943,-0.01,0.17,-0.03,0.11,0.07,-0.05,0.09,0.01,0.05,0.23,0.2,0.24,0.09,0.08,0.1,0.05,0.02,0.16
1944,0.36,0.25,0.26,0.2,0.2,0.16,0.18,0.18,0.28,0.26,0.11,0.04,0.21,0.22,0.28,0.22,0.17,0.22
1945,0.1,0.01,0.06,0.19,0.06,0,0.03,0.26,0.2,0.18,0.07,-0.07,0.09,0.1,0.05,0.1,0.1,0.15
1946,0.15,0.03,0.02,0.06,-0.07,-0.21,-0.12,-0.2,-0.08,-0.07,-0.05,-0.31,-0.07,-0.05,0.04,0,-0.18,-0.07
1947,-0.06,-0.07,0.07,0.06,-0.02,-0.01,-0.04,-0.07,-0.12,0.07,0.03,-0.13,-0.02,-0.04,-0.15,0.04,-0.04,-0.01
1948,0.07,-0.14,-0.24,-0.12,-0.01,-0.05,-0.11,-0.12,-0.14,-0.05,-0.12,-0.24,-0.11,-0.1,-0.07,-0.12,-0.09,-0.1
1949,0.07,-0.14,-0.02,-0.11,-0.1,-0.27,-0.13,-0.13,-0.14,-0.06,-0.1,-0.18,-0.11,-0.11,-0.1,-0.08,-0.18,-0.1
