state,date_named,language,words_in_original,meaning
Alabama,1692-04-19,Choctaw/Alabama,alba amo/Albaamaha,"'Thicket-clearers' or 'plant-cutters', from alba, '(medicinal) plants', and amo, 'to clear'. The modern Choctaw name for the tribe is Albaamu."
Alaska,1666-12-02,Aleut via Russian,alaxsxaq via Аляска (Alyaska),'Mainland' (literally 'the object towards which the action of the sea is directed').
Arizona,1883-02-01,Basque,aritz ona,'The good oak'.
Arizona,1883-02-01,Oʼodham via Spanish,ali ṣona-g via Arizonac,'Having a little spring'.
Arkansas,1796-07-20,"Kansa, Quapaw via Miami-Illinois and French",akakaze via Arcansas,"Borrowed from a French spelling of a Miami-Illinois rendering of the tribal name kką:ze (see Kansas, below), which the Miami and Illinois used to refer to the Quapaw."
California,1850-05-22,Spanish,california,Probably named for the fictional Island of California ruled by Queen Calafia in the 16th-century novel Las sergas de Esplandián by Garci Rodríguez de Montalvo..mw-parser-output .hatnote{font-style:italic}.mw-parser-output div.hatnote{padding-left:1.6em;margin-bottom:0.5em}.mw-parser-output .hatnote i{font-style:normal}.mw-parser-output .hatnote+link+.hatnote{margin-top:-0.5em}See also: Etymology of California
Colorado,1743-01-01,Spanish,colorado,"'Ruddy' or 'red', originally referring to the Colorado River."
Connecticut,1696-04-15,"Eastern Algonquian, Mohegan-Pequot",quinnitukqut,"From some Eastern Algonquian language of southern New England (perhaps Mahican), meaning 'at the long tidal river', after the Connecticut River. The name reflects Proto-Eastern-Algonquian *kwən-, 'long'; *-əhtəkw, 'tidal river'; and *-ənk, the locative suffix)."
Delaware,1680-01-31,French via English,de la Warr,"After the Delaware River, which was named for Lord de la Warr (originally probably Norman French de la guerre or de la werre, 'of the war').Lord de la Warr was the first Governor-General of the Colony of Virginia."
Florida,1513-04-02,Spanish,(pascua) florida,"'Flowery (Easter)' (to distinguish it from Christmastide, which was also called Pascua), in honor of its discovery by the Spanish during the Easter season."
Georgia,1674-10-03,Latin via English (ultimately from Greek),Georgius,"The feminine Latin form of ""George"", named after King George II of Great Britain. It was also a reference to Saint George, whose name was derived from the Greek word georgos, meaning 'husbandman' or 'farmer', from ge 'earth' + ergon 'work'."
Hawaii,1879-12-29,Hawaiian,Hawaiʻi,"Either from Hawaiki, legendary homeland of the Polynesians (Hawaiki is believed to mean 'place of the gods'), or named for Hawaiʻiloa, legendary discoverer of the Hawaiian Islands."
Idaho,1864-06-06,Germanic,Idaho,"Probably made up by George M. ""Doc"" Willing as a practical joke in reference to the name Ida; originally claimed to have been derived from a word in a Native American language that meant 'Gem of the Mountains'. The name was initially proposed for the Territory of Colorado until its origins were discovered. Years later it fell into common usage, and was proposed for the Territory of Idaho instead."
Idaho,1864-06-06,Plains Apache,ídaahę́,"Possibly from the Plains Apache word for 'enemy' (ídaahę́), which was used to refer to the Comanches."
Illinois,1793-03-24,"Algonquian, Miami-Illinois via French",ilenweewa,"The state is named for the French adaptation of an Algonquian language (perhaps Miami-Illinois) word apparently meaning 'speaks normally' (cf. Miami-Illinois ilenweewa,Ojibwe <ilinoüek>,Proto-Algonquian *elen-, 'ordinary', and -we·, 'to speak'), referring to the Illiniwek (Illinois)."
Indiana,1794-12-02,Latin (ultimately from Proto-Indo-Iranian),indiāna,"'Land of the Indians'. The names ""Indians"" and ""India"" come, via Latin, Greek, Old Persian and Sanskrit, from Proto-Indo-Iranian *sindhu-, which originally referred to the Indus River."
Iowa,1818-08-31,"Dakota, Chiwere via French",ayúxba / ayuxwe via Aiouez,"Via French Aiouez, and named after the Iowa tribe. This demonym has no further known etymology, though some give it the meaning 'sleepy ones'."
Kansas,1832-05-12,Kansa via French,kką:ze via Cansez,"Named after the Kansas River, which in turn was named after the Kaw or Kansas tribe. The name seems to be connected to the idea of ""wind""."
Kentucky,1728-04-28,Iroquoian,(see Meaning and notes),"Originally referring to the Kentucky River. While some sources say the etymology is uncertain, most agree on a meaning of '(on) the meadow' or '(on) the prairie' (cf. Mohawk kenhtà:ke, Seneca gëdá’geh (phonemic /kẽtaʔkeh/), 'at the field')."
Louisiana,1787-07-18,French (ultimately from Frankish),Louisiane,"After King Louis XIV of France. The name Louis itself comes from Frankish hluda, 'heard of, famous' (cf. loud) + wiga, 'war'."
Maine,1729-10-13,English,main,"A common historical etymology is that the name refers to the mainland, as opposed to the coastal islands."
Maine,1729-10-13,French,Maine,After the French province of Maine.
Maine,1729-10-13,English,(Broad)mayne,"A more recent proposal is that the state was named after the English village of Broadmayne, which was the family estate of Sir Ferdinando Gorges, the colony's founder."
Maryland,1691-01-18,English (ultimately from Hebrew),Myriam,"After Queen Henrietta Maria, wife of King Charles I of England. The name Mary originally meant 'bitterness' or 'rebelliousness' in Hebrew, and could also have come from the Egyptian word for 'beloved' or 'love'."
Massachusetts,1665-06-04,"Eastern Algonquian, Massachusett",muhsachuweesut,"Plural of muswachusut, meaning 'near the great little-mountain' or 'at the great hill', which is usually identified as Great Blue Hill on the border of Milton and Canton, Massachusetts (cf. the Narragansett name Massachusêuck)."
Michigan,1811-10-28,Ojibwe via French,ᒥᔑᑲᒥ (mishigami),"'Large water' or 'large lake' (in Old Algonquin, *meshi-gami)."
