season,sauce_number,sauce_name,scoville
1,1,Texas Pete Original Hot Sauce,747
1,2,Cholula Original Hot Sauce,3600
1,3,El Yucateco Caribbean Hot Sauce – Chile Habanero,5790
1,4,Lottie's Traditional Barbados Yellow Hot Pepper Sauce,12000
1,5,Pain is Good – Louisiana Style,13000
1,6,Pain 100%,20600
1,7,Blair's Original Death Sauce with Chipotle,30000
1,8,Dave's Gourmet Temporary Insanity,57000
1,9,Dave's Gourmet Insanity Hot Sauce,180000
1,10,Mad Dog 357,357000
2,1,Sriracha,2200
2,2,Tapatío,3000
2,3,El Yucateco – Chile Habanero,5790
2,4,Pain is Good – Louisiana Style,13000
2,5,Hot Ones – Fiery Chipotle,15600
2,6,High River – Rogue,34000
2,7,Pain 100%,40600
2,8,Da' Bomb – Beyond Insanity,135600
2,9,Mad Dog 357,357000
2,10,Blair's Mega Death Sauce,550000
3,1,Huy Fong Sriracha,2200
3,2,Tabasco,4000
3,3,El Yucateco Chile Habanero,5790
3,4,Queen Majesty – Red Habanero and Black Coffee,14000
3,5,Hot Ones – Fiery Chipotle,15600
3,6,Bravado Spice Company – Ghost Pepper and Blueberry,28000
3,7,Torchbearer Sauces – Zombie Apocalypse Sauce,100000
3,8,Da' Bomb Beyond Insanity,135600
3,9,Mad Dog 357,357000
3,10,Blair's Mega Death Sauce,550000
4,1,Valentina Black Label,2100
4,2,Crystal,3000
4,3,Secret Aardvark,5000
4,4,Queen Majesty – Scotch Bonnet and Ginger,9000
4,5,Hot Ones – Fiery Chipotle,15600
4,6,Dirty Dicks,21000
4,7,Zombie Apocalypse Ghost Chili Sauce,100000
4,8,Da' Bomb Beyond Insanity,135600
4,9,Blair's Mega Death Sauce,550000
4,10,The Last Dab,2000000
5,1,Humble House Ancho & Morita,450
5,2,Original Louisiana Hot Sauce,550
5,3,Small Axe Peppers – The Bronx Greenmarket Hot Sauce,5500
5,4,Hot Ones – Fiery Chipotle,15600
5,5,Adoboloco Hawaiian Hot Sauce Hamajang Kiawe Smoked Ghost Pepper,32000
5,6,Karma Sauce Extreme Karma,56000
5,7,Dawson's Original Hot Sauce,82000
5,8,Da' Bomb Beyond Insanity,135600
5,9,Mad Dog 357 – 25th Anniversary Edition,1000000
5,10,Hot Ones – The Last Dab (Reaper Edition),2000000
6,1,Howler Monkey – Original,600
6,2,Heartbeat Hot Sauce – Red Habanero,4000
6,3,Pirate's Lantern – Pepper Sauce,7500
6,4,Son of Zombie – Torchbearer,24000
6,5,Hot Ones – Los Calientes,36000
6,6,Bravado Spice Company – Black Garlic Carolina Reaper Sauce,71000
6,7,Bunsters – Black Label,99000
6,8,Da' Bomb Beyond Insanity,135600
6,9,Hell Fire Hot Sauce – Fiery Fool,550000
6,10,Hot Ones – The Last Dab Reduxx,2000000
7,1,Hot Ones – The Classic,1800
7,2,Humble House Guajillo & Red Jalapeño,2100
7,3,Butterfly Bakery of Vermont – Maple Wood Smoked Onion,7900
7,4,Small Axe Peppers – Habanero Mango,22500
7,5,Hot Ones – Los Calientes,36000
7,6,Clark and Hopkins – Assam,55000
7,7,Culley's – Fire Water,112000
7,8,Da' Bomb Beyond Insanity,135600
7,9,Burns & McCoy – Exhorresco,625000
7,10,Hot Ones – The Last Dab Reduxx,2000000
8,1,Hot Ones – The Classic,1800
8,2,Angry Goat – Hippy Dippy Green,2300
8,3,Paddy O's Potion,8800
8,4,High River Sauces Cheeba Gold,25300
8,5,Hot Ones – Los Calientes,36000
8,6,Adoboloco Kolohe Kid,61000
8,7,Torchbearer – Garlic Reaper,116000
8,8,Da' Bomb – Beyond Insanity,135600
8,9,Hellfire – Fear This,679000
8,10,Hot Ones – The Last Dab: Reduxx,2000000
9,1,Hot Ones – The Classic,1800
9,2,Sauce Bae Skinny Habanero,2500
9,3,Shaquanda's Hot Pepper,10100
9,4,Lucky Dog Year of The Dog Thai Chile Pineapple,29800
9,5,Hot Ones – Los Calientes,36000
9,6,Hell Fire Detroit Habanero,66000
9,7,Wiltshire Chilli Farm Trinidad Scorpion,104000
9,8,Da' Bomb Beyond Insanity,135600
9,9,Puckerbutt Chocolate Plague,690000
9,10,Hot Ones – The Last Dab Reduxx,2000000
10,1,Hot Ones – The Classic,1800
10,2,Small Axe Peppers – The Chicago Red Hot Jalapeño Hot Sauce,2800
10,3,Heartbeat Hot Sauce – Pineapple Habanero,12200
10,4,Hot Ones – Los Calientes,36000
10,5,Torchbearer Headless Horseradish,52000
10,6,Adoboloco Fiya!Fiya!,77000
10,7,Bravado Spice Company – Aka Miso Ghost Reaper,116000
10,8,Da' Bomb Beyond Insanity,135600
10,9,Karma Sauce – Burn After Eating,669000
10,10,Hot Ones – The Last Dab XXX,2000000
11,1,Hot Ones – The Classic,1800
11,2,Cantina Royal – Tamaulipeka,4200
11,3,Fiji Fire – Native Bongo Chilli Hot Sauce,14300
11,4,Double Take Salsa Co. – Scotch Bonnet Mustard,37000
11,5,Hot Ones – Los Calientes Rojo,49000
11,6,Seed Ranch – Hot Thai Green,74000
11,7,Pepper North – Stargazer,118000
11,8,Da' Bomb Beyond Insanity,135600
11,9,Dingo Sauce Co. – Widow Maker,682000
11,10,Hot Ones – The Last Dab XXX,2000000
12,1,Hot Ones – The Classic (Garlic Fresno Edition),1700
12,2,Steel City Sauce Co – Jade Jaguar,3600
12,3,Fresco Sauce Co – Chipotle & Habanero,12400
12,4,Hotter Than El – Ghost Sauce,39000
12,5,Hot Ones – Los Calientes Rojo,49000
12,6,Seafire Gourmet – Reaper,72000
12,7,Volcanic Pepper's – Thor's Hammer,121000
12,8,Da' Bomb – Beyond Insanity,135600
12,9,Monoloco – Pierde Almas,665000
12,10,Hot Ones – The Last Dab XXX,2000000
13,1,Hot Ones – The Classic (Garlic Fresno Edition),1700
13,2,Dawson's – Shawarma Sauce,4200
13,3,Shaquanda's – West Indian Curry,14000
13,4,Angry Goat Pepper Company – Goat Rider,43500
13,5,Hot Ones – Los Calientes Rojo,49000
13,6,Heartbeat Hot Sauce Company – Scorpion,66000
13,7,Hell Fire Detroit – Bourbon Habanero Ghost,89000
13,8,Da' Bomb – Beyond Insanity,135600
13,9,PuckerButt Pepper Company – Chipotle eXpress,669000
13,10,Hot Ones – The Last Dab: Apollo,2000000
14,1,Hot Ones – The Classic,1800
14,2,Hot N Saucy – Garlic N Peperoncini,3900
14,3,Mark's – Barbados Style,15500
14,4,Hellfire – Devil's Blend,42000
14,5,Hot Ones – Los Calientes Rojo,49000
14,6,High River Sauces – Tears of the Sun Private Reserve,69000
14,7,Torchbearer Sauces – Honey Badger,99000
14,8,Da' Bomb – Beyond Insanity,135600
14,9,Hot Ones – Eye of the Scorpion,676000
14,10,Hot Ones – The Last Dab: Apollo,2000000
15,1,Hot Ones – The Classic,1800
15,2,Savir Foods – Jala Pepa,4000
15,3,Cantina Royal – Tomasa,18000
15,4,Hot Ones – Los Calientes Barbacoa Hot Sauce,33000
15,5,The Original Goat – Ginger Goat,55000
15,6,High Desert Sauce Co. – Tikk-Hot Masala,72000
15,7,Hotter Than El – Love Burns,101000
15,8,Da' Bomb – Beyond Insanity,135600
15,9,Karma Sauce – Scorpion Disco,649000
15,10,Hot Ones – The Last Dab: Apollo,2000000
16,1,Hot Ones – The Classic (Garlic Fresno Edition),1700
16,2,Yellowbird Foods – Bliss & Vinegar,6200
16,3,Hoff & Pepper – Hoff's Haus Sauce,14500
16,4,Hot Ones – Los Calientes,36000
16,5,Hot Heads Official – Revolutionary Hot Sauce,57000
16,6,Señor Lechuga – .718 Hot Sauce,67000
16,7,Chile Lengua de Fuego – Bhutila Fire Hot Sauce,118000
16,8,Da' Bomb – Beyond Insanity,135600
16,9,Hellfire – Kranked Hot Sauce,699000
16,10,Hot Ones – The Last Dab: Apollo,2000000
17,1,Hot Ones – The Classic,1800
17,2,Dawson's Hot Sauce – Cedar Smoked Garlic,7000
17,3,Clark + Hopkins – Calabria Hot Sauce,15700
17,4,Angry Goat Pepper Co. – The Phoenix,39000
17,5,Hot Ones – Los Calientes Rojo,49000
17,6,Queen Majesty – Cocoa Ghost Hot Sauce,71000
17,7,13 Angry Scorpions – Jekyll & Hyde,109000
17,8,Da' Bomb – Beyond Insanity,135600
17,9,Puckerbutt Pepper Company – Extra Mean Green Hot Sauce,702000
17,10,Hot Ones – The Last Dab: Apollo,2000000
18,1,Hot Ones -The Classic (Garlic Fresno Edition),1800
18,2,Adoboloco – Island Wings,5500
18,3,Burns & McCoy – Mezcaline Oaxacan Hot Sauce,16600
18,4,Hot Ones – Los Calientes Verde,36000
18,5,Sauce Leopard – The Seventh Reaper,59000
18,6,Hot N Saucy – Collards N Ghost,70000
18,7,Halogi Hot Sauce – Tyrfing's Curse,99000
18,8,Da' Bomb – Beyond Insanity,135600
18,9,Dingo Sauce Co. – Psycho Hot Sauce,666000
18,10,Hot Ones – The Last Dab: Apollo,2000000
19,1,Hot Ones – The Classic (Chili Maple Edition),1600
19,2,Sinai Gourmet – Tropiquanté,4000
19,3,Microsaucerie Piko Peppers – Piko Riko,15500
19,4,Hot Ones – Los Calientes Barbacoa Hot Sauce,33000
19,5,Fly By Jing – Sichuan Gold,46000
19,6,Chili Lengua de Fuego – Turmeric Bomb,69000
19,7,Karma Sauce – Cosmic Disco,103000
19,8,Da' Bomb – Beyond Insanity,135600
19,9,Puckerbutt Pepper Co. – Unique Garlique,642000
19,10,Hot Ones – The Last Dab: Apollo,2000000
20,1,Hot Ones – The Classic (Chili Maple Edition),1600
20,2,Shaquanda's – Banjee Ranch,6200
20,3,Donis – Cadejo,15000
20,4,Hot Ones – Los Calientes Verde Hot Sauce,36000
20,5,Brooklyn Delhi – Bhut Jolokia Ghost Pepper,39000
20,6,Torchbearer Sauces – Mushroom Mayhem,68000
20,7,Angry Goat Pepper – Dream of Calypso Private Reserve,101000
20,8,Da' Bomb – Beyond Insanity,135600
20,9,Butterfly Bakery – Taco Vibes Only,638000
20,10,Hot Ones – The Last Dab: Apollo,2000000
21,1,Hot Ones – The Classic (Chili Maple Edition),1600
21,2,La Pimenterie – Curry Vierde,6000
21,3,The Crabby Shack – Zesty Lemon Pepper,15500
21,4,Chili Lengua de Fuego – Chicho-Ghost,36500
21,5,Hot Ones – Los Calientes Rojo Hot Sauce,49000
21,6,The Spicy Shark – Mako Snake,71000
21,7,Adoboloco Jalapeño Chico,103000
21,8,Da' Bomb – Beyond Insanity,135600
21,9,Alchemy Peppers – Watermelon Ghost,641000
21,10,Hot Ones – The Last Dab: Apollo,2000000
