season,episodes,note,original_release,last_release
1,8,NA,2015-03-12,2015-10-22
2,40,NA,2015-12-10,2016-12-22
3,24,NA,2017-01-19,2017-06-29
4,24,NA,2017-07-20,2017-12-28
5,16,NA,2018-01-18,2018-05-03
6,13,NA,2018-06-07,2018-09-06
7,12,NA,2018-10-04,2018-12-20
8,12,NA,2019-01-24,2019-04-11
9,12,1 bonus,2019-05-30,2019-09-05
10,12,NA,2019-09-19,2019-12-05
11,9,NA,2020-01-18,2020-04-09
12,10,NA,2020-06-25,2020-08-27
13,11,NA,2020-10-01,2020-12-10
14,12,NA,2021-01-28,2021-04-15
15,12,NA,2021-05-27,2021-08-12
16,14,NA,2021-09-23,2021-12-23
17,12,NA,2022-01-20,2022-04-07
18,12,NA,2022-05-26,2022-08-11
19,12,NA,2022-09-29,2022-12-22
20,12,NA,2023-01-26,2023-04-13
21,NA,NA,2023-05-25,NA
