crl.tot,dollar,bang,money,n000,make,yesno
278,0,0.778,0,0,0,y
1028,0.18,0.372,0.43,0.43,0.21,y
2259,0.184,0.276,0.06,1.16,0.06,y
191,0,0.137,0,0,0,y
191,0,0.135,0,0,0,y
54,0,0,0,0,0,y
112,0.054,0.164,0,0,0,y
49,0,0,0,0,0,y
1257,0.203,0.181,0.15,0,0.15,y
749,0.081,0.244,0,0.19,0.06,y
21,0,0.462,0,0,0,y
184,0,0.663,0,0,0,y
261,0,0.786,0,0,0,y
25,0,0,0,0,0,y
205,0,0.357,0,0.35,0,y
249,0.063,0.572,0.42,0,0,y
107,0,0.428,0,0,0,y
461,0.37,1.975,0,0.7,0,y
70,0,0.455,0,0,0,y
186,0.496,0.055,0.63,0.31,0,y
23,0,0.729,0,0,0,y
2259,0.046,0.25,0,0.05,0.05,y
34,0,0.809,0,0,0,y
69,0,0.667,0,0,0,y
82,0.196,0.392,0,0,0,y
2258,0.046,0.25,0,0.05,0.05,y
82,0.196,0.392,0,0,0,y
47,0,0.368,3.33,0,0,y
36,0,0.352,0,0,0,y
129,0,0.091,0.65,0,0,y
59,0,0.886,0,0,1.17,y
43,0,2.112,0,0,0,y
89,0.091,0,0.27,0,0,y
17,0.302,0,0,0,0,y
264,0,0,0,0,0,y
25,0,1.543,0,0,0,y
29,0,0.873,0,0,0,y
239,0.244,0.488,0,0.48,0,y
186,0,0.963,0,0,0,y
285,0,0.75,0,0,0,y
226,0.207,0.207,0.61,0.3,0.3,y
28,0,0.671,0,0,0,y
28,0,0.711,0,0,0,y
68,0,0.426,0,0,0,y
339,0.036,0.813,0,0,0,y
774,0.068,1.318,0.3,0,0.15,y
442,0.167,0.01,0.06,0.84,0.18,y
94,0,0.17,0,0.49,0.49,y
3040,0.756,0.325,0.36,1.05,0.46,y
898,0.23,0.278,0.26,0.19,0.46,y
33,0,0,0,0,0,y
179,0.332,0.498,0,1.83,0.73,y
750,0.071,0.244,0,0.19,0.06,y
69,0.596,0.198,1.26,0,0,y
176,0.333,0.5,0,1.83,0.73,y
106,0,1.478,0,0,0,y
146,0.061,0.615,0,0,0,y
51,0,0,0,0,0,y
200,0,1.501,0,0,0,y
284,0,0.669,0,0,0,y
249,0,0,0,0,0,y
66,0,0.175,0.23,0,0.23,y
75,0,0,0,0,0,y
96,0.048,0.048,0,0,0,y
180,0.019,0.019,0,0.12,0.12,y
121,0,2.205,0,0,0.66,y
194,0.294,0.589,0.48,0,0,y
17,0,0.5,0,0,0,y
303,0.351,1.053,0.3,0,0.3,y
141,0.1,0,0,1.96,0,y
290,0,0.537,0,0,0,y
187,0,0.877,0,0,0,y
281,0,0.807,0,0,0,y
110,0.223,0.298,0,0.46,0,y
236,0.243,0.486,0,0.48,0,y
318,0,1.366,0,1.88,0,y
100,0.082,0.165,0,0,0,y
1066,0.234,0.437,0.75,0.44,0.75,y
175,0,0.132,0,0.62,0,y
10,0.338,0,0,0,0,y
114,0,1.431,0,0,0,y
519,0,0.197,0.47,0,0,y
61,0,0.495,0,0.72,0,y
43,0,0.724,0,1.28,0,y
118,0,0.834,0,0,0,y
213,0.214,0.571,0.46,0,0,y
158,0.061,0.061,0.38,0,0,y
107,0,0.268,0,0,0,y
845,0.085,0.096,0.06,0,0.06,y
38,0,0,0,0,0,y
194,0.333,1.083,0,0,0,y
3038,0.764,0.322,0.34,1.05,0.47,y
2453,0.532,0.613,0.63,0.59,0.59,y
2453,0.531,0.612,0.63,0.59,0.59,y
102,0.823,0.082,0,1.38,0.46,y
91,0,0,0,0.46,0,y
313,0,1.284,0,0,0,y
222,0,0.736,0,0,0,y
191,0,0.31,0,0.6,0,y
114,0.527,0.461,0.41,0,1.24,y
30,0,0.38,0,0,0,y
292,0,0.662,0,0.64,0,y
66,0,1.529,0,0,0,y
292,0,0.662,0,0.64,0,y
66,0,1.529,0,0,0,y
292,0,0.662,0,0.64,0,y
66,0,1.529,0,0,0,y
168,0,0.462,0,0.79,0,y
66,0,1.529,0,0,0,y
74,0,0,0,0,0,y
36,0,1.907,0,0,0,y
67,0,0,0,0,0,y
211,0.177,0,0,0,0,y
78,0,0,0,0,0,y
507,0.119,0,0.12,1.13,0.12,y
146,0,0.542,0,0,0,y
588,0.118,0.054,0.2,0.15,0.05,y
583,0.118,0.054,0.2,0.15,0.05,y
308,0,0.542,0,0,0,y
195,0.331,1.158,0,0,0,y
588,0.118,0.054,0.2,0.15,0.05,y
583,0.118,0.054,0.2,0.15,0.05,y
2413,1.281,0.335,0.5,0.5,0.5,y
982,0.024,0.271,0,0,0,y
278,0.322,0.092,0,0.61,0,y
657,0.054,1.194,0.33,0,0.16,y
164,0.178,0.089,0,0,0.5,y
170,0,0.427,0.59,0,0,y
114,0.212,0.706,0,0,0,y
450,0.149,0.97,0.41,0.82,0.41,y
285,0.179,0.598,0,0.38,0,y
95,0,0.121,0.4,0,0,y
144,0,0.606,0,0,0,y
174,0.174,0.299,0,0.64,0,y
76,0.431,0.215,0,2.53,0,y
730,0.16,0.16,0,0.19,0,y
730,0.16,0.16,0,0.19,0,y
304,0.541,0.12,0.33,1.66,1,y
11,0,0,0,0,0,y
69,0,0,0,0,0,y
304,0.541,0.12,0.33,1.66,1,y
36,0.279,0.558,0,0,0,y
2413,1.281,0.335,0.5,0.5,0.5,y
36,0.279,0.558,0,0,0,y
13,0,0.715,0,0,0,y
77,0.431,0.215,0,2.53,0,y
304,0.541,0.12,0.33,1.66,1,y
1001,0.023,0.865,0,0,0,y
123,0.126,0.063,0.72,0,0.36,y
131,0.121,0.565,0.27,0,0,y
114,0,0.261,1.56,0,0.39,y
190,0.33,1.32,0,0,0,y
33,0,0.2,0,0,0.67,y
120,0,1.055,0,0,0,y
203,0,0.484,0,0,0,y
38,0,0,0,0,0,y
291,0.117,0.117,0,0,0,y
117,0,0.135,0,0,0,y
200,0,1.088,0.42,0,0.42,y
607,0.185,0,0,0,0,y
642,0.146,0.146,0,0,0,y
102,0.816,0.081,0,1.38,0.46,y
437,0,0.265,0,0,0.14,y
119,0,0,0,0,0,y
102,0.816,0.081,0,1.38,0.46,y
111,0,0.517,0.62,0,0.62,y
108,0,0,0,0,0,y
260,0,0.7,0,0,0,y
944,0.024,0.567,0,0,0,y
172,0,0.518,0.57,0,0,y
566,0,0.31,0.52,0,0.52,y
574,0.013,0.095,0.08,0.34,0.17,y
172,0,0.892,0,0,0,y
130,0,1.443,0,0,0,y
49,0,0.889,0,0.78,0,y
85,0,0.968,0,1.02,0,y
11,0,0,0,0,0,y
152,0.145,0.944,0.44,0,0.44,y
326,0,0.583,0,0,0,y
85,0,0.969,0,1.02,0,y
694,0.258,0.258,0.34,0.34,0.34,y
537,0.259,0.259,0.34,0.34,0.34,y
179,0,0.835,0.43,0,0.43,y
153,0.144,1.083,0.44,0,0.44,y
68,0,0.118,0,0,0,y
7,0,1.754,0,0,0,y
303,0.14,0.032,0.23,0.23,0,y
66,0,0,0,0,0,y
