year,sample_size,employment,members,covered,p_members,p_covered,facet
1973,49095,75519.29120000095,18088.569929999903,NA,0.23952250182628632,NA,all wage and salary workers
1974,48245,77101.09793000149,18176.475030000118,NA,0.23574858903884888,NA,all wage and salary workers
1975,46488,75703.92288000004,16778.279919999986,NA,0.22163026034832,NA,all wage and salary workers
1976,47648,78776.94195000037,17402.984899999974,NA,0.22091470658779144,NA,all wage and salary workers
1977,57191,81334.12743000114,19335.100770000052,21534.59938000003,0.23772433400154114,0.2647670805454254,all wage and salary workers
1978,57321,84966.08006999941,19548.35166999991,21897.53620999992,0.23007242381572723,0.2577209174633026,all wage and salary workers
1979,58080,87116.57393000081,20986.147840000056,23540.077420000132,0.2408972978591919,0.2702135443687439,all wage and salary workers
1980,68594,87479.50369999958,20095.262389999974,22493.37342999994,0.22971394658088684,0.2571273446083069,all wage and salary workers
1981,15433,89538.04880000003,19137.320520000023,21453.08392000005,0.21373394131660461,0.2395974099636078,all wage and salary workers
1983,173932,88289.51670000106,17717.378961666738,20532.145869999884,0.2006736397743225,0.23255474865436554,all wage and salary workers
1984,177248,92194.16197750246,17339.762930833444,19931.519052500164,0.18807874619960785,0.21619068086147308,all wage and salary workers
1985,180232,94520.52392166715,16996.100797499992,19358.122423333236,0.17981386184692383,0.20480337738990784,all wage and salary workers
1986,179147,96902.55108249965,16975.179737500046,19277.84865249993,0.17517784237861633,0.19894057512283325,all wage and salary workers
1987,180434,99302.7461049994,16913.06435999991,19050.957252500008,0.17031820118427277,0.19184723496437073,all wage and salary workers
1988,173118,101407.44810666739,17001.66458083348,19241.32212750014,0.16765695810317993,0.18974268436431885,all wage and salary workers
1989,176411,103479.62824833297,16960.451555833326,19197.560827500005,0.16390135884284973,0.185520201921463,all wage and salary workers
1990,185030,104875.54395833529,16775.97025249998,19105.112886666586,0.15996074676513672,0.1821693778038025,all wage and salary workers
1991,179560,103722.607225834,16611.82471666667,18789.857096666725,0.1601562649011612,0.18115489184856415,all wage and salary workers
1992,176846,104668.28627250153,16418.236650833343,18578.465915833345,0.15685971081256866,0.17749851942062378,all wage and salary workers
1993,174595,106101.26934833342,16627.47050833344,18682.441715833407,0.15671320259571075,0.17608122527599335,all wage and salary workers
1994,170804,107987.75679540967,16740.348000691647,18842.47810624165,0.1550208032131195,0.1744871735572815,all wage and salary workers
1995,170307,110038.123638408,16359.589281249964,18346.32566363321,0.14867201447486877,0.1667269915342331,all wage and salary workers
1996,152190,111960.2534778087,16269.35964118337,18158.117253683333,0.14531370997428894,0.16218359768390656,all wage and salary workers
1997,154955,114533.04828369987,16109.923143549899,17923.00497078308,0.1406574249267578,0.1564876288175583,all wage and salary workers
1998,156990,116729.91252352542,16211.411566950042,17918.332167016728,0.1388796716928482,0.15350249409675598,all wage and salary workers
1999,159378,118963.49529266727,16476.692962966736,18182.277794566682,0.1385020911693573,0.15283913910388947,all wage and salary workers
2000,161126,120785.62531066053,16258.172888916648,17944.135678799965,0.13460354506969452,0.14856185019016266,all wage and salary workers
2001,171533,120707.62323302537,16288.771418533248,17878.084075924944,0.13494402170181274,0.14811064302921295,all wage and salary workers
2002,184137,119979.24687530934,15978.70488841677,17501.635449025114,0.13317890465259552,0.14587219059467316,all wage and salary workers
2003,180830,122357.87796185087,15775.972832874904,17448.363455866576,0.12893304228782654,0.14260105788707733,all wage and salary workers
2004,177858,123553.8795975277,15471.604411400069,17087.306393008403,0.12522152066230774,0.1382984220981598,all wage and salary workers
