Category,Subcategory,country_iso3,region_code,population,hoursPerDayCombined,uncertaintyCombined
Food provision,Food preparation,ABW,AM_C,101665,1.47,0.23763034562920785
Food provision,Food growth & collection,ABW,AM_C,101665,0.17,0.02687976510331488
Food provision,Food processing,ABW,AM_C,101665,0,0.0075264607911538
Nonfood provision,Materials,ABW,AM_C,101665,0.03,0.00207159470893514
Nonfood provision,Energy,ABW,AM_C,101665,0.05,0.00359679000796284
Technosphere modification,Infrastructure,ABW,AM_C,101665,0.07,7.9458342417194e-4
Technosphere modification,Buildings,ABW,AM_C,101665,0.22,0.01386789731616375
Technosphere modification,Artifacts,ABW,AM_C,101665,0.25,0.01551531761936432
Maintenance of surroundings,Inhabited environment,ABW,AM_C,101665,1.41,0.21175147137401265
Somatic maintenance,Sleep & bedrest,ABW,AM_C,101665,8.21,3.8838580704242074
Maintenance of surroundings,Waste management,ABW,AM_C,101665,0.02,7.5072818383471e-4
Somatic maintenance,Physical child care,ABW,AM_C,101665,0.7,0.07098434543021044
Somatic maintenance,Health care,ABW,AM_C,101665,0.47,0.04452763009626755
Somatic maintenance,Hygiene & grooming,ABW,AM_C,101665,0.93,3.0208712593909075
Deliberate neural restructuring,Schooling & research,ABW,AM_C,101665,1.22,0.31053287732867507
Deliberate neural restructuring,Religious practice,ABW,AM_C,101665,0.23,0.1533568594404754
Organization,Human transportation,ABW,AM_C,101665,0.73,0.5989549784482262
Organization,Material transportation,ABW,AM_C,101665,0.12,0.03951826562964056
Organization,Allocation,ABW,AM_C,101665,1.54,0.13039501687790178
Experience oriented,Social,ABW,AM_C,101665,1,0.9608902532700082
Experience oriented,Active recreation,ABW,AM_C,101665,0.46,0.10062422984757433
Experience oriented,Meals,ABW,AM_C,101665,1.27,3.2601218279034234
Experience oriented,Passive,ABW,AM_C,101665,2.12,1.1261164583519725
Experience oriented,Interactive,ABW,AM_C,101665,1.28,0.571126721903284
Food provision,Food preparation,AFG,AS_S,36296111,1.14,0.185846162341059
Food provision,Food growth & collection,AFG,AS_S,36296111,0.88,0.15736248498884797
Food provision,Food processing,AFG,AS_S,36296111,0.1,0.00661110457816708
Nonfood provision,Materials,AFG,AS_S,36296111,0.04,0.00117857903833651
