album_name,ep,album_release,track_number,track_name,artist,featuring,bonus_track,promotional_release,single_release,track_release,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode,lyrics
Taylor Swift,FALSE,2006-10-24,1,Tim McGraw,Taylor Swift,NA,FALSE,NA,2006-06-19,2006-06-19,0.58,0.491,0,-6.462,1,0.0251,0.575,0,0.121,0.425,76.009,4,232107,FALSE,C,major,C major,
Taylor Swift,FALSE,2006-10-24,2,Picture To Burn,Taylor Swift,NA,FALSE,NA,2008-02-03,2006-10-24,0.658,0.877,7,-2.098,1,0.0323,0.173,0,0.0962,0.821,105.586,4,173067,FALSE,G,major,G major,
Taylor Swift,FALSE,2006-10-24,3,Teardrops On My Guitar,Taylor Swift,NA,FALSE,NA,2007-02-19,2006-10-24,0.621,0.417,10,-6.941,1,0.0231,0.288,0,0.119,0.289,99.953,4,203040,FALSE,A#,major,A# major,
Taylor Swift,FALSE,2006-10-24,4,A Place In This World,Taylor Swift,NA,FALSE,NA,NA,2006-10-24,0.576,0.777,9,-2.881,1,0.0324,0.051,0,0.32,0.428,115.028,4,199200,FALSE,A,major,A major,
Taylor Swift,FALSE,2006-10-24,5,Cold As You,Taylor Swift,NA,FALSE,NA,NA,2006-10-24,0.418,0.482,5,-5.769,1,0.0266,0.217,0,0.123,0.261,175.558,4,239013,FALSE,F,major,F major,
Taylor Swift,FALSE,2006-10-24,6,The Outside,Taylor Swift,NA,FALSE,NA,NA,2006-10-24,0.589,0.805,5,-4.055,1,0.0293,0.00491,0,0.24,0.591,112.982,4,207107,FALSE,F,major,F major,
Taylor Swift,FALSE,2006-10-24,7,Tied Together With A Smile,Taylor Swift,NA,FALSE,NA,NA,2006-10-24,0.479,0.578,2,-4.963,1,0.0294,0.525,0,0.0841,0.192,146.165,4,248107,FALSE,D,major,D major,
Taylor Swift,FALSE,2006-10-24,8,Stay Beautiful,Taylor Swift,NA,FALSE,NA,NA,2006-10-24,0.594,0.629,8,-4.919,1,0.0246,0.0868,0,0.137,0.504,131.597,4,236053,FALSE,G#,major,G# major,
Taylor Swift,FALSE,2006-10-24,9,Should've Said No,Taylor Swift,NA,FALSE,NA,2008-05-18,2006-10-24,0.476,0.777,4,-3.771,0,0.0289,0.0103,0,0.196,0.472,167.964,4,242200,FALSE,E,minor,E minor,
Taylor Swift,FALSE,2006-10-24,10,Mary's Song (Oh My My My),Taylor Swift,NA,FALSE,NA,NA,2006-10-24,0.403,0.627,2,-5.28,1,0.0292,0.0177,0,0.182,0.374,74.9,4,213080,FALSE,D,major,D major,
Taylor Swift,FALSE,2006-10-24,11,Our Song,Taylor Swift,NA,FALSE,NA,2007-09-09,2006-10-24,0.668,0.672,2,-4.931,1,0.0303,0.111,0,0.329,0.539,89.011,4,201107,FALSE,D,major,D major,
Taylor Swift,FALSE,2006-10-24,12,I'm Only Me When I'm With You,Taylor Swift,NA,TRUE,NA,NA,2008-03-18,0.563,0.934,8,-3.629,1,0.0646,0.00452,8.07e-4,0.103,0.518,143.964,4,213053,FALSE,G#,major,G# major,
Taylor Swift,FALSE,2006-10-24,13,Invisible,Taylor Swift,NA,TRUE,NA,NA,2008-03-18,0.612,0.394,7,-5.723,1,0.0243,0.637,0,0.147,0.233,96.001,4,203227,FALSE,G,major,G major,
Taylor Swift,FALSE,2006-10-24,14,A Perfectly Good Heart,Taylor Swift,NA,TRUE,NA,NA,2008-03-18,0.483,0.751,4,-5.726,1,0.0365,0.00349,0,0.128,0.268,156.092,4,220147,FALSE,E,major,E major,
Taylor Swift,FALSE,2006-10-24,15,Teardrops On My Guitar (Pop Version),Taylor Swift,NA,TRUE,NA,NA,2008-03-18,0.459,0.753,10,-3.827,1,0.0537,0.0402,0,0.0863,0.483,199.997,4,179067,FALSE,A#,major,A# major,
Fearless (Taylor's Version),FALSE,2021-04-09,1,Fearless (Taylor's Version),Taylor Swift,NA,FALSE,NA,NA,2021-04-09,0.569,0.741,5,-4.963,1,0.0282,0.0122,0,0.333,0.43,100.118,4,241592,FALSE,F,major,F major,
Fearless (Taylor's Version),FALSE,2021-04-09,2,Fifteen (Taylor's Version),Taylor Swift,NA,FALSE,NA,NA,2021-04-09,0.559,0.646,7,-4.61,1,0.0272,0.116,0,0.32,0.289,95.466,4,294419,FALSE,G,major,G major,
Fearless (Taylor's Version),FALSE,2021-04-09,3,Love Story (Taylor's Version),Taylor Swift,NA,FALSE,NA,2021-02-12,2021-02-12,0.627,0.792,2,-4.311,1,0.031,0.13,3.97e-6,0.0845,0.415,119.054,4,235767,FALSE,D,major,D major,
Fearless (Taylor's Version),FALSE,2021-04-09,4,Hey Stephen (Taylor's Version),Taylor Swift,NA,FALSE,NA,NA,2021-04-09,0.788,0.571,6,-6.135,1,0.0296,0.106,0,0.0934,0.797,115.99,4,254255,FALSE,F#,major,F# major,
