year,month,births
1991,1,32213
1991,2,30345
1991,3,34869
1991,4,35398
1991,5,36371
1991,6,34378
1991,7,35436
1991,8,34421
1991,9,34410
1991,10,33092
1991,11,30766
1991,12,32117
1992,1,31982
1992,2,31572
1992,3,34972
1992,4,35265
1992,5,36096
1992,6,33832
1992,7,35260
1992,8,32970
1992,9,33709
1992,10,32188
1992,11,30165
1992,12,31098
1993,1,31031
1993,2,29601
1993,3,34339
1993,4,34196
1993,5,34857
1993,6,33497
1993,7,34008
1993,8,32768
1993,9,33224
1993,10,31336
1993,11,29582
1993,12,30598
1994,1,30310
1994,2,29242
1994,3,34155
1994,4,33228
1994,5,34576
1994,6,33707
1994,7,33758
1994,8,33019
1994,9,32711
1994,10,31037
1994,11,29982
1994,12,30518
1995,1,30006
1995,2,29076
1995,3,33448
1995,4,31765
1995,5,34593
1995,6,33055
1995,7,33339
1995,8,32814
1995,9,32608
1995,10,30807
1995,11,28770
1995,12,28404
1996,1,29435
1996,2,28843
1996,3,31816
1996,4,31834
1996,5,33150
1996,6,31368
1996,7,32493
1996,8,31334
1996,9,30928
1996,10,29944
1996,11,27384
1996,12,28304
1997,1,28473
1997,2,26621
1997,3,30096
1997,4,30737
1997,5,31834
1997,6,30077
1997,7,31114
1997,8,29321
1997,9,29322
1997,10,28336
1997,11,26334
1997,12,27278
1998,1,27246
1998,2,26484
1998,3,29821
1998,4,30314
1998,5,30877
1998,6,29399
1998,7,30329
1998,8,28998
1998,9,29703
1998,10,27940
1998,11,25461
1998,12,26394
1999,1,26996
1999,2,25691
1999,3,29330
1999,4,28592
1999,5,30051
1999,6,29387
1999,7,30227
1999,8,28444
1999,9,29254
1999,10,27257
1999,11,25708
1999,12,26884
2000,1,27288
2000,2,26245
2000,3,29277
2000,4,28257
2000,5,29881
2000,6,28820
2000,7,28606
2000,8,27802
2000,9,26954
2000,10,25899
2000,11,24968
2000,12,24599
2001,1,26823
2001,2,25447
2001,3,29261
2001,4,28894
2001,5,29970
2001,6,28638
2001,7,29169
2001,8,28874
2001,9,28327
2001,10,27713
2001,11,25892
2001,12,25607
2002,1,26853
2002,2,24814
2002,3,27901
2002,4,27739
2002,5,28892
2002,6,27350
2002,7,29099
2002,8,28798
2002,9,28997
2002,10,27968
2002,11,25921
2002,12,25562
2003,1,26360
2003,2,24980
2003,3,28198
2003,4,27932
2003,5,29505
2003,6,28320
2003,7,30400
2003,8,29093
2003,9,29662
2003,10,28947
2003,11,26206
2003,12,26749
2004,1,27145
2004,2,25815
2004,3,29041
2004,4,28538
2004,5,28870
2004,6,28885
2004,7,29655
2004,8,29257
2004,9,29588
2004,10,28283
2004,11,26871
2004,12,27064
2005,1,27338
2005,2,25123
2005,3,29503
2005,4,29139
2005,5,30032
2005,6,29980
2005,7,30464
2005,8,30353
2005,9,30398
2005,10,28956
2005,11,27163
2005,12,26916
2006,1,28247
2006,2,26253
2006,3,29800
2006,4,28917
2006,5,31264
2006,6,30431
2006,7,31155
2006,8,32134
2006,9,31903
2006,10,30695
2006,11,28742
2006,12,28380
2007,1,29272
2007,2,27121
2007,3,30555
2007,4,30187
2007,5,31986
2007,6,31805
2007,7,32613
2007,8,33191
2007,9,32301
2007,10,31974
2007,11,29925
2007,12,29439
2008,1,30494
2008,2,29391
2008,3,31221
2008,4,31517
2008,5,32930
2008,6,31996
2008,7,34205
2008,8,33249
2008,9,34108
2008,10,32856
2008,11,29721
2008,12,30172
2009,1,30667
2009,2,28544
2009,3,32266
2009,4,31788
2009,5,33119
2009,6,32562
2009,7,34623
2009,8,33558
2009,9,34105
2009,10,33101
2009,11,30242
2009,12,30076
2010,1,30504
2010,2,27878
2010,3,32434
2010,4,31607
2010,5,32084
2010,6,31947
2010,7,32896
2010,8,32896
2010,9,33554
2010,10,32692
2010,11,30308
2010,12,30391
2011,1,30367
2011,2,28096
2011,3,31450
2011,4,30869
2011,5,32640
2011,6,32506
2011,7,33823
2011,8,33677
2011,9,33569
2011,10,32040
2011,11,30527
2011,12,29680
2012,1,30697
2012,2,29262
2012,3,31464
2012,4,31010
2012,5,32826
2012,6,31760
2012,7,33632
2012,8,34548
2012,9,33351
2012,10,33071
2012,11,31160
2012,12,30320
2013,1,31165
2013,2,28536
2013,3,31322
2013,4,30818
2013,5,32951
2013,6,31735
2013,7,34087
2013,8,33832
2013,9,33126
2013,10,32687
2013,11,30045
2013,12,30750
2014,1,31332
2014,2,28505
2014,3,31689
2014,4,31109
2014,5,33510
2014,6,32205
2014,7,34874
2014,8,33848
2014,9,33892
2014,10,32880
2014,11,30432
2014,12,30301
2015,1,31032
2015,2,28342
2015,3,31415
2015,4,31600
2015,5,32677
2015,6,32546
2015,7,34697
2015,8,33521
2015,9,33688
2015,10,32510
2015,11,30387
2015,12,30564
2016,1,30629
2016,2,29365
2016,3,32158
2016,4,31664
2016,5,32708
2016,6,32409
2016,7,34233
2016,8,34429
2016,9,34093
2016,10,32140
2016,11,30246
2016,12,29949
2017,1,30349
2017,2,28305
2017,3,31351
2017,4,30701
2017,5,32359
2017,6,32176
2017,7,33595
2017,8,33735
2017,9,32875
2017,10,31984
2017,11,30410
2017,12,29787
2018,1,30516
2018,2,27677
2018,3,31131
2018,4,30404
2018,5,32844
2018,6,31773
2018,7,33270
2018,8,33626
2018,9,32394
2018,10,31730
2018,11,29923
2018,12,29329
2019,1,30165
2019,2,27473
2019,3,30689
2019,4,30441
2019,5,32214
2019,6,31596
2019,7,33965
2019,8,33454
2019,9,32446
2019,10,31667
2019,11,29558
2019,12,29310
2020,1,30186
2020,2,27899
2020,3,30588
2020,4,30119
2020,5,31320
2020,6,30406
2020,7,32435
2020,8,31434
2020,9,31065
2020,10,30097
2020,11,27777
2020,12,27475
2021,1,27692
2021,2,27358
2021,3,31633
2021,4,30311
2021,5,32180
2021,6,32410
2021,7,33610
2021,8,32917
2021,9,32753
2021,10,31231
2021,11,29430
2021,12,28630
2022,1,28557
2022,2,26246
2022,3,28785
2022,4,28473
2022,5,30371
2022,6,30108
2022,7,31322
2022,8,31706
2022,9,30472
2022,10,29671
2022,11,28428
2022,12,27540
