player_id,first_name,last_name,birth_date,birth_city,birth_country,birth_state_province,birth_year,birth_month
8467867,Bryan,Adams,1977-03-20,Fort St. James,CAN,British Columbia,1977,3
8445176,Donald,Audette,1969-09-23,Laval,CAN,Quebec,1969,9
8460014,Eric,Bertrand,1975-04-16,St-Ephrem,CAN,Quebec,1975,4
8460510,Jason,Botterill,1976-05-19,Edmonton,CAN,Alberta,1976,5
8459596,Andrew,Brunette,1973-08-24,Sudbury,CAN,Ontario,1973,8
8445733,Kelly,Buchberger,1966-12-02,Langenburg,CAN,Saskatchewan,1966,12
8460573,Hnat,Domenichelli,1976-02-17,Edmonton,CAN,Alberta,1976,2
8459450,Shean,Donovan,1975-01-22,Timmins,CAN,Ontario,1975,1
8446675,Nelson,Emerson,1967-08-17,Hamilton,CAN,Ontario,1967,8
8446823,Ray,Ferraro,1964-08-23,Trail,CAN,British Columbia,1964,8
8447071,Johan,Garpenlov,1968-03-21,Stockholm,SWE,NA,1968,3
8460482,Stephen,Guolla,1973-03-15,Toronto,CAN,Ontario,1973,3
8460524,Matt,Johnson,1975-11-23,Welland,CAN,Ontario,1975,11
8459571,Andreas,Karlsson,1975-08-19,Ludvika,SWE,NA,1975,8
8458888,Denny,Lambert,1970-01-07,Wawa,CAN,Ontario,1970,1
8458649,Martin,Prochazka,1972-03-03,Slany,CZE,NA,1972,3
8451673,Mike,Stapleton,1966-05-05,Sarnia,CAN,Ontario,1966,5
8467055,Patrik,Stefan,1980-09-16,Pribram,CZE,NA,1980,9
8459562,Per,Svartvadet,1975-05-17,Ornskoldsvik,SWE,NA,1975,5
8459414,Dean,Sylvester,1972-12-30,Hanson,USA,Massachusetts,1972,12
8465975,Herbert,Vasiljevs,1976-05-27,Riga,LVA,NA,1976,5
8458587,Vladimir,Vujtek,1972-02-17,Ostrava,CZE,NA,1972,2
8458348,Ed,Ward,1969-11-10,Edmonton,CAN,Alberta,1969,11
8462090,Petr,Buzek,1977-04-26,Jihlava,CZE,NA,1977,4
8465122,Brett,Clark,1976-12-23,Wapella,CAN,Saskatchewan,1976,12
8456024,Kevin,Dean,1969-04-01,Madison,USA,Wisconsin,1969,4
8459482,Maxim,Galanov,1974-03-13,Krasnoyarsk,RUS,NA,1974,3
8456514,David,Harlock,1971-03-16,Toronto,CAN,Ontario,1971,3
8467949,Frantisek,Kaberle,1973-11-08,Kladno,CZE,NA,1973,11
8459098,Geordie,Kinnear,1973-07-09,Simcoe,CAN,Ontario,1973,7
8457264,Chris,Mcalpine,1971-12-01,Roseville,USA,Minnesota,1971,12
8449754,Gord,Murphy,1967-02-23,Willowdale,CAN,Ontario,1967,2
8460004,Ruman,Ndur,1975-07-07,Zaria,NGA,NA,1975,7
8451333,Darryl,Shannon,1968-06-21,Barrie,CAN,Ontario,1968,6
8458541,Steve,Staios,1973-07-28,Hamilton,CAN,Ontario,1973,7
8458179,Chris,Tamer,1970-11-17,Dearborn,USA,Michigan,1970,11
8462177,Yannick,Tremblay,1975-11-15,Pointe-aux-Trembles,CAN,Quebec,1975,11
8462097,Sergei,Vyshedkevich,1975-01-03,Moscow,RUS,NA,1975,1
8460761,Scott,Fankhouser,1975-07-01,Bismarck,USA,North Dakota,1975,7
8459453,Scott,Langkow,1975-04-21,Edmonton,CAN,Alberta,1975,4
8459549,Norm,Maracle,1974-10-02,Belleville,CAN,Ontario,1974,10
8457791,Damian,Rhodes,1969-05-28,St. Paul,USA,Minnesota,1969,5
8451834,Rick,Tabaracci,1969-01-02,Toronto,CAN,Ontario,1969,1
8468660,Darcy,Hordichuk,1980-08-10,Kamsack,CAN,Saskatchewan,1980,8
8462107,Tomi,Kallio,1977-01-27,Turku,FIN,NA,1977,1
8460663,Ladislav,Kohn,1975-03-04,Uherské Hradiste,CZE,NA,1975,3
8457566,Jeff,Odgers,1969-05-31,Spy Hill,CAN,Saskatchewan,1969,5
8458575,Yves,Sarault,1972-12-23,Valleyfield,CAN,Quebec,1972,12
8451392,Jarrod,Skalde,1971-02-26,Niagara Falls,CAN,Ontario,1971,2
8467658,Dan,Snyder,1978-02-23,Kitchener,CAN,Ontario,1978,2
8468444,Brad,Tapper,1978-04-28,Scarborough,CAN,Ontario,1978,4
8468443,Jean-Pierre,Vigier,1976-09-11,Notre Dame de Lourdes,CAN,Manitoba,1976,9
8445783,Adam,Burt,1969-01-15,Detroit,USA,Michigan,1969,1
8448380,Chris,Joseph,1969-09-10,Burnaby,CAN,British Columbia,1969,9
8468427,Brian,Pothier,1977-04-15,New Bedford,USA,Massachusetts,1977,4
8466282,Andrei,Skopintsev,1971-09-28,Moscow,RUS,NA,1971,9
8458052,Jiri,Slegr,1971-05-30,Jihlava,CZE,NA,1971,5
8458584,Milan,Hnilicka,1973-06-25,Litomerice,CZE,NA,1973,6
8466437,Lubos,Bartecko,1976-07-14,Kezmarok,SVK,NA,1976,7
8466183,Yuri,Butsayev,1978-10-11,Togliatti,RUS,NA,1978,10
8446165,Bob,Corkum,1967-12-18,Salisbury,USA,Massachusetts,1967,12
8462419,Jeff,Cowan,1976-09-27,Scarborough,CAN,Ontario,1976,9
8469997,Mark,Hartigan,1977-10-15,Fort St. John,CAN,British Columbia,1977,10
8468482,Dany,Heatley,1981-01-21,Freiburg,DEU,NA,1981,1
8448017,Tony,Hrkac,1966-07-07,Thunder Bay,CAN,Ontario,1966,7
8469454,Ilya,Kovalchuk,1983-04-15,Tver,RUS,NA,1983,4
8466212,Francis,Lessard,1979-05-30,Montréal,CAN,Quebec,1979,5
8468001,Derek,MacKenzie,1981-06-11,Sudbury,CAN,Ontario,1981,6
8466336,Kamil,Piros,1978-11-20,Most,CZE,NA,1978,11
8459223,Pascal,Rheaume,1973-06-21,Quebec City,CAN,Quebec,1973,6
8466240,Benjamin,Simon,1978-06-14,Shaker Heights,USA,Ohio,1978,6
8457783,Todd,Reirden,1971-06-25,Deerfield,USA,Illinois,1971,6
8467892,Kirill,Safronov,1981-02-26,St. Petersburg,RUS,NA,1981,2
8467903,Luke,Sellars,1981-05-21,Toronto,CAN,Ontario,1981,5
8467304,Andy,Sutton,1975-03-10,Kingston,CAN,Ontario,1975,3
8462115,Daniel,Tjarnqvist,1976-10-14,Umea,SWE,NA,1976,10
8468478,Mike,Weaver,1978-05-02,Brampton,CAN,Ontario,1978,5
8460696,Frederic,Cassivi,1975-06-12,Sorel,CAN,Quebec,1975,6
8469636,Pasi,Nurminen,1975-12-17,Lahti,FIN,NA,1975,12
8467941,Zdenek,Blatny,1981-01-14,Brno,CZE,NA,1981,1
8466191,Jeff,Farkas,1978-01-24,Amherst,USA,New York,1978,1
8468770,Simon,Gamache,1981-01-03,Thetford Mines,CAN,Quebec,1981,1
8459159,Chris,Herperger,1974-02-24,Esterhazy,CAN,Saskatchewan,1974,2
8456887,Vyacheslav,Kozlov,1972-05-03,Voskresensk,RUS,NA,1972,5
8457297,Shawn,McEachern,1969-02-28,Waltham,USA,Massachusetts,1969,2
8462118,Marc,Savard,1977-07-17,Ottawa,CAN,Ontario,1977,7
8467387,Joe,Dipenta,1979-02-25,Barrie,CAN,Ontario,1979,2
8468090,Garnet,Exelby,1981-08-16,Craik,CAN,Saskatchewan,1981,8
8468520,Kurtis,Foster,1981-11-24,Carp,CAN,Ontario,1981,11
8448554,Uwe,Krupp,1965-06-24,Cologne,DEU,NA,1965,6
8458058,Richard,Smehlik,1970-01-23,Ostrava,CZE,NA,1970,1
8455994,Byron,Dafoe,1971-02-25,Sussex,GBR,NA,1971,2
8460649,Serge,Aubin,1975-02-15,Val-d'Or,CAN,Quebec,1975,2
8467427,Kip,Brennan,1980-08-27,Kingston,CAN,Ontario,1980,8
8465179,Daniel,Corso,1978-04-03,Montréal,CAN,Quebec,1978,4
8462082,Brad,Larsen,1977-06-28,Nakusp,CAN,British Columbia,1977,6
8458617,Bill,Lindsay,1971-05-17,Fernie,CAN,British Columbia,1971,5
8465180,Ronald,Petrovicky,1977-02-15,Zilina,SVK,NA,1977,2
8466110,Randy,Robitaille,1975-10-12,Ottawa,CAN,Ontario,1975,10
8468118,Tommi,Santala,1979-06-27,Helsinki,FIN,NA,1979,6
8469786,Karl,Stewart,1983-06-30,Scarborough,CAN,Ontario,1983,6
8460603,Brian,Swanson,1976-03-24,Eagle River,USA,Alaska,1976,3
