Year,PercentCelebrating,PerPerson,Candy,Flowers,Jewelry,GreetingCards,EveningOut,Clothing,GiftCards
2010,60,103.00,8.60,12.33,21.52,5.91,23.76,10.93,8.42
2011,58,116.21,10.75,12.62,26.18,8.09,24.86,12.00,11.21
2012,59,126.03,10.85,13.49,29.60,6.93,25.66,10.42,8.43
2013,60,130.97,11.64,13.48,30.94,8.32,27.93,11.46,10.23
2014,54,133.91,10.80,15.00,30.58,7.97,27.48,13.37,9.00
2015,55,142.31,12.70,15.72,36.30,7.87,27.27,14.72,11.05
2016,55,146.84,13.11,14.78,33.11,8.52,33.46,15.05,12.52
2017,54,136.57,12.68,14.63,32.32,7.36,28.46,13.91,10.23
2018,55,143.56,13.12,14.75,34.10,6.55,26.96,14.04,11.04
2019,51,161.96,14.12,15.07,30.34,7.31,27.72,16.08,10.31
2020,55,196.31,17.30,16.49,41.65,9.01,30.78,20.67,14.21
2021,52,164.76,15.32,15.42,30.71,8.48,21.39,20.05,15.67
2022,53,175.41,15.90,16.71,45.75,7.47,31.35,21.46,17.22
