year,group,title,funded,proposed_by,summary,website
2023,1,The future of DBI (extension 1),10000,Kirill Müller,"This proposal mostly focuses on the maintenance and support for {DBI}, the {DBItest} test suite, and the three backends to open-source databases ({RSQLite}, {RMariaDB} and {RPostgres}). Keeping compatibility with the evolving ecosystem (OS, databases, R itself, other packages) is vital for the long-term success of the project.",NA
2023,1,Secure TLS Communications for R,10000,Charlie Gao,"The project aims to implement secure connections with a TLS layer for encrypted communications in distributed systems used by statisticians and data scientists. The current lack of secure communication tools restricts the use of existing R packages for long-running tasks to trusted local networks, posing security risks in compromised or untrusted environments. The proposed solution addresses this gap by providing encryption and authentication of endpoints, ensuring data security in line with industry standards.",NA
2023,1,volcalc: Calculate predicted volatility of chemical compounds,12265,Kristina Riemer,"This ISC funded project focuses on the development of the volcalc R package, which automates the estimation of compound volatility based on their chemical structure. The package streamlines the process by downloading chemical structure data, parsing it to identify functional groups, and utilizing the SIMPOL.1 algorithm to predict volatility using functional groups and molecular weight. The compounds are then assigned volatility categories based on a reference environment. This project aims to enhance the package by expanding its compatibility to work with any chemical compound with structural information from various databases. Additionally, improvements in testing and documentation will be implemented to enhance the reliability of the package.",NA
2023,1,autotest: Automated testing of R packages,3000,Mark Padgham,"The project aims to develop an R package to automate property-based testing procedures in R, building upon the existing ""typetracer"" package. The new package will utilize ""typetracer"" to infer properties of function parameters and systematically mutate or randomize these properties to facilitate automated testing. The package will inherit the GPL-3 license from its predecessor and will be submitted to CRAN for wider dissemination. This initiative aligns with the goal of promoting efficient and reliable testing practices within the R community.",NA
2023,1,api2r: An R Package for Auto-Generating R API Clients,15750,Jon Harmon,"This project aims to develop an R package called api2r, which will automate the creation of R package structures for APIs that adhere to the OpenAPI Specification (OAS). By leveraging the OAS as a foundation, api2r will significantly reduce the time and effort required to build API clients in R. This initiative hopes to have a widespread impact within the R community, benefiting data scientists, researchers, and developers who regularly interact with diverse APIs. To ensure its functionality and effectiveness, the development process will involve generating packages based on at least three authentic OpenAPI specifications.",NA
2022,2,D3po: R Package for Easy Interactive D3 Visualization With Shiny,8000,"Mauricio ""Pacho"" Vargas Sepulveda","The D3po: R Package for Easy Interactive D3 Visualization With Shiny project plans to finish a new version of d3po and include maps and other plot types available in highcharts. This project aims to provide out-of-the-box high-quality visualizations with minimum time and coding effort.
The ultimate aim of the project is to produce a package that:
",NA
2022,2,"Tooling and Guidance for Translations of Markdown-Based R Content (Quarto, R Markdown)",8000,Maëlle Salmon,"Tooling and Guidance for Translations of Markdown-Based R Content (Quarto, R Markdown) focuses on the achievement of a first version of translated material, both technically (tooling to create an automatically translated document) and linguistically (glossary). With this proposal, the project will aim to share the rOpenSci workflow with others via the creation of an R package including extensive documentation.",NA
2022,2,Online Submission and Review Infrastructure for the R Journal,22000,Simon Urbanek,"The Online Submission and Review Infrastructure for the R Journal ISC-funded project aims to address problems with the current all-manual revision infrastructure for submissions in the R Journal. The project proposes the development and deployment of an online, web-based system that ties into the existing status management infrastructure but allows for reviews and submission management to be performed online. The ISC funds will be used to assist with the development of an online front-end for the management of articles for the R Journal, including submission, checking, and peer-review tracking of articles. The system will leverage the existing rj and rjtools packages which provide the back-end, but will add a web interface to the process from submission to reviews and article management.",NA
2022,2,Upgrading SatRdays Website Template,6000,Ben Ubah,"The Upgrading SatRdays Website Template project addresses the SatRdays event website templates, which are used by the R community looking to run a SatRday event. The goal of this project is to upgrade the SatRdays website template with a view to make it easy for R community organizers to spin up their own SatRday website without deep knowledge of technologies like Hugo (upon which the current template is based using an R package like blogdown. There will also be documentation of this development with easy-to-follow instructions that are beginner-friendly.",NA
2022,2,Building the “Spatial Data Science With R” Educational Materials and Pedagogical Infrastructure,25000,Orhun Aydin,The Building the “Spatial Data Science With R” Educational Materials and Pedagogical Infrastructure project proposes to deliver a set of self-contained online training modules on spatial and spatiotemporal data science with R. The modules will consist of focus-areas pertinent to topics frequently requested by the spatial R community using a large number of packages from CRAN Spatial Task View and Spatiotemporal Task View. The deliverable will provide the R Consortium and community with the materials needed to solicit more lessons from the community while ensuring uniformity across lessons.,NA
2022,1,Iterdatasampler: Expanding the lterdatasampler package,15000,Julien Brun and Allison Horst,"Expanding the lterdatasampler Package addresses the need for accessible and relevant datasets in data science education. It aims to provide modern, curated, and approachable environmental data samples from the US Long Term Ecological Research Network (LTER) through the lterdatasampler R package. By offering datasets that save time for instructors, engage students with meaningful data, and foster discussions based on real-world questions.The package serves as a valuable resource for teaching introductory statistics and data science in R. The project seeks funding to expand the package to include data samples from all 28 LTER network sites, with the goal of modernizing course materials with real-world environmental datasets.",NA
2022,1,Femr: Finite Element Method for Solving PDEs in R,20000,Laura Sangalli,"Femr: There is a need for implementing finite element methods (FEM) in R to solve partial differential equations (PDEs). PDEs are crucial mathematical tools used for modeling complex phenomena in various scientific and engineering fields. However, the absence of FEM implementations in R necessitates the reliance on external software, discouraging the statistical community from developing methods involving PDEs and hindering the learning of this essential mathematical tool. The goal of the project is to develop the femR package, which will provide a finite element basis for solving second-order linear elliptic PDEs on general two-dimensional spatial domains in R.
This package will complement the existing deSolve package and enable users to employ finite elements instead of finite differences for solving PDEs on more diverse spatial domains. The development process will include providing comprehensive examples and a final vignette to guide users in utilizing the package's functionalities.",NA
2022,1,Continuing to Improve R’s Ability to Visualise and Explore Missing Values,5000,Nicholas Tierney,"The proposal for “Continuing to Improve R’s Ability to Visualise and Explore Missing Values” addresses missing values in data analysis. Missing values are often dropped by default in data analysis in various stages. There is often not even a warning displayed to alert the user of missing values being dropped or discarded. This means values can be dropped without the user knowing, leading to issues such as potential bias, where missing values might be occurring in high numbers in particular groups.
The proposal for the ISC-funded project addressed this problem in four parts:",NA
2022,1,Dengue Data Hub,2000,Thiyanga Talagala,"The Dengue Data Hub project helps addresses data packages related to Dengue. Dengue is a mosquito-borne viral disease that has spread fast throughout the world, primarily in urban and semi-urban regions. The goal of the Dengue Data Hub is to provide the research community with a unified dataset helpful for dengue research and reproducibility of research. The project proposes the creation of an R package for aggregating dengue data from several sources and the ability to share them in tidy format. Based on the proposal, there will also be tutorials and good documentation for using the “Dengue Data Hub” interface. This will motivate epidemiology researchers to utilize R to analyze their data.",NA
