year_death,person,description,year_birth
468,Pope Hilarius,NA,NA
992,Oswald of Worcester,Anglo-Saxon archbishop and saint ,925
1460,Albert III,Duke of Bavaria-Munich ,1401
1528,Patrick Hamilton,Scottish Protestant reformer and martyr ,1504
1592,Alessandro Striggio,Italian composer and diplomat ,1536
1600,Caspar Hennenberger,"German pastor, historian and cartographer ",1529
1604,John Whitgift,English archbishop and academic ,1530
1712,Johann Conrad Peyer,Swiss anatomist ,1653
1744,John Theophilus Desaguliers,French-English physicist and philosopher ,1683
1792,Johann Andreas Stein,German piano builder ,1728
1820,Johann Joachim Eschenburg,German historian and critic ,1743
1848,Louis-François Lejeune,"French general, painter and lithographer ",1775
1856,Auguste Chapdelaine,French Christian missionary ,1814
1868,Ludwig I of Bavaria ,NA,1786
1880,James Milne Wilson,"Scottish-Australian soldier and politician, 8th Premier of Tasmania ",1812
1904,Patrick O'Sullivan,Irish-Australian politician ,1818
1904,Henri Joseph Anastase Perrotin,French astronomer ,1845
1908,Pat Garrett,American sheriff ,1850
1908,John Hope,"1st Marquess of Linlithgow, Scottish-Australian politician, 1st Governor-General of Australia ",1860
1916,John Nanson,English-Australian journalist and politician ,1863
1920,Ernie Courtney,American baseball player ,1875
1924,Frederic Chapple,Australian educator ,1845
1928,Adolphe Appia,Swiss architect and theorist ,1862
1928,Ina Coolbrith,American poet and librarian ,1841
1932,Arthur Mills Lea,Australian entomologist ,1868
1932,Giuseppe Vitali,Italian mathematician ,1875
1940,E. F. Benson,English archaeologist and author ,1867
1944,Pehr Evind Svinhufvud,"Finnish lawyer, judge and politician, 3rd President of Finland ",1861
1948,Robert Barrington-Ward,English lawyer and journalist ,1891
1952,Sarah Ann Jenyns,Australian entrepreneur ,1865
1956,Elpidio Quirino,"Filipino lawyer and politician, 6th President of the Philippines ",1890
1960,Melvin Purvis,American police officer and FBI agent ,1903
1960,Walter Yust,American journalist and author ,1894
1964,Frank Albertson,American actor and singer ,1909
1968,Tore Ørjasæter,Norwegian poet and educator ,1886
1972,Tom Davies,American football player and coach ,1896
1976,Florence P. Dwyer,American politician ,1902
1980,Yigal Allon,"Israeli general and politician, Prime Minister of Israel ",1918
1980,Gil Elvgren,American painter and illustrator ,1914
1984,Ludwik Starski,Polish screenwriter and songwriter ,1903
1992,Ruth Pitter,English poet and author ,1897
1996,Frank Daniel,"Czech-American director, producer and screenwriter ",1926
1996,Wes Farrell,American singer-songwriter and producer ,1939
1996,Ralph Rowe,"American baseball player, coach and manager ",1924
2000,Dennis Danell,American guitarist ,1961
2004,Kagamisato Kiyoji,"Japanese sumo wrestler, the 42nd Yokozuna ",1923
2004,Jerome Lawrence,American playwright and author ,1915
2004,Harold Bernard St. John,"Barbadian lawyer and politician, 3rd Prime Minister of Barbados ",1931
2004,Lorrie Wilmot,South African cricketer ,1943
2008,Janet Kagan,American author ,1946
2008,Erik Ortvad,Danish painter and illustrator ,1917
2008,Akira Yamada,Japanese scholar and philosopher ,1922
2012,Davy Jones,"English singer, guitarist and actor ",1945
2012,Sheldon Moldoff,American illustrator ,1920
2012,P. K. Narayana Panicker,Indian social leader ,1930
2016,Wenn V. Deramas,Filipino director and screenwriter ,1966
2016,Gil Hill,"American police officer, actor and politician ",1931
2016,Josefin Nilsson,Swedish singer ,1969
2016,Mumtaz Qadri,"Pakistani assassin, executed ",1985
2016,Louise Rennison,English author ,1951
2020,Dieter Laser,German actor ,1942
2020,Éva Székely,Hungarian Hall of Fame swimmer and 1952 Olympic champion ,1927
