Member,TotalIssues,TotalIssues60s,TotalIssues70s,TotalIssues80s,TotalIssues90s,totalIssueCheck,TotalValue_heritage,TotalValue60s_heritage,TotalValue70s_heritage,TotalValue80s_heritage,TotalValue90s_heritage,TotalValue_ebay,TotalValue60s_ebay,TotalValue70s_ebay,TotalValue80s_ebay,TotalValue90s_ebay,60s_Appearance_Percent,70s_Appearance_Percent,80s_Appearance_Percent,90s_Appearance_Percent,PPI60s_heritage,PPI70s_heritage,PPI80s_heritage,PPI90s_heritage,PPI60s_ebay,PPI70s_ebay,PPI80s_ebay,PPI90s_ebay,TotalValue60s_wiz,TotalValue70s_wiz,TotalValue80s_wiz,TotalValue90s_wiz,TotalValue60s_oStreet,TotalValue70s_oStreet,TotalValue80s_oStreet,TotalValue90s_oStreet,PPI60s_wiz,PPI70s_wiz,PPI80s_wiz,PPI90s_wiz,PPI60s_oStreet,PPI70s_oStreet,PPI80s_oStreet,PPI90s_oStreet
warrenWorthington,139,61,35,20,23,139,1108558,929056,154585,23957,960,27377,23335,3362,583,97,96.83%,50.72%,14.60%,51.11%,"$15,230.43 ","$4,416.71 ","$1,197.85 ",$41.74 ,$382.54 ,$96.06 ,$29.15 ,$4.22 ,"$7,913.00 ","$1,105.00 ",$226.00 ,$65.75 ,"$68,160.00 ","$7,360.00 ",$975.00 ,$123.00 ,$129.72 ,$31.57 ,$11.30 ,$2.86 ,"$1,117.38 ",$210.29 ,$48.75 ,$5.35 
hankMcCoy,119,62,38,9,10,119,957993,929776,20705,6631,881,24972,23377,1224,289,82,98.41%,55.07%,6.57%,22.22%,"$14,996.39 ",$544.87 ,$736.78 ,$88.10 ,$377.05 ,$32.21 ,$32.11 ,$8.20 ,"$7,953.00 ",$851.00 ,$89.00 ,$38.50 ,"$68,390.00 ","$5,260.00 ",$431.00 ,$81.00 ,$128.27 ,$22.39 ,$9.89 ,$3.85 ,"$1,103.06 ",$138.42 ,$47.89 ,$8.10 
scottSummers,197,63,69,56,9,197,1152230,933616,188635,29240,739,29964,23420,5431,1031,82,100.00%,100.00%,40.88%,20.00%,"$14,819.30 ","$2,733.84 ",$522.14 ,$82.11 ,$371.75 ,$78.71 ,$18.41 ,$9.11 ,"$7,993.00 ","$1,979.00 ",$438.00 ,$39.25 ,"$68,590.00 ","$11,675.00 ","$1,427.00 ",$74.00 ,$126.87 ,$28.68 ,$7.82 ,$4.36 ,"$1,088.73 ",$169.20 ,$25.48 ,$8.22 
bobbyDrake,123,62,35,6,20,123,1086749,929776,154585,1514,874,26902,23377,3362,70,93,98.41%,50.72%,4.38%,44.44%,"$14,996.39 ","$4,416.71 ",$252.33 ,$43.70 ,$377.05 ,$96.06 ,$11.67 ,$4.65 ,"$7,953.00 ","$1,105.00 ",$48.00 ,$62.00 ,"$68,390.00 ","$7,360.00 ",$137.00 ,$108.00 ,$128.27 ,$31.57 ,$8.00 ,$3.10 ,"$1,103.06 ",$210.29 ,$22.83 ,$5.40 
jeanGrey,164,63,58,14,29,164,1132091,933616,179899,16868,1708,29158,23420,4903,665,170,100.00%,84.06%,10.22%,64.44%,"$14,819.30 ","$3,101.71 ","$1,204.86 ",$58.90 ,$371.75 ,$84.53 ,$47.50 ,$5.86 ,"$7,993.00 ","$1,679.00 ",$165.00 ,$108.00 ,"$68,590.00 ","$10,265.00 ",$822.00 ,$189.00 ,$126.87 ,$28.95 ,$11.79 ,$3.72 ,"$1,088.73 ",$176.98 ,$58.71 ,$6.52 
alexSummers,68,8,13,43,4,68,189014,34519,144946,9352,197,4050,745,2703,581,21,12.70%,18.84%,31.39%,8.89%,"$4,314.88 ","$11,149.69 ",$217.49 ,$49.25 ,$93.13 ,$207.92 ,$13.51 ,$5.25 ,$342.00 ,$597.00 ,$253.00 ,$19.00 ,"$1,850.00 ","$3,865.00 ",$502.00 ,$24.00 ,$42.75 ,$45.92 ,$5.88 ,$4.75 ,$231.25 ,$297.31 ,$11.67 ,$6.00 
lornaDane,48,9,13,19,7,48,228558,76279,144946,6602,731,4361,1212,2703,405,41,14.29%,18.84%,13.87%,15.56%,"$8,475.44 ","$11,149.69 ",$347.47 ,$104.43 ,$134.67 ,$207.92 ,$21.32 ,$5.86 ,$374.00 ,$597.00 ,$116.00 ,$43.00 ,"$2,000.00 ","$3,865.00 ",$293.00 ,$44.00 ,$41.56 ,$45.92 ,$6.11 ,$6.14 ,$222.22 ,$297.31 ,$15.42 ,$6.29 
ororoMunroe,190,0,36,121,33,190,227438,0,171050,54205,2183,6413,0,4349,1730,334,0.00%,52.17%,88.32%,73.33%,$0.00 ,"$4,751.39 ",$447.98 ,$66.15 ,$0.00 ,$120.81 ,$14.30 ,$10.12 ,$0.00 ,"$1,224.00 ",$931.00 ,$158.00 ,$0.00 ,"$6,890.00 ","$2,391.00 ",$273.00 ,$0.00 ,$34.00 ,$7.69 ,$4.79 ,$0.00 ,$191.39 ,$19.76 ,$8.27 
kurtWagner,120,0,36,84,0,120,221716,0,171050,50666,0,5694,0,4349,1345,0,0.00%,52.17%,61.31%,0.00%,$0.00 ,"$4,751.39 ",$603.17 ,$0.00 ,$0.00 ,$120.81 ,$16.01 ,$0.00 ,$0.00 ,"$1,224.00 ",$736.00 ,$0.00 ,$0.00 ,"$6,890.00 ","$2,044.00 ",$0.00 ,$0.00 ,$34.00 ,$8.76 ,$0.00 ,$0.00 ,$191.39 ,$24.33 ,$0.00 
loganHowlett,167,0,36,115,16,167,224653,0,171050,52524,1079,6118,0,4349,1669,100,0.00%,52.17%,83.94%,35.56%,$0.00 ,"$4,751.39 ",$456.73 ,$67.44 ,$0.00 ,$120.81 ,$14.51 ,$6.25 ,$0.00 ,"$1,224.00 ",$908.00 ,$111.00 ,$0.00 ,"$6,890.00 ","$2,310.00 ",$119.00 ,$0.00 ,$34.00 ,$7.90 ,$6.94 ,$0.00 ,$191.39 ,$20.09 ,$7.44 
