state,name,lat,lon,eclipse_1,eclipse_2,eclipse_3,eclipse_4,eclipse_5
AL,Abanda,33.091627,-85.527029,17:43:00,18:24:10,19:02:00,19:39:20,20:18:50
AL,Abbeville,31.564706,-85.259121,17:41:40,18:21:40,19:00:30,19:38:50,20:17:20
AL,Adamsville,33.602315,-86.971527,17:41:00,18:23:10,19:00:00,19:36:40,20:17:30
AL,Addison,34.202681,-87.178004,17:41:30,18:24:10,19:00:30,19:36:40,20:18:00
AL,Akron,32.879066,-87.740899,17:38:40,18:20:40,18:58:00,19:35:00,20:15:50
AL,Alabaster,33.214355,-86.82308,17:40:40,18:22:40,18:59:50,19:36:50,20:17:20
AL,Albertville,34.26313,-86.21066,17:43:20,18:25:30,19:02:10,19:38:30,20:19:20
AL,Alexander City,32.916719,-85.940589,17:42:00,18:23:20,19:01:00,19:38:30,20:18:10
AL,Alexandria,33.760819,-85.872008,17:43:10,18:25:00,19:02:10,19:39:00,20:19:10
AL,Aliceville,33.123706,-88.159344,17:38:10,18:20:40,18:57:30,19:34:10,20:15:30
AL,Allgood,33.907623,-86.516109,17:42:10,18:24:30,19:01:20,19:37:50,20:18:30
AL,Altoona,34.040014,-86.305179,17:42:50,18:25:00,19:01:50,19:38:20,20:19:00
AL,Andalusia,31.309436,-86.478031,17:38:50,18:19:20,18:58:00,19:36:20,20:15:30
AL,Anderson,34.915675,-87.274274,17:42:20,18:25:30,19:01:10,19:36:40,20:18:30
AL,Anniston,33.673469,-85.810891,17:43:20,18:25:00,19:02:10,19:39:00,20:19:10
AL,Arab,34.332387,-86.501167,17:42:50,18:25:20,19:01:50,19:38:00,20:19:00
AL,Ardmore,34.987838000000004,-86.829022,17:43:10,18:26:10,19:02:00,19:37:40,20:19:10
AL,Argo,33.691018,-86.505281,17:42:00,18:24:00,19:01:00,19:37:40,20:18:20
AL,Ariton,31.597772,-85.713061,17:40:50,18:21:00,18:59:40,19:38:00,20:16:50
AL,Arley,34.076234,-87.217831,17:41:10,18:23:50,19:00:20,19:36:30,20:17:50
AL,Ashford,31.185284,-85.236236,17:41:10,18:21:00,19:00:00,19:38:40,20:16:50
AL,Ashland,33.269892,-85.833706,17:42:40,18:24:10,19:01:40,19:38:50,20:18:40
AL,Ashville,33.835197,-86.270015,17:42:30,18:24:30,19:01:30,19:38:10,20:18:40
AL,Athens,34.779021,-86.950799,17:42:40,18:25:40,19:01:40,19:37:20,20:18:50
AL,Atmore,31.124067,-87.457798,17:36:40,18:17:30,18:56:00,19:34:20,20:14:00
AL,Attalla,33.986189,-86.121037,17:43:10,18:25:10,19:02:00,19:38:40,20:19:10
AL,Auburn,32.607806,-85.494746,17:42:30,18:23:20,19:01:20,19:39:10,20:18:20
AL,Autaugaville,32.432563,-86.658752,17:40:00,18:21:20,18:59:10,19:36:50,20:16:50
AL,Avon,31.179727,-85.279211,17:41:10,18:21:00,18:59:50,19:38:30,20:16:50
AL,Axis,30.922171,-88.02262,17:35:20,18:16:10,18:54:40,19:33:00,20:13:00
AL,Babbie,31.302083,-86.319437,17:39:10,18:19:30,18:58:10,19:36:40,20:15:40
AL,Baileyton,34.260858,-86.608788,17:42:30,18:25:00,19:01:30,19:37:50,20:18:50
AL,Bakerhill,31.776923,-85.295408,17:41:50,18:22:00,19:00:40,19:39:00,20:17:40
AL,Ballplay,34.023047,-85.801478,17:43:40,18:25:40,19:02:40,19:39:10,20:19:30
AL,Banks,31.813264,-85.836434,17:40:40,18:21:10,18:59:40,19:37:50,20:17:00
AL,Bay Minette,30.894436,-87.791306,17:35:50,18:16:40,18:55:10,19:33:30,20:13:20
AL,Bayou La Batre,30.407586,-88.263271,17:34:10,18:14:50,18:53:30,19:32:10,20:12:00
AL,Bear Creek,34.255481,-87.713399,17:40:40,18:23:40,18:59:40,19:35:40,20:17:20
AL,Beatrice,31.733309,-87.209046,17:38:00,18:19:10,18:57:20,19:35:20,20:15:10
AL,Beaverton,33.935411,-88.021778,17:39:40,18:22:30,18:58:50,19:34:50,20:16:40
AL,Belgreen,34.47454,-87.861678,17:40:40,18:23:50,18:59:40,19:35:20,20:17:20
AL,Belk,33.651641,-87.92861,17:39:20,18:22:00,18:58:40,19:35:00,20:16:30
AL,Bellamy,32.463658,-88.131481,17:37:20,18:19:20,18:56:40,19:33:50,20:14:50
AL,Belle Fontaine,30.489492,-88.10594,17:34:30,18:15:20,18:54:00,19:32:30,20:12:20
AL,Benton,32.307931,-86.817546,17:39:30,18:20:50,18:58:50,19:36:20,20:16:20
AL,Berlin,34.185005,-86.748955,17:42:10,18:24:40,19:01:10,19:37:20,20:18:30
AL,Berry,33.666702,-87.609311,17:40:00,18:22:30,18:59:10,19:35:30,20:16:50
AL,Bessemer,33.370858,-86.971522,17:40:40,18:22:40,18:59:50,19:36:40,20:17:20
AL,Billingsley,32.664711,-86.706713,17:40:10,18:21:40,18:59:20,19:36:50,20:16:50
AL,Birmingham,33.527174,-86.797036,17:41:10,18:23:10,19:00:20,19:37:00,20:17:40
AL,Black,31.00977,-85.74442,17:40:00,18:19:50,18:58:50,19:37:30,20:16:00
AL,Blountsville,34.075838,-86.583918,17:42:20,18:24:40,19:01:20,19:37:40,20:18:30
AL,Blue Ridge,32.4989,-86.182436,17:41:00,18:22:00,19:00:00,19:37:40,20:17:20
AL,Blue Springs,31.663516,-85.503526,17:41:20,18:21:30,19:00:10,19:38:30,20:17:10
AL,Boaz,34.19902,-86.155151,17:43:20,18:25:30,19:02:10,19:38:40,20:19:20
AL,Boligee,32.768081,-88.02859,17:37:50,18:20:00,18:57:10,19:34:10,20:15:20
AL,Bon Air,33.25937,-86.327148,17:41:40,18:23:20,19:00:40,19:37:50,20:18:00
AL,Bon Secour,30.318246,-87.72439,17:35:00,18:15:30,18:54:20,19:33:10,20:12:30
AL,Boykin,32.068375,-87.294343,17:38:20,18:19:40,18:57:30,19:35:20,20:15:30
AL,Brantley,31.581992,-86.256784,17:39:40,18:20:10,18:58:50,19:37:00,20:16:10
AL,Brantleyville,33.219303,-86.882522,17:40:30,18:22:30,18:59:40,19:36:40,20:17:20
AL,Brent,32.944893,-87.172088,17:39:40,18:21:40,18:59:00,19:36:00,20:16:40
AL,Brewton,31.109175,-87.076583,17:37:20,18:18:00,18:56:40,19:35:00,20:14:30
AL,Bridgeport,34.949312,-85.723765,17:45:00,18:27:30,19:03:50,19:39:40,20:20:30
AL,Brighton,33.439551,-86.945404,17:40:50,18:22:50,19:00:00,19:36:40,20:17:30
AL,Brilliant,34.025671,-87.769047,17:40:10,18:23:00,18:59:20,19:35:20,20:17:00
AL,Bristow Cove,34.109216,-86.240993,17:43:00,18:25:10,19:02:00,19:38:20,20:19:00
AL,Brook Highland,33.438035,-86.685262,17:41:20,18:23:10,19:00:20,19:37:20,20:17:50
AL,Brookside,33.634617,-86.906314,17:41:10,18:23:20,19:00:20,19:37:00,20:17:40
AL,Brookwood,33.239842,-87.331488,17:39:50,18:22:00,18:59:00,19:35:50,20:16:50
AL,Broomtown,34.365728,-85.532112,17:44:40,18:26:40,19:03:30,19:39:50,20:20:10
AL,Brundidge,31.717639,-85.81755,17:40:40,18:21:10,18:59:40,19:38:00,20:16:50
AL,Bucks,31.016881,-88.026385,17:35:20,18:16:30,18:54:50,19:33:00,20:13:10
AL,Butler,32.096479,-88.210781,17:36:40,18:18:30,18:56:00,19:33:30,20:14:20
AL,Calera,33.122319,-86.745644,17:40:50,18:22:30,19:00:00,19:37:00,20:17:20
AL,Calvert,31.149898,-88.021549,17:35:40,18:16:50,18:55:10,19:33:20,20:13:20
AL,Camden,31.998493,-87.28895,17:38:10,18:19:30,18:57:30,19:35:20,20:15:20
AL,Camp Hill,32.797327,-85.655833,17:42:20,18:23:20,19:01:20,19:38:50,20:18:20
AL,Carbon Hill,33.894991,-87.522078,17:40:30,18:23:10,18:59:40,19:35:50,20:17:10
AL,Cardiff,33.64729,-86.930637,17:41:10,18:23:20,19:00:10,19:36:50,20:17:40
AL,Carlisle-Rockledge,34.114451,-86.124073,17:43:20,18:25:20,19:02:10,19:38:40,20:19:10
AL,Carlton,31.348571,-87.835666,17:36:20,18:17:30,18:55:40,19:33:50,20:13:50
AL,Carolina,31.23415,-86.521001,17:38:40,18:19:10,18:57:50,19:36:10,20:15:20
AL,Carrollton,33.261903,-88.095071,17:38:30,18:21:00,18:57:50,19:34:20,20:15:50
AL,Castleberry,31.299678,-87.029129,17:37:50,18:18:30,18:57:00,19:35:20,20:14:50
AL,Catherine,32.18617,-87.469978,17:38:10,18:19:40,18:57:30,19:35:00,20:15:20
