state,name,lat,lon,eclipse_1,eclipse_2,eclipse_3,eclipse_4,eclipse_5,eclipse_6
AR,Acorn,34.638786,-94.200112,17:30:40,18:15:50,18:47:35,18:51:37,19:23:40,20:08:30
AR,Adona,35.03993,-92.899132,17:33:20,18:18:30,18:50:08,18:54:22,19:26:10,20:10:50
AR,Alexander,34.618588,-92.451217,17:33:20,18:18:30,18:51:09,18:53:38,19:26:20,20:11:10
AR,Alicia,35.892907,-91.08345,17:37:30,18:22:40,18:54:29,18:58:05,19:29:50,20:14:10
AR,Alix,35.422002,-93.728784,17:32:50,18:17:50,18:49:54,18:53:00,19:25:20,20:10:00
AR,Alleene,33.764823,-94.262198,17:29:10,18:14:20,18:46:15,18:50:16,19:22:30,20:07:40
AR,Alpine,34.226886,-93.378321,17:31:10,18:16:30,18:48:36,18:52:10,19:24:30,20:09:20
AR,Altus,35.44676,-93.764388,17:32:50,18:17:40,18:49:58,18:52:54,19:25:10,20:10:00
AR,Amagon,35.563173,-91.109415,17:37:00,18:22:10,18:54:33,18:57:02,19:29:30,20:13:50
AR,Amity,34.26619,-93.463423,17:31:10,18:16:20,18:48:22,18:52:12,19:24:20,20:09:20
AR,Antoine,34.034536,-93.421361,17:30:50,18:16:10,18:48:31,18:51:32,19:24:10,20:09:10
AR,Aplin,34.967483,-92.981271,17:33:10,18:18:10,18:49:54,18:54:07,19:26:00,20:10:40
AR,Appleton,35.410823,-92.875276,17:34:00,18:19:00,18:50:41,18:54:55,19:26:40,20:11:10
AR,Arkadelphia,34.12738,-93.070851,17:31:30,18:16:50,18:49:34,18:51:51,19:24:50,20:09:50
AR,Ashdown,33.674529,-94.126627,17:29:10,18:14:20,18:46:34,18:50:11,19:22:30,20:07:50
AR,Ash Flat,36.236559,-91.606512,17:37:20,18:22:10,18:53:46,18:57:59,19:29:30,20:13:40
AR,Atkins,35.240863,-92.949643,17:33:30,18:18:40,18:50:18,18:54:36,19:26:20,20:11:00
AR,Augusta,35.28655,-91.36086,17:36:10,18:21:20,18:54:08,18:55:54,19:28:50,20:13:20
AR,Austin,35.005912,-91.989609,17:34:40,18:19:50,18:52:18,18:55:02,19:27:30,20:12:10
AR,Avilla,34.694843,-92.586141,17:33:20,18:18:30,18:50:43,18:53:53,19:26:10,20:11:00
AR,Bald Knob,35.312539,-91.571253,17:35:50,18:21:00,18:53:21,18:56:09,19:28:30,20:13:00
AR,Barling,35.331286,-94.275195,17:31:50,18:16:40,18:49:52,18:50:41,19:24:10,20:09:00
AR,Batesville,35.768572,-91.622652,17:36:30,18:21:30,18:53:12,18:57:16,19:29:00,20:13:20
AR,Bauxite,34.557736,-92.50209,17:33:10,18:18:20,18:51:03,18:53:24,19:26:10,20:11:00
AR,Bay,35.746057,-90.552143,17:38:10,18:23:20,18:56:35,18:56:54,19:30:30,20:14:50
AR,Beebe,35.072433,-91.901059,17:35:00,18:20:10,18:52:31,18:55:17,19:27:40,20:12:20
AR,Bee Branch,35.462622,-92.401023,17:34:50,18:19:50,18:51:30,18:55:44,19:27:20,20:12:00
AR,Beedeville,35.429169,-91.110738,17:36:40,18:22:00,18:54:54,18:56:12,19:29:20,20:13:50
AR,Beirne,33.888208,-93.206223,17:31:00,18:16:20,18:49:40,18:50:23,19:24:20,20:09:20
AR,Bellefonte,36.199864,-93.047039,17:35:00,18:20:00,18:52:54,18:53:55,19:27:10,20:11:40
AR,Belleville,35.09153,-93.445774,17:32:40,18:17:40,18:49:22,18:53:31,19:25:20,20:10:10
AR,Ben Lomond,33.829113,-94.123319,17:29:20,18:14:40,18:46:36,18:50:33,19:22:40,20:07:50
AR,Benton,34.577424,-92.572583,17:33:00,18:18:20,18:50:48,18:53:30,19:26:10,20:10:50
AR,Bethesda,35.787096,-91.792711,17:36:20,18:21:20,18:52:54,18:57:04,19:28:40,20:13:10
AR,Bigelow,34.997795000000004,-92.631175,17:33:40,18:18:50,18:50:37,18:54:37,19:26:30,20:11:10
AR,Big Flat,36.003394,-92.41022,17:35:40,18:20:40,18:52:21,18:56:14,19:28:00,20:12:30
AR,Biggers,36.331361,-90.800701,17:38:40,18:23:40,18:55:13,18:59:15,19:30:50,20:15:00
AR,Bismarck,34.321836,-93.178139,17:31:40,18:16:50,18:49:09,18:52:31,19:24:50,20:09:50
