date,vegetable,variety,plot,number_seeds_planted,number_seeds_exact,notes
2021-04-18,peas,Super Sugar Snap,A,32,TRUE,NA
2021-05-02,beets,Gourmet Golden,J,25,TRUE,NA
2021-05-02,beets,Sweet Merlin,J,25,TRUE,NA
2021-05-02,spinach,Catalina,P,70,TRUE,NA
2021-05-03,potatoes,red,I,10,FALSE,NA
2021-05-03,potatoes,Yellow,E,10,FALSE,NA
2021-05-03,potatoes,purple,E,2,FALSE,NA
2021-05-03,potatoes,Russet,I,3,FALSE,NA
2021-05-03,onions,Rainbow Trio,J,52,TRUE,NA
2021-05-03,onions,Delicious Duo,J,30,TRUE,NA
2021-05-03,cabbage,Early Jersey Wakefield,P,32,TRUE,NA
2021-05-03,dill,Grandma Einck's,P,20,FALSE,NA
2021-05-03,peas,Magnolia Blossom,B,10,TRUE,at least 7 volunteers
2021-05-03,basil,Emily,potB,25,FALSE,NA
2021-05-03,radish,Garden Party,L,20,TRUE,NA
2021-05-03,kale,Heirloom Lacinto,P,36,TRUE,NA
2021-05-19,beans,Rolande,K,27,TRUE,NA
2021-05-19,swiss chard,Neon Glow,L,40,TRUE,NA
2021-05-20,cucumbers,pickling,L,6,TRUE,"started inside, from last year's seeds"
2021-05-22,edamame,edamame,O,17,TRUE,NA
2021-05-22,potatoes,yellow,I,9,TRUE,NA
2021-05-22,onions,Rainbow Trio,L,54,TRUE,NA
2021-05-22,kale,Heirloom Lacinto,P,30,FALSE,NA
2021-05-22,tomatoes,Big Beef,D,1,TRUE,NA
2021-05-22,tomatoes,Early Girl,D,1,TRUE,NA
2021-05-22,tomatoes,San Marzano,D,1,TRUE,NA
2021-05-22,tomatoes,Striped German,D,1,TRUE,NA
2021-05-22,tomatoes,Amish Paste,D,1,TRUE,NA
2021-05-22,tomatoes,Old German,D,1,TRUE,NA
2021-05-22,tomatoes,Mortgage Lifter,D,1,TRUE,NA
2021-05-22,tomatoes,San Marzano,N,1,TRUE,NA
2021-05-22,tomatoes,Amish Paste,N,1,TRUE,NA
2021-05-22,tomatoes,Black Krim,N,1,TRUE,NA
2021-05-22,tomatoes,Cherokee Purple,N,1,TRUE,NA
2021-05-22,tomatoes,Big Beef,N,1,TRUE,NA
2021-05-22,tomatoes,Early Girl,N,1,TRUE,NA
2021-05-22,tomatoes,Mortgage Lifter,N,1,TRUE,NA
2021-05-22,tomatillos,verde,N,1,TRUE,NA
2021-05-22,tomatoes,Bonny Best,O,1,TRUE,NA
2021-05-22,tomatoes,Sweet 100 Cherry,O,1,TRUE,NA
2021-05-22,tomatoes,Bush Goliath,O,1,TRUE,NA
2021-05-22,peppers,Bell Red,K,3,TRUE,NA
2021-05-22,peppers,Valencia,K,3,TRUE,NA
2021-05-22,peppers,Bell Boy,H,3,TRUE,NA
2021-05-22,peppers,Jalapeño,H,2,TRUE,NA
2021-05-22,peppers,Banana,H,3,TRUE,NA
2021-05-22,peppers,Thai,H,1,TRUE,NA
2021-05-22,peppers,Jalapeño,H,1,TRUE,NA
2021-05-22,zucchini,Romanesco,side,5,TRUE,NA
2021-05-23,cabbage,Early Jersey Wakefield,P,41,TRUE,NA
2021-05-23,beans,Bush,P,18,TRUE,NA
2021-05-23,spinach,Catalina,P,30,TRUE,NA
2021-05-23,cilantro,Cilantro,G,40,TRUE,NA
2021-05-23,squash,Waltham Butternut,A,12,TRUE,From biggest last year
2021-05-23,squash,Red Kuri,A,4,TRUE,NA
2021-05-23,pumpkin,Cinderella,B,2,TRUE,NA
2021-05-23,squash,blue,B,5,TRUE,NA
2021-05-23,squash,Waltham Butternut,B,6,TRUE,NA
2021-05-23,squash,Red Kuri,B,4,TRUE,NA
2021-05-24,cucumbers,pickling,L,16,TRUE,NA
2021-05-24,squash,Waltham Butternut,K,4,TRUE,NA
2021-05-24,squash,Delicata,K,8,TRUE,NA
2021-05-24,pumpkin,Last Year's,K,5,TRUE,NA
2021-05-24,pumpkin,White,K,3,TRUE,NA
2021-05-31,corn,Dorinny Sweet,A,70,TRUE,NA
2021-06-01,corn,Golden Bantam,B,50,TRUE,NA
2021-06-01,corn,Dorinny Sweet,B,13,TRUE,NA
2021-06-01,watermelon,Sugar Baby,J,7,TRUE,NA
2021-06-01,carrots,Bolero Nantes,M,25,TRUE,NA
2021-06-01,carrots,King Midas,M,55,TRUE,NA
2021-06-01,carrots,Starica,M,400,FALSE,NA
2021-06-03,lettuce,Jericho Romaine,L,150,FALSE,NA
2021-06-03,radish,Garden Party,L,30,FALSE,NA
2021-06-03,cucumbers,pickling,L,9,TRUE,NA
2021-06-03,cucumbers,Armenian,L,4,TRUE,NA
2021-06-03,swiss chard,Neon Glow,L,50,FALSE,NA
2021-06-03,kale,Heirloom Lacinto,P,40,FALSE,NA
2021-06-03,lettuce,tatsoi,P,60,FALSE,NA
2021-06-03,spinach,Catalina,P,20,FALSE,NA
2021-06-03,zucchini,Romanesco,P,2,TRUE,NA
2021-06-03,cabbage,Early Jersey Wakefield,P,20,TRUE,NA
2021-06-03,lettuce,mizuna,P,15,FALSE,NA
2021-06-03,beets,Sweet Merlin,J,15,TRUE,NA
2021-06-03,beets,Gourmet Golden,J,60,TRUE,NA
2021-06-03,rutabaga,Helenor,J,10,TRUE,NA
2021-06-03,tomatoes,Cherokee Purple,O,1,TRUE,NA
2021-06-03,watermelon,Sugar Baby,J,15,TRUE,NA
2021-06-03,onions,Rainbow Trio,J,30,FALSE,NA
2021-06-03,squash,Delicata,K,14,TRUE,NA
2021-06-03,squash,Waltham Butternut,A,6,TRUE,NA
2021-06-03,squash,Waltham Butternut,B,8,TRUE,NA
2021-06-14,dill,Boquet,G,50,FALSE,NA
2021-06-14,spinach,Red Malabar,P,30,FALSE,NA
2021-06-14,lettuce,Lettuce Mixture,C,150,FALSE,NA
2021-07-08,lettuce,Lettuce Mixture,G,50,FALSE,NA
2021-07-08,cilantro,Cilantro,G,20,FALSE,NA
2021-07-08,dill,Boquet,G,20,FALSE,NA
