funs,pkgs,in_multiple_pkgs,contents,urls
set,(unknown),FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
library,base,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
library,base,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
theme_set,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
theme_light,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
tt_load,tidytuesdayR,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
count,dplyr,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
count,dplyr,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
pivot_longer,tidyr,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
ggplot,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
aes,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
geom_histogram,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
facet_wrap,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
ggplot,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
aes,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
geom_density,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
facet_wrap,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
ggplot,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
aes,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
geom_boxplot,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
facet_wrap,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
ggplot,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
aes,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
geom_bar,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
ggplot,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
aes,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
geom_bar,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
library,base,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
set.seed,base,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
filter,dplyr,TRUE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
is.na,base,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
mutate,dplyr,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
fct_lump,forcats,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
initial_split,rsample,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
training,rsample,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
vfold_cv,rsample,TRUE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
metric_set,yardstick,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
control_resamples,tune,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
logistic_reg,parsnip,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
set_engine,parsnip,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
fit_resamples,tune,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
fit_resamples,tune,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
nearest_neighbor,parsnip,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
set_engine,parsnip,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
fit_resamples,tune,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
decision_tree,parsnip,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
set_engine,parsnip,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
fit_resamples,tune,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
bind_rows,dplyr,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
collect_metrics,tune,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
mutate,dplyr,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
collect_metrics,tune,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
mutate,dplyr,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
collect_metrics,tune,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
mutate,dplyr,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
collect_metrics,tune,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
mutate,dplyr,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
ggplot,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
aes,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
geom_point,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
geom_errorbarh,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
aes,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
labs,ggplot,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
nearest_neighbor,parsnip,FALSE,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
