king_name,king_age,consort_name,consort_age,year_of_marriage
Æthelwulf,?,Osburh,?,851(?)
Æthelwulf,50(?),Judith of Flanders,12,856
Æthelbald,24,Judith of Flanders,14,858
Æthelberht,–,–,–,–
Æthelred,?,Wulfthryth?,?,?
Alfred the Great,19,Ealhswith,16,868
Edward the Elder,19,Ecgwynn,?,893
Edward the Elder,28,Aelffaed,?,902
Edward the Elder,31,Eadgifu of Kent,?,905
Æthelstan,–,–,–,–
"Edmund
the Magnificent",,Ælfgifu of Shaftesbury,–,–
"Edmund
the Magnificent",22,Æthelflæd of Damerham,?,944
Eadred,–,–,–,–
Eadwig,,Ælfgifu,?,955(?)
Edgar the Peaceful,17,Æthelflæd,?,960
Edgar the Peaceful,21,Ælfthryth,19,964
Edward the Martyr,–,–,–,–
Æthelred the Unready,23,Ælfgifu of York,21,991
Æthelred the Unready,34,Emma of Normandy,17,1002
"Sweyn
Forkbeard",,Gunhild of Wenden,?,990
"Sweyn
Forkbeard",,Sigrid the Haughty,?,1000
"Edmund
Ironside",,Edith of East Anglia,?,?
Cnut,18,Aelfgifu of Northampton,?,1013(?)
Cnut,22,Emma of Normandy,?,1017
"Harold
Harefoot",,Ælfgifu,?,?
Harthacnut,–,–,–,–
Edward the Confessor,42,Edith of Wessex,20,1045
Harold Godwinson,24,Edith Swannesha,19,1044(?)
Harold Godwinson,42,Ealdgyth,?,1064
William I,25,Matilda of Flanders,22,1053
William II,–,–,–,–
Henry I,32,Matilda of Scotland,20,1100
Henry I,53,Adeliza of Louvain,18,1121
Stephen,29,Matilda of Boulogne,20,1125
Henry II,19,Eleanor of Aquitaine,30,1152
Henry the Young King,5,Margaret of France,3,1160
Richard I,34,Berengaria of Navarre,26,1191
John,23,Isabel of Gloucester,16,1189
John,34,Isabella of Angoulême,12,1200
Henry III,29,Eleanor of Provence,13,1236
Edward I,15,Eleanor of Castile,13,1254
Edward I,60,Margaret of France,20,1299
Edward II,24,Isabella of France,13,1308
Edward III,16,Philippa of Hainault,14,1328
Richard II,15,Anne of Bohemia,16,1382
Richard II,29,Isabella of Valois,7,1396
Henry IV,14,Mary de Bohun,12,1380
Henry IV,37,Joanna of Navarre,33,1403
Henry V,34,Catherine of Valois,19,1420
Henry VI,24,Margaret of Anjou,15,1445
Edward IV,22,Elizabeth Woodville,27,1464
Edward V,–,–,–,–
Richard III,20,Anne Neville,16,1472
Henry VII,29,Elizabeth of York,20,1486
Henry VIII,18,Catherine of Aragon,24,1509
Henry VIII,42,Anne Boleyn,32,1533
Henry VIII,45,Jane Seymour,28,1536
Henry VIII,49,Anne of Cleves,25,1540
Henry VIII,49,Catherine Howard,19,1540
Henry VIII,52,Catherine Parr,31,1543
Edward VI,–,–,–,–
Mary I,38,Philip II of Spain,27,1554
Elizabeth I,–,–,–,–
James I,23,Anne of Denmark,15,1589
Charles I,25,Henrietta Maria of France,16,1625
Charles II,32,Catherine of Braganza,24,1662
James II,27,Anne Hyde,22,1660
James II,40,Mary of Modena,15,1673
Mary II,15,William III,27,1677
William III,27,Mary II,15,1677
Anne,18,George of Denmark,30,1683
George I,22,Sophia Dorothea of Brunswick-Lueneburg-Celle,16,1682
George II,22,Caroline of Ansbach,22,1705
George III,23,Charlotte of Mecklenburg-Strelitz,17,1761
George IV,23,Maria Anne Fitzherbert,29,1785
George IV,33,Caroline of Brunswick,27,1795
William IV,53,Adelaide of Saxe-Meiningen,26,1818
Victoria,21,Albert of Saxe-Coburg and Gotha,21,1840
Edward VII,22,Alexandra of Denmark,19,1863
George V,28,Mary of Teck,26,1893
Edward VIII,43,Wallis Warfield Simpson,41,1937
George VI,28,Elizabeth Bowes-Lyon,23,1923
Elizabeth II,21,Philip of Greece and Denmark,26,1947
