act,scene,character,dialogue,line_number
Act I,Prologue,Chorus,"Two households, both alike in dignity,",1
Act I,Prologue,Chorus,"In fair Verona, where we lay our scene,",2
Act I,Prologue,Chorus,"From ancient grudge break to new mutiny,",3
Act I,Prologue,Chorus,Where civil blood makes civil hands unclean.,4
Act I,Prologue,Chorus,From forth the fatal loins of these two foes,5
Act I,Prologue,Chorus,A pair of star-cross'd lovers take their life;,6
Act I,Prologue,Chorus,Whose misadventured piteous overthrows,7
Act I,Prologue,Chorus,Do with their death bury their parents' strife.,8
Act I,Prologue,Chorus,"The fearful passage of their death-mark'd love,",9
Act I,Prologue,Chorus,"And the continuance of their parents' rage,",10
Act I,Prologue,Chorus,"Which, but their children's end, nought could remove,",11
Act I,Prologue,Chorus,Is now the two hours' traffic of our stage;,12
Act I,Prologue,Chorus,"The which if you with patient ears attend,",13
Act I,Prologue,Chorus,"What here shall miss, our toil shall strive to mend.",14
Act I,Scene I,[stage direction],"Enter SAMPSON and GREGORY, of the house of Capulet, armed with swords and bucklers",NA
Act I,Scene I,Sampson,"Gregory, o' my word, we'll not carry coals.",15
Act I,Scene I,Gregory,"No, for then we should be colliers.",16
Act I,Scene I,Sampson,"I mean, an we be in choler, we'll draw.",17
Act I,Scene I,Gregory,"Ay, while you live, draw your neck out o' the collar.",18
Act I,Scene I,Sampson,"I strike quickly, being moved.",19
Act I,Scene I,Gregory,But thou art not quickly moved to strike.,20
Act I,Scene I,Sampson,A dog of the house of Montague moves me.,21
Act I,Scene I,Gregory,To move is to stir; and to be valiant is to stand:,22
Act I,Scene I,Gregory,"therefore, if thou art moved, thou runn'st away.",23
Act I,Scene I,Sampson,A dog of that house shall move me to stand: I will,24
Act I,Scene I,Sampson,take the wall of any man or maid of Montague's.,25
Act I,Scene I,Gregory,That shows thee a weak slave; for the weakest goes,26
Act I,Scene I,Gregory,to the wall.,27
Act I,Scene I,Sampson,"True; and therefore women, being the weaker vessels,",28
Act I,Scene I,Sampson,are ever thrust to the wall: therefore I will push,29
Act I,Scene I,Sampson,"Montague's men from the wall, and thrust his maids",30
Act I,Scene I,Sampson,to the wall.,31
Act I,Scene I,Gregory,The quarrel is between our masters and us their men.,32
Act I,Scene I,Sampson,"'Tis all one, I will show myself a tyrant: when I",33
Act I,Scene I,Sampson,"have fought with the men, I will be cruel with the",34
Act I,Scene I,Sampson,"maids, and cut off their heads.",35
Act I,Scene I,Gregory,The heads of the maids?,36
Act I,Scene I,Sampson,"Ay, the heads of the maids, or their maidenheads;",37
Act I,Scene I,Sampson,take it in what sense thou wilt.,38
Act I,Scene I,Gregory,They must take it in sense that feel it.,39
Act I,Scene I,Sampson,Me they shall feel while I am able to stand: and,40
Act I,Scene I,Sampson,'tis known I am a pretty piece of flesh.,41
Act I,Scene I,Gregory,"'Tis well thou art not fish; if thou hadst, thou",42
Act I,Scene I,Gregory,hadst been poor John. Draw thy tool! here comes,43
Act I,Scene I,Gregory,two of the house of the Montagues.,44
Act I,Scene I,Sampson,"My naked weapon is out: quarrel, I will back thee.",45
Act I,Scene I,Gregory,How! turn thy back and run?,46
Act I,Scene I,Sampson,Fear me not.,47
Act I,Scene I,Gregory,"No, marry; I fear thee!",48
Act I,Scene I,Sampson,Let us take the law of our sides; let them begin.,49
Act I,Scene I,Gregory,"I will frown as I pass by, and let them take it as",50
Act I,Scene I,Gregory,they list.,51
Act I,Scene I,Sampson,"Nay, as they dare. I will bite my thumb at them;",52
Act I,Scene I,Sampson,"which is a disgrace to them, if they bear it.",53
Act I,Scene I,[stage direction],Enter ABRAHAM and BALTHASAR,NA
Act I,Scene I,Abraham,"Do you bite your thumb at us, sir?",54
Act I,Scene I,Sampson,"I do bite my thumb, sir.",55
