edition,year,country,city,countries,all_contestant,male_contestant,female_contestant,start_date,end_date
65,2024,United Kingdom,Bath,108,609,528,81,2024-07-11,2024-07-22
64,2023,Japan,Chiba,112,618,550,67,2023-07-02,2023-07-13
63,2022,Norway,Oslo,104,589,521,68,2022-07-06,2022-07-16
62,2021,Russian Federation,A distributed IMO administered from St Petersburg,107,619,555,64,2021-07-14,2021-07-24
61,2020,Russian Federation,A distributed IMO administered from St Petersburg,105,616,560,56,2020-09-19,2020-09-28
60,2019,United Kingdom,Bath,112,621,556,65,2019-07-11,2019-07-22
59,2018,Romania,Cluj-Napoca,107,594,535,59,2018-07-03,2018-07-14
58,2017,Brazil,Rio de Janeiro,111,615,553,62,2017-07-12,2017-07-23
57,2016,Hong Kong,Hong Kong,109,602,531,71,2016-07-06,2016-07-16
56,2015,Thailand,Chiang Mai,104,577,525,52,2015-07-04,2015-07-16
55,2014,South Africa,Cape Town,101,560,504,56,2014-07-03,2014-07-13
54,2013,Colombia,Santa Marta,97,527,475,52,2013-07-18,2013-07-28
53,2012,Argentina,Mar del Plata,100,547,496,51,2012-07-04,2012-07-16
52,2011,Netherlands,Amsterdam,101,563,506,57,2011-07-12,2011-07-24
51,2010,Kazakhstan,Astana,95,522,469,47,2010-07-02,2010-07-14
50,2009,Germany,Bremen,104,565,506,59,2009-07-10,2009-07-22
49,2008,Spain,Madrid,97,535,480,55,2008-07-10,2008-07-22
48,2007,Vietnam,Hanoi,93,520,471,49,2007-07-19,2007-07-31
47,2006,Slovenia,Ljubljana,90,498,460,38,2006-07-06,2006-07-18
46,2005,Mexico,Mérida,91,513,469,43,2005-07-08,2005-07-19
45,2004,Greece,Athens,85,486,351,37,2004-07-06,2004-07-18
44,2003,Japan,Tokyo,82,457,333,29,2003-07-07,2003-07-19
43,2002,United Kingdom,Glasgow,84,479,341,37,2002-07-19,2002-07-30
42,2001,United States of America,Washington,83,473,440,33,2001-07-01,2001-07-14
41,2000,Republic of Korea,Taejon,82,461,337,31,2000-07-13,2000-07-25
40,1999,Romania,Bucharest,81,450,319,37,1999-07-10,1999-07-22
39,1998,Taiwan,Taipeh,76,419,298,30,1998-07-10,1998-07-21
38,1997,Argentina,Mar del Plata,82,460,318,28,1997-07-18,1997-07-31
37,1996,India,Mumbai,75,424,314,25,1996-07-05,1996-07-17
36,1995,Canada,Toronto,73,412,305,27,1995-07-13,1995-07-25
35,1994,Hong Kong,Hong Kong,69,385,284,26,1994-07-08,1994-07-20
34,1993,Türkiye,Istanbul,73,413,297,34,1993-07-13,1993-07-24
33,1992,Russian Federation,Moscow,56,322,271,14,1992-07-10,1992-07-21
32,1991,Sweden,Sigtuna,56,318,277,17,1991-07-12,1991-07-23
31,1990,People's Republic of China,Beijing,54,308,238,12,1990-07-08,1990-07-19
30,1989,Germany,Braunschweig,50,291,212,13,1989-07-13,1989-07-24
29,1988,Australia,Canberra,49,268,251,17,1988-07-09,1988-07-21
28,1987,Cuba,Havanna,42,237,160,7,1987-07-05,1987-07-16
27,1986,Poland,Warsaw,37,210,147,7,1986-07-04,1986-07-15
26,1985,Finland,Joutsa,38,209,151,7,1985-06-29,1985-07-11
25,1984,Czechoslovakia,Prague,34,192,132,3,1984-06-29,1984-07-10
24,1983,France,Paris,32,186,178,8,1983-07-01,1983-07-12
23,1982,Hungary,Budapest,30,119,87,3,1982-07-05,1982-07-14
22,1981,United States of America,Washington,27,185,155,9,1981-07-08,1981-07-20
21,1979,United Kingdom,London,23,166,116,1,1979-06-30,1979-07-09
20,1978,Romania,Bucharest,17,132,112,3,1978-07-03,1978-07-10
19,1977,Yugoslavia,Belgrade,21,155,132,2,1977-07-01,1977-07-13
18,1976,Austria,Lienz,18,139,117,4,1976-07-07,1976-07-21
17,1975,Bulgaria,Burgas,17,135,99,2,1975-07-03,1975-07-16
16,1974,German Democratic Republic,Erfurt,18,140,124,2,1974-07-04,1974-07-17
15,1973,Union of Soviet Socialist Republics,Moscow,16,125,115,2,1973-07-05,1973-07-16
14,1972,Poland,Toruń,14,107,90,2,1972-07-05,1972-07-17
13,1971,Czechoslovakia,Žilina,15,115,98,4,1971-07-10,1971-07-21
12,1970,Hungary,Keszthely,14,112,94,5,1970-07-08,1970-07-22
11,1969,Romania,Bucharest,14,112,95,6,1969-07-05,1969-07-20
10,1968,Union of Soviet Socialist Republics,Moscow,12,96,88,NA,1968-07-05,1968-07-18
9,1967,Yugoslavia,Cetinje,13,99,82,1,1967-07-02,1967-07-13
8,1966,Bulgaria,Sofia,9,72,59,1,1966-07-01,1966-07-14
7,1965,German Democratic Republic,Berlin,10,80,63,9,1965-07-03,1965-07-13
6,1964,Union of Soviet Socialist Republics,Moscow,9,72,54,4,1964-06-30,1964-07-10
5,1963,Poland,Wrocław,8,64,53,2,1963-07-05,1963-07-13
4,1962,Czechoslovakia,České Budějovice,7,56,48,4,1962-07-07,1962-07-15
3,1961,Hungary,Veszprém,6,48,34,5,1961-07-06,1961-07-16
2,1960,Romania,Sinaia,5,39,32,1,1960-07-18,1960-07-26
1,1959,Romania,Braşov,7,52,41,6,1959-07-21,1959-07-31
