year,date,encounter_sequence,encounter_number,begin_time,end_time,duration,vessel,observers,pods_or_ecotype,ids_encountered,location,begin_latitude,begin_longitude,end_latitude,end_longitude,encounter_summary,nmfs_permit,link
2024,2024-10-06,1,100,10:48:00,12:21:00,5580s (~1.55 hours),Mike 1,"Mark Malleson,Joe Zelwietro","K, L",NA,Swiftsure Bank,48.5105018615723,-124.692497253418,48.5263328552246,-124.860000610352,"After Mark’s encounter with members of K and L pod the previous day, he and Joe were eager to take advantage of a rare perfect weather day in the Juan de Fuca and complete another survey. They departed just after 0800 with a full tank of fuel and Fin in tow.
Their aim was to get back to where Mark had found the foraging animals the day prior, southwest of Port Renfrew; the feed had appeared plentiful and it seemed unlikely the whales would have moved far. Sure enough, as they exited the Juan de Fuca westbound, they spotted several fast-moving whales also travelling west.
The first animal they photographed was mature bull L87, apparently the easternmost whale in the grouping, though he was pacing L22 closely. L72 and L105 were travelling just inshore and ahead of them, trailing a large tight group that appeared to contain much of the rest of L pod. This larger group turned out to be a mix of the L4 and L12 matrilines, suggesting that all of L pod but perhaps the L54s were present. They team spent the next several minutes documenting as many of these animals as they could, including all members of the L12 subgroup – L25 was alone ahead of the others leading the westward charge – and all of the L4s.
Based on the behaviour of the animals and their proximity to the apparently rich feeding area from the day prior, along with the absence of K pod, Mark assumed there may be others ahead. The Mike 1 team eased ahead of the Ls and just a mile and a half beyond them, found several spread members of K pod, apparently foraging.
The quickly travelling Ls arrived shortly and joined the cadre of Ks – and as the team soon found, the L54s and L88. K16 and L88 were foraging together, K35 near. K20 and young K45 were not far from them, foraging near K12, K14, K37, K22 and the hulking K33. L87 appeared now alongside L25, and for the next little while Mark and Joe did their best to document each new individual they could. This was made challenging by the somewhat long/deep sounding dives they observed from the animals, though the incredible number of gulls diving for the scraps made relocating them easier. As a whole, the animals appeared robust, and it was good to see such successful foraging for a sustained period.
They ended the encounter early in the afternoon as the group continued their spread foraging behaviour, and began making way east, back into the Juan de Fuca.
The only members of L pod not observed this day were of the L47 matriline (including L83), from which no whales were photographed, as well as L90 and her calf L128. The assumption is that they were not far, perhaps inshore and behind the earlier photographed animals, and when they reached the feeding grounds became too dispersed for the team to detect them. Mark did photograph several members of the group the day prior, including L83 and L90 alongside the clan’s newest addition (see Encounter #99). J pod was not present, and has been observed in the southern reaches of the Salish Sea over the past week.",27038/DFO SARA 388,https://www.whaleresearch.com/2024-100
2024,2024-09-16,1,96,09:30:00,10:11:00,2460s (~41 minutes),Orcinus,"Dave Ellifrit, Michael Weiss,Charli Grimes",L,"L90, L128",Haro Strait,48.4765014648438,-123.157836914062,48.468334197998,-123.161003112793,"The morning began with reports of what sounded like L90 and L128 being on the west side again, with the hope of others being there too. The team met at Snug Harbor and left on “Orcinus” at 0910. We got on scene at 0930 about a mile off Hannah Heights. L90 and L128 were tight together, as one would expect, and pointed slowly up Haro Strait. Despite early hopes of other whales being around, L90 and L128 were the only two SRs seen in the strait. The pair were near the border but not so close that we couldn’t get the drone up over them. We attempted one photo-ID pass but L90 turned away from us before we could even get within 200 hundred yards. It was clear she was not ready for anyone to be close yet, so we stopped trying and took proof of presence photos from a distance while we flew over them. We were able to get good enough shots with the drone to confirm a right eyepatch, should we need to. The calf was also seen nursing, which is good news. L90 and L128 turned northwest and neared the border so we landed the drone and ended the encounter at 1011.",27038/DFO SARA 388,https://www.whaleresearch.com/2024-96
2024,2024-09-15,21,95,02:15:00,05:00:00,9900s (~2.75 hours),"KCB III, Orcinus","Dave Ellifrit, Michael Weiss,Michael, Charli Grimes, Rachel John on KCB3; Dave, John Durban, Holly Fearnbach on Orcinus",L,L90 and L128,Haro Strait,48.5716667175293,-123.199996948242,48.5583343505859,-123.183334350586,"J, K, and L pods had been reported by SR3 heading south at East Point the night before. The next morning, researchers were hoping some whales would still be on the west side of SJI, but the only morning report was of a few whales heading west at Sooke. We had planned an early morning whale search, but this was called off due to “KCB3” having a starboard engine issue. Early afternoon, a couple of whales were seen and photographed at Lime Kiln. Photos posted by Ashley Whitman showed L90 with a brand-new calf. This threw everyone into a tizzy as L90 had never been documented with a calf before, despite multiple suspected pregnancies. We had to scramble a bit to find people and make a plan, as “KCB3” was down an engine. We weren’t the only researchers with boat issues as “Orcinus” was on loan to SR3 due to their own research vessel being out of action. The plan was for Dave to go out in “Orcinus” with John Durban and Holly Fearnbach of SR3 to try to get ID shots of L90 and her new calf as well as getting SR3's drone up and over the mom and calf for their photogrammetry project. Michael, Rachel, and Charli would go out in”KCB3” to see if they could get anything with one running engine. Both boats left Snug Harbor a little after 1400.

L90 and her new calf were in Andrews Bay when we got on scene a few minutes after leaving the harbor. The two whales were non-directional and surfacing irregularly. It looked like it might take a bit of gentle persistence to get the type of ID shots we would like to have when documenting new calves. In “Orcinus”, we launched SR3’s drone since it didn’t seem like we would be getting good ID photos anytime soon. Since L90 was staying under for long periods without going on a long dive, the drone was helpful in letting the boat driver/ID photographer (Dave) know when L90 was coming up. Still, L90 was keeping a distance from everyone, and the calf did not always come up right after her, so getting photos was hard. Around 1525, L90 and the calf began heading slowly down island near Smugglers Cove, tight to the shoreline. L90 was pretty much hugging the contour of the island, even going in behind Sunset Point. “KCB3” headed back to Snug at 1545. While we were able to keep the drone over L90, we were not getting anything more in ID photos other than proof that a calf existed. The pair made their way down to the south end of LandBank when they turned and began to fast travel back up island. We were able to get a decent ID shot of L90, but she was running screen on the calf and the best Dave could get was a tiny dorsal disappearing behind mom. We ended the encounter around 1700 off Bellevue Point, after L90 stopped suddenly and turned down island again. 
While we were hoping for better eyepatch shots of the new calf, the SR3 team got good enough images of it to confirm its existence. This is L90’s first documented calf and it has been designated L128. The calf was not present when L90 was photographed near the Fraser River on September 13th and was probably born the next day sometime. L90 is now our oldest first-time mother at age 31.",27038/DFO SARA 388,https://www.whaleresearch.com/2024-95
2024,2024-09-13,2,94,10:34:00,12:05:00,5460s (~1.52 hours),KCB III,"Dave Ellifrit, Michael Weiss,Rachel John, Arlene Vargas, Alondra Caro Ruiz, Taylor Redmond","K, L",NA,Fraser River,49.0926666259766,-123.336669921875,49.1871681213379,-123.308334350586,"Once we left J pod (Encounter 93-1), we headed north towards the Coal Docks in hopes of finding more Southern Residents. We had made it most of the way up towards Point Roberts when we saw a report of whales north of the Coal Docks, so that gave us a little more hope of finding something up there. The weather wasn’t really bad, but it was breezy enough for there to be a 1-2 foot chop. We had made it almost to the main mouth of the Fraser River, when we saw whales and the encounter began at 1034.

The whales were spread out and foraging in the midst of hundreds of sport fishing boats. We tried to go to the northwest edge of the scene and worked the whales on the periphery of the sport fishing fleet. Most of the whales were pointed northeast until they got around the edge of the delta and then turned north towards Howe Sound. We started out seeing mostly K pod whales but members of the L4s, and L47s began showing up mixed in with them. Small groups began forming as the whales emerged out of the boats. Some of the groups seemed social although individual whales were still probably foraging. K45 and L125 were enjoying themselves while they played with one another. K43 was also socializing with the two little ones. K45 breached several times while goofing around. The L72s showed up towards the end of the encounter. L90 was photographed without a calf. We ended the encounter at 1205 off the airport on Sea Island with the whales heading north towards Howe Sound. K and L pods were still spread out in small groups and individuals.",27038/DFO SARA 388,https://www.whaleresearch.com/2024-94
2024,2024-09-13,1,93,08:45:00,09:26:00,2460s (~41 minutes),KCB III,"Dave Ellifrit, Michael Weiss,Rachel John, Arlene Vargas, Alondra Caro Ruiz",J,NA,southern Strait of Georgia,48.7968330383301,-123.036834716797,48.8523330688477,-123.060333251953,"As we were coming home late afternoon from our two Bigg’s encounter day on the 12th, we heard over the radio that SRs were coming in the Strait of Juan de Fuca near Race Rocks. The forecast for wind was not favorable, and we didn’t really have enough daylight to make the slog out to the whales worth it, so we would have to wait until morning. SRs were heard on the hydrophones that night and we had a plan to be off the dock by 8am. We all met at Snug in the morning and did make it off the dock by 0806. There was another report of whales heading northeast at East Point at 0745.
After heading through Johns Pass and up Boundary Pass, we passed East Point by 0840. We sighted whales soon afterwards and the encounter started at 0845 east of Tumbo Island. At first, we thought we had multiple pods because it looked like a lot of whales, but it was just J pod spread out abreast in a loose formation. They were traveling slowly north and appeared to be resting. They may have been waking up as the J19s and others moved ahead a little and other groups seemed to ooze towards the west. We made sure we had a proof of presence photo on everybody before we ended the encounter at 0926 a little northwest of where it started. Since more than J pod had been heard on the hydrophones the previous evening, we thought we should head north towards the Fraser River to take a look.",27038/DFO SARA 388,https://www.whaleresearch.com/2024-93
2024,2024-09-12,2,92,12:53:00,03:00:00,-35580s (~-9.88 hours),KCB III,"Dave Ellifrit, Michael Weiss,Alondra Caro Ruiz, Arlene Vargas, Taylor Redmond",Bigg's killer whales,NA,Rosario Strait,48.517333984375,-122.692337036133,48.5714988708496,-122.862503051758,"After we left the whales in Encounter 91-1 off the southeast tip of Lopez Island, we headed up toward the other group of Bigg’s that had been heading west in Guemes Channel. The whales passed Anacortes, and we got on scene at 1253, north of Shannon Point. There was one small group and some spread out peripheral whales. The main group consisted of T100, T100C, T100F, T37A, and T37A2 and they were pointed west. About a quarter mile north of them, we found T37A4 and T100E milling around together. T101 was also nearby. They formed a loose threesome that headed west before turning southeast back toward the main group who was still heading west toward Thatcher Pass.

T101A and T101B had been reported to have split off to the north and were closer to the south shoreline of Cypress Island. We eventually caught sight of the pair and headed that direction. T101A and T101B were traveling west across Rosario Strait and were loosely spread. They joined up tight once or twice before loosening up again as they traveled toward Thatcher Pass. They passed Lawson Reef and headed into Thatcher Pass on the Blakely Island side. The other whales were also making their way into the pass with most of the whales taking the north side, a few whales in the middle, and T100, T100C, and T100F on the north shoreline of Decatur Island. We moved over to the T100s as most of the other whales turned north-northwest on the Blakely Island side. The T100s turned north off the northwest tip of Decatur Island and passed close to the Frost Island eastern shoreline. The T100s were the westernmost whales while the others were more mid-channel as they turned northwest towards Upright Head on the north tip of Lopez Island. Most of the whales were now loosely spread out and heading slowly northwest a little east of the Lopez ferry landing and we ended the encounter there at 1500.",27038/DFO SARA 388,https://www.whaleresearch.com/2024-92
2024,2024-09-12,191,NA,10:50:00,12:35:00,6300s (~1.75 hours),KCB III,"Dave Ellifrit, Michael Weiss,Alondra Caro Ruiz, Arlene Vargas, Taylor Redmond",Bigg's killer whales,NA,south end of Lopez Island,48.4363327026367,-122.929496765137,48.4221649169922,-122.78816986084,"The morning started with a report of a group of whales heading east off Eagle Point. We gathered our gear, headed to Snug Harbor and left in KCB3 at 1017. We headed down island and made it on scene by about 1050. The whales had been reported as the T137s and others and they were heading east near the south side of Long Island. The whales were mostly in a single tight group although T137A and maybe another whale or two were trailing the others when we arrived. We got the drone up for a couple of flights as the whales traveled east along the south side of Lopez Island. The trailing whales caught up with the group and, other then one jag to the south off Iceberg Point, they all continued east. The other whales besides the T137s ended up being the T36s, T124Ds, and T124A1. The whales were being somewhat social as they traveled. After the whales passed Davidson Rock, they angled northeast up Rosario Strait off the southeast corner of Lopez Island. We left this group at 1235 just east of Watmough Head.

Another nice group of Bigg’s had been reported heading west in Guemes Channel and we decided to go check out those whales next. See Encounter 92-2.",27038/DFO SARA 388,https://www.whaleresearch.com/2024-91
2024,2024-09-09,1,90,02:20:00,04:06:00,6360s (~1.77 hours),KCB III,"Michael Weiss,Arlene Vargas, Rachel John, Charli Grimes",Bigg's killer whales,NA,Alden Bank,48.8473320007324,-123.899169921875,48.9153327941895,-123.90599822998,"The team had received reports that a group of around 5 whales had been found near the outer islands. These whales were identified by vessels on scene as the T35As, a group that we rarely encounter that far east in the Salish Sea, potentially accompanied by the T38As. The team geared up and left Snug at 13:28.

The team arrived on scene at 14:20 just north of Alden Bank. The whales were milling when the team arrived, apparently just finishing processing a kill. As the team slowly approached the area, the whales began moving slowly east. The team took the opportunity to do a left-side photo-ID pass, and confirmed that it was just the T35As present.

After the photo-ID pass, the team moved away from the whales and launched the drone. During their flights, they observed the whales chasing a harbor porpoise. After diving to capture the porpoise, yet another porpoise appeared: a calf! The whales chased and eventually caught both mother and calf. The mother was briefly released, apparently so T35A4 could practice chasing and catching it. The porpoise proved a bit too big for the young whale to hold onto, forcing the adults to step in and finish the hunt.

The whales prey shared and socializing for the next several minutes before again turning directional and heading northeast. As the team got into position for a photo ID pass, the whales spread out over a half mile. The team got a couple more photos of part of the group, but with the light getting lower and the whales spread, they decided to end the encounter at 16:06 and head back to Snug.",27038/DFO SARA 388,https://www.whaleresearch.com/2024-90
2024,2024-09-07,2,88,12:02:00,12:41:00,2340s (~39 minutes),Mike 1,"Mark Malleson,",Bigg's killer whales,NA,Porlier Pass,48.02783203125,-123.592002868652,49.060001373291,-123.6181640625,"Mark left the T023Ds at 1138, about 1 nautical mile southeast of Wallace Island, and continued northwest up Trincomali Channel, hoping to find T023D3 and more killer whales in the Strait of Georgia (see Encounter 87). 
Approaching the area, Mark saw what appeared to be a cow and a juvenile milling around a likely seal hunt. Another young whale soon emerged from the chop, joining in on the presumed prey sharing. Mark confirmed that he was observing members of the T075Bs—specifically T075B2, T075B3, and T075B4. After several minutes, it became clear that prey sharing was indeed occurring, as indicated by a small slick that formed near the whales. Minutes later, the trio moved northwest along the Valdez shoreline, with T075B2 leading the group through the two-foot chop. 
After capturing some proof of presence shots of the whales, Mark ended the encounter at 1241 and returned to the sheltered waters inside the Gulf islands.",27038/DFO SARA 388,https://www.whaleresearch.com/2024-88
2024,2024-09-07,1,87,10:33:00,11:38:00,3900s (~1.08 hours),Mike 1,"Mark Malleson,",Bigg's killer whales,NA,Trincomali Channel,48.8699989318848,-123.435836791992,48.923999786377,-123.501167297363,"Mark departed Whaler Bay on Galiano Island aboard Mike 1 at 0920 to follow up on a report of killer whales seen heading south past Mary Anne Point in Active Pass at 0815. Upon arriving at the west entrance of Active Pass, he paused for a binocular scan to check if the whales were still visible. Given the elapsed time, they could have moved south into Swanson Channel or northwest into Trincomali Channel. Enough time had passed that the whales were likely out of his view either way, and the ebb tide would have further helped their progress if they’d opted to move south. 

Mark decided to approach a sport fisher off Collinson Point to inquire if they had seen the whales exit the pass and if they could confirm their direction of travel. The first boat he asked reported seeing the whales heading south towards Portlock Point on Prevost Island just 20 minutes earlier. This information was promising, but once he reached Portlock Point several minutes later and stopped for a scan, the whales were still nowhere to be found. Mark was baffled that he wasn't seeing them; given the recent report and ideal conditions, he began questioning the fisherman's information. 

Just as he was preparing to retrace his route towards Trincomali Channel, another sport fisher who had also been at Collinson Point and overheard Mark asking about killer whales slowed down as they approached Mike 1. Mark approached them for more details, and they informed him that they had seen the whales loop up Trincomali Channel. Mark then proceeded up Trincomali Channel, favouring the northern side, moving slowly and stopping for frequent scans. During his third scan, he heard faint blows to the west but couldn't immediately spot any dorsal fins. He continued toward where he'd heard the blows and eventually stopped a mile to the west. He began to hear the blows again, this time more clearly, and after a quick scan, he finally locked on to the whales! 

There appeared to be three or four killer whales spread out, and it took over 20 minutes before Mark managed to get a photograph of one as they were extremely cryptic - quite possibly the most cryptic whales of the year! The whales would surface 2 or 3 times before disappearing for ~6 minutes. Mark eventually confirmed that he had T023 and a group of three within a half mile, which included her daughter, T023D, and grandkids, T023D4 and T023D5. 

After an hour of starting the encounter, the group of four whales was tight together on the Galiano side of the channel. There was still no sign of the sprouter, T023D3, so Mark decided to end the encounter slightly east of Wallace Island and head towards Porlier Pass in case he was ahead of the group. He also wanted to have a scan for other animals in the Strait of Georgia, as there was an earlier shore-based report of additional animals heading northwest on the north side of Galiano. Mark later received a report on his return from Porlier Pass that T023D3 had appeared along the Saltspring side of Trincomali Channel and managed to photograph him at the west end of Wallace Island.",27038/DFO SARA 388,https://www.whaleresearch.com/2024-87
