tconst,title_type,primary_title,original_title,year,runtime_minutes,genres,simple_title,average_rating,num_votes
tt0016123,movie,The Monster,The Monster,1925,86,"Comedy,Horror,Mystery",the monster,6.2,1412
tt0023236,movie,The Monster Walks,The Monster Walks,1932,57,"Horror,Mystery",the monster walks,4.1,1120
tt0031208,movie,The Human Monster,The Dark Eyes of London,1939,73,"Crime,Drama,Horror",the human monster,5.7,1579
tt0033879,movie,Man Made Monster,Man Made Monster,1941,59,"Drama,Horror,Romance",man made monster,6.1,1953
tt0033916,movie,The Monster and the Girl,The Monster and the Girl,1941,65,"Crime,Drama,Horror",the monster and the girl,6,799
tt0035009,movie,The Mad Monster,The Mad Monster,1942,77,"Drama,Horror,Romance",the mad monster,3.5,1969
tt0035124,movie,Night Monster,Night Monster,1942,73,"Adventure,Crime,Drama",night monster,6.1,1938
tt0035489,movie,The Undying Monster,The Undying Monster,1942,63,"Drama,Horror,Mystery",the undying monster,6.1,1588
tt0036999,movie,The Lady and the Monster,The Lady and the Monster,1944,86,"Horror,Sci-Fi,Thriller",the lady and the monster,5.7,504
tt0037084,movie,The Monster Maker,The Monster Maker,1944,62,"Horror,Sci-Fi",the monster maker,4.8,1285
tt0037301,movie,The Soul of a Monster,The Soul of a Monster,1944,61,"Drama,Horror,Romance",the soul of a monster,4.9,289
tt0037927,movie,The Monster and the Ape,The Monster and the Ape,1945,295,"Action,Adventure,Horror",the monster and the ape,5.6,112
tt0038007,movie,The Purple Monster Strikes,The Purple Monster Strikes,1945,201,"Action,Sci-Fi",the purple monster strikes,6.3,214
tt0042600,movie,The Invisible Monster,The Invisible Monster,1950,167,"Action,Adventure,Crime",the invisible monster,4.6,267
tt0046026,movie,The Magnetic Monster,The Magnetic Monster,1953,76,"Horror,Sci-Fi",the magnetic monster,5.8,1998
tt0046097,movie,The Island Monster,Il mostro dell'isola,1954,87,"Crime,Thriller",the island monster,2.8,489
tt0046248,movie,Robot Monster,Robot Monster,1953,66,"Comedy,Family,Horror",robot monster,3,5538
tt0046802,movie,The Bowery Boys Meet the Monsters,The Bowery Boys Meet the Monsters,1954,65,"Comedy,Horror,Sci-Fi",the bowery boys meet the monsters,5.9,806
