ISO3,Year,Month,Total,Domestic,International,Total_OS
ALB,2010,1,NA,NA,NA,117.35
ALB,2010,2,NA,NA,NA,86.535
ALB,2010,3,NA,NA,NA,103.795
ALB,2010,4,NA,NA,NA,102.038
ALB,2010,5,NA,NA,NA,109.037
ALB,2010,6,NA,NA,NA,126.159
ALB,2010,7,NA,NA,NA,181.095
ALB,2010,8,NA,NA,NA,226.824
ALB,2010,9,NA,NA,NA,148.392
ALB,2010,10,NA,NA,NA,110.346
ALB,2010,11,NA,NA,NA,93.342
ALB,2010,12,NA,NA,NA,131.909
ALB,2011,1,NA,NA,NA,135.743
ALB,2011,2,NA,NA,NA,101.417
ALB,2011,3,NA,NA,NA,128.551
ALB,2011,4,NA,NA,NA,141.269
ALB,2011,5,NA,NA,NA,136.785
ALB,2011,6,NA,NA,NA,150.219
ALB,2011,7,NA,NA,NA,199.495
ALB,2011,8,NA,NA,NA,234.296
ALB,2011,9,NA,NA,NA,174.046
ALB,2011,10,NA,NA,NA,142.567
ALB,2011,11,NA,NA,NA,124.214
ALB,2011,12,NA,NA,NA,148.471
ALB,2012,1,NA,NA,NA,144.599
ALB,2012,2,NA,NA,NA,97.871
ALB,2012,3,NA,NA,NA,118.722
ALB,2012,4,NA,NA,NA,127.083
ALB,2012,5,NA,NA,NA,122.242
ALB,2012,6,NA,NA,NA,137.492
ALB,2012,7,NA,NA,NA,174.767
ALB,2012,8,NA,NA,NA,200.973
ALB,2012,9,NA,NA,NA,153.348
ALB,2012,10,NA,NA,NA,130.603
ALB,2012,11,NA,NA,NA,121.274
ALB,2012,12,NA,NA,NA,136.357
ALB,2013,1,NA,NA,NA,126.844
ALB,2013,2,NA,NA,NA,101.829
ALB,2013,3,NA,NA,NA,128.941
ALB,2013,4,NA,NA,NA,125.627
ALB,2013,5,NA,NA,NA,133.094
ALB,2013,6,NA,NA,NA,150.111
ALB,2013,7,NA,NA,NA,190.259
ALB,2013,8,NA,NA,NA,216.834
ALB,2013,9,NA,NA,NA,172.452
ALB,2013,10,NA,NA,NA,147.855
ALB,2013,11,NA,NA,NA,120.15
ALB,2013,12,NA,NA,NA,143.346
ALB,2014,1,NA,NA,NA,143.816
ALB,2014,2,NA,NA,NA,109.584
ALB,2014,3,NA,NA,NA,132.521
ALB,2014,4,NA,NA,NA,137.687
ALB,2014,5,NA,NA,NA,141.343
ALB,2014,6,NA,NA,NA,153.692
ALB,2014,7,NA,NA,NA,186.278
ALB,2014,8,NA,NA,NA,212.567
ALB,2014,9,NA,NA,NA,173.358
ALB,2014,10,NA,NA,NA,150.81
ALB,2014,11,NA,NA,NA,127.68
ALB,2014,12,NA,NA,NA,140.969
ALB,2015,1,NA,NA,NA,135.863
ALB,2015,2,NA,NA,NA,111.018
ALB,2015,3,NA,NA,NA,138.878
ALB,2015,4,NA,NA,NA,150.029
ALB,2015,5,NA,NA,NA,157.779
ALB,2015,6,NA,NA,NA,173.449
ALB,2015,7,NA,NA,NA,213.546
ALB,2015,8,NA,NA,NA,237.808
ALB,2015,9,NA,NA,NA,193.7
ALB,2015,10,NA,NA,NA,167.372
ALB,2015,11,NA,NA,NA,140.165
ALB,2015,12,NA,NA,NA,157.437
ALB,2016,1,NA,NA,NA,149.063
ALB,2016,2,NA,NA,NA,127.095
ALB,2016,3,NA,NA,NA,147.463
ALB,2016,4,NA,NA,NA,148.33
ALB,2016,5,NA,NA,NA,162.017
ALB,2016,6,NA,NA,NA,181.574
ALB,2016,7,NA,NA,NA,223.442
ALB,2016,8,NA,NA,NA,258.959
ALB,2016,9,NA,NA,NA,214.726
ALB,2016,10,NA,NA,NA,200.303
ALB,2016,11,NA,NA,NA,175.763
ALB,2016,12,NA,NA,NA,206.365
ALB,2017,1,NA,NA,NA,191.759
ALB,2017,2,NA,NA,NA,140.368
ALB,2017,3,NA,NA,NA,175.914
ALB,2017,4,NA,NA,NA,189.763
ALB,2017,5,NA,NA,NA,192.938
ALB,2017,6,NA,NA,NA,229.584
ALB,2017,7,NA,NA,NA,293.064
ALB,2017,8,NA,NA,NA,328.317
ALB,2017,9,NA,NA,NA,267.104
ALB,2017,10,NA,NA,NA,216.022
ALB,2017,11,NA,NA,NA,186.164
ALB,2017,12,NA,NA,NA,219.341
ARE,2014,1,NA,NA,NA,8769.155
ARE,2014,2,NA,NA,NA,7778.523
ARE,2014,3,NA,NA,NA,8629.734
ARE,2014,4,NA,NA,NA,8541.271
ARE,2014,5,NA,NA,NA,7647.589
ARE,2014,6,NA,NA,NA,7648.147
ARE,2014,7,NA,NA,NA,7653.026
ARE,2014,8,NA,NA,NA,9409.965
ARE,2014,9,NA,NA,NA,8411.89
ARE,2014,10,NA,NA,NA,8440.697
ARE,2014,11,NA,NA,NA,7797.602
ARE,2014,12,NA,NA,NA,9129.764
ARE,2015,1,NA,NA,NA,9619.214
ARE,2015,2,NA,NA,NA,8420.037
ARE,2015,3,NA,NA,NA,9481.487
ARE,2015,4,NA,NA,NA,9190.248
ARE,2015,5,NA,NA,NA,8955.788
ARE,2015,6,NA,NA,NA,8538.044
ARE,2015,7,NA,NA,NA,9620.921
ARE,2015,8,NA,NA,NA,10465.962
ARE,2015,9,NA,NA,NA,9324.008
ARE,2015,10,NA,NA,NA,9031.53
ARE,2015,11,NA,NA,NA,8613.162
ARE,2015,12,NA,NA,NA,10081.008
ARE,2016,1,NA,NA,NA,10411.417
