subcategory,rank,year,name,show,affiliation,title
Emerging Voice Award,Winner,2024,Randy Lau,NA,Made With Lau,NA
Visual Media - Long Form,Nominee,2024,Why Is the Filipino Calamansi Being Left Behind?,NA,Airs on: FEATR channel on YouTube,Why Is the Filipino Calamansi Being Left Behind?
Documentary Visual Media,Nominee,2024,Preserving Taste,NA,Airs on: 2023 Ceres Food Festival,Preserving Taste
Docuseries Visual Media,Nominee,2024,High on the Hog: How African American Cuisine Transformed America,NA,Airs on: Netflix,High on the Hog: How African American Cuisine Transformed America
Audio Reporting,Nominee,2024,Gabriel Chabran,How to LA,Airs on: LAist.com and all podcast platforms,“The Best Places to Find a Good Concha in LA”
Visual Media - Short Form,Nominee,2024,Remembrance: Recreating a Jewish family?s recipes,NA,Airs on CBS Sunday Morning,Remembrance: Recreating a Jewish family’s recipes
Commercial Media,Winner,2024,Wieden + Kennedy,NA,All podcast platforms,"The Black Kitchen Series: Innovators, Season 2"
Audio Reporting,Winner,2024,Samia Basille,The Sporkful,Airs on: All podcast platforms,“What ‘Couscousgate’ Tells Us About French Food”
Docuseries Visual Media,Nominee,2024,"La Frontera with Pati Jinich, Season 2",NA,Airs on: PBS and Amazon Prime,"La Frontera with Pati Jinich, Season 2"
Social Media Account,Nominee,2024,Jenny Lau,NA,"Airs on: YouTube, Instagram, TikTok",Made With Lau
Unscripted Visual Media,Nominee,2024,The Family Behind LA's Best Texas BBQ,NA,Airs on: Munchies channel on YouTube,The Family Behind LA’s Best Texas BBQ
Audio Programming,Winner,2024,Fed with Chris van Tulleken,Fed with Chris van Tulleken,Airs on: BBC Sounds and BBC Radio 4,“Series 1: Planet Chicken”
Documentary Visual Media,Winner,2024,The Michoacan File,NA,Airs on: Various film festivals,The Michoacan File
Unscripted Visual Media,Nominee,2024,"On The Line, Bon Appétit",NA,Airs on: Bon Appétit website and YouTube,"On The Line, Bon Appétit"
Instructional Visual Media,Nominee,2024,Big Sky Kitchen With Eduardo Garcia,NA,"Airs on: Magnolia Network, Discovery+, and Max","Big Sky Kitchen with Eduardo Garcia, Season 2"
Commercial Media,Nominee,2024,Stephen Pelletteri,NA,Airs on: Eater channel on YouTube,Vendors: Why One of The Best Restaurants in America Buy Their Oysters from the McIntosh Family
Commercial Media,Nominee,2024,Taye Shuayb,NA,Airs on: Tastemade streaming channel,Street Somm
Visual Media - Long Form,Winner,2024,SOMM: Cup of Salvation,NA,Airs on: Somm TV,SOMM: Cup of Salvation
Social Media Account,Winner,2024,Kj Kearney Jr,NA,Airs on: Instagram,Black Food Fridays
Visual Media - Long Form,Nominee,2024,Most Expensive Chocolate in the World (Heirloom Ingredients of Negros Occidental Philippines),NA,Airs on: FEATR channel on YouTube,Most Expensive Chocolate in the World (Heirloom Ingredients of Negros Occidental Philippines)
Commercial Media,Winner,2024,The Mayda Creative Co.,NA,All podcast platforms,"The Black Kitchen Series: Innovators, Season 2"
Docuseries Visual Media,Nominee,2024,Philippine Artisinal Salt Series,NA,Airs on: FEATR channel on YouTube,Philippine Artisinal Salt Series
Social Media Account,Nominee,2024,Randy Lau,NA,"Airs on: YouTube, Instagram, TikTok",Made With Lau
Social Media Account,Nominee,2024,Chung Sun Lau,NA,"Airs on: YouTube, Instagram, TikTok",Made With Lau
Commercial Media,Nominee,2024,Murilo Ferreira,NA,Airs on: Eater channel on YouTube,Vendors: Why One of The Best Restaurants in America Buy Their Oysters from the McIntosh Family
Audio Programming,Nominee,2024,Gastropod,Gastropod,Airs on: Vox Media Podcast Network and all podcast platforms,"“Meet Taro, the Poke Bowl’s Missing Secret Ingredient”"
Audio Reporting,Winner,2024,Dan Pashman,The Sporkful,Airs on: All podcast platforms,“What ‘Couscousgate’ Tells Us About French Food”
Unscripted Visual Media,Winner,2024,"Street Eats, Bon Appétit",NA,Airs on: Bon Appétit website and YouTube,"Street Eats, Bon Appétit"
Visual Media - Short Form,Winner,2024,Great Wall,NA,Undercurrent Film Company channel on Vimeo,Great Wall
Commercial Media,Nominee,2024,Mike Aho,NA,Airs on: Tastemade streaming channel,Street Somm
Commercial Media,Nominee,2024,Joey Lucas,NA,Airs on: Tastemade streaming channel,Street Somm
Audio Reporting,Winner,2024,Emma Morgenstern,The Sporkful,Airs on: All podcast platforms,“What ‘Couscousgate’ Tells Us About French Food”
Audio Programming,Nominee,2024,Good Food,Good Food,Airs on: Gastropod,"The life and times of Lalo García: Immigration, deportation, reconciliation"
Commercial Media,Nominee,2024,Carla Francescutti,NA,Airs on: Eater channel on YouTube,Vendors: Why One of The Best Restaurants in America Buy Their Oysters from the McIntosh Family
Instructional Visual Media,Nominee,2024,What's Eating Dan?,NA,Airs on: America’s Test Kitchen channel on YouTube,What’s Eating Dan?
Audio Reporting,Nominee,2024,Brian De Los Santos,How to LA,Airs on: LAist.com and all podcast platforms,“The Best Places to Find a Good Concha in LA”
Instructional Visual Media,Winner,2024,Made with Lau,NA,Airs on: Made with Lau channel on YouTube,Made with Lau
Visual Media - Short Form,Nominee,2024,CAMINANTE video series,NA,Airs on: La Mafia channel on YouTube,CAMINANTE video series
Audio Reporting,Nominee,2024,Mackenzie Martin,A People’s History of Kansas City,Airs on: KCUR and various podcast platforms,“The Golden Arches in Black Kansas City”
Social Media Account,Nominee,2024,Abi Marquez,NA,"Airs on: TikTok, Facebook, Instagram, YouTube –",Abi Marquez
Documentary Visual Media,Nominee,2024,The Lebanese Burger Mafia,NA,Airs on: Paramount+,The Lebanese Burger Mafia
Audio Program,Nominee,2023,Dish City,Dish City,WAMU 88.5 and various podcast platforms,The complicated legacy of Asian-owned carryouts in D.C.'s Black neighborhoods
Emerging Voice Award,Winner,2023,Abena Anim-Somuah,NA,The Future of Food is You,NA
Commercial/Sponsored Visual Media,Nominee,2023,Lindsey Hagen,NA,California Natural by Martha Stoumen Wines,NA
Audio Program,Nominee,2023,Good Food,Good Food,KCRW and various podcast platforms,"‘Maíz is life’ — the history, science, and politics of masa"
Documentary Visual Media,Winner,2023,Coldwater Kitchen,NA,Various film festivals,Coldwater Kitchen
Audio Program,Winner,2023,Copper & Heat,Copper & Heat,Various podcast platforms,Abalone: The Cost of Consumption
Audio Reporting,Nominee,2023,Lisa Morehouse,California Foodways,KQED and various podcast platforms,‘We Just Have Faith’: Gold Country Jewish Community Strives to Connect Through COVID”; “Ojai's Famous Pixie Tangerine Struggles to Survive Wildfires and a Hot Real Estate Market”; “Cafeteria Cook Brings Gourmet Dishes Inspired by Palauan Childhood to Lass
Social Media Account,Nominee,2023,Jeromy Ko,NA,Nom Life,NA
Instructional Visual Media,Winner,2023,Big Sky Kitchen With Eduardo Garcia,NA,Magnolia Network and Discovery+,Big Sky Kitchen With Eduardo Garcia
Social Media Account,Winner,2023,Erwan Heussaff,NA,Erwan,NA
Social Media Account,Nominee,2023,Michael Burk,NA,Of Course It's Kid Friendly,Kalamatas Kitchen
Social Media Account,Nominee,2023,Andrew Huang,NA,Nom Life,NA
Commercial/Sponsored Visual Media,Winner,2023,Daniel Klein,NA,Masienda Presents,NA
Commercial/Sponsored Visual Media,Nominee,2023,Jaylee Adams,NA,California Natural by Martha Stoumen Wines,NA
Commercial/Sponsored Visual Media,Nominee,2023,Daniel Klein,NA,Las Chicatanas: The Oaxacan Ant Delicacy That Is Harvested Just Once a Year,NA
Social Media Account,Nominee,2023,Ewa Huang,NA,Nom Life,NA
Commercial/Sponsored Visual Media,Winner,2023,Jorge Gaviria,NA,Masienda Presents,NA
Audio Reporting,Winner,2023,Elizabeth Dunn,NA,The Twisted History of School Lunch in America,Pressure Cooker
Documentary Visual Media,Nominee,2023,"Love, Charlie: The Rise and Fall of Chef Charlie Trotter",NA,Apple TV and Amazon Prime,"Love, Charlie: The Rise and Fall of Chef Charlie Trotter"
Reality or Competition Visual Media,Nominee,2023,Top Chef,NA,Bravo,Top Chef
Audio Reporting,Winner,2023,Jane Black,NA,The Twisted History of School Lunch in America,Pressure Cooker
Visual Media - Long Form,Winner,2023,The Whole Animal,NA,SOMM TV,The Whole Animal
Instructional Visual Media,Nominee,2023,What's Eating Dan? with Dan Souza,NA,YouTube,What's Eating Dan? with Dan Souza
Reality or Competition Visual Media,Winner,2023,Restaurant Takeover ft. Matta,NA,YouTube,Restaurant Takeover ft. Matta
Visual Media - Long Form,Nominee,2023,Somebody Feed Phil,NA,Netflix,Somebody Feed Phil
Instructional Visual Media,Nominee,2023,Techniquely with Lan Lam,NA,YouTube,Techniquely with Lan Lam
Visual Media - Short Form,Nominee,2023,Eater's The Experts,Eater's The Experts,YouTube,How One of Philly's Best Pizza Spots Creates Jobs for the Formerly Incarcerated
Visual Media - Long Form,Nominee,2023,Mafia Land,NA,Vice TV and YouTube,Mafia Land
Visual Media - Short Form,Nominee,2023,Matter of Fact with Soledad O’Brien,NA,Syndicated,Matter of Fact with Soledad O’Brien
Commercial/Sponsored Visual Media,Nominee,2023,Yazmín Ramírez,NA,Las Chicatanas: The Oaxacan Ant Delicacy That Is Harvested Just Once a Year,NA
Commercial/Sponsored Visual Media,Winner,2023,Hallie Davison,NA,Masienda Presents,NA
Documentary Visual Media,Nominee,2023,James Hemings: Ghost in America's Kitchen,NA,Various streaming platforms,James Hemings: Ghost in America's Kitchen
Visual Media - Short Form,Winner,2023,CBS Sunday Morning,CBS Sunday Morning,CBS,"Black, White, and The Grey; How Erin French found herself at The Lost Kitchen"
Reality or Competition Visual Media,Nominee,2023,The Pass,The Pass,YouTube,We Put 11 Cameras in NYC's Busiest Brunch Restaurant
Commercial/Sponsored Visual Media,Nominee,2023,Hallie Davison,NA,Las Chicatanas: The Oaxacan Ant Delicacy That Is Harvested Just Once a Year,NA
Audio Reporting,Nominee,2023,Tyler Boudreaux,NA,The Blacker the Cherry: The abolitionist history of the Black Republican Cherry,NA
Commercial/Sponsored Visual Media,Nominee,2023,Martha Stoumen,NA,California Natural by Martha Stoumen Wines,NA
Commercial/Sponsored Visual Media,Winner,2022,Marcus Samuelsson,NA,"Eater, YouTube, Instagram",Uber Eats Presents: On the Rise with Marcus Samuelsson
Reality or Competition Visual Media,Winner,2022,Top Chef Family Style,NA,Peacock,"Truffles, Caviar & Prawns -- Oh My!"
Commercial/Sponsored Visual Media,Nominee,2022,Sean O'Connor,NA,"INFRA and Story Gorge outreach materials, website, and social media",I Hire Punks
Reality or Competition Visual Media,Nominee,2022,School of Chocolate,NA,Netflix,Flying Chocolate
Visual Media - Short Form,Winner,2022,Eat This with Yara,NA,AJ+,What Everyone Gets Wrong About Farm Work
Reality or Competition Visual Media,Nominee,2022,SPARKLERS,NA,SOMM TV,NA
Commercial/Sponsored Visual Media,Nominee,2022,Mando Rayo,NA,"Youtube, Laredo Taco Company website",Made Right Here Road Trip
Visual Media - Long Form,Winner,2022,Taste the Nation: Holiday Edition,NA,Hulu,NA
Visual Media - Long Form,Nominee,2022,EatUp! New York,NA,ABC7 New York,NA
Visual Media - Short Form,Nominee,2022,TrueSouth,NA,ESPN / SEC Network,Lake Village
Social Media Account,Winner,2022,Alexis Nelson,NA,TikTok and Instagram,Black Forager
Social Media Account,Nominee,2022,Aleya Zenieris,NA,TikTok and Instagram,Buzzfeed Tasty
Visual Media - Long Form,Nominee,2022,Somebody Feed Phil - Chicago,NA,Netflix,NA
Visual Media - Short Form,Nominee,2022,Handmade,NA,Eater,"How 60,000 Metric Tons of Salt Are Harvested from One of the World’s Saltiest Lakes"
Commercial/Sponsored Visual Media,Winner,2022,Justin V. Barocas,NA,"Eater, YouTube, Instagram",Uber Eats Presents: On the Rise with Marcus Samuelsson
Audio Reporting,Winner,2022,Dan Pashman,The Sporkful,Various podcast platforms,A Reckoning At Bon Appétit; Update: Inside The Turmoil At Bon Appétit
Audio Reporting,Winner,2022,Andres O'Hara,The Sporkful,Various podcast platforms,A Reckoning At Bon Appétit; Update: Inside The Turmoil At Bon Appétit
Documentary,Winner,2022,Gather,NA,"Netflix, iTunes, Amazon, Google Play",NA
Audio Reporting,Winner,2022,Emma Morgenstern,The Sporkful,Various podcast platforms,A Reckoning At Bon Appétit; Update: Inside The Turmoil At Bon Appétit
Audio Reporting,Nominee,2022,Lisa Morehouse,California Foodways,KQED and various podcast platforms,"Home Baked: One Woman's Subversive Response to the AIDS Crisis; Owls, Swallows, and Bluebirds: Farmers’ Secret Allies"
Audio Program,Winner,2022,Dish City,NA,WAMU and various podcast platforms,How American Chinese Food Became Delivery Food
Audio Reporting,Nominee,2022,Mackenzie Martin,A People's History of Kansas City,KCUR and various podcast platforms,Kansas City's Barbecue King
Online Video Fixed / Location and/or Instructional,Nominee,2022,Christopher Kimball's Milk Street Television,NA,American Public Television,NA
Online Video Fixed / Location and/or Instructional,Winner,2022,The Wild Harvest with Alan Bergo,NA,Vimeo,NA
Visual Media - Short Form,Nominee,2022,Handmade,NA,Eater,"How 60,000 Metric Tons of Salt Are Harvested from One of the World’s Saltiest Lakes"
Visual Media - Short Form,Winner,2022,Eat This with Yara,NA,AJ+,What Everyone Gets Wrong About Farm Work
Audio Program,Nominee,2022,Gastropod,NA,Vox Media Podcast Network and various podcast platforms,Balls *and* Brains: The Science and History of Offal
Documentary,Winner,2022,Gather,NA,"Netflix, iTunes, Amazon, Google Play",NA
Audio Reporting,Winner,2022,Emma Morgenstern,The Sporkful,Various podcast platforms,A Reckoning At Bon Appétit; Update: Inside The Turmoil At Bon Appétit
Audio Reporting,Nominee,2022,Lisa Morehouse,California Foodways,KQED and various podcast platforms,"Home Baked: One Woman's Subversive Response to the AIDS Crisis; Owls, Swallows, and Bluebirds: Farmers’ Secret Allies"
Documentary,Nominee,2022,The Hungriest State,NA,Mississippi State University Television / Mississippi Public Broadcasting,NA
Audio Reporting,Winner,2022,Andres O'Hara,The Sporkful,Various podcast platforms,A Reckoning At Bon Appétit; Update: Inside The Turmoil At Bon Appétit
Documentary,Nominee,2022,High on the Hog: How African American Cuisine Transformed America,NA,Netflix,NA
Reality or Competition Visual Media,Nominee,2022,School of Chocolate,NA,Netflix,Flying Chocolate
Documentary,Winner,2020,That's My Jazz,NA,Vimeo,That's My Jazz
Visual and Audio Technical Excellence,Nominee,2020,Shane Reed,NA,Netflix,Street Food
Visual Reporting,Nominee,2020,Yara AJ+ Staff,Eat This with Yara,YouTube and AJ+,Why This $300 Clam Is so Important to Native Americans and China
Visual Reporting,Winner,2020,Christine Dare-Bryan,Rotten,Netflix,The Avocado War
Audio Program,Winner,2020,It Burns: The Scandal,It Burns: The Scandal,Audible,Plagued Race to Breed the World’s Hottest Chili
Visual and Audio Technical Excellence,Nominee,2020,Matthew Chavez,NA,Netflix,Street Food
Visual and Audio Technical Excellence,Winner,2020,Chloe Weaver,NA,Netflix,Chef's Table
Visual and Audio Technical Excellence,Winner,2020,Adam Bricker,NA,Netflix,Chef's Table
"Television Program, in Studio or Fixed Location",Winner,2020,Pati's Mexican Table,NA,WETA; distributed nationally by American Public Television,A Local's Tour of Culiacán
"Online Video, Fixed Location",Nominee,2020,Chef Studio: The Crumby Bits,Chef Studio: The Crumby Bits,Youtube,Cricket Macarons
"Online Video, on Location",Nominee,2020,Eat This with Yara,NA,YouTube and AJ+,Eat This with Yara
Outstanding Personality/Host,Winner,2020,Roy Choi,NA,Tastemade and KCET,Broken Bread with Roy Choi
Audio Program,Nominee,2020,The Food Programme,The Food Programme,BBC Radio 4 and BBC Sounds,The Search for Esiah's Seeds
Outstanding Personality/Host,Nominee,2020,David Chang,NA,Netflix,"Breakfast, Lunch & Dinner"
Outstanding Personality/Host,Nominee,2020,Alton Brown,NA,Food Network,Good Eats: The Return
Visual Reporting,Nominee,2020,Joi Lee,Fork the System,"Al Jazeera English Digital, YouTube, and Facebook","Moro Food of Muslim Mindanao: This is Filipino, Too"
Visual Reporting,Nominee,2020,HyoJin Park,Fork the System,"Al Jazeera English Digital, YouTube, and Facebook","Moro Food of Muslim Mindanao: This is Filipino, Too"
