subcategory,rank,year,name,restaurant,city
Best Chef Mid-Atlantic,Semifinalist,2024,Mona Tongdee,Pusadee’s Garden,"Pittsburgh, Pennsylvania"
Best Chef Mid-Atlantic,Semifinalist,2024,Yuan Tang,Rooster & Owl,"Washington, District of Columbia"
Best Chef Mid-Atlantic,Nominee,2024,Matthew Kern,One Coastal,"Fenwick Island, Delaware"
Best Chef Great Lakes,Semifinalist,2024,Daniel Klenotic,Bellflower,"Ypsilanti, Michigan"
Best Chef Mid-Atlantic,Semifinalist,2024,Amy Brandwein,Centrolina,"Washington, District of Columbia"
Best Chef Mid-Atlantic,Semifinalist,2024,Randy Rucker,River Twice,"Philadelphia, Pennsylvania"
Best Chef Mid-Atlantic,Semifinalist,2024,Carlos Aparicio,El Chingon,"Philadelphia, Pennsylvania"
Best Chef Mid-Atlantic,Semifinalist,2024,Esther Lee,Obelisk,"Washington, District of Columbia"
Best Chef California,Semifinalist,2024,Zak Stern,Daytrip,"Oakland, California"
Best Chef Great Lakes,Semifinalist,2024,Elaine Townsend,Cafe Mochiko,"Cincinatti, Ohio"
Best Chef Great Lakes,Semifinalist,2024,Avishar Barua,Joya's,"Worthington, Ohio"
Best Chef Great Lakes,Winner,2024,Hajime Sato,Sozai,"Clawson, Michigan"
Best Chef Mid-Atlantic,Semifinalist,2024,Keem Hughley,Bronze,"Washington, District of Columbia"
Best Chef Mid-Atlantic,Winner,2024,Harley Peet,Bas Rouge,"Easton, Maryland"
Best Chef Great Lakes,Semifinalist,2024,James Martin,Bocadillo Market,"Chicago, Illinois"
Outstanding Bar,Semifinalist,2024,All Night Skate,"Brooklyn, New York",NA
Best Chef Mid-Atlantic,Semifinalist,2024,Dane DeMarco,Gass & Main,"Haddonfield, New Jersey"
Best Chef Mid-Atlantic,Semifinalist,2024,Nur-E Gulshan Rahman,Korai Kitchen,"Jersey City, New Jersey"
Best Chef California,Nominee,2024,Rogelio Garcia,Auro,"Calistoga, California"
Best Chef California,Semifinalist,2024,Laura Ozyilmaz,Dalida,"San Francisco, California"
Best Chef California,Semifinalist,2024,Michael Procaccini,La Parolaccia,"Long Beach, California"
Best Chef Great Lakes,Semifinalist,2024,Erik Bentz,Cafe Mochiko,"Cincinatti, Ohio"
Best Chef Great Lakes,Semifinalist,2024,Donald Young,Duck Sel,"Chicago, Illinois"
Best Chef Great Lakes,Nominee,2024,Sujan Sarkar,Indienne,"Chicago, Illinois"
Best Chef Great Lakes,Semifinalist,2024,Jeffery Harris,Nolia Kitchen,"Cincinatti, Ohio"
Best Chef Great Lakes,Nominee,2024,Jose Salazar,Mita’s,"Cincinatti, Ohio"
Best Chef Mid-Atlantic,Semifinalist,2024,Kate Lasky,Apteka,"Pittsburgh, Pennsylvania"
Best Chef Mid-Atlantic,Semifinalist,2024,Cybille St.Aude-Tate,Honeysuckle Provisions,"Philadelphia, Pennsylvania"
Best Chef Mid-Atlantic,Semifinalist,2024,David Zamudio,Alma Cocina Latina,"Baltimore, Maryland"
Best Chef Mid-Atlantic,Semifinalist,2024,Angel Barreto,Anju,"Washington, District of Columbia"
Outstanding Wine & Other Beverages Program,Nominee,2024,Tail Up Goat ,"Washington D.C., District of Columbia",NA
Emerging Chef of the Year,Semifinalist,2024,Kenneth Wan,MAKfam,"Denver, Colorado"
Outstanding Bakery,Semifinalist,2024,Make My Cake,"New York, New York",NA
Outstanding Bakery,Nominee,2024,The Burque Bakehouse,"Albuquerque, New Mexico",NA
Outstanding Restaurant,Nominee,2024,Convenience West,"Marfa, Texas",NA
Outstanding Hospitality,Nominee,2024,Gemma,"Dallas, Texas",NA
Outstanding Wine & Other Beverages Program,Semifinalist,2024,Middle Brow ,"Chicago, Illinois",NA
Best Chef Mid-Atlantic,Nominee,2024,Tony Conte,Inferno Pizzeria Napoletana,"Darnestown, Maryland"
Best Chef California,Semifinalist,2024,C-Y Chia,Lion Dance Café,"Oakland, California"
Best Chef California,Nominee,2024,Tara Monsod,Animae,"San Diego, California"
Best Chef California,Semifinalist,2024,Azalina Eusope,Azalina's,"San Francisco, California"
Best Chef California,Semifinalist,2024,Sayat Ozyilmaz,Dalida,"San Francisco, California"
Best Chef California,Semifinalist,2024,Kristina Liedags Compton,Hilda and Jesse,"San Francisco, California"
Best Chef California,Semifinalist,2024,Stefano Procaccini,La Parolaccia,"Long Beach, California"
Best Chef California,Semifinalist,2024,Diego Argoti,Poltergeist,"Los Angeles, California"
Best Chef California,Semifinalist,2024,Christian Yang,Yang's Kitchen,"Alhambra, California"
Best Chef Great Lakes,Semifinalist,2024,Salvador Fernandez,Bridges Craft Pizza & Wine Bar,"Greencastle, Indiana"
Best Chef Great Lakes,Semifinalist,2024,Joe Frillman,Daisies,"Chicago, Illinois"
Best Chef Great Lakes,Nominee,2024,Jenner Tomaska,Esme,"Chicago, Illinois"
Best Chef Great Lakes,Semifinalist,2024,Douglas Hewitt,Freya,"Detroit, Michigan"
Best Chef Great Lakes,Semifinalist,2024,Diana Dávila Boldin,Mi Tocaya Antojeria,"Chicago, Illinois"
Best Chef Great Lakes,Semifinalist,2024,John Yelinek,Ladder 4 Wine Bar,"Detroit, Michigan"
Best New Restaurant,Semifinalist,2024,The Alna Store,"Alna, Maine",NA
Best Chef Great Lakes,Semifinalist,2024,Ji Hye Kim,Miss Kim,"Ann Arbor, Michigan"
Best Chef Great Lakes,Semifinalist,2024,Thomas Melvin,Vida,"Indianapolis, Indiana"
Best Chef Mid-Atlantic,Semifinalist,2024,Tomasz Skowronski,Apteka,"Pittsburgh, Pennsylvania"
Best Chef Mid-Atlantic,Semifinalist,2024,Omar Tate,Honeysuckle Provisions,"Philadelphia, Pennsylvania"
Outstanding Restaurant,Semifinalist,2024,Bywater,"Warren, Rhode Island",NA
Best Chef Mid-Atlantic,Semifinalist,2024,Najmieh Batmanglij,Joon,"Vienna, Virginia"
Best Chef Mid-Atlantic,Semifinalist,2024,Christopher Morgan,Joon,"Vienna, Virginia"
Best New Restaurant,Semifinalist,2024,Sắp Sửa,"Denver, Colorado",NA
Outstanding Wine & Other Beverages Program,Semifinalist,2024,Bufalina,"Austin, Texas",NA
Outstanding Chef,Nominee,2024,Sarah Minnick,Lovely's Fifty,"Portland, Oregon"
Outstanding Chef,Semifinalist,2024,Dan Kluger,Loring Place,"New York, New York"
Outstanding Chef,Nominee,2024,David Uygur,Lucia,"Dallas, Texas"
Outstanding Pastry Chef,Semifinalist,2024,Eunji Lee,Lysée,"New York, New York"
Emerging Chef of the Year,Semifinalist,2024,Bryce Stevenson,Miijim,"La Pointe, Wisconsin"
Outstanding Pastry Chef,Semifinalist,2024,Kimberly Mcintosh,MILKFISH Bakeshop,"Las Vegas, Nevada"
Outstanding Bakery,Semifinalist,2024,Koffeteria,"Houston, Texas",NA
Outstanding Bar,Semifinalist,2024,Amalga Distillery,"Juneau, Alaska",NA
Best New Restaurant,Nominee,2024,Shan,"Bozeman, Montana",NA
Best New Restaurant,Semifinalist,2024,Ajja,"Raleigh, North Carolina",NA
Outstanding Pastry Chef,Semifinalist,2024,Joshua Mcintosh,MILKFISH Bakeshop,"Las Vegas, Nevada"
Outstanding Bakery,Semifinalist,2024,Shatila Bakery,"Dearborn, Michigan",NA
Emerging Chef of the Year,Semifinalist,2024,Rocky Coronado,Nepantla,"Detroit, Michigan"
Emerging Chef of the Year,Semifinalist,2024,Lawrence Weeks,North of Bourbon,"Louisville, Kentucky"
Outstanding Pastry Chef,Winner,2024,Atsuko Fujimoto,Norimoto Bakery,"Portland, Maine"
Best Chef Mid-Atlantic,Semifinalist,2024,Travis Milton,Hickory at Nicewonder Farm and Vineyards,"Bristol, Virginia"
Outstanding Restaurateur,Semifinalist,2024,Nicolas Poilevey,"Obelix, Le Bouchon, Taqueria Chingón","Chicago, Illinois"
