id,name,normalized_name,gender
7,Children,children,NA
12,Mechanical Santa,mechanical santa,NA
13,Tattoo Man,tattoo man,NA
16,DOCTOR ZITSOFSKY,doctor zitsofsky,NA
20,Students,students,NA
24,Little Boy,little boy,NA
26,Lewis Clark,lewis clark,NA
27,Little Girl,little girl,NA
29,Bubbles,bubbles,NA
30,Moldy,moldy,NA
34,Ticket Seller,ticket seller,NA
35,Elf #1,elf 1,NA
36,Elves,elves,NA
37,Dog's Owner,dogs owner,NA
39,Kids,kids,NA
41,Conductor,conductor,NA
42,Secretary,secretary,NA
46,Sydney,sydney,NA
47,Cecile Shapiro,cecile shapiro,NA
48,Ian,ian,NA
49,Calvin,calvin,NA
50,"Martin Prince, Sr.",martin prince sr,NA
51,Richard,richard,NA
53,Wendell Borton,wendell borton,NA
57,Smilin' Joe Fission,smilin joe fission,NA
58,Rod #1,rod 1,NA
59,Rod #2,rod 2,NA
60,RODS,rods,NA
61,Workman #1,workman 1,NA
62,Foreman,foreman,NA
63,TERRI & SHERRI,terri sherri,NA
64,PUNK TEENAGER,punk teenager,NA
65,Tv Announcer #1,tv announcer 1,NA
66,Tv Announcer #2,tv announcer 2,NA
67,Jingle Chorus,jingle chorus,NA
68,Sylvia Winfield,sylvia winfield,NA
69,Old Man Winfield,old man winfield,NA
70,Councilman #1,councilman 1,NA
72,Councilman #2,councilman 2,NA
73,COUNCILMEN #1/#2,councilmen 12,NA
74,Demonstrator #1,demonstrator 1,NA
75,Crowd,crowd,NA
76,MR. GAMMILL,mr gammill,NA
77,TOM,tom,NA
78,Mrs. Long,mrs long,NA
79,Wife #1,wife 1,NA
80,Wife #2,wife 2,NA
81,Other Women,other women,NA
82,Nice Father,nice father,NA
83,Nice Boy,nice boy,NA
84,NICE GIRL,nice girl,NA
85,Nice Mother,nice mother,NA
86,NICE FAMILY,nice family,NA
87,Williams Boy,williams boy,NA
88,Mr. Williams,mr williams,NA
89,BOXING ANNOUNCER,boxing announcer,NA
92,TV-STATION ANNOUNCER,tv-station announcer,NA
93,Tv Wife,tv wife,NA
94,Tv Husband,tv husband,NA
95,Small Boy,small boy,NA
97,Pawn Broker,pawn broker,NA
99,Homer-ish Husband,homer-ish husband,NA
100,Weasel #1,weasel 1,NA
102,ALL AT THE TABLE,all at the table,NA
103,Kid,kid,NA
104,Weasel #2,weasel 2,NA
105,Maggie Simpson,maggie simpson,NA
106,Homer's Image,homers image,NA
107,Elderly Gentleman,elderly gentleman,NA
109,All,all,NA
1,Marge Simpson,marge simpson,f
8,Bart Simpson,bart simpson,m
9,Lisa Simpson,lisa simpson,f
17,Moe Szyslak,moe szyslak,m
3,Seymour Skinner,seymour skinner,m
11,Ned Flanders,ned flanders,m
31,Grampa Simpson,grampa simpson,m
71,Chief Wiggum,chief wiggum,m
25,Milhouse Van Houten,milhouse van houten,m
14,Waylon Smithers,waylon smithers,m
101,Nelson Muntz,nelson muntz,m
40,Edna Krabappel-Flanders,edna krabappel-flanders,f
33,Announcer,announcer,m
22,Selma Bouvier,selma bouvier,f
18,Barney Gumble,barney gumble,m
10,Patty Bouvier,patty bouvier,f
38,Martin Prince,martin prince,m
52,Otto Mann,otto mann,m
91,Lou,lou,m
5,Todd Flanders,todd flanders,m
96,Dr. Marvin Monroe,dr marvin monroe,m
43,Dr. J. Loren Pyror,dr j loren pyror,m
6,Dewey Largo,dewey largo,m
90,Eddie,eddie,m
21,Teacher,teacher,m
28,Clerk,clerk,m
32,Father,father,m
54,Sherri Mackleberry,sherri mackleberry,f
4,JANEY,janey,f
44,Ms. Melon,ms melon,f
19,Interviewer,interviewer,m
45,Ethan Foley,ethan foley,m
55,Terri Mackleberry,terri mackleberry,f
23,Voice,voice,m
98,Receptionist,receptionist,f
110,Ms. Barr,ms barr,NA
113,Newsman,newsman,NA
114,Barflies,barflies,NA
116,Boy Onlooker,boy onlooker,NA
117,Champ,champ,NA
122,NED,ned,NA
125,Homer's Canyon Echo,homers canyon echo,NA
126,Camper Father,camper father,NA
127,Camper Mother,camper mother,NA
128,Photographer,photographer,NA
129,Game Warden,game warden,NA
130,Reporter #1,reporter 1,NA
131,Reporter #2,reporter 2,NA
132,Flunky,flunky,NA
133,Map Boy,map boy,NA
134,Man #1,man 1,NA
135,Man #2,man 2,NA
136,German Scientist,german scientist,NA
137,Beautiful French Scientist,beautiful french scientist,NA
138,English Scientist,english scientist,NA
141,Announcer #1,announcer 1,NA
142,Radio Announcer #1,radio announcer 1,NA
143,Churchgoing Woman,churchgoing woman,NA
147,Girl On Screen,girl on screen,NA
148,Boy On Screen,boy on screen,NA
149,Usher,usher,NA
150,Mr. Dandy,mr dandy,NA
151,Radio Announcer #3,radio announcer 3,NA
152,Jebediah Springfield,jebediah springfield,NA
154,TV ANNOUNCER #3 CONT'D,tv announcer 3 contd,NA
155,Mob,mob,NA
157,Waiters,waiters,NA
158,1st Waiter Quartet,1st waiter quartet,NA
159,2nd Waiter Quartet,2nd waiter quartet,NA
160,3rd Waiter Quartet,3rd waiter quartet,NA
161,4TH QUARTET OF WAITERS,4th quartet of waiters,NA
162,Counter Guy,counter guy,NA
164,HELEN,helen,NA
166,Another Worker,another worker,NA
167,Female Mail Carrier,female mail carrier,NA
168,Mr. Fisk,mr fisk,NA
169,Eugene Fisk,eugene fisk,NA
172,Workers,workers,NA
173,Princess Kashmir,princess kashmir,NA
174,Hoyt,hoyt,NA
175,Girl #1,girl 1,NA
176,Boy #1,boy 1,NA
177,All Kids,all kids,NA
178,Freddie,freddie,NA
179,Lewis's Dad,lewiss dad,NA
180,Al,al,NA
181,Happy Man,happy man,NA
182,Funky Guy,funky guy,NA
184,Man At Door,man at door,NA
185,Ticket-seller,ticket-seller,NA
186,Stage Manager,stage manager,NA
188,Theatre-goer #1,theatre-goer 1,NA
189,Theatre-goer #2,theatre-goer 2,NA
190,Theatre-goer #3,theatre-goer 3,NA
193,Steward,steward,NA
195,Adil Hoxha,adil hoxha,NA
196,UGOLIN,ugolin,NA
198,Male Announcer,male announcer,NA
199,Military Man,military man,NA
200,MARGE & BART,marge bart,NA
201,Gendarme,gendarme,NA
202,Cia Agent #1,cia agent 1,NA
203,Cia Agent #2,cia agent 2,NA
204,Brad,brad,NA
205,Female Announcer,female announcer,NA
206,Brittany,brittany,NA
207,ITCHY & SCRATCHY CHORUS,itchy scratchy chorus,NA
209,Police Artist,police artist,NA
210,Scott Christian,scott christian,NA
212,Reporter #3,reporter 3,NA
215,District Attorney,district attorney,NA
216,Merchant,merchant,NA
