ori,county,latitude,longitude,state_abbr,state,agency_name,agency_type,is_nibrs,nibrs_start_date
AL0430200,LEE,32.604064,-85.353048,AL,Alabama,Opelika Police Department,City,TRUE,2021-01-01
AL0430100,LEE,32.608086,-85.475136,AL,Alabama,Auburn Police Department,City,TRUE,2020-12-01
AL0430000,LEE,32.604064,-85.353048,AL,Alabama,Lee County Sheriff's Office,County,TRUE,2012-04-01
AL0070100,BIBB,33.015893,-87.127148,AL,Alabama,Centreville Police Department,City,TRUE,2020-01-01
AL0070000,BIBB,32.939995,-87.11683,AL,Alabama,Bibb County Sheriff's Office,County,TRUE,2021-01-01
AL0070300,BIBB,33.015893,-87.127148,AL,Alabama,West Blocton Police Department,City,TRUE,2020-01-01
AL0070200,BIBB,33.015893,-87.127148,AL,Alabama,Brent Police Department,City,TRUE,2020-01-01
AL0170000,CLAY,33.267809,-85.862051,AL,Alabama,Clay County Sheriff's Office,County,TRUE,2021-01-01
AL0170200,CLAY,33.267809,-85.862051,AL,Alabama,Lineville Police Department,City,TRUE,2020-01-01
AL0170100,CLAY,33.267809,-85.862051,AL,Alabama,Ashland Police Department,City,TRUE,2015-08-01
AL0260900,DALE,31.23572,-85.72021,AL,Alabama,Clayhatchee Police Department,City,TRUE,2020-10-01
AL0260000,DALE,31.430654,-85.609476,AL,Alabama,Dale County Sheriff's Office,County,TRUE,2006-01-01
AL0260100,DALE,31.430654,-85.609476,AL,Alabama,Ozark Police Department,City,TRUE,2015-11-01
AL0260200,DALE,31.430654,-85.609476,AL,Alabama,Daleville Police Department,City,TRUE,2021-01-01
AL0260300,DALE,31.430654,-85.609476,AL,Alabama,Level Plains Police Department,City,TRUE,2021-01-01
AL0260400,DALE,31.314436,-85.453896,AL,Alabama,Napier Field Police Department,City,TRUE,2021-05-01
AL0260500,DALE,31.430654,-85.609476,AL,Alabama,Newton Police Department,City,TRUE,2020-01-01
AL0260600,DALE,31.430654,-85.609476,AL,Alabama,Midland City Police Department,City,TRUE,2020-01-01
AL0260700,DALE,31.430654,-85.609476,AL,Alabama,Pinckard Police Department,City,TRUE,2020-01-01
AL0360100,HALE,32.7041,-87.59217,AL,Alabama,Greensboro Police Department,City,TRUE,2020-08-01
AL0360000,HALE,32.752796,-87.623061,AL,Alabama,Hale County Sheriff's Office,County,FALSE,NA
AL0550100,PIKE,31.798651,-85.941604,AL,Alabama,Troy Police Department,City,TRUE,2016-03-01
AL0550200,PIKE,31.72041,-85.81567,AL,Alabama,Brundidge Police Department,City,TRUE,2021-06-01
AL0550300,PIKE,31.798651,-85.941604,AL,Alabama,Troy University,University or College,TRUE,2020-01-01
AL0550000,PIKE,31.80726,-85.972015,AL,Alabama,Pike County Sheriff's Office,County,TRUE,2021-08-01
