animal_id,animal_name,animal_type,primary_color,secondary_color,sex,dob,intake_date,intake_condition,intake_type,intake_subtype,reason_for_intake,outcome_date,crossing,jurisdiction,outcome_type,outcome_subtype,latitude,longitude,outcome_is_dead,was_outcome_alive,geopoint
A693708,*charlien,dog,white,NA,Female,2013-02-21,2023-02-20,ill mild,stray,otc,NA,2023-02-26,"[2600 BLK LONG BEACH BLVD, LONG BEACH CA, 90806",Long Beach,euthanasia,ill severe,33.8047935,-118.1889261,TRUE,FALSE,"33.8047935, -118.1889261"
A708149,NA,reptile,brown,green,Unknown,NA,2023-10-03,normal,stray,field,NA,2023-10-03,"`600 BLK E HARCOURT, LB 90805",Long Beach,rescue,other resc,33.8679994,-118.2009307,FALSE,TRUE,"33.8679994, -118.2009307"
A638068,NA,bird,green,red,Unknown,NA,2020-01-01,injured  severe,wildlife,field,NA,2020-01-01,"0 BLK GRAND AVE, LONG BEACH, CA 90803",Long Beach,euthanasia,inj severe,33.7604783,-118.1480912,TRUE,FALSE,"33.7604783, -118.1480912"
A639310,NA,bird,white,gray,Unknown,NA,2020-02-02,ill severe,wildlife,field,NA,2020-02-02,"0 BLK TEMPLE AVE, LONG BEACH, CA 90803",Long Beach,transfer,lbah,33.7624598,-118.1596777,FALSE,TRUE,"33.7624598, -118.1596777"
A618968,*morgan,cat,black,white,Female,2014-12-18,2018-12-18,injured  severe,stray,field,NA,2019-01-13,"0 BLK W ZANE ST, LONG BEACH, CA 90805",Long Beach,rescue,littlelion,33.8495009,-118.1949053,FALSE,TRUE,"33.8495009, -118.1949053"
A730385,*brandon,rabbit,black,white,Neutered,2023-04-19,2024-10-18,normal,stray,otc,NA,2024-11-15,00 AQUARIUM WAY LONG BEACH CA 90802,Long Beach,adoption,web,33.7639859,-118.1944096,FALSE,TRUE,"33.7639859, -118.1944096"
A646202,NA,bird,black,NA,Unknown,NA,2020-07-25,ill severe,wildlife,field,NA,2020-07-25,"00 BLK CORONADO AVE, LONG BEACH, CA 90803",Long Beach,euthanasia,ill severe,33.7613739,-118.1544268,TRUE,FALSE,"33.7613739, -118.1544268"
A628138,NA,other,gray,black,Unknown,2019-04-12,2019-06-12,under age/weight,wildlife,field,NA,2019-06-12,"00 BLK CORONADO AVE, LONG BEACH, CA 90803",Long Beach,rescue,other resc,33.7613739,-118.1544268,FALSE,TRUE,"33.7613739, -118.1544268"
A597464,NA,cat,black,NA,Unknown,2017-08-21,2017-09-21,under age/weight,stray,field,NA,2017-09-23,"00 BLK E 69TH WAY, LONG BEACH, CA 90805",Long Beach,rescue,littlelion,33.8801147,-118.20443,FALSE,TRUE,"33.8801147, -118.20443"
A734321,sophie,dog,cream,NA,Spayed,2007-12-15,2024-12-15,aged,owner surrender,otc,NA,2024-12-21,00 BLK PROSPECT AVE LONG BEACH CA 90803,Long Beach,rescue,NA,33.758137,-118.142634,FALSE,TRUE,"33.758137, -118.142634"
A602172,NA,cat,gray tabby,NA,Female,2015-01-11,2018-01-11,normal,stray,otc,NA,2018-01-17,"00 BLK REDONDO AVE, LONG BEACH, CA 90803",Long Beach,transfer,spcala,33.7610023,-118.1526611,FALSE,TRUE,"33.7610023, -118.1526611"
A644129,NA,other,gray,NA,Male,NA,2020-06-20,injured  severe,wildlife,field,NA,2020-06-20,"00 BLK RIVO ALTO CANAL, LONG BEACH, CA 90803",Long Beach,euthanasia,inj severe,33.7538692,-118.125945,TRUE,FALSE,"33.7538692, -118.125945"
A647076,NA,cat,gray tabby,NA,Unknown,2020-08-10,2020-08-12,under age/weight,stray,field,NA,2020-08-13,"00 BLK ROSWELL AVE, LONG BEACH, CA 90803",Long Beach,rescue,littlepaws,33.7590991,-118.1447482,FALSE,TRUE,"33.7590991, -118.1447482"
A614537,NA,cat,brown  tabby,NA,Unknown,2018-08-12,2018-09-12,under age/weight,stray,field,NA,2018-09-12,"00 BLK W 16TH ST, LONG BEACH, CA 90813",Long Beach,euthanasia,undrage/wt,33.7873122,-118.2086997,TRUE,FALSE,"33.7873122, -118.2086997"
A614539,NA,cat,brown  tabby,NA,Unknown,2018-08-12,2018-09-12,under age/weight,stray,field,NA,2018-09-12,"00 BLK W 16TH ST, LONG BEACH, CA 90813",Long Beach,euthanasia,undrage/wt,33.7873122,-118.2086997,TRUE,FALSE,"33.7873122, -118.2086997"
A729063,*gizmo,dog,brown,white,Neutered,2023-09-28,2024-09-26,normal,stray,otc,NA,2024-10-03,00 BLK W 52ND ST LONG BEACH CA 90805,Long Beach,rescue,NA,33.8504646,-118.1953063,FALSE,TRUE,"33.8504646, -118.1953063"
A619091,NA,dog,brown,white,Male,2015-12-20,2018-12-20,normal,stray,otc,NA,2018-12-26,"00 BLK W ZANE ST, LONG BEACH, CA 90805",Long Beach,transfer,spcala,33.8495009,-118.1949053,FALSE,TRUE,"33.8495009, -118.1949053"
