date,fatalities_count
1992-01-01,144
1992-01-02,111
1992-01-07,85
1992-01-12,127
1992-01-03,182
1992-01-17,130
1992-01-13,119
1992-01-20,120
1992-01-14,106
1992-01-11,124
1992-01-18,147
1992-01-16,82
1992-01-05,99
1992-01-25,150
1992-01-24,173
1992-01-15,91
1992-01-21,115
1992-01-26,118
1992-01-29,99
1992-01-28,91
1992-01-30,113
1992-01-23,149
1992-01-22,103
1992-01-10,129
1992-01-08,126
1992-01-09,117
1992-01-04,152
1992-02-01,145
1992-02-03,112
1992-02-08,190
1992-02-02,99
1992-02-04,93
1992-02-07,134
1992-02-11,107
1992-02-16,105
1992-02-14,155
1992-02-18,115
1992-02-15,170
1992-02-17,81
1992-02-22,154
1992-02-21,164
1992-02-24,116
1992-02-09,131
1992-02-12,96
1992-02-23,120
1992-02-06,108
1992-02-28,154
1992-02-19,129
1992-02-10,95
1992-02-25,108
1992-02-27,107
1992-02-29,177
1992-02-13,121
1992-03-01,136
1992-03-02,64
1992-03-04,110
1992-03-03,93
1992-03-06,163
1992-03-13,126
1992-03-14,138
1992-03-12,88
1992-03-16,106
1992-03-17,107
1992-03-18,111
1992-03-07,162
1992-03-10,115
1992-03-15,148
1992-03-20,158
1992-03-19,100
1992-03-21,171
1992-03-23,89
1992-03-25,118
1992-03-09,94
1992-03-05,114
1992-03-22,118
1992-03-28,139
1992-03-29,136
1992-03-30,92
1992-03-31,109
1992-03-24,80
1992-03-26,110
1992-03-08,129
1992-04-01,94
1992-04-04,184
1992-04-06,104
1992-04-05,144
1992-04-07,103
1992-04-08,101
1992-04-09,110
1992-04-02,129
1992-04-10,153
1992-04-12,176
1992-04-11,184
1992-04-16,119
1992-04-13,122
1992-04-17,154
1992-04-19,135
1992-04-20,173
1992-04-15,114
1992-04-18,153
1992-04-23,96
1992-04-24,136
1992-04-26,125
1992-04-22,100
1992-04-25,194
1992-04-28,104
1992-04-27,130
1992-04-30,107
1992-05-01,137
1992-05-02,209
1992-05-03,189
1992-05-06,119
1992-05-07,125
1992-05-05,114
1992-05-08,181
1992-05-09,199
1992-05-12,114
1992-05-16,222
1992-05-14,142
1992-05-17,184
1992-05-10,147
1992-05-19,120
1992-05-20,115
1992-05-23,222
1992-05-15,146
1992-05-26,110
1992-05-24,143
1992-05-29,178
1992-05-04,109
1992-05-25,130
1992-05-31,158
1992-05-30,196
1992-05-21,124
1992-05-28,121
1992-05-27,110
1992-06-02,139
1992-06-01,131
1992-06-06,226
1992-06-07,186
1992-06-03,158
1992-06-09,140
1992-06-10,124
1992-06-08,151
1992-06-12,184
1992-06-14,142
1992-06-16,140
1992-06-13,237
1992-06-19,168
1992-06-05,192
1992-06-17,114
1992-06-18,149
1992-06-22,106
1992-06-23,138
1992-06-21,195
1992-06-15,136
1992-06-25,138
1992-06-27,203
1992-06-26,187
1992-06-28,198
1992-06-24,136
1992-06-29,109
1992-07-02,168
1992-07-04,227
1992-07-05,139
1992-07-03,194
1992-07-01,140
1992-07-08,129
1992-07-10,183
1992-07-11,182
1992-07-13,115
1992-07-14,142
1992-07-15,123
1992-07-12,161
1992-07-19,161
1992-07-22,126
1992-07-21,134
1992-07-25,208
1992-07-26,140
1992-07-17,165
1992-07-18,228
1992-07-27,117
1992-07-31,162
1992-07-20,112
1992-07-24,187
1992-07-28,99
1992-07-30,163
1992-08-01,179
1992-08-04,108
1992-08-02,175
1992-08-10,144
1992-08-05,129
1992-08-06,147
1992-08-03,145
1992-08-11,155
1992-08-16,179
1992-08-12,143
1992-08-07,173
1992-08-08,186
1992-08-13,170
1992-08-14,165
1992-08-21,185
1992-08-22,213
1992-08-24,115
1992-08-23,185
1992-08-28,146
1992-08-25,118
1992-08-29,162
1992-08-26,137
1992-08-27,150
1992-08-30,200
1992-08-31,131
1992-05-13,118
1992-09-01,103
1992-09-02,124
1992-09-04,174
1992-09-03,145
1992-09-07,109
1992-09-11,170
1992-09-06,177
1992-09-09,127
1992-09-10,115
1992-09-14,141
1992-09-18,187
1992-09-12,213
1992-09-16,128
1992-09-17,124
1992-09-19,209
1992-09-20,172
1992-09-24,123
1992-09-15,135
1992-09-23,89
1992-09-13,158
1992-09-25,161
1992-09-27,158
1992-09-28,121
1992-09-21,119
1992-09-29,112
1992-09-26,214
1992-09-30,116
1992-09-22,101
1992-08-15,171
1992-08-20,167
1992-10-01,155
1992-10-05,175
1992-10-06,136
1992-10-07,150
1992-10-11,186
1992-10-03,233
1992-10-08,125
1992-10-09,203
1992-10-10,210
1992-10-13,123
1992-10-16,197
1992-10-17,192
1992-10-15,124
1992-10-18,141
1992-10-19,110
1992-10-12,104
1992-10-20,137
1992-10-21,141
1992-10-24,222
1992-10-04,182
1992-10-25,170
1992-10-31,254
1992-10-02,160
1992-10-27,124
1992-10-22,152
1992-10-23,169
1992-10-30,197
1992-10-26,126
1992-11-05,155
1992-11-02,139
1992-11-04,136
1992-11-06,151
1992-11-07,169
1992-11-03,156
1992-11-10,135
1992-11-11,166
1992-11-08,150
1992-11-09,129
1992-11-14,189
1992-11-15,146
1992-11-01,186
1992-11-21,196
1992-11-13,186
1992-11-18,138
1992-11-19,168
1992-11-24,114
1992-11-20,174
1992-11-23,125
1992-11-26,113
