date,e420,fatalities_count
1992-01-01,FALSE,144
1992-01-02,FALSE,111
1992-01-07,FALSE,85
1992-01-12,FALSE,127
1992-01-03,FALSE,182
1992-01-17,FALSE,130
1992-01-13,FALSE,119
1992-01-20,FALSE,120
1992-01-14,FALSE,106
1992-01-11,FALSE,124
1992-01-18,FALSE,147
1992-01-16,FALSE,82
1992-01-05,FALSE,99
1992-01-25,FALSE,150
1992-01-24,FALSE,173
1992-01-15,FALSE,91
1992-01-21,FALSE,115
1992-01-26,FALSE,118
1992-01-29,FALSE,99
1992-01-28,FALSE,91
1992-01-30,FALSE,113
1992-01-23,FALSE,149
1992-01-22,FALSE,103
1992-01-10,FALSE,129
1992-01-08,FALSE,126
1992-01-09,FALSE,117
1992-01-04,FALSE,152
1992-02-01,FALSE,145
1992-02-03,FALSE,112
1992-02-08,FALSE,190
1992-02-02,FALSE,99
1992-02-04,FALSE,93
1992-02-07,FALSE,134
1992-02-11,FALSE,107
1992-02-16,FALSE,105
1992-02-14,FALSE,155
1992-02-18,FALSE,115
1992-02-15,FALSE,170
1992-02-17,FALSE,81
1992-02-22,FALSE,154
1992-02-21,FALSE,164
1992-02-24,FALSE,116
1992-02-09,FALSE,131
1992-02-12,FALSE,96
1992-02-23,FALSE,120
1992-02-06,FALSE,108
1992-02-28,FALSE,154
1992-02-19,FALSE,129
1992-02-10,FALSE,95
1992-02-25,FALSE,108
1992-02-27,FALSE,107
1992-02-29,FALSE,177
1992-02-13,FALSE,121
1992-03-01,FALSE,136
1992-03-02,FALSE,64
1992-03-04,FALSE,110
1992-03-03,FALSE,93
1992-03-06,FALSE,163
1992-03-13,FALSE,126
1992-03-14,FALSE,138
1992-03-12,FALSE,88
1992-03-16,FALSE,106
1992-03-17,FALSE,107
1992-03-18,FALSE,111
1992-03-07,FALSE,162
1992-03-10,FALSE,115
1992-03-15,FALSE,148
1992-03-20,FALSE,158
1992-03-19,FALSE,100
1992-03-21,FALSE,171
1992-03-23,FALSE,89
1992-03-25,FALSE,118
1992-03-09,FALSE,94
1992-03-05,FALSE,114
1992-03-22,FALSE,118
1992-03-28,FALSE,139
1992-03-29,FALSE,136
1992-03-30,FALSE,92
1992-03-31,FALSE,109
1992-03-24,FALSE,80
1992-03-26,FALSE,110
1992-03-08,FALSE,129
1992-04-01,FALSE,94
1992-04-04,FALSE,184
1992-04-06,FALSE,104
1992-04-05,FALSE,144
1992-04-07,FALSE,103
1992-04-08,FALSE,101
1992-04-09,FALSE,110
1992-04-02,FALSE,129
1992-04-10,FALSE,153
1992-04-12,FALSE,176
1992-04-11,FALSE,184
1992-04-16,FALSE,119
1992-04-13,FALSE,122
1992-04-17,FALSE,154
1992-04-19,FALSE,135
1992-04-20,FALSE,119
1992-04-15,FALSE,114
1992-04-18,FALSE,153
1992-04-23,FALSE,96
1992-04-24,FALSE,136
1992-04-26,FALSE,125
1992-04-22,FALSE,100
1992-04-25,FALSE,194
1992-04-28,FALSE,104
1992-04-27,FALSE,130
1992-04-30,FALSE,107
1992-05-01,FALSE,137
1992-05-02,FALSE,209
1992-05-03,FALSE,189
1992-05-06,FALSE,119
1992-05-07,FALSE,125
1992-05-05,FALSE,114
1992-05-08,FALSE,181
1992-05-09,FALSE,199
1992-05-12,FALSE,114
1992-05-16,FALSE,222
1992-05-14,FALSE,142
1992-05-17,FALSE,184
1992-05-10,FALSE,147
1992-05-19,FALSE,120
1992-05-20,FALSE,115
1992-05-23,FALSE,222
1992-05-15,FALSE,146
1992-05-26,FALSE,110
1992-05-24,FALSE,143
1992-05-29,FALSE,178
1992-05-04,FALSE,109
1992-05-25,FALSE,130
1992-05-31,FALSE,158
1992-05-30,FALSE,196
1992-05-21,FALSE,124
1992-05-28,FALSE,121
1992-05-27,FALSE,110
1992-06-02,FALSE,139
1992-06-01,FALSE,131
1992-06-06,FALSE,226
1992-06-07,FALSE,186
1992-06-03,FALSE,158
1992-06-09,FALSE,140
1992-06-10,FALSE,124
1992-06-08,FALSE,151
1992-06-12,FALSE,184
1992-06-14,FALSE,142
1992-06-16,FALSE,140
1992-06-13,FALSE,237
1992-06-19,FALSE,168
1992-06-05,FALSE,192
1992-06-17,FALSE,114
1992-06-18,FALSE,149
1992-06-22,FALSE,106
1992-06-23,FALSE,138
1992-06-21,FALSE,195
1992-06-15,FALSE,136
1992-06-25,FALSE,138
1992-06-27,FALSE,203
1992-06-26,FALSE,187
1992-06-28,FALSE,198
1992-06-24,FALSE,136
