date,max_temp_C,min_temp_C,precipitation_mm,latitude,longitude
1991-01-01,29.3,22.1,2.4,-33.848858,151.19551
1991-01-02,27.5,22.4,0,-33.848858,151.19551
1991-01-03,28.2,21.1,0,-33.848858,151.19551
1991-01-04,30.8,23.7,0,-33.848858,151.19551
1991-01-05,30.4,19.5,12.2,-33.848858,151.19551
1991-01-06,25.5,18.2,0,-33.848858,151.19551
1991-01-07,25,19.4,0,-33.848858,151.19551
1991-01-08,22,19.3,5.2,-33.848858,151.19551
1991-01-09,24.3,20.8,0.7,-33.848858,151.19551
1991-01-10,27.3,21.5,0.4,-33.848858,151.19551
1991-01-11,28.9,21.9,2.5,-33.848858,151.19551
1991-01-12,29.5,20.8,2.3,-33.848858,151.19551
1991-01-13,26.9,22.5,0,-33.848858,151.19551
1991-01-14,31.9,22.7,0,-33.848858,151.19551
1991-01-15,28.1,20.8,0.9,-33.848858,151.19551
1991-01-16,23.2,20.5,0.2,-33.848858,151.19551
1991-01-17,23.3,20.5,0.7,-33.848858,151.19551
1991-01-18,26,20.5,1,-33.848858,151.19551
1991-01-19,27.7,21.4,0.7,-33.848858,151.19551
1991-01-20,31.2,22.2,1.1,-33.848858,151.19551
1991-01-21,25.9,21,1,-33.848858,151.19551
1991-01-22,25.8,21.3,10,-33.848858,151.19551
1991-01-23,23.9,21.4,8.4,-33.848858,151.19551
1991-01-24,28,23.5,0.1,-33.848858,151.19551
1991-01-25,32.5,23,0,-33.848858,151.19551
1991-01-26,30,21.3,19.9,-33.848858,151.19551
1991-01-27,24.4,19.6,0.2,-33.848858,151.19551
1991-01-28,27.6,21,0,-33.848858,151.19551
1991-01-29,27.2,17.5,0,-33.848858,151.19551
1991-01-30,26.6,17.8,0,-33.848858,151.19551
1991-01-31,28.4,21.5,0.3,-33.848858,151.19551
1991-02-01,24.1,20.6,0.4,-33.848858,151.19551
1991-02-02,23.9,18.8,0,-33.848858,151.19551
1991-02-03,27.9,20.9,0,-33.848858,151.19551
1991-02-04,30.7,22.6,0,-33.848858,151.19551
1991-02-05,31.8,22.4,0.1,-33.848858,151.19551
1991-02-06,27.1,21.9,1.5,-33.848858,151.19551
1991-02-07,27.8,21.9,0.1,-33.848858,151.19551
1991-02-08,26.4,21.1,0.8,-33.848858,151.19551
1991-02-09,28,22.3,0.3,-33.848858,151.19551
1991-02-10,23.7,21.5,0.4,-33.848858,151.19551
1991-02-11,23.7,21.3,0.7,-33.848858,151.19551
1991-02-12,24.3,19.8,0.4,-33.848858,151.19551
1991-02-13,29.4,22.1,0,-33.848858,151.19551
1991-02-14,34.7,21.7,0,-33.848858,151.19551
1991-02-15,25.8,21.8,0,-33.848858,151.19551
1991-02-16,28.7,18.2,0.6,-33.848858,151.19551
1991-02-17,21.5,18.5,0.6,-33.848858,151.19551
1991-02-18,22.7,17.9,0,-33.848858,151.19551
