gutenberg_author_id,author,alias,birthdate,deathdate,wikipedia,aliases
1,United States,U.S.A.,NA,NA,https://en.wikipedia.org/wiki/United_States,U.S.A.
3,"Lincoln, Abraham",NA,1809,1865,https://en.wikipedia.org/wiki/Abraham_Lincoln,"United States President (1861-1865)/Lincoln, Abe"
4,"Henry, Patrick",NA,1736,1799,https://en.wikipedia.org/wiki/Patrick_Henry,NA
5,"Adam, Paul",NA,1849,1931,https://de.wikipedia.org/wiki/Paul_Adam_(Buchbinder),NA
7,"Carroll, Lewis","Dodgson, Charles Lutwidge",1832,1898,https://en.wikipedia.org/wiki/Lewis_Carroll,"Dodgson, Charles Lutwidge"
8,United States. Central Intelligence Agency,NA,NA,NA,https://en.wikipedia.org/wiki/Central_Intelligence_Agency,"Agency, United States. Central Intelligence/Central Intelligence Agency (U.S.)/CIA (Central Intelligence Agency (U.S.))"
9,"Melville, Herman","Melville, Hermann",1819,1891,https://en.wikipedia.org/wiki/Herman_Melville,"Melville, Hermann"
10,"Barrie, J. M. (James Matthew)",NA,1860,1937,https://en.wikipedia.org/wiki/J._M._Barrie,"Barrie, James Matthew/Barrie, J.M."
11,Church of Jesus Christ of Latter-day Saints,NA,NA,NA,https://en.wikipedia.org/wiki/The_Church_of_Jesus_Christ_of_Latter-day_Saints,NA
12,"Smith, Joseph, Jr.","Smith, Joseph",1805,1844,https://en.wikipedia.org/wiki/Joseph_Smith%2C_Jr.,"Smith, Joseph"
13,"Hamilton, Alexander",NA,1757,1804,https://en.wikipedia.org/wiki/Alexander_Hamilton,NA
14,"Madison, James",United States President (1809-1817),1751,1836,https://en.wikipedia.org/wiki/James_Madison,United States President (1809-1817)
15,"Jay, John","Jay, J. (John)",1745,1829,https://en.wikipedia.org/wiki/John_Jay,"Jay, J. (John)"
16,"Longfellow, Henry Wadsworth","Longfellow, Henry W.",1807,1882,https://en.wikipedia.org/wiki/Henry_Wadsworth_Longfellow,"Longfellow, Henry W."
17,"Milton, John",NA,1608,1674,https://en.wikipedia.org/wiki/John_Milton,NA
18,Aesop,NA,NA,NA,https://en.wikipedia.org/wiki/Aesop,Æsop/Aisopos
19,"Townsend, George Fyler","Townsend, George Tyler",1814,1900,https://en.wikipedia.org/wiki/George_Fyler_Townsend,"Townsend, George Tyler"
20,"Roget, Peter Mark",NA,1779,1869,https://en.wikipedia.org/wiki/Peter_Roget,NA
22,"Cather, Willa",NA,1873,1947,https://en.wikipedia.org/wiki/Willa_Cather,"Cather, Willa Sibert/Cather, Wilella/Catherová, Willa/Catherova, Willa"
23,"Hardy, Thomas",NA,1840,1928,https://en.wikipedia.org/wiki/Thomas_Hardy,NA
25,United States. Bureau of the Census,NA,NA,NA,http://en.wikipedia.org/wiki/United_States_Census_Bureau,NA
26,Sophocles,NA,-496,-406,https://en.wikipedia.org/wiki/Sophocles|https://hu.wikipedia.org/wiki/Szophokl%C3%A9sz,Σοφοκλής/Sófocles/Sophokles
27,"Gilman, Charlotte Perkins",NA,1860,1935,https://en.wikipedia.org/wiki/Charlotte_Perkins_Gilman,"Stetson, Charlotte Perkins/Perkins, Charlotte Anna"
28,"Hawthorne, Nathaniel",NA,1804,1864,https://en.wikipedia.org/wiki/Nathaniel_Hawthorne,NA
29,"Kehoe, Brendan P.",NA,1970,2011,https://en.wikipedia.org/wiki/Brendan_Kehoe,NA
30,"Wells, H. G. (Herbert George)","Wells, Herbert George",1866,1946,https://en.wikipedia.org/wiki/H._G._Wells,"Wells, Herbert George"
32,"Krol, Ed",NA,1951,NA,https://en.wikipedia.org/wiki/Ed_Krol,NA
33,"Kochmer, Jonathan",NA,NA,NA,NA,NA
34,"Irving, Washington","Crayon, Geoffrey",1783,1859,https://en.wikipedia.org/wiki/Washington_Irving,"Crayon, Geoffrey"
35,"Stevenson, Robert Louis","Stevenson, R. L. (Robert Louis)",1850,1894,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson,"Stevenson, R. L. (Robert Louis)"
36,"Montgomery, L. M. (Lucy Maud)",NA,1874,1942,https://en.wikipedia.org/wiki/Lucy_Maud_Montgomery,"Montgomery, Lucy Maud/MacDonald, Lucy Maud Montgomery"
37,"Dickens, Charles",NA,1812,1870,https://en.wikipedia.org/wiki/Charles_Dickens,"Boz/Dickens, Charles John Huffam"
38,"Polly, Jean Armour",NA,NA,NA,https://en.wikipedia.org/wiki/Jean_Armour_Polly,NA
39,"Hemphill, Scott",NA,NA,NA,NA,NA
40,"Kerr, Stan",NA,NA,NA,NA,NA
41,Library of Congress,NA,NA,NA,https://en.wikipedia.org/wiki/Library_of_Congress,NA
42,"Baum, L. Frank (Lyman Frank)",NA,1856,1919,https://en.wikipedia.org/wiki/L._Frank_Baum,"Van Dyne, Edith/Bancroft, Laura/Baum, Lyman Frank/Metcalf, Suzanne/Akers, Floyd/Cooke, John Estes/Fitzgerald, Capt. Hugh/Fitzgerald, Hugh/Staunton, Schuyler"
44,"Descartes, René","Descartes, Rene",1596,1650,https://en.wikipedia.org/wiki/René_Descartes|https://fr.wikipedia.org/wiki/Ren%C3%A9_Descartes,"Descartes, Rene"
45,"Orczy, Emmuska Orczy, Baroness",NA,1865,1947,https://en.wikipedia.org/wiki/Baroness_Orczy,"Orczy, Baroness Emmuska/Barstow, Montagu, Mrs."
46,"Marx, Karl",NA,1818,1883,https://de.wikipedia.org/wiki/Karl_Marx|https://en.wikipedia.org/wiki/Karl_Marx,"Marx, Heinrich Karl/Marx, Carlos"
