gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
1,The Declaration of Independence of the United States of America,"Jefferson, Thomas",1638,en,Politics/American Revolutionary War/United States Law/Browsing: History - American/Browsing: History - Warfare/Browsing: Politics,Public domain in the USA.,TRUE
2,"The United States Bill of Rights
The Ten Original Amendments to the Constitution of the United States",United States,1,en,Politics/American Revolutionary War/United States Law/Browsing: History - American/Browsing: Law & Criminology/Browsing: Politics,Public domain in the USA.,TRUE
3,John F. Kennedy's Inaugural Address,"Kennedy, John F. (John Fitzgerald)",1666,en,Browsing: History - American/Browsing: Politics,Public domain in the USA.,TRUE
4,"Lincoln's Gettysburg Address
Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA","Lincoln, Abraham",3,en,US Civil War/Browsing: History - American/Browsing: Politics,Public domain in the USA.,TRUE
5,The United States Constitution,United States,1,en,United States/Politics/American Revolutionary War/United States Law/Browsing: History - American/Browsing: Law & Criminology/Browsing: Politics,Public domain in the USA.,TRUE
6,Give Me Liberty or Give Me Death,"Henry, Patrick",4,en,American Revolutionary War/Browsing: History - American/Browsing: History - Warfare/Browsing: Politics,Public domain in the USA.,TRUE
7,The Mayflower Compact,NA,NA,en,Browsing: History - American,Public domain in the USA.,TRUE
8,Abraham Lincoln's Second Inaugural Address,"Lincoln, Abraham",3,en,US Civil War/Browsing: History - American/Browsing: Politics,Public domain in the USA.,TRUE
9,Abraham Lincoln's First Inaugural Address,"Lincoln, Abraham",3,en,US Civil War/Browsing: History - American/Browsing: Politics,Public domain in the USA.,TRUE
10,The King James Version of the Bible,NA,NA,en,Banned Books List from the American Library Association/Browsing: History - Religious/Browsing: Religion/Spirituality/Paranormal,Public domain in the USA.,TRUE
11,Alice's Adventures in Wonderland,"Carroll, Lewis",7,en,Children's Literature/Browsing: Children & Young Adult Reading/Browsing: Fiction,Public domain in the USA.,TRUE
11,Alice's Adventures in Wonderland,"Carroll, Lewis",7,en,Children's Literature,Public domain in the USA.,TRUE
12,Through the Looking-Glass,"Carroll, Lewis",7,en,Children's Literature/Best Books Ever Listings/Browsing: Children & Young Adult Reading/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
