gutenberg_id,subject_type,subject
1,lcsh,"United States -- History -- Revolution, 1775-1783 -- Sources"
1,lcsh,United States. Declaration of Independence
1,lcc,E201
1,lcc,JK
2,lcsh,Civil rights -- United States -- Sources
2,lcsh,United States. Constitution. 1st-10th Amendments
2,lcc,JK
2,lcc,KF
3,lcsh,United States -- Foreign relations -- 1961-1963
3,lcsh,Presidents -- United States -- Inaugural addresses
3,lcc,E838
4,lcsh,Consecration of cemeteries -- Pennsylvania -- Gettysburg
4,lcsh,"Soldiers' National Cemetery (Gettysburg, Pa.)"
4,lcsh,"Lincoln, Abraham, 1809-1865. Gettysburg address"
4,lcc,E456
5,lcsh,United States -- Politics and government -- 1783-1789 -- Sources
5,lcsh,United States. Constitution
5,lcc,JK
5,lcc,KF
6,lcsh,"Speeches, addresses, etc., American"
6,lcsh,United States -- Politics and government -- 1775-1783 -- Sources
6,lcsh,Virginia -- Politics and government -- 1775-1783 -- Sources
6,lcc,E201
7,lcsh,"Massachusetts -- History -- New Plymouth, 1620-1691 -- Sources"
7,lcsh,Pilgrims (New Plymouth Colony)
7,lcsh,Mayflower Compact (1620)
7,lcc,F001
8,lcsh,United States -- Politics and government -- 1861-1865
8,lcsh,Presidents -- United States -- Inaugural addresses
8,lcc,E456
9,lcsh,United States -- Politics and government -- 1861-1865
9,lcsh,Presidents -- United States -- Inaugural addresses
9,lcc,E456
10,lcsh,Bible
10,lcc,BS
11,lcsh,Fantasy fiction
11,lcsh,Children's stories
11,lcsh,Imaginary places -- Juvenile fiction
11,lcsh,Alice (Fictitious character from Carroll) -- Juvenile fiction
11,lcc,PR
11,lcc,PZ
12,lcsh,Fantasy fiction
12,lcsh,Children's stories
12,lcsh,Imaginary places -- Juvenile fiction
12,lcsh,Alice (Fictitious character from Carroll) -- Juvenile fiction
12,lcc,PR
12,lcc,PZ
13,lcsh,"Nonsense verses, English"
13,lcc,PR
14,lcsh,"World politics -- Handbooks, manuals, etc."
14,lcsh,"Geography -- Handbooks, manuals, etc."
14,lcsh,"Political science -- Handbooks, manuals, etc."
14,lcsh,"Political statistics -- Handbooks, manuals, etc."
14,lcc,G
15,lcsh,Whaling -- Fiction
15,lcsh,Sea stories
15,lcsh,Psychological fiction
15,lcsh,Ship captains -- Fiction
15,lcsh,Adventure stories
15,lcsh,Mentally ill -- Fiction
15,lcsh,"Ahab, Captain (Fictitious character) -- Fiction"
15,lcsh,Whales -- Fiction
15,lcsh,Whaling ships -- Fiction
15,lcc,PS
16,lcsh,Fantasy literature
16,lcsh,Peter Pan (Fictitious character) -- Fiction
16,lcsh,Never-Never Land (Imaginary place) -- Fiction
16,lcsh,Pirates -- Fiction
16,lcsh,Fairies -- Fiction
16,lcc,PR
16,lcc,PZ
17,lcsh,Church of Jesus Christ of Latter-day Saints -- Sacred books
17,lcsh,Latter Day Saint churches -- Sacred books
17,lcc,BX
18,lcsh,Constitutional history -- United States -- Sources
18,lcsh,Constitutional law -- United States
18,lcc,JK
18,lcc,KF
19,lcsh,Indians of North America -- Poetry
19,lcsh,"Hiawatha, active 15th century -- Poetry"
19,lcsh,Iroquois Indians -- Kings and rulers -- Poetry
19,lcc,PS
20,lcsh,Fall of man -- Poetry
20,lcsh,Adam (Biblical figure) -- Poetry
20,lcsh,Eve (Biblical figure) -- Poetry
20,lcsh,Bible. Genesis -- History of Biblical events -- Poetry
20,lcc,PR
21,lcsh,"Fables, Greek -- Translations into English"
21,lcsh,Aesop's fables -- Translations into English
21,lcc,PA
21,lcc,PZ
22,lcsh,English language -- Synonyms and antonyms
22,lcc,PE
23,lcsh,"Douglass, Frederick, 1818-1895"
23,lcsh,African American abolitionists -- Biography
23,lcsh,Abolitionists -- United States -- Biography
23,lcsh,Enslaved persons -- United States -- Biography
23,lcc,E300
24,lcsh,Nebraska -- Fiction
24,lcsh,Historical fiction
24,lcsh,Frontier and pioneer life -- Nebraska -- Fiction
24,lcsh,Domestic fiction
24,lcsh,Siblings -- Fiction
24,lcsh,Farm life -- Fiction
24,lcsh,Women pioneers -- Fiction
24,lcsh,Women farmers -- Fiction
24,lcsh,Women immigrants -- Fiction
24,lcsh,Swedish Americans -- Fiction
24,lcc,PS
25,lcsh,"World politics -- Handbooks, manuals, etc."
25,lcsh,"Geography -- Handbooks, manuals, etc."
25,lcsh,"Political science -- Handbooks, manuals, etc."
25,lcsh,"Political statistics -- Handbooks, manuals, etc."
25,lcc,G
26,lcsh,Fall of man -- Poetry
26,lcsh,Adam (Biblical figure) -- Poetry
26,lcsh,Eve (Biblical figure) -- Poetry
26,lcsh,Bible. Genesis -- History of Biblical events -- Poetry
26,lcc,PR
27,lcsh,Didactic fiction
27,lcsh,Love stories
27,lcsh,Triangles (Interpersonal relations) -- Fiction
27,lcsh,Pastoral fiction
27,lcsh,Farm life -- Fiction
27,lcsh,Women farmers -- Fiction
27,lcsh,Wessex (England) -- Fiction
27,lcc,PR
28,lcsh,Aesop's fables -- Adaptations
28,lcsh,"Fables, Greek -- Adaptations"
28,lcc,PA
28,lcc,PZ
29,lcsh,United States -- Population -- Statistics
29,lcsh,United States -- Census
29,lcsh,Housing -- United States -- Statistics
29,lcc,HA
30,lcsh,Bible
30,lcc,BS
31,lcsh,Tragedies (Drama)
31,lcsh,Antigone (Mythological character) -- Drama
31,lcsh,Oedipus (Greek mythological figure) -- Drama
31,lcsh,Greek drama (Tragedy) -- Translations into English
31,lcc,PA
32,lcsh,Utopias -- Fiction
32,lcsh,Women -- Fiction
32,lcsh,Utopian fiction
32,lcsh,Black humor
32,lcc,PS
33,lcsh,Adultery -- Fiction
33,lcsh,Historical fiction
33,lcsh,Revenge -- Fiction
33,lcsh,Psychological fiction
33,lcsh,Married women -- Fiction
33,lcsh,Clergy -- Fiction
33,lcsh,Triangles (Interpersonal relations) -- Fiction
33,lcsh,Illegitimate children -- Fiction
33,lcsh,Women immigrants -- Fiction
33,lcsh,Puritans -- Fiction
33,lcsh,"Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction"
33,lcc,PS
34,lcsh,Internet
34,lcsh,Computer networks
34,lcsh,Information networks
34,lcsh,Information retrieval
34,lcc,TK
35,lcsh,Science fiction
35,lcsh,Time travel -- Fiction
35,lcsh,Dystopias -- Fiction
35,lcc,PR
36,lcsh,Science fiction
36,lcsh,War stories
36,lcsh,Martians -- Fiction
36,lcsh,Mars (Planet) -- Fiction
36,lcsh,Space warfare -- Fiction
36,lcsh,Imaginary wars and battles -- Fiction
36,lcsh,Life on other planets -- Fiction
36,lcc,PR
37,lcsh,United States -- Population -- Statistics
37,lcsh,United States -- Census
37,lcsh,Housing -- United States -- Statistics
37,lcc,HA
38,lcsh,Electronic data processing -- Terminology -- Humor
38,lcsh,Computers -- Humor
38,lcsh,Computers -- Slang -- Dictionaries
38,lcc,TK
39,lcsh,Internet
39,lcsh,Computer networks
39,lcc,TK
40,lcsh,Internet
40,lcc,TK
41,lcsh,Ghosts -- Fiction
41,lcsh,New York (State) -- History -- 1775-1865 -- Fiction
41,lcc,PS
42,lcsh,Science fiction
42,lcsh,Horror tales
42,lcsh,London (England) -- Fiction
42,lcsh,Physicians -- Fiction
42,lcsh,Psychological fiction
42,lcsh,Self-experimentation in medicine -- Fiction
42,lcsh,Multiple personality -- Fiction
42,lcc,PR
43,lcsh,Science fiction
43,lcsh,Horror tales
43,lcsh,London (England) -- Fiction
43,lcsh,Physicians -- Fiction
43,lcsh,Psychological fiction
43,lcsh,Self-experimentation in medicine -- Fiction
43,lcsh,Multiple personality -- Fiction
43,lcc,PR
44,lcsh,Musical fiction
44,lcsh,Young women -- Fiction
44,lcsh,Bildungsromans
44,lcsh,Chicago (Ill.) -- Fiction
44,lcsh,Swedish Americans -- Fiction
44,lcsh,Colorado -- Fiction
44,lcsh,Opera -- Fiction
44,lcsh,Children of clergy -- Fiction
44,lcsh,Women singers -- Fiction
44,lcc,PS
45,lcsh,Orphans -- Fiction
45,lcsh,Islands -- Fiction
45,lcsh,Friendship -- Fiction
45,lcsh,Bildungsromans
45,lcsh,Girls -- Fiction
45,lcsh,Country life -- Prince Edward Island -- Fiction
45,lcsh,Prince Edward Island -- History -- 20th century -- Fiction
45,lcsh,Canada -- History -- 1867-1914 -- Fiction
45,lcsh,"Shirley, Anne (Fictitious character) -- Fiction"
45,lcc,PZ
46,lcsh,Christmas stories
46,lcsh,London (England) -- Fiction
46,lcsh,Poor families -- Fiction
46,lcsh,Ghost stories
46,lcsh,Misers -- Fiction
46,lcsh,Sick children -- Fiction
46,lcsh,"Scrooge, Ebenezer (Fictitious character) -- Fiction"
46,lcc,PR
47,lcsh,Orphans -- Fiction
47,lcsh,Islands -- Fiction
47,lcsh,Teachers -- Fiction
47,lcsh,Prince Edward Island -- History -- 20th century -- Fiction
47,lcsh,Canada -- History -- 1914-1945 -- Fiction
47,lcsh,"Shirley, Anne (Fictitious character) -- Fiction"
47,lcc,PZ
48,lcsh,"World politics -- Handbooks, manuals, etc."
48,lcsh,"Geography -- Handbooks, manuals, etc."
48,lcsh,"Political science -- Handbooks, manuals, etc."
48,lcsh,"Political statistics -- Handbooks, manuals, etc."
48,lcc,G
49,lcsh,Internet addresses -- Directories
49,lcsh,Computer network resources -- Directories
49,lcsh,Electronic mail systems -- Directories
49,lcc,TK
50,lcsh,Mathematics
50,lcsh,Pi
50,lcc,QA
51,lcsh,Orphans -- Fiction
51,lcsh,Prince Edward Island -- History -- 20th century -- Fiction
51,lcsh,Interpersonal relations -- Fiction
51,lcsh,Canada -- History -- 1914-1945 -- Fiction
51,lcsh,Self-perception -- Fiction
51,lcsh,Universities and colleges -- Fiction
51,lcsh,Nova Scotia -- History -- 20th century -- Fiction
51,lcsh,"Shirley, Anne (Fictitious character) -- Fiction"
51,lcc,PZ
52,lcsh,Mathematics
52,lcsh,Square root
52,lcc,QA
53,lcsh,Text processing (Computer science) -- Congresses
53,lcsh,Electronic books
53,lcsh,Electronic publishing -- Congresses
53,lcc,Z
54,lcsh,Oz (Imaginary place) -- Juvenile fiction
54,lcsh,Fantasy literature
54,lcsh,Conduct of life -- Juvenile fiction
54,lcsh,Friendship -- Juvenile fiction
54,lcsh,Voyages and travels -- Juvenile fiction
54,lcsh,Magic -- Juvenile fiction
54,lcsh,Practical jokes -- Juvenile fiction
54,lcsh,Youth -- Conduct of life -- Juvenile fiction
54,lcsh,Queens -- Juvenile fiction
54,lcsh,Kings and rulers -- Juvenile fiction
54,lcsh,Witches -- Juvenile fiction
54,lcsh,Women soldiers -- Juvenile fiction
54,lcc,PZ
55,lcsh,Oz (Imaginary place) -- Juvenile fiction
55,lcsh,Fantasy literature
55,lcsh,Courage -- Juvenile fiction
55,lcsh,Home -- Juvenile fiction
55,lcsh,Good and evil -- Juvenile fiction
55,lcsh,Dreams -- Juvenile fiction
55,lcsh,"Gale, Dorothy (Fictitious character) -- Juvenile fiction"
55,lcsh,Cowardly Lion (Fictitious character) -- Juvenile fiction
55,lcsh,Cyclones -- Juvenile fiction
55,lcsh,Scarecrow (Fictitious character from Baum) -- Juvenile fiction
55,lcsh,Toto (Fictitious character) -- Juvenile fiction
55,lcsh,Witches -- Juvenile fiction
55,lcsh,Wizard of Oz (Fictitious character) -- Juvenile fiction
55,lcsh,Tin Woodman (Fictitious character) -- Juvenile fiction
55,lcc,PZ
56,lcsh,Internet
56,lcsh,National Research and Education Network (Computer network)
56,lcc,TK
57,lcsh,Fairy tales
57,lcsh,Children's stories
57,lcsh,Arabs -- Folklore
57,lcsh,Folklore -- Arab countries
57,lcc,PZ
58,lcsh,English poetry
58,lcsh,Epic poetry
58,lcsh,Bible. Gospels -- History of Biblical events -- Poetry
58,lcsh,Jesus Christ -- Temptation -- Poetry
58,lcc,PR
59,lcsh,Science -- Methodology
59,lcsh,Methodology
59,lcc,B
60,lcsh,Historical fiction
60,lcsh,"France -- History -- Revolution, 1789-1799 -- Fiction"
60,lcsh,Adventure stories
60,lcsh,British -- France -- Fiction
60,lcsh,Nobility -- Fiction
