judge_id,court_name,court_type,president_name,president_party,nomination_date,predecessor_last_name,predecessor_first_name,senate_confirmation_date,commission_date,chief_judge_begin,chief_judge_end,retirement_from_active_service,termination_date,termination_reason
3419,"U. S. District Court, Southern District of New York",USDC,Barack Obama,Democratic,07/28/2011,Kaplan,Lewis A.,03/22/2012,03/23/2012,NA,NA,NA,NA,NA
1,"U. S. District Court, Eastern District of New York",USDC,Franklin D. Roosevelt,Democratic,02/03/1936,new,NA,02/12/1936,02/15/1936,NA,NA,02/15/1966,05/28/1971,Death
2,"U. S. District Court, Western District of Pennsylvania",USDC,Rutherford B. Hayes,Republican,01/06/1880,Ketcham,Winthrop,01/14/1880,01/14/1880,NA,NA,NA,02/09/1891,Appointment to Another Judicial Position
3,"U. S. District Court, Northern District of Alabama",USDC,Ronald Reagan,Republican,07/22/1982,McFadden,Frank H.,08/18/1982,08/18/1982,NA,NA,05/31/1996,NA,NA
4,"U. S. District Court, District of New Jersey",USDC,Jimmy Carter,Democratic,09/28/1979,Barlow,George H.,10/31/1979,11/02/1979,NA,NA,02/15/1994,12/02/2009,Death
5,"U. S. District Court, Southern District of Illinois",USDC,Gerald Ford,Republican,06/18/1976,Wood Jr.,Harlington,07/02/1976,07/02/1976,NA,NA,NA,03/31/1979,Reassignment
6,"U. S. District Court, District of Puerto Rico",USDC,Ronald Reagan,Republican,09/09/1982,Toledo,Jose V.,09/29/1982,09/30/1982,NA,NA,06/01/1994,NA,NA
7,"U. S. District Court, Southern District of Illinois",USDC,Franklin D. Roosevelt,Democratic,03/24/1937,Major,J. Earl,04/20/1937,04/27/1937,NA,NA,NA,01/19/1956,Death
8,U. S. Court of Appeals for the Third Circuit,USCA,Richard M. Nixon,Republican,09/22/1969,Kalodner,Harry Ellis,10/01/1969,10/02/1969,NA,NA,NA,01/02/1987,Retirement
9,"U. S. District Court, Eastern District of Missouri",USDC,Grover Cleveland,Democratic,12/04/1895,Priest,Henry S.,12/09/1895,12/09/1895,NA,NA,NA,05/29/1905,Appointment to Another Judicial Position
10,"U. S. District Court, District of Mississippi",USDC,Andrew Jackson,Democratic,01/12/1836,Ellis,Powhatan,01/20/1836,01/20/1836,NA,NA,NA,06/18/1838,Reassignment
11,"U. S. District Court, Southern District of New York",USDC,William McKinley,Republican,12/05/1901,Brown,Addison,12/17/1901,12/17/1901,NA,NA,NA,10/09/1911,Death
12,"U. S. District Court, Middle District of Florida",USDC,William J. Clinton,Democratic,10/29/1993,Black,Susan H.,11/20/1993,11/24/1993,NA,NA,04/08/2010,NA,NA
2989,"U. S. District Court, Northern District of Ohio",USDC,George W. Bush,Republican,01/07/2003,White,George Washington,02/10/2003,02/12/2003,NA,NA,NA,NA,NA
3295,U. S. Customs Court,U. S. Customs Court,Reassignment,Reassignment,NA,new,NA,NA,05/28/1926,NA,NA,NA,01/20/1928,Retirement
2717,"U. S. District Court, Eastern District of Wisconsin",USDC,William J. Clinton,Democratic,09/08/1997,Curran,Thomas J.,11/13/1997,12/23/1997,NA,NA,NA,NA,NA
13,U. S. District Court for the District of Columbia [Supreme Court of the District of Columbia],USDC,Herbert Hoover,Republican,06/06/1930,Wheat,Alfred A.,06/17/1930,06/17/1930,NA,NA,10/15/1946,03/29/1955,Death
14,"U. S. District Court, Western District of New York",USDC,Calvin Coolidge,Republican,12/06/1927,new,NA,01/16/1928,01/16/1928,NA,NA,NA,05/23/1934,Death
2927,"U. S. District Court, Eastern District of Louisiana",USDC,George W. Bush,Republican,01/23/2002,Clement,Edith Brown,04/17/2002,04/17/2002,NA,NA,NA,NA,NA
3174,U. S. Court of Appeals for the Fourth Circuit,USCA,George W. Bush,Republican,03/13/2008,Luttig,J. Michael,05/20/2008,07/01/2008,NA,NA,NA,NA,NA
