agency,station_name,line,artist,art_title,art_date,art_material,art_description,art_image_link
NYCT,Clark St,"2,3",Ray Ring,Clark Street Passage,1987,Terrazzo floor tile,"The first model that Brooklyn-born artist Ray Ring submitted for the Clark Street Station renovation in 1983 was a three-dimensional work to be attached to the arched ceiling of the passageway that led from the elevators to the platform, but after discussion this was transformed into a floor piece.  The artist points out, ÒThe  Passage uses three geometric shapes Ð a circle, a square, and a triangle Ð that turn in four different directions.  The floor of the subway corridor is divided into large black squares.  As people walk down the passage they experience all the possible combinations of these elements.  The study of ever-changing geometric patterns comes out of  my earlier work from the 1970s that were shown in an exhibition entitled 2048 Variations on a Drawing by Malevich.  Today, I continue to work in variations of geometric shapes.  My latest pieces utilize computers to help generate large three-dimensional constructions.Ó",https://new.mta.info/agency/arts-design/collection/clark-street-passage
NYCT,125 St,"4,5,6",Houston Conwill,The Open Secret,1986,Bronze - polychromed,"The Open Secret, in the 125th Street and Lexington Avenue station, was the first Arts for Transit commission to be installed in the subway.  The work presents various themes that had long intrigued artist Houston Conwill.  Here, he says, he attempts Òto capture the present for future generations of people through a ritual process; the creation of sacred spaces; and the involvement of a community of people in bearing witness to the process and making it complete,Ó as he put it in his artistÕs statement for the work.  

There is also a mysterious aspect to The Open Secret, to which its title alludes.  For if some future archaeologist breaks it apart, two of its triangular segments, if opened up, will be found to contain time capsules Òholding information and ÔsecretsÕ about a certain place at a certain time Ð Harlem in the 1980s.Ó  Covered with grates so viewers can peer into them, the other two triangular elements reveal a variety of objects.  As Conwill observed in his proposal for the project, ÒThe exploration might be of a place or into our own minds where we might find eternal secrets that are saved and put in the time capsules for our children and their children.Ó 

The leading encyclopedia of African and African American experience, Africana, includes Conwill as one of the Òpioneers of African American visual postmodernism.Ó  
Examples of his public art can be found throughout the nation Ð from New York to San Francisco, Niagara Falls to Miami.  He often works in collaboration with other artists, for instance his sister Estella Conwill M‡jozo, a poet.  The themes of the works often involve the history of African Americans and their quest for freedom and equality.",https://new.mta.info/agency/arts-design/collection/open-secret
NYCT,Astor Pl,6,Milton Glaser,Untitled,1986,Porcelain enamel murals,"Milton Glaser, best known for his work in graphics, printmaking, and as a teacher, was approached to augment Rolf OlhausenÕs architectural plans for the restoration/ redesign of Astor Place station.  This was an interesting challenge, since the station boasted some of the most beautiful historic terra cotta and mosaics in the transportation system but at the same time required a large-scale redesign in order to make it function in todayÕs world.  GlaserÕs response was to meld the two  Ð to use the historic Grueby Faience Company plaques (which depicted beavers, a reference to the Astor fortune partly acquired though fur trading) as a springboard for his thoroughly modern design.  

In the artistÕs words,

The design concept É is basically a variation on the existing forms.  By extracting fragments of the motifs on the tile panels, enlarging their scale, and placing these pieces in a random pattern, they take on the appearance of a large puzzle.  Viewers may perceive these fragments and discover their relationship to the original design motifs.  The resulting dialectic between the previously existing and the new panels inspire an appreciation for the original details of the station.

Glaser was born in New York and has often been at the very center of the cityÕs cultural life, for years chairing the board at New York magazine and teaching at the School of Visual Arts.  And he was especially pleased to be asked to design a work for this particular station:  ÒThis was a wonderful commission, not only because of the proximity of Cooper Union, my alma mater, but I lived on the Lower East Side for years, and itÕs good to see the old neighborhood coming back to life.Ó  (Interestingly, GlaserÕs original design for the station included caricatures of the Astor beaver in addition to the abstract forms Ð but his animals reminded community-board reviewers too much of the rats of those earlier, seedier years that they had worked so hard to eliminate!)",https://new.mta.info/agency/arts-design/collection/untitled-glaser-astor
NYCT,Kings Hwy,"B,Q",Rhoda Andors,Kings Highway Hieroglyphs,1987,Porcelain Enamel Murals on Steel,"The artist discusses her work:  ÒIf public art is elegantly and permanently crafted, it will delight audiences of the present and the future, in the way the wall paintings of ancient civilizations delight us today, thousands of years after their creation É  Like the ancient pyramids, the subway is a great monument, with underground caverns, and like them, decorated with art.  It is no accident, then, that the style of these murals is hieroglyphs. I wanted the cool dignity, the symbolism full of messages, the cordial sense of humanity in the figures that are found in the Valley of the Kings É  Perhaps some future archaeologist will dig through the layers of Brooklyn, discovering who knows what relics of our civilization, and find these murals, for after all they are forged in enamel, an art form as permanent and enduring as any.  And perhaps he or she will be able to glimpse in them what daily life was like here, in 1987.  I hope so.Ó",https://new.mta.info/agency/arts-design/collection/Kings-Highway-Hieroglyphs
NYCT,Newkirk Av,"B,Q",David Wilson,Transit Skylight,1988,Zinc-glazed Apolycarbonate skylight,"The artist recalls, ÒAbout the same time that I was working on a glass public art project at St. George Public Library on Staten Island for New York CityÕs Department of Cultural Affairs, I was chosen to submit a proposal for Newkirk Avenue subway station in Brooklyn.  Because of the need to be resistant to vandalism it was glazed in polycarbonate plastic with zinc extrusions.  I had been interested in the use of plastics and the possibility of ÔleadlinesÕ that are not feasible in glass Ð thus the diagonal ÔcutsÕ going to nowhere in the piece (i.e., stopping in the middle of a color).  Blue was an MTA color at the time and the project is a kind of architectural statement Ð a skylight set into a difficult environment (a steel I-beam divides the triangular window into two halves so that it is hard to read as a whole). Ó",https://new.mta.info/agency/arts-design/collection/transit-skylight
NYCT,137 St-City College,1,Steve Wood,Fossils,1988,Bronze,"Steve WoodÕs artwork consists of the 160 eight-by-eight-inch bronze relief tiles embedded in the northbound and southbound platform walls of the station, 80 on each side.  Each represents the fossilized remains of biological forms.  From the artistÕs proposal: ""The idea behind Fossils is simple: the subway is underground, fossils are found in the earth . . . I wanted these reliefs to be 'scattered' over the walls of the northbound and southbound platforms in such a way that both children and adults would see them personally and close-up. They are meant to be looked at, touched, talked about and remembered.""",https://new.mta.info/agency/arts-design/collection/fossils
NYCT,23 St,6,Valerie Jaudon,Long Division,1988,Wrought iron railings,"Valerie JaudonÕs Long Division at the Lexington Avenue and 23rd Street subway station seamlessly combines the practical and the aesthetic.  In its purely functional role, it is a sturdy steel fence serving as a security barrier.  But it is a work of art as well, a beckoning welcome into the subway.  The artist said: ÒThe idea was to make a fence that functions as combination of wall, door, window and column that allows you to see the entire stationÉ, a sort of transparent lens through which people can see where they are going and where they have been.Ó The work is divided into panel units, and when placed together their straight and arched lines form decorative patterns.  The abstract stylized motifs, as well as the way she combines them, are directly related to those in JaudonÕs paintings of that time.  The hard imagery that dominated her canvases became three dimensional while maintaining the sense of hard-edged flatness on the same plane.",https://new.mta.info/agency/arts-design/collection/long-division
NYCT,50 St,"C,E",Matt Mullican,Untitled,1989,Stone - Etched granite,"The Zeckendorf CompanyÕs Worldwide Plaza at 50th Street and Eighth Avenue provided new station entrances accessible to the mobility impaired, wells that bring natural light into the underground platform areas, and an 8-foot by 68-foot sandblasted granite mural by artist Matt Mullican.  The artist describes the work as being a timeline in etched granite, from records of the site.  ÒIt was once countryside, once had a cabin, and it was also the previous site of Madison Square Garden,Ó said Mullican.  ÒReferencing the iconography of the subway map, the artwork interprets the history of this location through using elements that take you back in time.Ó  The New Yorker, on September 5, 1994, commented, ÒMatt MullicanÕs mural for the 50th Street station on the C and E lines, a sleek, post-Pop design etched into black granite, is smart and sophisticated yet discreet; the artist has recognized that thousands of people will walk by it ten times a week.Ó",https://new.mta.info/agency/arts-design/collection/untitled-50-st
NYCT,86 St,1,Nitza Tufi–o (in collaboration with Grosvenor Neighborhood House Student Muralists),Westside Views,1989,Ceramic Tile,"Westside Views is an unusual project.  It was headed up by artist and teacher Nitza Tufi–o, who worked with 17 young people, most of whom attended or were graduates of the high school equivalency program at Grosvenor Neighborhood House.  The project began when the local community board suggested that amenity funds from a developer, the Bromley Company, be applied to a youth-opportunity community improvement project to improve the 86th Street subway station.  After approval by the cityÕs Planning Commission and Board of Estimate, Arts for Transit was designated as the administrator for the undertaking.  

The overarching concept was to help the students to learn by doing, to acquire problem-solving and strategic thinking abilities through a hands-on collaboration with an experienced mentor, someone they could trust and with whom they could bond.  Nitza Tufi–o was an ideal choice for project leader, since she brought with her an interest in helping young people with social and developmental needs and a proven ability to work successfully with novice artists.  

Tufi–o has said of her approach, in a statement for the New York CityÕs Department of Cultural Affairs website:

As an artist, if I take my brushes and my skills and I invest in the lives of young people, then others can see what is possible.  Maybe it will inspire other artists to share their time.  I want the art work to continue and not to die É this is highly political to have young people lead É we need a chain that grows É I believe human beings can do anything, if we find something that would positively influence them. 

Students first participated in a community survey to determine the theme. Then they took photographs of notable sites in the neighborhood and also held interviews with a variety of community residents.  Ultimately, their work was translated into 40 ceramic tiles that speak volumes about the place and time in which they were created.  The students also worked with Pedro Pietri, whose poetry expresses what it is like to be a Puerto Rican in New York, to create a poem to capture the spirit of the neighborhood, its multi-ethnicity, its parks, the foods Ð the flavor of the community.  The poem is captured in tile and installed in the station.",https://new.mta.info/agency/arts-design/collection/westside-views
Metro-North,Tuckahoe,Harlem,Arthur Gonzalez,The Finder/The Seekers,1990,"Bronze and Steel sheet,  Found objects (tin toys, etc.)","In Arthur GonzalezÕs monumental artwork, large-scale figurative bronze sculptures located at three stations on Metro-North RailroadÕs Harlem-Hudson line, the themes of time and travel are the central focus.  The Finder / The Seekers at Tuckahoe (the first project in the Arts for Transit  Òpercent for artÓ program to be completed and installed at a Metro-North station) includes images of speed and travel in the form of childrenÕs toys below each of its sculptures representing explorers and settlers.  At Crestwood, the sculpture The Discovery is a bronze figure of a girl in a boat who holds a compass with the cardinal directions evoking themes of travel and exploration.  Time Catcher at Fleetwood is a polychrome bronze featuring a historic map of the region and a worker with his tools, an homage to the workers of the railroad.",https://new.mta.info/agency/arts-design/collection/the-finder-the-seekers-time-catcher
