DoBIH_number,Name,Height_m,Height_ft,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,Comments
1,Ben Chonzie,931,3054,277324,730857,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
17,Ben Vorlich,985.3,3233,262912,718916,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
18,Stuc a' Chroin,973,3192,261746,717465,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
32,Ben Lomond,973.7,3195,236707,702863,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
26,Ben More,1174,3852,243276,724417,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
27,Stob Binnein,1165,3822,243481,722712,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Am Binnein (Stobinain)
28,Stob Binnein - Stob Coire an Lochain,1068,3504,243842,722052,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
39,Stob Binnein - Creag a' Bhragit,923,3028,244847,722468,Munro Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Stob Binnein - Meall na Dige,966,3169,245051,722592,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
30,Cruach Ardrain,1045.9,3431,240927,721215,Munro,NA,NA,NA,NA,NA,Munro,Munro,Munro,Munro,Munro,NA
29,Cruach Ardrain SW Top,1044.9,3428,240815,721112,Munro Top,Munro,Munro,Munro,Munro,Munro,NA,NA,NA,NA,NA,NA
40,Cruach Ardrain - Stob Garbh SE Top,923.5,3030,241285,721716,Munro Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1891: Top between Cruach Ardran and Stob Garbh
34,Cruach Ardrain - Stob Garbh,957.7,3142,241112,722142,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
31,An Caisteal,995.9,3267,237873,719343,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
35,Beinn Tulaichean,945.8,3103,241660,719604,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Beinn Tulachan
