subfamily,tribe,scientificName,commonName,secondary_commonNames
 Hylid, Pelodryadidae,Cyclorana,—,—
 Hylid, Pelodryadidae,Cyclorana alboguttata,Striped Burrowing Frog,Green-striped Frog
 Hylid, Pelodryadidae,Cyclorana australis,Northern Snapping Frog,Giant Frog
 Hylid, Pelodryadidae,Cyclorana brevipes,Superb Collared Frog,Short-footed Frog
 Hylid, Pelodryadidae,Cyclorana cryptotis,Hidden-ear Frog,Earless Frog
 Hylid, Pelodryadidae,Cyclorana cultripes,Knife-footed Frog,Grassland Collared Frog
 Hylid, Pelodryadidae,Cyclorana longipes,Long-footed Frog,—
 Hylid, Pelodryadidae,Cyclorana maculosa,Daly Waters Frog,Spotted Collared Frog
 Hylid, Pelodryadidae,Cyclorana maini,Main’s Frog,"Sheep Frog, Western Collared Frog"
 Hylid, Pelodryadidae,Cyclorana manya,Little Collared Frog,Small Frog
 Hylid, Pelodryadidae,Cyclorana novaehollandiae,Eastern Snapping Frog,—
 Hylid, Pelodryadidae,Cyclorana occidentalis,Western Water-holding Frog,—
 Hylid, Pelodryadidae,Cyclorana platycephalus,Eastern Water-holding Frog,—
 Hylid, Pelodryadidae,Cyclorana vagitus,Wailing Frog,—
 Hylid, Pelodryadidae,Cyclorana verrucosa,Rough Collared Frog,Rough Frog
 Hylid, Pelodryadidae,Litoria,—,—
 Hylid, Pelodryadidae,Litoria adelaidensis,Slender Tree Frog,—
 Hylid, Pelodryadidae,Litoria andiirrmalin,Melville Range Tree Frog,"Andirrmalin Frog, Cape Melville Tree Frog"
 Hylid, Pelodryadidae,Litoria aurea,Green and Golden Bell Frog,Green and Gold Bell Frog
 Hylid, Pelodryadidae,Litoria aurifera,Kimberley Rockhole Frog,—
 Hylid, Pelodryadidae,Litoria axillaris,Kimberley Rocket Frog,—
 Hylid, Pelodryadidae,Litoria balatus,Slender Bleating Tree Frog,—
 Hylid, Pelodryadidae,Litoria barringtonensis,Barrington Tops Tree Frog,—
 Hylid, Pelodryadidae,Litoria bella,Cape York Graceful Tree Frog,—
 Hylid, Pelodryadidae,Litoria bicolor,Northern Sedge Frog,Northern Dwarf Tree Frog
 Hylid, Pelodryadidae,Litoria booroolongensis,Booroolong Frog,—
 Hylid, Pelodryadidae,Litoria brevipalmata,Green-thighed Frog,—
 Hylid, Pelodryadidae,Litoria burrowsae,Tasmanian Tree Frog,—
 Hylid, Pelodryadidae,Litoria caerulea,Green Tree Frog,Common Green Tree Frog
