date,observations,comment,weather_disruption
2024-10-03,408,Last count of season,FALSE
2024-09-30,14940,NA,FALSE
2024-09-26,NA,Canceled/No count,TRUE
2024-09-23,18450,NA,FALSE
2024-09-19,14900,NA,FALSE
2024-09-16,12900,NA,FALSE
2024-09-12,8660,NA,FALSE
2024-09-09,NA,Canceled/No count,TRUE
2024-09-05,9720,NA,FALSE
2024-09-02,7850,NA,FALSE
2024-08-29,NA,Canceled/No count,TRUE
2024-08-26,2911,NA,FALSE
2024-08-22,2300,NA,FALSE
2024-08-19,1789,NA,FALSE
2024-04-15,630,Last count of season,FALSE
2024-04-14,3220,NA,FALSE
2024-04-13,NA,Canceled/No count,FALSE
2024-04-12,5780,NA,FALSE
2024-04-11,10150,NA,FALSE
2024-04-10,10050,NA,FALSE
2024-04-09,9050,NA,FALSE
2024-04-08,15300,NA,FALSE
2024-04-07,NA,Canceled/No count,FALSE
2024-04-06,24600,NA,FALSE
2024-04-05,24200,NA,FALSE
2024-04-04,20200,NA,FALSE
2024-04-03,20400,NA,FALSE
2024-04-02,NA,Canceled/No count,TRUE
2024-04-01,22900,NA,FALSE
2024-03-31,21900,NA,FALSE
2024-03-30,20300,NA,FALSE
2024-03-29,16500,NA,FALSE
2024-03-28,15800,NA,FALSE
2024-03-27,13800,NA,FALSE
2024-03-26,12800,NA,FALSE
2024-03-25,10800,NA,FALSE
2024-03-24,8500,NA,FALSE
2024-03-23,8500,NA,FALSE
2024-03-22,NA,NA,FALSE
2024-03-22,7400,NA,FALSE
2024-03-21,7600,NA,FALSE
2024-03-20,6500,NA,FALSE
2024-03-19,5830,NA,FALSE
2024-03-18,3050,NA,FALSE
2024-03-17,3085,NA,FALSE
2024-03-16,1815,NA,FALSE
2024-03-15,1538,NA,FALSE
2024-03-13,23,NA,FALSE
2024-03-11,167,First count of season,FALSE
2023-10-09,9,Last count of season,FALSE
2023-10-05,12000,NA,FALSE
2023-10-02,23700,NA,FALSE
2023-09-28,24100,NA,FALSE
2023-09-28,24100,NA,FALSE
2023-09-25,24300,Record observation,FALSE
2023-09-21,21700,Record observation,FALSE
2023-09-18,21380,Record observation,FALSE
2023-09-14,10565,NA,FALSE
2023-09-11,8560,NA,FALSE
2023-09-07,8425,NA,FALSE
2023-09-04,8160,NA,FALSE
2023-08-31,5710,NA,FALSE
2023-08-28,3055,NA,FALSE
2023-08-24,3450,NA,FALSE
2023-08-21,2060,First count of season,FALSE
2023-04-19,1170,Last count of season,FALSE
2023-04-17,2180,NA,FALSE
2023-04-15,4200,NA,FALSE
2023-04-13,6300,NA,FALSE
2023-04-11,5600,NA,FALSE
2023-04-10,5800,NA,FALSE
2023-04-09,8500,NA,FALSE
2023-04-08,8300,NA,FALSE
2023-04-07,6480,NA,FALSE
2023-04-06,6900,NA,FALSE
2023-04-05,8000,NA,FALSE
2023-04-04,7400,NA,FALSE
2023-04-03,9800,NA,FALSE
2023-04-02,12200,NA,FALSE
2023-04-01,11200,NA,FALSE
2023-03-31,7000,Uncertain count,FALSE
2023-03-30,NA,Canceled/No count,TRUE
2023-03-29,7000,NA,FALSE
2023-03-28,7280,NA,FALSE
2023-03-27,7480,NA,FALSE
2023-03-26,5380,NA,FALSE
2023-03-25,3040,NA,FALSE
2023-03-24,2080,NA,FALSE
2023-03-23,4180,NA,FALSE
2023-03-22,1545,NA,FALSE
2023-03-21,NA,Canceled/No count,FALSE
2023-03-20,NA,Canceled/No count,TRUE
2023-03-19,910,NA,FALSE
2023-03-18,NA,Canceled/No count,TRUE
2023-03-17,739,NA,FALSE
2023-03-16,232,NA,FALSE
2022-10-20,0,Last count of season,FALSE
2022-10-17,NA,Canceled/No count,TRUE
2022-10-13,2740,NA,FALSE
2022-10-10,2282,NA,FALSE
2022-10-06,NA,Canceled/No count,TRUE
2022-10-03,6090,NA,FALSE
2022-09-29,7220,NA,FALSE
2022-09-26,NA,Canceled/No count,TRUE
2022-09-22,16340,NA,FALSE
2022-09-19,16190,NA,FALSE
2022-09-15,11220,NA,FALSE
