station,year,month,tmax,tmin,af,rain,sun
aberporth,1941,1,NA,NA,NA,74.7,NA
aberporth,1941,2,NA,NA,NA,69.1,NA
aberporth,1941,3,NA,NA,NA,76.2,NA
aberporth,1941,4,NA,NA,NA,33.7,NA
aberporth,1941,5,NA,NA,NA,51.3,NA
aberporth,1941,6,NA,NA,NA,25.7,NA
aberporth,1941,7,NA,NA,NA,53.9,NA
aberporth,1941,8,NA,NA,NA,91.8,NA
aberporth,1941,9,NA,NA,NA,25.5,NA
aberporth,1941,10,NA,NA,NA,106.2,NA
aberporth,1941,11,NA,NA,NA,92.3,NA
aberporth,1941,12,NA,NA,NA,86.5,NA
aberporth,1942,1,5.8,2.1,NA,114,58
aberporth,1942,2,4.2,-0.6,NA,13.8,80.3
aberporth,1942,3,9.7,3.7,NA,58,117.9
aberporth,1942,4,13.1,5.3,NA,42.5,200.1
aberporth,1942,5,14,6.9,NA,101.1,215.1
aberporth,1942,6,16.2,9.9,NA,2.3,269.3
aberporth,1942,7,17.4,11.3,NA,70.2,185
aberporth,1942,8,18.7,12.3,NA,78.5,141.9
aberporth,1942,9,16.4,10.7,NA,146.8,129.1
aberporth,1942,10,13.1,8.2,NA,131.1,82.1
aberporth,1942,11,9.2,4.6,NA,19.8,62.9
aberporth,1942,12,9.6,6.2,NA,183.9,31.4
aberporth,1943,1,8.2,3.5,NA,176.7,41.4
aberporth,1943,2,8.9,4.6,NA,65.4,68.6
aberporth,1943,3,10.2,4.1,NA,21,156.2
aberporth,1943,4,13,6.8,NA,39.4,178.3
aberporth,1943,5,14.1,7.4,NA,83.5,233.3
aberporth,1943,6,15.9,9.8,NA,58.7,223.8
aberporth,1943,7,18.6,11.7,NA,57.3,240.5
aberporth,1943,8,18.1,12,NA,86.5,148
aberporth,1943,9,15.8,10,NA,127.1,110.6
aberporth,1943,10,13.6,8.3,NA,120.3,93.7
aberporth,1943,11,9.7,5.9,NA,93,47.4
aberporth,1943,12,6.9,2.7,NA,63.6,75.3
aberporth,1944,1,9.2,5.8,NA,87.9,23.7
aberporth,1944,2,6.5,3.1,NA,34,72.5
aberporth,1944,3,8.6,3.1,NA,17,153.2
aberporth,1944,4,12.7,6.6,NA,44.9,157.1
aberporth,1944,5,13.8,7,NA,37.2,242.3
aberporth,1944,6,15.4,9.9,NA,53.2,182.2
aberporth,1944,7,18.2,12.6,NA,54.5,112.7
aberporth,1944,8,19.7,12.8,NA,100.2,220.9
aberporth,1944,9,15.7,10.3,NA,80.7,132.7
aberporth,1944,10,12.1,7.8,NA,131.9,91
aberporth,1944,11,9.5,5.8,NA,156.2,28.9
aberporth,1944,12,7.7,4.3,NA,71.9,58.5
aberporth,1945,1,4.5,1.3,NA,58.8,58.1
aberporth,1945,2,9.6,5.1,NA,110.7,80.4
aberporth,1945,3,10.4,5.2,NA,34.3,124.1
aberporth,1945,4,13.3,6.6,NA,55.1,205.1
aberporth,1945,5,14.3,8.3,NA,82.8,166.3
aberporth,1945,6,16.5,10.2,NA,68.5,193.7
aberporth,1945,7,17.4,12.2,NA,130.6,130
aberporth,1945,8,18.1,11.9,NA,41.9,164.2
aberporth,1945,9,17.1,11.3,NA,61.2,101
aberporth,1945,10,15.2,9.1,NA,66.9,117.5
aberporth,1945,11,10.7,5.6,NA,34.7,78.4
aberporth,1945,12,8.9,5.1,NA,116.2,36.1
aberporth,1946,1,6.9,2.2,NA,138,67.6
aberporth,1946,2,8.2,4.9,NA,78.6,53
aberporth,1946,3,8.7,2.6,NA,28.9,146.9
aberporth,1946,4,12.8,6.3,NA,30.9,192.2
aberporth,1946,5,14.1,6.7,NA,59.3,236.5
aberporth,1946,6,14.6,8.8,NA,79.4,197.5
aberporth,1946,7,17.1,11.2,NA,62.6,186.8
aberporth,1946,8,16.3,11,NA,121.6,159.9
aberporth,1946,9,16.3,11.3,NA,103.1,105.7
aberporth,1946,10,NA,8.2,NA,40.9,106.8
aberporth,1946,11,NA,7.6,NA,152.3,47.8
aberporth,1946,12,7.2,3.1,NA,106.6,56.7
aberporth,1947,1,5.8,1.4,NA,122.9,78
aberporth,1947,2,NA,-2.7,NA,53.9,50
aberporth,1947,3,NA,2.2,NA,191.1,80.3
aberporth,1947,4,NA,5.1,NA,85.6,162.1
aberporth,1947,5,13.9,8,NA,99.1,201.2
aberporth,1947,6,17,10.4,NA,67.4,161.5
aberporth,1947,7,17.4,11.7,NA,52.8,158.9
aberporth,1947,8,21.4,13.2,NA,20.2,278.3
aberporth,1947,9,17.5,11.4,NA,69.5,130.1
aberporth,1947,10,14.2,8,NA,29.9,136.9
aberporth,1947,11,10.1,6.5,NA,100.1,54.3
aberporth,1947,12,7.7,4.9,NA,92.9,29.7
aberporth,1948,1,8.2,4.6,NA,167.5,48.7
aberporth,1948,2,7.4,2.9,NA,56.8,89.6
aberporth,1948,3,13.5,5.8,NA,51.9,188.9
aberporth,1948,4,11.4,4.8,NA,36.4,213.7
aberporth,1948,5,14.2,6.7,NA,44.7,297.5
aberporth,1948,6,14.7,9.8,NA,59.4,145
aberporth,1948,7,16.9,11.6,NA,103.1,144.1
aberporth,1948,8,17,11.8,NA,102.4,146.7
aberporth,1948,9,15.7,11.1,NA,77.9,111.5
aberporth,1948,10,13.3,8.5,NA,87.4,93.6
aberporth,1948,11,11.5,6.9,NA,95.6,78.6
aberporth,1948,12,8.5,4.2,NA,175.9,87.2
aberporth,1949,1,8.6,5,NA,44,60
aberporth,1949,2,8.7,4.4,NA,36.6,105
aberporth,1949,3,8.7,3.3,NA,44.4,158.8
aberporth,1949,4,NA,6.7,NA,74.8,161.9
aberporth,1949,5,13.4,6.6,NA,67.9,247.2
aberporth,1949,6,17.4,11.3,NA,24.6,286.1
aberporth,1949,7,19.9,12.5,NA,45,267.5
aberporth,1949,8,19,12.8,NA,59.1,202.3
aberporth,1949,9,19.5,12.5,NA,28.3,188.4
aberporth,1949,10,15.2,9.9,NA,181.1,83.8
aberporth,1949,11,10.2,6.1,NA,147.6,63.8
aberporth,1949,12,8.7,5.4,NA,115.3,40.1
aberporth,1950,1,7.3,3.2,NA,29.9,66.6
aberporth,1950,2,8.3,3.9,NA,176.7,50.2
aberporth,1950,3,10.8,4.8,NA,57.5,147.7
aberporth,1950,4,10.3,5.3,NA,84.9,137.8
aberporth,1950,5,14.7,7.6,NA,60.5,243
aberporth,1950,6,17.9,11.2,NA,40.3,249.5
aberporth,1950,7,17.9,12,NA,63.4,190.2
aberporth,1950,8,17.4,11.5,NA,158.2,165.8
aberporth,1950,9,15.3,10.7,NA,208.8,100.7
aberporth,1950,10,12.9,8,NA,91.9,108.1
aberporth,1950,11,9.1,4.8,NA,170.3,69.5
aberporth,1950,12,4.7,1.7,NA,119.5,33.3
aberporth,1951,1,6.7,3.2,NA,89.3,49.7
aberporth,1951,2,6.4,2,NA,92.9,92.8
aberporth,1951,3,6.9,2.2,NA,112.6,87.9
aberporth,1951,4,9.6,3.7,NA,77.1,196.6
aberporth,1951,5,12.5,6.3,NA,65.7,188.7
aberporth,1951,6,16.3,9.4,NA,27.1,246.3
aberporth,1951,7,18.3,11.8,NA,78,227.3
aberporth,1951,8,16.9,11.3,NA,136.5,154
aberporth,1951,9,16.4,11.8,NA,112.1,78.3
aberporth,1951,10,13.6,8.1,NA,35.3,132.8
aberporth,1951,11,11,7.2,NA,168.8,59.1
aberporth,1951,12,8.7,5.4,NA,141.6,51.8
aberporth,1952,1,6.2,2.8,NA,122.6,63.8
aberporth,1952,2,6.9,2.2,NA,36.3,89.2
aberporth,1952,3,9.4,4.7,NA,49.1,112.7
aberporth,1952,4,12.3,5.6,NA,80.6,146.6
aberporth,1952,5,15.2,8.9,NA,112.7,203.6
aberporth,1952,6,15.8,9.9,NA,87,202.4
aberporth,1952,7,18.6,12.4,NA,49.1,170.5
aberporth,1952,8,17.9,12.1,NA,121.5,176.3
aberporth,1952,9,14.2,8.8,NA,113.1,147.3
aberporth,1952,10,12.5,8,NA,115.7,116.9
aberporth,1952,11,7.8,4.3,NA,93,64.9
aberporth,1952,12,6.9,3.1,NA,96.1,56.4
aberporth,1953,1,6.8,2.9,NA,43.1,56.2
aberporth,1953,2,7.4,2.8,NA,46.6,55.1
aberporth,1953,3,9.8,2.4,NA,60,165.9
aberporth,1953,4,10.2,4,NA,66.8,213.4
aberporth,1953,5,15.2,8.6,NA,55.1,228.8
aberporth,1953,6,15.7,9.6,NA,58.7,221.6
aberporth,1953,7,17.2,11.7,NA,60.5,217.1
aberporth,1953,8,18.3,12.2,NA,83.5,201.8
aberporth,1953,9,16.2,11.2,NA,110.3,148.7
aberporth,1953,10,13.6,7.8,NA,82,126.9
aberporth,1953,11,11.2,7.4,NA,126.5,63.3
