station,station_name,opened,lng,lat
aberporth,Aberporth,1941,-4.57,52.139
armagh,Armagh,1853,-6.649,54.352
ballypatrick,Ballypatrick Forest,1961,-6.153,55.181
bradford,Bradford,1908,-1.772,53.813
braemar,Braemar No 2,1959,-3.396,57.011
camborne,Camborne,1978,-5.327,50.218
cambridge,Cambridge Niab,1959,0.102,52.245
cardiff,Cardiff Bute Park,1977,-3.187,51.488
chivenor,Chivenor,1951,-4.147,51.089
cwmystwyth,Cwmystwyth,1959,-3.802,52.358
dunstaffnage,Dunstaffnage,1971,-5.439,56.451
durham,Durham,1880,-1.585,54.768
eastbourne,Eastbourne,1959,0.285,50.759
eskdalemuir,Eskdalemuir,1911,-3.205,55.312
heathrow,Heathrow,1948,-0.452,51.479
hurn,Hurn,1957,-1.835,50.779
lerwick,Lerwick,1931,-1.183,60.139
leuchars,Leuchars,1957,-2.861,56.377
lowestoft,Lowestoft Monckton Avenue,1914,1.727,52.483
manston,Manston,1934,1.337,51.346
nairn,Nairn Druim,1931,-3.821,57.593
newtonrigg,Newton Rigg,1959,-2.786,54.67
oxford,Oxford,1853,-1.262,51.761
paisley,Paisley,1959,-4.43,55.846
ringway,Ringway,1946,-2.279,53.356
rossonwye,Ross-on-wye,1931,-2.584,51.911
shawbury,Shawbury,1946,-2.663,52.794
sheffield,Sheffield,1883,-1.49,53.381
southampton,Southampton Mayflower Park,1855,-1.408,50.898
stornoway,Stornoway Airport,1873,-6.318,58.214
suttonbonington,Sutton Bonington,1959,-1.25,52.836
tiree,Tiree,1928,-6.88,56.5
valley,Valley,1931,-4.535,53.252
waddington,Waddington,1947,-0.522,53.175
whitby,Whitby,1961,-0.624,54.481
wickairport,Wick Airport,1914,-3.088,58.454
yeovilton,Yeovilton,1964,-2.641,51.006
