id,status_code,status_label
fasu1242,3,shifting
wash1253,4,moribund
taua1242,1,not endangered
puel1244,6,extinct
tuxa1239,6,extinct
beto1236,6,extinct
else1239,3,shifting
ando1256,5,nearly extinct
pyuu1245,3,shifting
moch1259,6,extinct
atak1252,6,extinct
kwaz1243,4,moribund
cams1241,3,shifting
dibi1240,3,shifting
sech1236,6,extinct
kuna1268,1,not endangered
yetf1238,3,shifting
kung1259,6,extinct
cand1248,2,threatened
buru1296,3,shifting
cofa1242,2,threatened
lule1238,6,extinct
sulk1246,3,shifting
mose1249,2,threatened
tiwi1244,3,shifting
cani1243,6,extinct
garr1260,6,extinct
kena1236,6,extinct
oyst1235,6,extinct
sume1241,6,extinct
yura1255,3,shifting
lavu1241,3,shifting
saus1247,3,shifting
leco1242,6,extinct
adai1235,6,extinct
mara1266,6,extinct
mpur1239,3,shifting
guri1248,3,shifting
coah1252,6,extinct
mink1237,6,extinct
cuit1236,6,extinct
guac1239,6,extinct
kibi1239,3,shifting
arut1244,5,nearly extinct
alse1251,6,extinct
siam1242,1,not endangered
laal1242,3,shifting
kari1254,6,extinct
paya1236,6,extinct
savo1255,3,shifting
mass1263,4,moribund
kaki1249,3,shifting
puin1248,3,shifting
take1257,6,extinct
tall1235,6,extinct
sand1273,2,threatened
yele1255,3,shifting
taus1253,5,nearly extinct
dama1272,3,shifting
touo1238,3,shifting
bira1253,5,nearly extinct
mola1238,6,extinct
xinc1237,6,extinct
cent2045,6,extinct
hrus1242,3,shifting
timu1245,6,extinct
anem1249,3,shifting
hadz1240,3,shifting
shom1245,3,shifting
jira1235,6,extinct
pume1238,3,shifting
zuni1245,3,shifting
puqu1242,6,extinct
guat1253,5,nearly extinct
sape1238,6,extinct
otom1276,6,extinct
waor1240,3,shifting
mata1275,6,extinct
vile1241,6,extinct
come1251,6,extinct
tana1288,3,shifting
wara1303,2,threatened
omur1241,6,extinct
atac1235,6,extinct
sali1253,6,extinct
bilu1245,3,shifting
yama1264,6,extinct
tuni1252,6,extinct
etru1241,6,extinct
chit1248,6,extinct
kehu1238,4,moribund
wiru1244,2,threatened
kimk1238,3,shifting
abun1252,3,shifting
pira1253,2,threatened
tabo1241,3,shifting
umbu1235,6,extinct
cayu1241,6,extinct
kara1497,6,extinct
bang1363,3,shifting
maku1246,6,extinct
rama1271,6,extinct
xuku1239,6,extinct
mimi1240,6,extinct
anda1286,6,extinct
boga1247,3,shifting
wadj1254,4,moribund
morb1239,4,moribund
burm1264,3,shifting
kusu1250,5,nearly extinct
klam1254,6,extinct
aika1237,2,threatened
kuja1239,3,shifting
fuyu1242,1,not endangered
kuot1243,3,shifting
kara1289,6,extinct
karo1304,4,moribund
guam1236,6,extinct
kapo1250,2,threatened
pank1250,6,extinct
taia1239,4,moribund
tonk1249,6,extinct
suar1238,3,shifting
muni1258,6,extinct
lenc1239,6,extinct
chim1301,6,extinct
yuch1247,5,nearly extinct
papi1255,4,moribund
kute1249,5,nearly extinct
iber1250,6,extinct
yuru1243,6,extinct
taru1236,5,nearly extinct
otii1244,6,extinct
yale1246,3,shifting
cayu1262,6,extinct
demm1245,3,shifting
usku1243,3,shifting
iton1250,6,extinct
abis1238,6,extinct
pele1245,3,shifting
basq1248,2,threatened
wage1238,4,moribund
tamb1257,6,extinct
tini1245,5,nearly extinct
beot1247,6,extinct
duna1248,1,not endangered
elam1244,6,extinct
bert1248,3,shifting
kunz1244,6,extinct
movi1243,3,shifting
nara1262,2,threatened
fuln1247,3,shifting
mato1253,6,extinct
kano1245,5,nearly extinct
coto1248,6,extinct
paez1247,2,threatened
seri1257,3,shifting
molo1262,3,shifting
kolp1236,3,shifting
urar1246,3,shifting
esse1238,6,extinct
abin1243,5,nearly extinct
timo1237,6,extinct
hatt1246,6,extinct
iran1263,4,moribund
cull1235,6,extinct
trum1247,5,nearly extinct
shab1252,4,moribund
yana1271,6,extinct
odia1239,3,shifting
chon1248,6,extinct
sius1254,6,extinct
pura1257,3,shifting
mure1235,6,extinct
niha1238,3,shifting
guai1237,6,extinct
mawe1251,3,shifting
yuwa1244,3,shifting
gaga1251,6,extinct
mero1237,6,extinct
lara1258,5,nearly extinct
yera1243,3,shifting
gule1241,6,extinct
pawa1255,3,shifting
natc1249,6,extinct
moro1289,3,shifting
ubyk1235,6,extinct
maja1242,1,not endangered
mara1396,1,not endangered
lila1246,3,shifting
nucl1458,3,shifting
dadi1250,1,not endangered
folo1238,1,not endangered
sali1298,5,nearly extinct
chol1284,6,extinct
hibi1243,6,extinct
wabo1241,1,not endangered
sout2949,1,not endangered
bamu1257,1,not endangered
nort2930,1,not endangered
idii1243,1,not endangered
agob1244,1,not endangered
arua1263,6,extinct
suru1263,3,shifting
paum1247,3,shifting
turu1250,5,nearly extinct
doso1239,2,threatened
milu1241,6,extinct
coos1249,6,extinct
chip1262,3,shifting
uruu1244,6,extinct
mani1235,2,threatened
nisa1239,2,threatened
tefa1238,3,shifting
demi1242,3,shifting
wori1246,5,nearly extinct
bauz1241,1,not endangered
mang1382,6,extinct
agua1253,2,threatened
mans1260,4,moribund
hata1243,2,threatened
keig1242,3,shifting
dime1235,3,shifting
kita1247,6,extinct
mang1381,5,nearly extinct
leng1262,3,shifting
wany1247,6,extinct
gara1269,4,moribund
nucl1633,4,moribund
yuki1243,6,extinct
wapp1239,6,extinct
hurr1240,6,extinct
urar1245,6,extinct
nort2967,6,extinct
sout2982,6,extinct
tima1241,3,shifting
woun1238,3,shifting
atoh1238,2,threatened
gong1251,3,shifting
olek1239,5,nearly extinct
yaha1248,2,threatened
kond1303,2,threatened
onge1236,3,shifting
jara1245,2,threatened
west2631,3,shifting
pure1242,3,shifting
orya1242,2,threatened
pech1241,4,moribund
dzub1241,6,extinct
kipe1235,6,extinct
kamu1260,3,shifting
kono1241,6,extinct
kana1291,3,shifting
kata1270,6,extinct
west2632,3,shifting
east1472,3,shifting
tlin1245,5,nearly extinct
ajas1235,3,shifting
ofay1240,4,moribund
kara1500,3,shifting
rikb1245,3,shifting
patw1250,6,extinct
wint1259,6,extinct
womp1235,3,shifting
urim1252,3,shifting
beli1258,2,threatened
laek1243,3,shifting
bayo1260,2,threatened
