language,family,native_speakers,country
ǂKxʼaoǁʼae,Kxʼa,5000,Namibia
ǂKxʼaoǁʼae,Kxʼa,5000,Botswana
Abon,Niger–Congo,800,Cameroon
Abron,Niger–Congo,1393000,Ghana
Abron,Niger–Congo,1393000,Ivory Coast
Acheron,Niger–Congo,20000,Sudan
Adara,Niger–Congo,300000,Nigeria
Afar,Afroasiatic,2500000,Ethiopia
Afar,Afroasiatic,2500000,Djibouti
Afar,Afroasiatic,2500000,Eritrea
Afar,Afroasiatic,2500000,Djibouti
Afar,Afroasiatic,2500000,Eritrea
Afar,Afroasiatic,2500000,Ethiopia
Afrikaans,Indo-European,7200000,Namibia
Afrikaans,Indo-European,7200000,South Africa
Aghem,Niger–Congo,27000,Cameroon
Aiki,Nilo-Saharan,19000,Chad
Aiki,Nilo-Saharan,19000,Central African Republic
Aja,Nilo-Saharan,200,South Sudan
Aja,Nilo-Saharan,200,Central African Republic
Aka,Niger–Congo,30000,Central African Republic
Aka,Niger–Congo,30000,Congo
Akan,Niger–Congo,8900000,Ghana
Ambo,Niger–Congo,1000,Nigeria
Amdang,Nilo-Saharan,170000,Chad
Amdang,Nilo-Saharan,170000,Sudan
Ambele,Niger–Congo,5000,Cameroon
Amharic,Afroasiatic,35000000,Ethiopia
Amira,Niger–Congo,5100,Sudan
Anaang,Niger–Congo,2900000,Nigeria
Áncá,Niger–Congo,300,Cameroon
Asoa,Nilo-Saharan,26000,Congo
Atsam,Niger–Congo,30000,Nigeria
Arabic,Afroasiatic,150000000,Algeria
Arabic,Afroasiatic,150000000,Chad
Arabic,Afroasiatic,150000000,Comoros
Arabic,Afroasiatic,150000000,Djibouti
Arabic,Afroasiatic,150000000,Egypt
Arabic,Afroasiatic,150000000,Libya
Arabic,Afroasiatic,150000000,Mauritania
Arabic,Afroasiatic,150000000,Morocco
Arabic,Afroasiatic,150000000,Somalia
Arabic,Afroasiatic,150000000,Sudan
Arabic,Afroasiatic,150000000,Tanzania
Arabic,Afroasiatic,150000000,Tunisia
Aringa,Nilo-Saharan,495000,Uganda
Avokaya,Nilo-Saharan,100000,South Sudan
Avokaya,Nilo-Saharan,100000,Congo
Awing,Niger–Congo,19000,Cameroon
Baba,Niger–Congo,25000,Cameroon
Babanki,Niger–Congo,39000,Cameroon
Baca,Niger–Congo,4500,Cameroon
Bacama,Afroasiatic,300000,Nigeria
Bade,Afroasiatic,360000,Nigeria
Baka,Nilo-Saharan,60000,South Sudan
Baka,Nilo-Saharan,60000,Congo
Barambu,Niger–Congo,26000,Congo
Bariba,Niger–Congo,1100000,Benin
Bariba,Niger–Congo,1100000,Benin
Bariba,Niger–Congo,1100000,Burkina Faso
Bariba,Niger–Congo,1100000,Niger
Bariba,Niger–Congo,1100000,Nigeria
Bariba,Niger–Congo,1100000,Togo
Bala,Niger–Congo,60000,Congo
Balo,Niger–Congo,2200,Cameroon
Bamali,Niger–Congo,10800,Cameroon
Bambara,Niger–Congo,4200000,Mali
Bambassi,Afroasiatic,2300,Ethiopia
Bambalang,Niger–Congo,29000,Cameroon
Bamukumbit,Niger–Congo,12000,Cameroon
Bamum,Niger–Congo,420000,Cameroon
Bamum,Niger–Congo,420000,Nigeria
Bamwe,Niger–Congo,20000,Congo
Bangi,Niger–Congo,120000,Congo
Bangi,Niger–Congo,120000,Congo
Bangolan,Niger–Congo,14000,Cameroon
Bassari,Niger–Congo,31000,Guinea
Bassari,Niger–Congo,31000,Senegal
Batu,Niger–Congo,25000,Nigeria
Bebe,Niger–Congo,3600,Cameroon
Beba,Niger–Congo,3000,Cameroon
Beli,Nilo-Saharan,65000,South Sudan
Bemba,Niger–Congo,4100000,Zambia
Bemba,Niger–Congo,4100000,Zambia
Bemba,Niger–Congo,4100000,Congo
Bemba,Niger–Congo,4100000,Tanzania
Bembe,Niger–Congo,100000,Congo
Bembe,Niger–Congo,250000,Congo
Bembe,Niger–Congo,250000,Tanzania
Berber,Afroasiatic,16000000,Morocco
Berber,Afroasiatic,16000000,Algeria
Berta,Nilo-Saharan,380000,Sudan
Berta,Nilo-Saharan,380000,Ethiopia
Besme,Niger–Congo,1200,Chad
Bhojpuri,Indo-European,65300,Mauritius
Bina,Niger–Congo,7000,Nigeria
Binza,Niger–Congo,10000,Congo
Birri,Nilo-Saharan,200,Central African Republic
Biseni,Niger–Congo,4800,Nigeria
Bissa,Niger–Congo,590000,Burkina Faso
Bissa,Niger–Congo,590000,Ghana
Bissa,Niger–Congo,590000,Togo
Bitare,Niger–Congo,52000,Cameroon
Bitare,Niger–Congo,52000,Nigeria
Bobo,Niger–Congo,340000,Burkina Faso
Bobo,Niger–Congo,340000,Mali
Bole,Afroasiatic,250000,Nigeria
Bole,Niger–Congo,4000,Congo
Bolon,Niger–Congo,23000,Burkina Faso
Bomboli–Bozaba,Niger–Congo,8000,Congo
Bomboma,Niger–Congo,23000,Congo
Bomitaba,Niger–Congo,9800,Congo
Bomitaba,Niger–Congo,9800,Central African Republic
Bomu,Niger–Congo,320000,Burkina Faso
Bomu,Niger–Congo,320000,Mali
Bongili,Niger–Congo,12000,Congo
Bongo,Nilo-Saharan,21000,South Sudan
Bonjo,Niger–Congo,3000,Congo
Bono,Niger–Congo,1400000,Ghana
Bono,Niger–Congo,1400000,Ivory Coast
Bono,Niger–Congo,200000,Nigeria
Boon,Niger–Congo,60,Somalia
Boko,Niger–Congo,150000,Benin
Boko,Niger–Congo,150000,Nigeria
Bozo,Mande,230000,Mali
Bube,Niger–Congo,51000,Equatorial Guinea
Bube,Niger–Congo,51000,Equatorial Guinea
Bube,Niger–Congo,51000,Gabon
Bube,Niger–Congo,51000,Cameroon
Budza,Niger–Congo,230000,Congo
Buli,Niger–Congo,170000,Ghana
Bukusu,Niger–Congo,1400000,Kenya
Bulu,Niger–Congo,860000,Cameroon
Bum,Niger–Congo,21000,Cameroon
Buru–Angwe,Niger–Congo,1000,Nigeria
Busa,Niger–Congo,110000,Benin
Busa,Niger–Congo,110000,Nigeria
Bushong,Niger–Congo,160000,Congo
Buyu,Niger–Congo,10000,Congo
Bwela,Niger–Congo,8400,Congo
Caka,Niger–Congo,5000,Cameroon
Cape Verdean Creole,Portuguese,871000,Cape Verde
Cebaara,Niger–Congo,860000,Ivory Coast
Central Banda,Niger–Congo,580000,Central African Republic
Central Banda,Niger–Congo,580000,Congo
Central Banda,Niger–Congo,580000,South Sudan
Chewa,Niger–Congo,7000000,Malawi
Chewa,Niger–Congo,7000000,Zimbabwe
Chopi,Niger–Congo,1100000,Mozambique
Chung,Niger–Congo,1400,Cameroon
Comorian,Niger–Congo,1100000,Comoros
Dagaare,Niger–Congo,1300000,Burkina Faso
Dagaare,Niger–Congo,1300000,Ghana
Dagaare,Niger–Congo,1300000,Ivory Coast
Dagbani,Niger–Congo,1200000,Ghana
Dagbani,Niger–Congo,1200000,Togo
Dangme,Niger–Congo,1020000,Ghana
Daza,Nilo-Saharan,700000,Chad
Daza,Nilo-Saharan,700000,Niger
Dciriku,Niger–Congo,82000,Namibia
Dciriku,Niger–Congo,82000,Botswana
Dciriku,Niger–Congo,82000,Angola
Dendi,Nilo-Saharan,440000,Benin
Dendi,Nilo-Saharan,440000,Niger
Dendi,Nilo-Saharan,440000,Nigeria
Dengese,Niger–Congo,8600,Congo
Defaka,Niger–Congo,200,Nigeria
Dinka,Nilo-Saharan,4238400,South Sudan
Djimini,Niger–Congo,96000,Ivory Coast
Doghose,Niger–Congo,20000,Burkina Faso
Dogoso,Niger–Congo,9000,Burkina Faso
Dogoso,Niger–Congo,9000,Ivory Coast
Dyula,Niger–Congo,2600000,Burkina Faso
Dyula,Niger–Congo,2600000,Mali
Dyula,Niger–Congo,2600000,Ivory Coast
Dzando,Niger–Congo,6000,Congo
Dzodinka,Niger–Congo,2600,Cameroon
Dzodinka,Niger–Congo,2600,Nigeria
Ebira,Niger–Congo,2200000,Nigeria
Ekoka ǃKung,Kxʼa,16500,South Africa
Ekoka ǃKung,Kxʼa,16500,Namibia
Ekoka ǃKung,Kxʼa,16500,Angola
Eman,Niger–Congo,800,Cameroon
Esimbi,Niger–Congo,34800,Cameroon
Eton,Niger–Congo,1500000,Cameroon
Evant,Niger–Congo,10000,Cameroon
Evant,Niger–Congo,10000,Nigeria
Ewondo,Niger–Congo,580000,Cameroon
Fang,Niger–Congo,1000000,Equatorial Guinea
Fang,Niger–Congo,1000000,Gabon
Fang,Niger–Congo,1000000,Equatorial Guinea
Fang,Niger–Congo,1000000,Gabon
Fang,Niger–Congo,1000000,Congo
Fang,Niger–Congo,1000000,Cameroon
Fang,Niger–Congo,4000,Cameroon
Fanji,Niger–Congo,17000,Cameroon
Farefare,Niger–Congo,660000,Burkina Faso
Farefare,Niger–Congo,660000,Ghana
Feʼfeʼ,Niger–Congo,140000,Cameroon
Fon,Niger–Congo,2300000,Benin
